sw3253A-ms98-a-0001,0.179125,0.497375,hi,B,fp,u-1-1
sw3253A-ms98-a-0001,0.959250,1.110000,i'm,B,qw^d,u-3-1
sw3253A-ms98-a-0001,1.110000,1.610000,wondering,I,qw^d,u-3-1
sw3253A-ms98-a-0001,1.610000,1.800000,what,I,qw^d,u-3-1
sw3253A-ms98-a-0001,2.130000,2.410000,what,I,qw^d,u-3-1
sw3253A-ms98-a-0001,2.630000,3.140000,camping,I,qw^d,u-3-1
sw3253A-ms98-a-0001,3.140000,3.460000,means,I,qw^d,u-3-1
sw3253A-ms98-a-0001,3.460000,3.610000,to,I,qw^d,u-3-1
sw3253A-ms98-a-0001,3.610000,4.050000,you,I,qw^d,u-3-1
sw3253A-ms98-a-0003,13.812875,13.902875,oh,B,ba,u-5-1
sw3253A-ms98-a-0003,13.902875,14.142875,very,I,ba,u-5-1
sw3253A-ms98-a-0003,14.142875,14.442875,good,I,ba,u-5-1
sw3253A-ms98-a-0003,14.442875,14.662875,that's,B,sd,u-5-2
sw3253A-ms98-a-0003,14.662875,14.832875,sort,I,sd,u-5-2
sw3253A-ms98-a-0003,14.832875,14.982875,of,I,sd,u-5-2
sw3253A-ms98-a-0003,15.352875,15.442875,the,I,sd,u-5-2
sw3253A-ms98-a-0003,15.442875,15.722875,same,I,sd,u-5-2
sw3253A-ms98-a-0003,15.722875,15.992875,thing,I,sd,u-5-2
sw3253A-ms98-a-0003,15.992875,16.216875,that,I,sd,u-5-2
sw3253A-ms98-a-0003,16.495500,16.712875,that,I,sd,u-5-2
sw3253A-ms98-a-0003,16.712875,16.953125,i,I,sd,u-5-2
sw3253A-ms98-a-0003,16.953125,17.149000,do,I,sd,u-5-2
sw3253A-ms98-a-0003,17.149000,17.302875,i,B,sd,u-5-3
sw3253A-ms98-a-0003,17.302875,17.582875,don't,I,sd,u-5-3
sw3253A-ms98-a-0003,17.582875,17.802875,think,I,sd,u-5-3
sw3253A-ms98-a-0003,17.802875,18.163875,of,I,sd,u-5-3
sw3253A-ms98-a-0003,18.163875,18.529125,um,I,sd,u-5-3
sw3253A-ms98-a-0003,18.782875,19.602875,trailers,I,sd,u-5-3
sw3253A-ms98-a-0003,19.602875,19.782875,and,I,sd,u-5-3
sw3253A-ms98-a-0003,19.782875,20.482875,campers,I,sd,u-5-3
sw3253A-ms98-a-0003,20.482875,20.572875,and,I,sd,u-5-3
sw3253A-ms98-a-0003,20.572875,20.712875,all,I,sd,u-5-3
sw3253A-ms98-a-0003,20.712875,20.882875,this,I,sd,u-5-3
sw3253A-ms98-a-0003,20.882875,21.342875,stuff,I,sd,u-5-3
sw3253A-ms98-a-0004,22.278250,22.538250,um,B,qy,u-7-1
sw3253A-ms98-a-0004,22.538250,22.628250,do,I,qy,u-7-1
sw3253A-ms98-a-0004,22.628250,22.738250,you,I,qy,u-7-1
sw3253A-ms98-a-0004,22.738250,22.868250,do,I,qy,u-7-1
sw3253A-ms98-a-0004,22.868250,23.108250,much,I,qy,u-7-1
sw3253A-ms98-a-0004,23.108250,23.664625,camping,I,qy,u-7-1
sw3253A-ms98-a-0006,25.792750,25.972750,oh,B,b^m,u-9-1
sw3253A-ms98-a-0006,25.972750,26.192750,you've,I,b^m,u-9-1
sw3253A-ms98-a-0006,26.192750,26.502750,never,I,b^m,u-9-1
sw3253A-ms98-a-0006,26.502750,26.742750,been,I,b^m,u-9-1
sw3253A-ms98-a-0006,26.742750,27.412625,camping,I,b^m,u-9-1
sw3253A-ms98-a-0006,27.933625,28.130250,oh,B,ba,u-9-2
sw3253A-ms98-a-0006,28.130250,28.495250,gee,I,ba,u-9-2
sw3253A-ms98-a-0007,29.669500,30.019500,well,B,no,u-11-1
sw3253A-ms98-a-0007,30.099500,30.569500,um,I,no,u-11-1
sw3253A-ms98-a-0007,31.359500,31.619500,yes,I,no,u-11-1
sw3253A-ms98-a-0007,31.619500,31.759500,and,I,no,u-11-1
sw3253A-ms98-a-0007,31.759500,32.129500,no,I,no,u-11-1
sw3253A-ms98-a-0007,32.129500,32.347625,and,B,%,u-11-2
sw3253A-ms98-a-0007,32.347625,32.532500,the,I,%,u-11-2
sw3253A-ms98-a-0007,32.532500,32.807375,uh,I,%,u-11-2
sw3253A-ms98-a-0007,32.807375,32.919500,i,B,sd,u-11-3
sw3253A-ms98-a-0007,32.919500,33.209500,haven't,I,sd,u-11-3
sw3253A-ms98-a-0007,33.209500,33.389500,done,I,sd,u-11-3
sw3253A-ms98-a-0007,33.389500,33.619500,much,I,sd,u-11-3
sw3253A-ms98-a-0007,33.619500,34.420000,recently,I,sd,u-11-3
sw3253A-ms98-a-0007,34.585750,34.959500,but,B,sd,u-11-4
sw3253A-ms98-a-0007,34.959500,35.421500,um,I,sd,u-11-4
sw3253A-ms98-a-0007,35.963875,36.109500,up,I,sd,u-11-4
sw3253A-ms98-a-0007,36.109500,36.839500,until,I,sd,u-11-4
