sw2339B-ms98-a-0002,1.525250,2.215250,okay,B,o,u-1-1
sw2339B-ms98-a-0002,2.545250,2.645250,i,B,sd,u-1-2
sw2339B-ms98-a-0002,2.645250,2.745250,was,I,sd,u-1-2
sw2339B-ms98-a-0002,2.745250,3.025250,thinking,I,sd,u-1-2
sw2339B-ms98-a-0002,3.025250,3.275250,about,I,sd,u-1-2
sw2339B-ms98-a-0002,3.275250,3.971625,camping,I,sd,u-1-2
sw2339B-ms98-a-0002,4.250375,4.415250,and,I,sd,u-1-2
sw2339B-ms98-a-0002,4.415250,4.785250,different,I,sd,u-1-2
sw2339B-ms98-a-0002,4.785250,4.896250,i-,I,sd,u-1-2
sw2339B-ms98-a-0002,4.896250,5.335250,people's,I,sd,u-1-2
sw2339B-ms98-a-0002,5.335250,5.965250,ideas,I,sd,u-1-2
sw2339B-ms98-a-0002,5.965250,6.375250,about,I,sd,u-1-2
sw2339B-ms98-a-0002,6.375250,6.574250,it,I,sd,u-1-2
sw2339B-ms98-a-0003,7.595125,7.875125,we've,B,sd,u-3-1
sw2339B-ms98-a-0003,7.875125,8.105125,even,I,sd,u-3-1
sw2339B-ms98-a-0003,8.105125,8.255125,seen,I,sd,u-3-1
sw2339B-ms98-a-0003,8.255125,8.525125,people,I,sd,u-3-1
sw2339B-ms98-a-0003,8.525125,8.705125,with,I,sd,u-3-1
sw2339B-ms98-a-0003,8.705125,8.885125,these,I,sd,u-3-1
sw2339B-ms98-a-0003,8.885125,9.335125,campers,I,sd,u-3-1
sw2339B-ms98-a-0003,9.335125,9.425125,and,B,sd,u-3-2
sw2339B-ms98-a-0003,9.425125,9.485125,they,I,sd,u-3-2
sw2339B-ms98-a-0003,9.485125,9.645125,got,I,sd,u-3-2
sw2339B-ms98-a-0003,9.645125,9.715125,the,I,sd,u-3-2
sw2339B-ms98-a-0003,9.715125,9.905125,big,I,sd,u-3-2
sw2339B-ms98-a-0003,9.905125,10.179375,old,I,sd,u-3-2
sw2339B-ms98-a-0003,10.179375,10.782000,antennas,I,sd,u-3-2
sw2339B-ms98-a-0003,10.782000,10.985125,up,I,sd,u-3-2
sw2339B-ms98-a-0003,10.985125,11.105125,so,I,sd,u-3-2
sw2339B-ms98-a-0003,11.105125,11.215125,they,I,sd,u-3-2
sw2339B-ms98-a-0003,11.215125,11.335125,can,I,sd,u-3-2
sw2339B-ms98-a-0003,11.335125,11.592875,watch,I,sd,u-3-2
sw2339B-ms98-a-0003,11.592875,11.728500,their,I,sd,u-3-2
sw2339B-ms98-a-0003,11.728500,12.185125,TV,I,sd,u-3-2
sw2339B-ms98-a-0003,12.185125,12.295125,when,I,sd,u-3-2
sw2339B-ms98-a-0003,12.295125,12.405125,they're,I,sd,u-3-2
sw2339B-ms98-a-0003,12.405125,12.815125,going,I,sd,u-3-2
sw2339B-ms98-a-0003,13.275125,13.445125,but,O,,
sw2339B-ms98-a-0003,13.445125,13.655125,that's,B,%,u-5-1
sw2339B-ms98-a-0003,13.655125,13.965500,not,I,%,u-5-1
sw2339B-ms98-a-0004,14.681500,15.349000,[laughter-yeah],O,,
sw2339B-ms98-a-0004,15.349000,15.419000,a,B,qy^m,u-7-2
sw2339B-ms98-a-0004,15.419000,15.869000,satellite,I,qy^m,u-7-2
sw2339B-ms98-a-0004,15.919000,16.428625,dish,I,qy^m,u-7-2
sw2339B-ms98-a-0006,18.853375,19.308000,oh,B,ba,u-9-1
sw2339B-ms98-a-0006,19.308000,21.586625,[laughter-golly],O,,
sw2339B-ms98-a-0006,21.586625,21.761875,that's,B,sd,u-11-1
sw2339B-ms98-a-0006,21.761875,21.925875,not,I,sd,u-11-1
sw2339B-ms98-a-0006,21.925875,22.050000,the,I,sd,u-11-1
sw2339B-ms98-a-0006,22.050000,22.303375,kind,I,sd,u-11-1
sw2339B-ms98-a-0006,22.303375,22.463375,we,I,sd,u-11-1
sw2339B-ms98-a-0006,22.463375,22.753375,do,I,sd,u-11-1
sw2339B-ms98-a-0006,22.753375,22.843375,do,B,qy,u-11-2
sw2339B-ms98-a-0006,22.843375,22.923375,you,I,qy,u-11-2
sw2339B-ms98-a-0006,22.923375,23.043375,go,I,qy,u-11-2
sw2339B-ms98-a-0006,23.043375,23.603375,camping,I,qy,u-11-2
sw2339B-ms98-a-0008,27.356625,29.475125,[laughter],O,,
sw2339B-ms98-a-0009,32.404250,32.516625,well,B,sd,u-15-1
sw2339B-ms98-a-0009,32.516625,32.748000,so,I,sd,u-15-1
sw2339B-ms98-a-0009,32.748000,32.858500,do,I,sd,u-15-1
sw2339B-ms98-a-0009,32.858500,33.121250,we,I,sd,u-15-1
sw2339B-ms98-a-0009,33.956250,34.072250,in,B,sd,u-15-2
sw2339B-ms98-a-0009,34.072250,34.478375,fact,I,sd,u-15-2
sw2339B-ms98-a-0009,34.583875,34.784250,when,I,sd,u-15-2
sw2339B-ms98-a-0009,34.784250,34.894250,we,I,sd,u-15-2
sw2339B-ms98-a-0009,34.894250,35.134250,first,I,sd,u-15-2
sw2339B-ms98-a-0009,35.134250,35.274250,got,I,sd,u-15-2
sw2339B-ms98-a-0009,35.274250,35.874250,married,I,sd,u-15-2
sw2339B-ms98-a-0009,35.874250,35.974250,we,I,sd,u-15-2
