sw3237B-ms98-a-0002,1.827250,2.356500,um-hum,B,ny,u-2-1
sw3237B-ms98-a-0003,4.420500,4.844250,it's,B,sd,u-4-1
sw3237B-ms98-a-0003,4.844250,5.509625,a,I,sd,u-4-1
sw3237B-ms98-a-0003,6.620750,7.038000,two,I,sd,u-4-1
sw3237B-ms98-a-0003,7.038000,7.918000,bedroom,I,sd,u-4-1
sw3237B-ms98-a-0003,7.918000,8.208000,two,I,sd,u-4-1
sw3237B-ms98-a-0003,8.208000,9.010625,bath,I,sd,u-4-1
sw3237B-ms98-a-0003,9.455750,10.318000,duplex,I,sd,u-4-1
sw3237B-ms98-a-0003,11.256125,11.886750,brick,B,sd,u-6-1
sw3237B-ms98-a-0004,12.948125,13.268125,and,B,+,u-8-1
sw3237B-ms98-a-0004,13.268125,13.470750,uh,I,+,u-8-1
sw3237B-ms98-a-0005,15.393500,15.613500,no,B,nn,u-10-1
sw3237B-ms98-a-0005,15.613500,15.893500,we,B,sd^e,u-10-2
sw3237B-ms98-a-0005,15.893500,16.103500,own,I,sd^e,u-10-2
sw3237B-ms98-a-0005,16.103500,16.333500,it,I,sd^e,u-10-2
sw3237B-ms98-a-0005,16.333500,16.613500,yeah,B,%,u-10-3
sw3237B-ms98-a-0005,16.613500,16.843500,well,B,%,u-10-4
sw3237B-ms98-a-0005,16.843500,17.033500,our,I,%,u-10-4
sw3237B-ms98-a-0005,17.033500,17.487750,side,I,%,u-10-4
sw3237B-ms98-a-0005,17.487750,19.093500,[laughter],O,,
sw3237B-ms98-a-0005,19.760375,20.128500,uh-huh,B,b,u-12-1
sw3237B-ms98-a-0005,20.369500,20.673500,uh-huh,B,b^r,u-12-2
sw3237B-ms98-a-0006,22.187250,22.688000,uh-huh,B,b,u-14-1
sw3237B-ms98-a-0006,22.688000,23.214500,yeah,B,b,u-14-2
sw3237B-ms98-a-0007,24.596250,25.046250,no,B,nn,u-16-1
sw3237B-ms98-a-0007,25.046250,25.466875,huh-uh,O,,
sw3237B-ms98-a-0007,25.466875,25.665750,do,B,qy,u-16-3
sw3237B-ms98-a-0007,25.665750,25.825875,you,I,qy,u-16-3
sw3237B-ms98-a-0009,27.641375,27.972375,um-hum,O,,
sw3237B-ms98-a-0011,29.841500,30.570875,[laughter],O,,
sw3237B-ms98-a-0011,30.570875,30.879625,ours,B,sd,u-18-1
sw3237B-ms98-a-0011,30.879625,31.129625,is,I,sd,u-18-1
sw3237B-ms98-a-0011,31.129625,31.683375,too,I,sd,u-18-1
sw3237B-ms98-a-0011,32.048625,32.219625,we,B,sd,u-20-1
sw3237B-ms98-a-0011,32.219625,32.549625,outgrew,I,sd,u-20-1
sw3237B-ms98-a-0011,32.549625,32.649625,it,I,sd,u-20-1
sw3237B-ms98-a-0011,32.649625,32.839625,when,I,sd,u-20-1
sw3237B-ms98-a-0011,32.839625,32.939625,we,I,sd,u-20-1
sw3237B-ms98-a-0011,32.939625,33.269625,moved,I,sd,u-20-1
sw3237B-ms98-a-0011,33.269625,33.763750,in,I,sd,u-20-1
sw3237B-ms98-a-0011,33.763750,34.861250,[laughter],O,,
sw3237B-ms98-a-0012,36.051750,36.507000,uh-huh,B,b,u-24-1
sw3237B-ms98-a-0014,40.621625,41.108500,uh-huh,B,b,u-26-1
sw3237B-ms98-a-0016,44.962750,45.363500,uh-huh,B,b,u-28-1
sw3237B-ms98-a-0018,48.616125,49.408125,um-hum,B,b,u-30-1
sw3237B-ms98-a-0020,52.312250,53.077000,um,B,b,u-32-1
sw3237B-ms98-a-0022,55.567000,56.048375,yeah,B,b,u-34-1
sw3237B-ms98-a-0023,57.398875,57.705750,oh,B,ba,u-36-1
sw3237B-ms98-a-0023,57.705750,58.310625,wow,I,ba,u-36-1
sw3237B-ms98-a-0024,59.108125,59.519000,[laughter],O,,
sw3237B-ms98-a-0024,59.519000,59.778375,y'all,O,,
sw3237B-ms98-a-0024,59.778375,60.018375,are,B,bf,u-38-1
sw3237B-ms98-a-0024,60.018375,60.568375,cramped,I,bf,u-38-1
sw3237B-ms98-a-0024,60.568375,61.445500,[laughter],O,,
sw3237B-ms98-a-0026,64.899500,65.423875,uh-huh,B,b,u-40-1
sw3237B-ms98-a-0028,67.643875,68.028375,uh-huh,B,b,u-42-1
sw3237B-ms98-a-0030,69.949750,70.896750,wow,O,,
sw3237B-ms98-a-0032,73.040125,73.643875,uh-huh,B,b,u-46-1
sw3237B-ms98-a-0032,73.858625,73.969875,how,B,qw,u-46-2
sw3237B-ms98-a-0032,73.969875,74.129875,many,I,qw,u-46-2
sw3237B-ms98-a-0032,74.129875,74.659875,bedrooms,I,qw,u-46-2
sw3237B-ms98-a-0032,74.659875,74.829875,is,I,qw,u-46-2
sw3237B-ms98-a-0032,74.829875,74.988000,it,I,qw,u-46-2
sw3237B-ms98-a-0034,78.313250,78.713875,uh-huh,B,b,u-48-1
