sw4720B-ms98-a-0003,15.703750,16.127875,right,B,b,u-2-1
sw4720B-ms98-a-0005,19.620000,19.850000,oh,B,sv,u-4-1
sw4720B-ms98-a-0005,19.850000,19.980000,and,I,sv,u-4-1
sw4720B-ms98-a-0005,19.980000,20.160000,then,I,sv,u-4-1
sw4720B-ms98-a-0005,20.160000,20.374000,if,I,sv,u-4-1
sw4720B-ms98-a-0005,20.479500,20.570000,you,I,sv,u-4-1
sw4720B-ms98-a-0005,20.570000,20.750000,try,I,sv,u-4-1
sw4720B-ms98-a-0005,20.750000,20.860000,to,I,sv,u-4-1
sw4720B-ms98-a-0005,20.860000,21.030000,get,I,sv,u-4-1
sw4720B-ms98-a-0005,21.030000,21.173125,it,I,sv,u-4-1
sw4720B-ms98-a-0005,21.730500,22.310000,outside,I,sv,u-4-1
sw4720B-ms98-a-0005,22.310000,22.520000,of,I,sv,u-4-1
sw4720B-ms98-a-0005,22.520000,22.830000,your,I,sv,u-4-1
sw4720B-ms98-a-0005,22.830000,22.960000,uh,I,sv,u-4-1
sw4720B-ms98-a-0005,22.960000,23.550000,corporation,I,sv,u-4-1
sw4720B-ms98-a-0005,23.550000,23.640000,you're,I,sv,u-4-1
sw4720B-ms98-a-0005,23.640000,23.770000,gonna,I,sv,u-4-1
sw4720B-ms98-a-0005,23.770000,23.900000,pay,I,sv,u-4-1
sw4720B-ms98-a-0005,23.900000,24.020000,an,I,sv,u-4-1
sw4720B-ms98-a-0005,24.020000,24.220000,arm,I,sv,u-4-1
sw4720B-ms98-a-0005,24.220000,24.310000,and,I,sv,u-4-1
sw4720B-ms98-a-0005,24.310000,24.340000,a,I,sv,u-4-1
sw4720B-ms98-a-0005,24.340000,24.650000,leg,I,sv,u-4-1
sw4720B-ms98-a-0007,29.730500,30.220750,right,B,b,u-6-1
sw4720B-ms98-a-0009,36.842750,37.102750,uh,B,qy,u-8-1
sw4720B-ms98-a-0009,37.102750,37.282750,do,I,qy,u-8-1
sw4720B-ms98-a-0009,37.282750,37.422750,you,I,qy,u-8-1
sw4720B-ms98-a-0009,37.422750,37.732750,also,I,qy,u-8-1
sw4720B-ms98-a-0009,37.732750,38.022750,get,I,qy,u-8-1
sw4720B-ms98-a-0009,38.022750,38.470375,dental,I,qy,u-8-1
sw4720B-ms98-a-0011,48.442250,48.626000,oh,B,aa,u-10-1
sw4720B-ms98-a-0011,48.626000,48.749750,i,I,aa,u-10-1
sw4720B-ms98-a-0011,48.749750,49.169250,know,I,aa,u-10-1
sw4720B-ms98-a-0013,52.191875,52.371875,now,B,sd,u-12-1
sw4720B-ms98-a-0013,52.371875,52.501875,my,I,sd,u-12-1
sw4720B-ms98-a-0013,52.501875,52.881875,husband,I,sd,u-12-1
sw4720B-ms98-a-0013,52.881875,52.981875,is,I,sd,u-12-1
sw4720B-ms98-a-0013,52.981875,53.170750,with,I,sd,u-12-1
