sw3015B-ms98-a-0002,13.207625,13.567625,right,B,b,u-2-1
sw3015B-ms98-a-0004,30.114500,30.594000,right,B,b,u-4-1
sw3015B-ms98-a-0004,30.594000,31.038500,yeah,B,b,u-4-2
sw3015B-ms98-a-0004,31.038500,31.294500,i'm,B,sd,u-4-3
sw3015B-ms98-a-0004,31.914500,32.024500,i'm,I,sd,u-4-3
sw3015B-ms98-a-0004,32.024500,32.244500,sort,I,sd,u-4-3
sw3015B-ms98-a-0004,32.244500,32.334500,of,I,sd,u-4-3
sw3015B-ms98-a-0004,32.514500,33.054500,mixed,I,sd,u-4-3
sw3015B-ms98-a-0004,33.054500,33.254500,on,I,sd,u-4-3
sw3015B-ms98-a-0004,33.254500,33.504500,this,I,sd,u-4-3
sw3015B-ms98-a-0004,33.504500,33.544500,i,B,sv,u-4-4
sw3015B-ms98-a-0004,33.544500,33.854500,think,I,sv,u-4-4
sw3015B-ms98-a-0004,33.854500,34.069125,that,I,sv,u-4-4
sw3015B-ms98-a-0004,34.991875,35.447625,the,I,sv,u-4-4
sw3015B-ms98-a-0004,35.447625,35.657750,the,I,sv,u-4-4
sw3015B-ms98-a-0004,35.657750,36.365875,answer,I,sv,u-4-4
sw3015B-ms98-a-0004,37.724500,37.977000,may,I,sv,u-4-4
sw3015B-ms98-a-0004,37.977000,38.348500,lie,I,sv,u-4-4
sw3015B-ms98-a-0004,38.348500,38.589500,in,I,sv,u-4-4
sw3015B-ms98-a-0004,38.589500,38.976625,uh,I,sv,u-4-4
sw3015B-ms98-a-0004,40.072750,40.194500,not,I,sv,u-4-4
sw3015B-ms98-a-0004,40.194500,40.254500,in,I,sv,u-4-4
sw3015B-ms98-a-0004,40.254500,40.384500,so,I,sv,u-4-4
sw3015B-ms98-a-0004,40.384500,40.777125,much,I,sv,u-4-4
sw3015B-ms98-a-0004,40.777125,41.213875,a,I,sv,u-4-4
sw3015B-ms98-a-0004,42.184500,42.644500,uh,I,sv,u-4-4
sw3015B-ms98-a-0005,44.024250,44.714250,national,I,sv,u-4-4
sw3015B-ms98-a-0006,45.689875,45.823375,kind,I,sv,u-4-4
sw3015B-ms98-a-0006,45.823375,45.968500,of,I,sv,u-4-4
sw3015B-ms98-a-0006,45.968500,46.682625,medical,I,sv,u-4-4
sw3015B-ms98-a-0006,47.330500,47.538500,thing,I,sv,u-4-4
sw3015B-ms98-a-0006,47.538500,47.718500,that,I,sv,u-4-4
sw3015B-ms98-a-0006,47.718500,47.798500,li[ke]-,I,sv,u-4-4
sw3015B-ms98-a-0006,47.798500,48.208500,like,I,sv,u-4-4
sw3015B-ms98-a-0006,48.208500,48.638500,England,I,sv,u-4-4
sw3015B-ms98-a-0006,48.638500,48.998500,has,I,sv,u-4-4
sw3015B-ms98-a-0006,48.998500,49.218500,but,I,sv,u-4-4
sw3015B-ms98-a-0006,49.218500,49.508500,more,I,sv,u-4-4
sw3015B-ms98-a-0006,49.508500,49.628500,of,I,sv,u-4-4
