sw3487B-ms98-a-0003,5.055875,5.504125,right,B,b,u-2-1
sw3487B-ms98-a-0005,9.637500,10.103125,uh-huh,B,b,u-4-1
sw3487B-ms98-a-0005,10.103125,10.353750,[laughter],O,,
sw3487B-ms98-a-0007,25.821625,26.248625,um-hum,B,b,u-6-1
sw3487B-ms98-a-0010,29.953500,30.376125,right,B,b,u-8-1
sw3487B-ms98-a-0010,30.734500,31.431750,um,B,^h,u-8-2
sw3487B-ms98-a-0011,31.933500,32.201500,let's,I,^h,u-8-2
sw3487B-ms98-a-0011,32.201500,32.391500,see,I,^h,u-8-2
sw3487B-ms98-a-0011,32.391500,32.571500,when,B,sd,u-8-3
sw3487B-ms98-a-0011,32.571500,32.829375,i,I,sd,u-8-3
sw3487B-ms98-a-0011,32.998875,33.141500,when,I,sd,u-8-3
sw3487B-ms98-a-0011,33.141500,33.251500,i,I,sd,u-8-3
sw3487B-ms98-a-0011,33.251500,33.431500,went,I,sd,u-8-3
sw3487B-ms98-a-0011,33.431500,33.601500,away,I,sd,u-8-3
sw3487B-ms98-a-0011,33.601500,33.691500,to,I,sd,u-8-3
sw3487B-ms98-a-0011,33.691500,34.071500,school,I,sd,u-8-3
sw3487B-ms98-a-0011,34.071500,34.171500,i'm,I,sd,u-8-3
sw3487B-ms98-a-0011,34.171500,34.431500,trying,I,sd,u-8-3
sw3487B-ms98-a-0011,34.431500,34.591500,to,I,sd,u-8-3
sw3487B-ms98-a-0011,34.591500,34.907375,think,I,sd,u-8-3
sw3487B-ms98-a-0011,35.336750,35.531500,my,I,sd,u-8-3
sw3487B-ms98-a-0011,35.531500,36.131500,criteria,I,sd,u-8-3
sw3487B-ms98-a-0011,36.131500,36.211500,i,B,sv,u-8-4
sw3487B-ms98-a-0011,36.211500,36.491500,guess,I,sv,u-8-4
sw3487B-ms98-a-0011,36.491500,36.621500,when,I,sv,u-8-4
sw3487B-ms98-a-0011,36.621500,36.872500,you're,I,sv,u-8-4
sw3487B-ms98-a-0011,37.275500,37.401500,when,I,sv,u-8-4
sw3487B-ms98-a-0011,37.401500,37.561500,you're,I,sv,u-8-4
sw3487B-ms98-a-0011,37.561500,38.041500,eighteen,I,sv,u-8-4
sw3487B-ms98-a-0011,38.041500,38.101500,or,I,sv,u-8-4
sw3487B-ms98-a-0011,38.101500,38.577250,so,I,sv,u-8-4
sw3487B-ms98-a-0011,38.577250,38.918875,um,I,sv,u-8-4
sw3487B-ms98-a-0011,39.257875,39.341500,it,I,sv,u-8-4
sw3487B-ms98-a-0011,39.341500,39.471500,would,I,sv,u-8-4
sw3487B-ms98-a-0011,39.471500,39.591500,be,I,sv,u-8-4
sw3487B-ms98-a-0011,39.591500,40.051500,important,I,sv,u-8-4
sw3487B-ms98-a-0011,40.051500,40.121500,to,I,sv,u-8-4
sw3487B-ms98-a-0011,40.121500,40.331500,know,I,sv,u-8-4
sw3487B-ms98-a-0011,40.331500,40.451500,if,I,sv,u-8-4
sw3487B-ms98-a-0011,40.451500,40.511500,it,I,sv,u-8-4
sw3487B-ms98-a-0011,40.511500,40.631500,was,I,sv,u-8-4
sw3487B-ms98-a-0011,40.631500,40.691500,a,I,sv,u-8-4
sw3487B-ms98-a-0011,40.691500,41.121500,coed,I,sv,u-8-4
sw3487B-ms98-a-0011,41.121500,41.680750,college,I,sv,u-8-4
sw3487B-ms98-a-0011,41.680750,42.343625,[laughter],O,,
sw3487B-ms98-a-0011,42.343625,42.511500,that,B,sd,u-10-1
sw3487B-ms98-a-0011,42.511500,42.671500,was,I,sd,u-10-1
sw3487B-ms98-a-0011,42.671500,42.824875,a,I,sd,u-10-1
sw3487B-ms98-a-0012,43.347125,43.456250,a,I,sd,u-10-1
sw3487B-ms98-a-0012,43.456250,43.614875,a,I,sd,u-10-1
sw3487B-ms98-a-0012,43.614875,43.849500,strict,I,sd,u-10-1
sw3487B-ms98-a-0012,43.849500,44.499500,requirement,I,sd,u-10-1
sw3487B-ms98-a-0012,44.499500,44.569500,for,I,sd,u-10-1
