sw3046B-ms98-a-0002,1.306875,1.810000,hi,B,fp,u-2-1
sw3046B-ms98-a-0003,3.046625,3.276625,i'm,B,fp,u-4-1
sw3046B-ms98-a-0003,3.276625,3.776750,Tina,I,fp,u-4-1
sw3046B-ms98-a-0004,5.152125,5.372125,i,B,sd,u-6-1
sw3046B-ms98-a-0004,5.372125,5.562125,live,I,sd,u-6-1
sw3046B-ms98-a-0004,5.562125,5.702125,in,I,sd,u-6-1
sw3046B-ms98-a-0004,5.702125,6.182125,Garland,I,sd,u-6-1
sw3046B-ms98-a-0004,6.182125,6.802125,Texas,I,sd,u-6-1
sw3046B-ms98-a-0006,9.090875,9.310875,oh,B,sd,u-8-1
sw3046B-ms98-a-0006,9.310875,9.490875,my,I,sd,u-8-1
sw3046B-ms98-a-0006,9.490875,10.248500,lands,I,sd,u-8-1
sw3046B-ms98-a-0006,10.248500,10.482000,[laughter],I,sd,u-8-1
sw3046B-ms98-a-0006,10.482000,10.680875,you're,I,sd,u-8-1
sw3046B-ms98-a-0006,10.680875,10.760875,the,I,sd,u-8-1
sw3046B-ms98-a-0006,10.760875,11.280875,farthest,I,sd,u-8-1
sw3046B-ms98-a-0006,11.280875,11.660875,person,I,sd,u-8-1
sw3046B-ms98-a-0006,11.660875,11.830875,i've,I,sd,u-8-1
sw3046B-ms98-a-0006,11.830875,12.050875,ever,I,sd,u-8-1
sw3046B-ms98-a-0006,12.050875,12.369750,talked,I,sd,u-8-1
sw3046B-ms98-a-0006,12.369750,13.142625,to,I,sd,u-8-1
sw3046B-ms98-a-0006,13.142625,13.760875,yeah,B,ny,u-10-1
sw3046B-ms98-a-0008,15.681625,15.901625,my,B,ng,u-12-1
sw3046B-ms98-a-0008,15.901625,16.341625,husband,I,ng,u-12-1
sw3046B-ms98-a-0008,16.341625,16.912000,does,I,ng,u-12-1
sw3046B-ms98-a-0008,17.228375,17.681625,yeah,B,b,u-14-1
sw3046B-ms98-a-0008,17.681625,17.991625,probably,B,qy^g,u-14-2
sw3046B-ms98-a-0008,17.991625,18.201625,most,I,qy^g,u-14-2
sw3046B-ms98-a-0008,18.201625,18.441625,people,I,qy^g,u-14-2
sw3046B-ms98-a-0008,18.441625,18.581625,you,I,qy^g,u-14-2
sw3046B-ms98-a-0008,18.581625,18.831625,talk,I,qy^g,u-14-2
sw3046B-ms98-a-0008,18.831625,19.021625,to,I,qy^g,u-14-2
sw3046B-ms98-a-0008,19.021625,19.301625,do,I,qy^g,u-14-2
sw3046B-ms98-a-0008,19.301625,19.658250,huh,I,qy^g,u-14-2
sw3046B-ms98-a-0009,20.367750,21.299125,[laughter],O,,
sw3046B-ms98-a-0011,23.443375,24.003375,huh,B,b,u-16-1
sw3046B-ms98-a-0013,29.653125,29.873125,i,B,b,u-18-1
sw3046B-ms98-a-0013,29.873125,30.373125,see,I,b,u-18-1
sw3046B-ms98-a-0013,30.373125,30.533125,well,B,ba,u-18-2
sw3046B-ms98-a-0013,30.533125,30.803125,that's,I,ba,u-18-2
sw3046B-ms98-a-0013,30.803125,31.223125,neat,I,ba,u-18-2
sw3046B-ms98-a-0015,34.190375,34.508375,yeah,B,aa,u-20-1
sw3046B-ms98-a-0015,34.679250,34.790375,i,B,ad^t,u-20-2
sw3046B-ms98-a-0015,34.790375,35.020375,guess,I,ad^t,u-20-2
sw3046B-ms98-a-0015,35.020375,35.120375,you,I,ad^t,u-20-2
sw3046B-ms98-a-0015,35.120375,35.240375,have,I,ad^t,u-20-2
sw3046B-ms98-a-0015,35.240375,35.360375,to,I,ad^t,u-20-2
sw3046B-ms98-a-0015,35.360375,35.650375,push,I,ad^t,u-20-2
sw3046B-ms98-a-0015,35.650375,35.920375,one,I,ad^t,u-20-2
sw3046B-ms98-a-0015,35.920375,36.161000,though,I,ad^t,u-20-2
sw3046B-ms98-a-0015,36.677000,37.086250,okay,B,b,u-22-1
sw3046B-ms98-a-0015,37.293625,37.551375,yeah,B,ny,u-24-1
sw3046B-ms98-a-0017,45.420875,45.780875,yeah,B,b,u-26-1
sw3046B-ms98-a-0017,45.780875,45.919875,i,B,^h,u-26-2
sw3046B-ms98-a-0017,45.919875,46.130750,guess,I,^h,u-26-2
sw3046B-ms98-a-0017,46.130750,46.410875,so,I,^h,u-26-2
sw3046B-ms98-a-0017,46.410875,46.530875,it,B,qy^d,u-26-3
sw3046B-ms98-a-0017,46.530875,46.780875,may,I,qy^d,u-26-3
sw3046B-ms98-a-0017,46.780875,46.980875,be,I,qy^d,u-26-3
sw3046B-ms98-a-0017,46.980875,47.490875,interesting,I,qy^d,u-26-3
sw3046B-ms98-a-0017,47.490875,47.870875,because,I,qy^d,u-26-3
sw3046B-ms98-a-0017,47.870875,48.220875,probably,I,qy^d,u-26-3
sw3046B-ms98-a-0017,48.220875,48.410875,here,I,qy^d,u-26-3
sw3046B-ms98-a-0017,48.410875,48.490875,in,I,qy^d,u-26-3
sw3046B-ms98-a-0017,48.490875,48.850875,Texas,I,qy^d,u-26-3
sw3046B-ms98-a-0017,48.850875,48.970875,we,I,qy^d,u-26-3
sw3046B-ms98-a-0017,48.970875,49.150875,may,I,qy^d,u-26-3
sw3046B-ms98-a-0017,49.150875,49.303500,eat,I,qy^d,u-26-3
sw3046B-ms98-a-0017,49.458000,49.550875,a,I,qy^d,u-26-3
sw3046B-ms98-a-0017,49.550875,49.730875,little,I,qy^d,u-26-3
sw3046B-ms98-a-0017,49.730875,50.170875,differently,I,qy^d,u-26-3
sw3046B-ms98-a-0017,50.170875,50.330875,than,I,qy^d,u-26-3
sw3046B-ms98-a-0017,50.330875,50.420875,you,I,qy^d,u-26-3
sw3046B-ms98-a-0017,50.420875,50.590875,do,I,qy^d,u-26-3
sw3046B-ms98-a-0017,50.590875,50.750875,up,I,qy^d,u-26-3
sw3046B-ms98-a-0017,50.750875,51.050875,there,I,qy^d,u-26-3
sw3046B-ms98-a-0017,51.050875,51.460875,[laughter],O,,
sw3046B-ms98-a-0019,56.804500,57.054500,oh,B,b,u-28-1
sw3046B-ms98-a-0019,57.054500,57.474500,really,I,b,u-28-1
sw3046B-ms98-a-0021,64.448125,64.948125,yeah,B,aa,u-30-1
sw3046B-ms98-a-0021,65.068125,65.358125,that's,B,aa,u-30-2
sw3046B-ms98-a-0021,65.358125,65.798125,true,I,aa,u-30-2
sw3046B-ms98-a-0022,66.802500,67.052500,well,B,sd,u-32-1
sw3046B-ms98-a-0022,67.172500,67.332500,uh,I,sd,u-32-1
sw3046B-ms98-a-0022,67.332500,67.472500,the,I,sd,u-32-1
sw3046B-ms98-a-0022,67.472500,67.702500,thing,I,sd,u-32-1
sw3046B-ms98-a-0022,67.702500,67.832500,that,I,sd,u-32-1
sw3046B-ms98-a-0022,67.832500,68.061750,i,I,sd,u-32-1
sw3046B-ms98-a-0022,68.186000,68.412500,found,I,sd,u-32-1
sw3046B-ms98-a-0022,68.412500,68.922500,interesting,I,sd,u-32-1
sw3046B-ms98-a-0022,68.922500,69.032500,my,B,sd,u-32-2
sw3046B-ms98-a-0022,69.032500,69.372500,husband,I,sd,u-32-2
sw3046B-ms98-a-0022,69.372500,69.492500,and,I,sd,u-32-2
sw3046B-ms98-a-0022,69.492500,69.722500,i,I,sd,u-32-2
sw3046B-ms98-a-0022,69.722500,69.952500,lived,I,sd,u-32-2
sw3046B-ms98-a-0022,69.952500,70.072500,up,I,sd,u-32-2
sw3046B-ms98-a-0022,70.072500,70.222500,in,I,sd,u-32-2
sw3046B-ms98-a-0022,70.222500,70.742500,Washington,I,sd,u-32-2
sw3046B-ms98-a-0022,70.742500,71.102500,state,I,sd,u-32-2
sw3046B-ms98-a-0022,71.102500,71.202500,for,I,sd,u-32-2
sw3046B-ms98-a-0022,71.202500,71.662500,awhile,I,sd,u-32-2
sw3046B-ms98-a-0023,72.197375,72.367375,and,B,sd,u-34-1
sw3046B-ms98-a-0023,72.367375,72.537375,up,I,sd,u-34-1
sw3046B-ms98-a-0023,72.537375,72.707375,there,I,sd,u-34-1
sw3046B-ms98-a-0023,72.707375,72.777375,of,I,sd,u-34-1
sw3046B-ms98-a-0023,72.777375,73.067375,course,I,sd,u-34-1
sw3046B-ms98-a-0023,73.067375,73.197375,they,I,sd,u-34-1
sw3046B-ms98-a-0023,73.197375,73.277375,ate,I,sd,u-34-1
sw3046B-ms98-a-0023,73.277375,73.327375,a,I,sd,u-34-1
sw3046B-ms98-a-0023,73.327375,73.507375,lot,I,sd,u-34-1
sw3046B-ms98-a-0023,73.507375,73.607375,of,I,sd,u-34-1
sw3046B-ms98-a-0023,73.607375,73.847375,sea,I,sd,u-34-1
sw3046B-ms98-a-0023,73.847375,74.297375,food,I,sd,u-34-1
sw3046B-ms98-a-0023,74.297375,74.537375,and,B,+,u-36-1
sw3046B-ms98-a-0023,75.087375,75.237375,that,I,+,u-36-1
sw3046B-ms98-a-0023,75.237375,75.427375,kind,I,+,u-36-1
sw3046B-ms98-a-0023,75.427375,75.527375,of,I,+,u-36-1
sw3046B-ms98-a-0023,75.527375,75.867375,thing,I,+,u-36-1
sw3046B-ms98-a-0023,75.867375,76.117375,and,B,sv,u-36-2
sw3046B-ms98-a-0023,76.117375,76.397375,down,I,sv,u-36-2
sw3046B-ms98-a-0023,76.397375,76.909125,here,I,sv,u-36-2
sw3046B-ms98-a-0023,77.300875,77.507375,sea,I,sv,u-36-2
sw3046B-ms98-a-0023,77.507375,77.757375,food,I,sv,u-36-2
sw3046B-ms98-a-0023,77.757375,77.897375,is,I,sv,u-36-2
sw3046B-ms98-a-0023,77.897375,78.398000,pretty,I,sv,u-36-2
sw3046B-ms98-a-0023,78.567500,79.307375,expensive,I,sv,u-36-2
sw3046B-ms98-a-0023,79.307375,79.657375,because,I,sv,u-36-2
sw3046B-ms98-a-0023,79.657375,79.817375,you,B,+,u-38-1
sw3046B-ms98-a-0023,79.817375,80.032250,have,I,+,u-38-1
sw3046B-ms98-a-0023,80.032250,80.307125,to,I,+,u-38-1
sw3046B-ms98-a-0023,80.307125,80.557375,ship,I,+,u-38-1
sw3046B-ms98-a-0023,80.557375,80.647375,it,I,+,u-38-1
sw3046B-ms98-a-0023,80.647375,80.707375,a,I,+,u-38-1
sw3046B-ms98-a-0023,80.707375,80.987375,long,I,+,u-38-1
sw3046B-ms98-a-0023,80.987375,81.217375,way,I,+,u-38-1
sw3046B-ms98-a-0023,81.217375,81.337375,to,I,+,u-38-1
sw3046B-ms98-a-0023,81.337375,81.507375,get,I,+,u-38-1
sw3046B-ms98-a-0023,81.507375,81.627375,it,I,+,u-38-1
sw3046B-ms98-a-0023,81.627375,81.885250,[laughter],O,,
sw3046B-ms98-a-0024,83.753625,84.303625,right,B,aa,u-40-1
sw3046B-ms98-a-0024,84.303625,84.513625,and,B,sd,u-40-2
sw3046B-ms98-a-0024,84.693625,85.013625,and,I,sd,u-40-2
sw3046B-ms98-a-0024,85.013625,85.307375,uh,I,sd,u-40-2
sw3046B-ms98-a-0024,85.604875,85.833625,and,I,sd,u-40-2
sw3046B-ms98-a-0024,85.833625,86.023625,but,I,sd,u-40-2
sw3046B-ms98-a-0024,86.023625,86.263625,here,I,sd,u-40-2
sw3046B-ms98-a-0024,86.263625,86.383625,we,I,sd,u-40-2
sw3046B-ms98-a-0024,86.383625,86.543625,eat,I,sd,u-40-2
sw3046B-ms98-a-0024,86.543625,86.613625,a,I,sd,u-40-2
sw3046B-ms98-a-0024,86.613625,86.833625,lot,I,sd,u-40-2
sw3046B-ms98-a-0024,86.833625,86.973625,of,I,sd,u-40-2
sw3046B-ms98-a-0024,87.143625,87.313625,like,I,sd,u-40-2
sw3046B-ms98-a-0024,87.313625,87.903625,Mexican,I,sd,u-40-2
sw3046B-ms98-a-0024,87.963625,88.533625,foods,I,sd,u-40-2
sw3046B-ms98-a-0024,88.643625,89.013625,and,B,sd,u-42-1
sw3046B-ms98-a-0024,89.013625,89.361875,um,I,sd,u-42-1
sw3046B-ms98-a-0024,89.836500,90.043625,up,I,sd,u-42-1
sw3046B-ms98-a-0024,90.043625,90.503625,there,I,sd,u-42-1
sw3046B-ms98-a-0024,90.503625,90.663625,there,I,sd,u-42-1
sw3046B-ms98-a-0024,90.663625,90.870000,was,I,sd,u-42-1
sw3046B-ms98-a-0024,91.152500,91.446500,no,I,sd,u-42-1
sw3046B-ms98-a-0024,91.582125,91.773625,no,I,sd,u-42-1
sw3046B-ms98-a-0024,91.773625,92.043625,place,I,sd,u-42-1
sw3046B-ms98-a-0024,92.043625,92.163625,that,I,sd,u-42-1
sw3046B-ms98-a-0024,92.163625,92.273625,we,I,sd,u-42-1
sw3046B-ms98-a-0024,92.273625,92.483625,went,I,sd,u-42-1
sw3046B-ms98-a-0024,92.483625,92.833625,tasted,I,sd,u-42-1
sw3046B-ms98-a-0024,92.833625,93.003625,like,I,sd,u-42-1
sw3046B-ms98-a-0024,93.003625,93.123625,real,I,sd,u-42-1
sw3046B-ms98-a-0024,93.123625,93.593625,Mexican,I,sd,u-42-1
sw3046B-ms98-a-0024,93.593625,93.803625,food,I,sd,u-42-1
sw3046B-ms98-a-0024,93.803625,93.903625,to,I,sd,u-42-1
sw3046B-ms98-a-0024,93.903625,94.213625,me,I,sd,u-42-1
sw3046B-ms98-a-0025,94.779250,95.119250,yeah,B,ny,u-44-1
sw3046B-ms98-a-0025,95.119250,95.339250,it,B,sd^e,u-44-2
sw3046B-ms98-a-0025,95.339250,95.679250,tasted,I,sd^e,u-44-2
sw3046B-ms98-a-0025,95.679250,95.919250,like,I,sd^e,u-44-2
sw3046B-ms98-a-0025,95.919250,96.039250,they,I,sd^e,u-44-2
sw3046B-ms98-a-0025,96.039250,96.129250,were,I,sd^e,u-44-2
sw3046B-ms98-a-0025,96.129250,96.469250,trying,I,sd^e,u-44-2
sw3046B-ms98-a-0025,96.469250,96.629250,to,I,sd^e,u-44-2
sw3046B-ms98-a-0025,96.629250,96.809250,do,I,sd^e,u-44-2
sw3046B-ms98-a-0025,96.809250,96.869250,the,I,sd^e,u-44-2
sw3046B-ms98-a-0025,96.869250,97.089250,best,I,sd^e,u-44-2
sw3046B-ms98-a-0025,97.089250,97.179250,they,I,sd^e,u-44-2
sw3046B-ms98-a-0025,97.179250,97.469250,could,I,sd^e,u-44-2
sw3046B-ms98-a-0025,97.469250,97.609250,but,B,sd,u-44-3
sw3046B-ms98-a-0025,97.609250,97.709250,it,I,sd,u-44-3
sw3046B-ms98-a-0025,97.709250,97.879250,just,I,sd,u-44-3
sw3046B-ms98-a-0025,97.879250,98.099250,didn't,B,+,u-46-1
sw3046B-ms98-a-0025,98.099250,98.359250,taste,I,+,u-46-1
sw3046B-ms98-a-0025,98.359250,98.755500,right,I,+,u-46-1
sw3046B-ms98-a-0026,100.188500,100.643375,yeah,B,b,u-48-1
sw3046B-ms98-a-0026,100.643375,101.004375,[laughter],O,,
sw3046B-ms98-a-0027,101.551375,101.841375,and,B,sd,u-50-1
sw3046B-ms98-a-0027,101.841375,102.079250,uh,I,sd,u-50-1
sw3046B-ms98-a-0027,102.263875,102.481375,down,I,sd,u-50-1
sw3046B-ms98-a-0027,102.481375,102.695000,here,I,sd,u-50-1
sw3046B-ms98-a-0027,102.695000,102.985000,we,I,sd,u-50-1
sw3046B-ms98-a-0027,102.985000,103.191375,eat,I,sd,u-50-1
sw3046B-ms98-a-0027,103.285500,103.394750,a,I,sd,u-50-1
sw3046B-ms98-a-0027,103.394750,103.551375,lot,I,sd,u-50-1
sw3046B-ms98-a-0027,103.551375,103.691375,more,I,sd,u-50-1
sw3046B-ms98-a-0027,103.691375,104.011375,fried,I,sd,u-50-1
sw3046B-ms98-a-0027,104.011375,104.281375,foods,I,sd,u-50-1
sw3046B-ms98-a-0027,104.281375,104.426375,i,I,sd,u-50-1
sw3046B-ms98-a-0027,104.426375,104.746500,think,I,sd,u-50-1
sw3046B-ms98-a-0027,104.971375,105.121375,like,B,sd,u-52-1
sw3046B-ms98-a-0027,105.121375,105.431375,chicken,I,sd,u-52-1
sw3046B-ms98-a-0027,105.431375,105.651375,fried,I,sd,u-52-1
sw3046B-ms98-a-0027,105.651375,106.251375,steak,I,sd,u-52-1
sw3046B-ms98-a-0027,106.251375,106.371375,is,B,+,u-54-1
sw3046B-ms98-a-0027,106.371375,106.461375,a,I,+,u-54-1
sw3046B-ms98-a-0027,106.461375,106.621375,real,I,+,u-54-1
sw3046B-ms98-a-0027,106.621375,106.871375,big,I,+,u-54-1
sw3046B-ms98-a-0027,106.871375,107.261375,thing,I,+,u-54-1
sw3046B-ms98-a-0027,107.261375,107.491375,and,O,,
sw3046B-ms98-a-0027,108.041375,108.211375,up,B,sd,u-56-1
sw3046B-ms98-a-0027,108.211375,108.595875,there,I,sd,u-56-1
sw3046B-ms98-a-0027,108.761625,109.031375,uh,I,sd,u-56-1
sw3046B-ms98-a-0027,109.031375,109.111375,it,I,sd,u-56-1
sw3046B-ms98-a-0027,109.111375,109.241375,was,I,sd,u-56-1
sw3046B-ms98-a-0027,109.241375,109.601375,hardly,I,sd,u-56-1
sw3046B-ms98-a-0027,109.601375,109.801375,ever,I,sd,u-56-1
sw3046B-ms98-a-0027,109.801375,110.021375,heard,I,sd,u-56-1
sw3046B-ms98-a-0027,110.021375,110.391375,of,I,sd,u-56-1
sw3046B-ms98-a-0027,110.391375,110.621375,and,B,sd,u-56-2
sw3046B-ms98-a-0028,111.179375,111.319375,we,B,+,u-58-1
sw3046B-ms98-a-0028,111.319375,111.619375,drink,I,+,u-58-1
sw3046B-ms98-a-0028,111.619375,111.949375,ice,I,+,u-58-1
sw3046B-ms98-a-0028,111.949375,112.249375,tea,I,+,u-58-1
sw3046B-ms98-a-0028,112.249375,112.409375,with,I,+,u-58-1
sw3046B-ms98-a-0028,112.409375,112.669375,every,I,+,u-58-1
sw3046B-ms98-a-0028,112.669375,113.129375,meal,I,+,u-58-1
sw3046B-ms98-a-0028,113.129375,113.302375,and,B,sd,u-60-1
sw3046B-ms98-a-0029,114.170375,114.350375,up,I,sd,u-60-1
sw3046B-ms98-a-0029,114.350375,114.630375,there,I,sd,u-60-1
sw3046B-ms98-a-0029,114.630375,114.860375,hardly,I,sd,u-60-1
sw3046B-ms98-a-0029,114.860375,115.120375,anyone,I,sd,u-60-1
sw3046B-ms98-a-0029,115.120375,115.350375,drank,I,sd,u-60-1
sw3046B-ms98-a-0029,115.350375,115.590375,ice,I,sd,u-60-1
sw3046B-ms98-a-0029,115.590375,115.790375,tea,I,sd,u-60-1
sw3046B-ms98-a-0029,115.790375,116.369000,[laughter],O,,
sw3046B-ms98-a-0030,117.879125,118.269125,really,B,bh,u-62-1
sw3046B-ms98-a-0032,120.366000,120.886000,yeah,B,b,u-64-1
sw3046B-ms98-a-0034,123.309375,123.799375,right,B,b,u-66-1
sw3046B-ms98-a-0034,124.289375,124.479375,yeah,B,aa,u-68-1
sw3046B-ms98-a-0034,124.479375,124.549375,it,B,sv,u-68-2
sw3046B-ms98-a-0034,124.549375,124.759375,never,I,sv,u-68-2
sw3046B-ms98-a-0034,124.759375,125.029375,gets,I,sv,u-68-2
sw3046B-ms98-a-0034,125.029375,125.209375,real,I,sv,u-68-2
sw3046B-ms98-a-0034,125.209375,125.679375,cold,I,sv,u-68-2
sw3046B-ms98-a-0034,125.679375,126.059375,so,O,,
sw3046B-ms98-a-0035,127.008375,127.338375,yeah,B,b,u-70-1
sw3046B-ms98-a-0035,127.338375,127.698375,but,B,sd,u-70-2
sw3046B-ms98-a-0035,127.698375,127.886000,when,I,sd,u-70-2
sw3046B-ms98-a-0035,128.115750,128.268375,when,I,sd,u-70-2
sw3046B-ms98-a-0035,128.268375,128.388375,we,I,sd,u-70-2
sw3046B-ms98-a-0035,128.388375,128.598375,have,I,sd,u-70-2
sw3046B-ms98-a-0035,128.598375,128.758375,a,I,sd,u-70-2
sw3046B-ms98-a-0035,128.758375,128.958375,dinner,I,sd,u-70-2
sw3046B-ms98-a-0035,128.958375,129.198375,party,I,sd,u-70-2
sw3046B-ms98-a-0035,129.198375,129.408375,around,I,sd,u-70-2
sw3046B-ms98-a-0035,129.408375,129.528375,here,I,sd,u-70-2
sw3046B-ms98-a-0035,129.528375,129.568375,i,I,sd,u-70-2
sw3046B-ms98-a-0035,129.568375,129.778375,think,I,sd,u-70-2
sw3046B-ms98-a-0035,129.778375,129.828375,a,I,sd,u-70-2
sw3046B-ms98-a-0035,129.828375,130.018375,lot,I,sd,u-70-2
sw3046B-ms98-a-0035,130.018375,130.078375,of,I,sd,u-70-2
sw3046B-ms98-a-0035,130.078375,130.148375,the,I,sd,u-70-2
sw3046B-ms98-a-0035,130.148375,130.475375,time,I,sd,u-70-2
sw3046B-ms98-a-0035,130.475375,130.608375,a,I,sd,u-70-2
