sw2018B-ms98-a-0001,0.296250,0.760000,hello,B,fp,u-1-1
sw2018B-ms98-a-0002,1.906250,2.578750,hi,B,fp,u-3-1
sw2018B-ms98-a-0003,3.732375,3.982375,hi,B,fp,u-5-1
sw2018B-ms98-a-0003,3.982375,4.152375,this,B,fp,u-5-3
sw2018B-ms98-a-0003,4.152375,4.312375,is,I,fp,u-5-3
sw2018B-ms98-a-0003,4.312375,4.800875,Lisa,I,fp,u-5-3
sw2018B-ms98-a-0005,9.276625,9.997250,um-hum,B,b,u-7-1
sw2018B-ms98-a-0006,11.641250,11.792875,yeah,B,b,u-7-2
sw2018B-ms98-a-0006,11.792875,11.872875,i,B,sd^t,u-7-3
sw2018B-ms98-a-0006,11.872875,12.022875,got,I,sd^t,u-7-3
sw2018B-ms98-a-0006,12.022875,12.072875,a,I,sd^t,u-7-3
sw2018B-ms98-a-0006,12.072875,12.222875,call,I,sd^t,u-7-3
sw2018B-ms98-a-0006,12.222875,12.632875,yesterday,I,sd^t,u-7-3
sw2018B-ms98-a-0006,12.632875,12.912875,too,I,sd^t,u-7-3
sw2018B-ms98-a-0006,12.912875,13.142875,this,B,sd^t,u-7-4
sw2018B-ms98-a-0006,13.142875,13.242875,is,I,sd^t,u-7-4
sw2018B-ms98-a-0006,13.242875,13.272875,a,I,sd^t,u-7-4
sw2018B-ms98-a-0006,13.272875,13.572875,different,I,sd^t,u-7-4
sw2018B-ms98-a-0006,13.572875,14.012875,subject,I,sd^t,u-7-4
sw2018B-ms98-a-0006,14.012875,14.292875,though,I,sd^t,u-7-4
sw2018B-ms98-a-0008,17.375250,18.094875,um-hum,B,b,u-9-1
sw2018B-ms98-a-0009,19.981000,20.451000,yeah,B,ny,u-11-1
sw2018B-ms98-a-0009,20.451000,21.386625,[laughter],O,,
sw2018B-ms98-a-0010,22.656375,22.776375,-[i]t's,O,,
sw2018B-ms98-a-0010,22.776375,23.026375,kind,B,sv,u-13-1
sw2018B-ms98-a-0010,23.026375,23.126375,of,I,sv,u-13-1
sw2018B-ms98-a-0010,23.126375,23.236375,an,I,sv,u-13-1
sw2018B-ms98-a-0010,23.236375,23.556375,easy,I,sv,u-13-1
sw2018B-ms98-a-0010,23.556375,23.776375,thing,I,sv,u-13-1
sw2018B-ms98-a-0010,23.776375,23.876375,to,I,sv,u-13-1
sw2018B-ms98-a-0010,23.876375,24.186375,talk,I,sv,u-13-1
sw2018B-ms98-a-0010,24.186375,24.726125,about,I,sv,u-13-1
sw2018B-ms98-a-0012,29.530875,30.118375,yeah,B,ny,u-15-1
sw2018B-ms98-a-0013,31.223375,31.740125,um,I,ny,u-15-1
sw2018B-ms98-a-0013,32.352125,32.514125,i,B,ad^t,u-15-2
sw2018B-ms98-a-0013,32.514125,32.743375,think,I,ad^t,u-15-2
sw2018B-ms98-a-0013,32.743375,32.913375,you,I,ad^t,u-15-2
sw2018B-ms98-a-0013,32.913375,33.033375,have,I,ad^t,u-15-2
