sw2566A-ms98-a-0003,3.090875,3.393625,no,B,nn,u-2-1
sw2566A-ms98-a-0003,3.393625,3.496125,i,B,sd^e,u-2-2
sw2566A-ms98-a-0003,3.496125,3.877375,don't,I,sd^e,u-2-2
sw2566A-ms98-a-0003,4.176375,5.220875,[laughter],O,,
sw2566A-ms98-a-0004,5.519000,5.709625,do,B,qy,u-6-1
sw2566A-ms98-a-0004,5.709625,6.086000,you,I,qy,u-6-1
sw2566A-ms98-a-0006,8.490000,8.940000,uh-huh,B,b,u-8-1
sw2566A-ms98-a-0006,8.940000,9.080000,did,B,qy,u-8-2
sw2566A-ms98-a-0006,9.080000,9.140000,you,I,qy,u-8-2
sw2566A-ms98-a-0006,9.140000,9.330000,ever,I,qy,u-8-2
sw2566A-ms98-a-0006,9.330000,9.500000,have,I,qy,u-8-2
sw2566A-ms98-a-0006,9.500000,9.580000,her,I,qy,u-8-2
sw2566A-ms98-a-0006,9.580000,9.680000,in,I,qy,u-8-2
sw2566A-ms98-a-0006,9.680000,9.980000,child,I,qy,u-8-2
sw2566A-ms98-a-0006,9.980000,10.280000,care,I,qy,u-8-2
sw2566A-ms98-a-0008,18.105750,18.492375,uh-huh,B,b,u-10-1
sw2566A-ms98-a-0010,26.291875,26.401875,and,B,qh,u-12-1
sw2566A-ms98-a-0010,26.401875,26.491875,how,I,qh,u-12-1
sw2566A-ms98-a-0010,26.491875,26.651875,did,I,qh,u-12-1
sw2566A-ms98-a-0010,26.651875,26.751875,you,I,qh,u-12-1
sw2566A-ms98-a-0010,26.751875,27.073375,choose,I,qh,u-12-1
sw2566A-ms98-a-0010,27.073375,27.259125,that,I,qh,u-12-1
sw2566A-ms98-a-0010,27.259125,27.671875,sitter,I,qh,u-12-1
sw2566A-ms98-a-0012,36.696875,37.196875,yeah,B,b,u-14-1
sw2566A-ms98-a-0014,39.898625,40.482000,right,B,b,u-16-1
sw2566A-ms98-a-0016,44.020125,44.380125,yeah,B,b,u-18-1
sw2566A-ms98-a-0018,47.327375,47.933625,really,B,bh,u-20-1
sw2566A-ms98-a-0019,49.211750,49.291625,it's,B,sv,u-22-1
sw2566A-ms98-a-0019,49.291625,49.433375,hard,I,sv,u-22-1
sw2566A-ms98-a-0019,49.433375,49.503375,to,I,sv,u-22-1
sw2566A-ms98-a-0019,49.503375,49.773375,find,I,sv,u-22-1
sw2566A-ms98-a-0019,49.773375,50.043375,people,I,sv,u-22-1
sw2566A-ms98-a-0019,50.043375,50.233375,like,I,sv,u-22-1
sw2566A-ms98-a-0019,50.233375,50.513375,that,I,sv,u-22-1
sw2566A-ms98-a-0021,56.529500,56.804500,uh-huh,B,b,u-24-1
sw2566A-ms98-a-0023,65.675750,65.895250,oh,B,b,u-26-1
sw2566A-ms98-a-0023,65.895250,66.288875,yeah,I,b,u-26-1
sw2566A-ms98-a-0024,67.333250,67.443250,well,B,ba,u-28-1
sw2566A-ms98-a-0024,67.443250,67.683250,that's,I,ba,u-28-1
sw2566A-ms98-a-0024,67.683250,68.201375,neat,I,ba,u-28-1
sw2566A-ms98-a-0026,78.229000,78.937625,yeah,B,b,u-30-1
sw2566A-ms98-a-0026,79.397125,79.549000,do,B,qy,u-32-1
sw2566A-ms98-a-0026,79.549000,79.729000,they,I,qy,u-32-1
sw2566A-ms98-a-0026,79.729000,80.039000,have,I,qy,u-32-1
sw2566A-ms98-a-0026,80.039000,80.509000,classes,I,qy,u-32-1
sw2566A-ms98-a-0026,80.509000,80.639000,for,I,qy,u-32-1
sw2566A-ms98-a-0026,80.639000,80.819000,them,I,qy,u-32-1
sw2566A-ms98-a-0026,80.819000,80.999000,during,I,qy,u-32-1
sw2566A-ms98-a-0026,80.999000,81.069000,the,I,qy,u-32-1
sw2566A-ms98-a-0026,81.069000,81.379000,summer,I,qy,u-32-1
sw2566A-ms98-a-0026,81.379000,81.709000,too,I,qy,u-32-1
sw2566A-ms98-a-0028,84.743375,85.039000,huh,B,b,u-34-1
sw2566A-ms98-a-0030,88.141375,88.648500,yeah,B,b,u-36-1
sw2566A-ms98-a-0032,98.106875,98.246875,what,B,qw,u-38-1
sw2566A-ms98-a-0032,98.246875,98.446875,kind,I,qw,u-38-1
sw2566A-ms98-a-0032,98.446875,98.516875,of,I,qw,u-38-1
sw2566A-ms98-a-0032,98.516875,98.976875,questions,I,qw,u-38-1
sw2566A-ms98-a-0032,98.976875,99.116875,did,I,qw,u-38-1
sw2566A-ms98-a-0032,99.116875,99.246875,you,I,qw,u-38-1
sw2566A-ms98-a-0032,99.246875,99.516875,ask,I,qw,u-38-1
sw2566A-ms98-a-0032,99.516875,99.786875,about,I,qw,u-38-1
sw2566A-ms98-a-0032,99.786875,99.916875,that,I,qw,u-38-1
sw2566A-ms98-a-0032,99.916875,100.286875,private,I,qw,u-38-1
sw2566A-ms98-a-0032,100.366875,100.696125,sitter,I,qw,u-38-1
