sw3447B-ms98-a-0002,3.118625,3.475625,uh-huh,B,b,u-2-1
sw3447B-ms98-a-0006,9.878250,10.281500,uh-huh,B,b,u-4-1
sw3447B-ms98-a-0008,13.915500,14.225875,um-hum,B,b,u-6-1
sw3447B-ms98-a-0009,15.968750,16.660625,uh-huh,B,b,u-8-1
sw3447B-ms98-a-0011,20.700625,21.121625,yeah,B,b,u-10-1
sw3447B-ms98-a-0013,25.845000,26.236500,uh-huh,B,b,u-12-1
sw3447B-ms98-a-0013,27.059875,27.433500,uh-huh,B,b,u-14-1
sw3447B-ms98-a-0013,27.832125,28.434000,[laughter],O,,
sw3447B-ms98-a-0014,30.706625,31.017750,well,B,^h,u-18-1
sw3447B-ms98-a-0014,31.017750,31.159000,i'm,I,^h,u-18-1
sw3447B-ms98-a-0014,31.159000,31.298375,a,I,^h,u-18-1
sw3447B-ms98-a-0014,31.298375,31.907750,drafter,I,^h,u-18-1
sw3447B-ms98-a-0014,31.907750,32.157750,so,B,sd,u-18-2
sw3447B-ms98-a-0014,32.157750,32.317750,i,I,sd,u-18-2
sw3447B-ms98-a-0014,32.317750,32.607750,just,I,sd,u-18-2
sw3447B-ms98-a-0014,32.607750,32.827750,wear,I,sd,u-18-2
sw3447B-ms98-a-0014,32.827750,33.137750,blue,I,sd,u-18-2
sw3447B-ms98-a-0014,33.137750,33.903250,jeans,I,sd,u-18-2
sw3447B-ms98-a-0014,34.016250,34.137750,and,I,sd,u-18-2
sw3447B-ms98-a-0014,34.137750,34.487750,tennis,I,sd,u-18-2
sw3447B-ms98-a-0014,34.487750,35.087750,shoes,I,sd,u-18-2
sw3447B-ms98-a-0014,35.087750,35.204375,and,B,sd,u-18-3
sw3447B-ms98-a-0014,35.204375,35.297750,i,I,sd,u-18-3
sw3447B-ms98-a-0014,35.297750,35.476500,have,I,sd,u-18-3
sw3447B-ms98-a-0014,35.476500,35.548125,a,I,sd,u-18-3
sw3447B-ms98-a-0014,35.548125,36.127750,sweatshirt,I,sd,u-18-3
