sw2835B-ms98-a-0003,6.047750,6.642500,yeah,B,b,u-2-1
sw2835B-ms98-a-0005,25.999125,26.499125,really,B,bh,u-4-1
sw2835B-ms98-a-0007,28.451000,28.853250,yeah,B,b,u-6-1
sw2835B-ms98-a-0009,37.576750,37.836750,oh,B,aa,u-8-1
sw2835B-ms98-a-0009,37.836750,37.916750,i,I,aa,u-8-1
sw2835B-ms98-a-0009,37.916750,38.256750,know,I,aa,u-8-1
sw2835B-ms98-a-0009,38.256750,38.528125,it,I,aa,u-8-1
sw2835B-ms98-a-0011,46.034000,46.389750,yeah,B,b,u-10-1
sw2835B-ms98-a-0011,46.389750,46.589750,i've,O,,
sw2835B-ms98-a-0011,46.589750,46.749750,i've,B,sd,u-10-2
sw2835B-ms98-a-0011,46.749750,46.979750,seen,I,sd,u-10-2
sw2835B-ms98-a-0011,46.979750,47.259750,that,I,sd,u-10-2
sw2835B-ms98-a-0011,47.259750,47.519750,just,I,sd,u-10-2
sw2835B-ms98-a-0011,47.519750,47.599750,in,I,sd,u-10-2
sw2835B-ms98-a-0011,47.599750,47.659750,the,I,sd,u-10-2
sw2835B-ms98-a-0011,47.659750,48.324625,last,I,sd,u-10-2
sw2835B-ms98-a-0011,48.705125,49.169750,um,I,sd,u-10-2
sw2835B-ms98-a-0011,49.969750,50.509750,even,I,sd,u-10-2
sw2835B-ms98-a-0011,50.509750,50.859750,five,I,sd,u-10-2
sw2835B-ms98-a-0011,50.859750,51.199750,years,I,sd,u-10-2
sw2835B-ms98-a-0011,51.199750,51.299750,how,I,sd,u-10-2
sw2835B-ms98-a-0011,51.299750,51.499750,much,I,sd,u-10-2
sw2835B-ms98-a-0011,51.499750,51.906375,they've,I,sd,u-10-2
sw2835B-ms98-a-0011,51.906375,51.988500,in[creased]-,I,sd,u-10-2
sw2835B-ms98-a-0011,52.237125,52.439750,uh,I,sd,u-10-2
sw2835B-ms98-a-0011,52.439750,53.049750,increased,I,sd,u-10-2
sw2835B-ms98-a-0011,53.049750,53.179750,in,I,sd,u-10-2
sw2835B-ms98-a-0011,53.179750,53.751750,use,I,sd,u-10-2
sw2835B-ms98-a-0011,54.236125,54.399750,or,I,sd,u-10-2
sw2835B-ms98-a-0011,54.399750,55.169750,probably,I,sd,u-10-2
sw2835B-ms98-a-0011,55.169750,55.309750,eight,I,sd,u-10-2
sw2835B-ms98-a-0011,55.309750,55.799750,years,I,sd,u-10-2
sw2835B-ms98-a-0011,56.189750,56.289750,when,B,sd,u-10-3
sw2835B-ms98-a-0011,56.289750,56.319750,i,I,sd,u-10-3
sw2835B-ms98-a-0011,56.319750,56.439750,was,I,sd,u-10-3
sw2835B-ms98-a-0011,56.439750,56.479750,a,I,sd,u-10-3
sw2835B-ms98-a-0011,56.479750,56.879750,freshman,I,sd,u-10-3
sw2835B-ms98-a-0011,56.879750,56.959750,in,I,sd,u-10-3
sw2835B-ms98-a-0011,56.959750,57.544875,college,I,sd,u-10-3
sw2835B-ms98-a-0012,58.167000,58.593125,uh,B,+,u-12-1
sw2835B-ms98-a-0012,59.030000,59.237000,my,I,+,u-12-1
sw2835B-ms98-a-0012,59.237000,59.567000,degree,I,+,u-12-1
sw2835B-ms98-a-0012,59.567000,59.697000,was,I,+,u-12-1
sw2835B-ms98-a-0012,59.697000,59.817000,in,I,+,u-12-1
sw2835B-ms98-a-0012,59.817000,60.567000,computer,I,+,u-12-1
sw2835B-ms98-a-0013,61.426875,61.650750,uh,I,+,u-12-1
sw2835B-ms98-a-0013,61.650750,62.300750,technology,I,+,u-12-1
sw2835B-ms98-a-0013,62.300750,62.829125,originally,I,+,u-12-1
sw2835B-ms98-a-0013,63.311250,63.820750,and,B,%,u-12-2
sw2835B-ms98-a-0013,63.820750,63.910750,it,I,%,u-12-2
sw2835B-ms98-a-0013,63.910750,64.190750,seemed,I,%,u-12-2
sw2835B-ms98-a-0013,64.190750,64.756375,like,I,%,u-12-2
sw2835B-ms98-a-0013,65.370375,65.490750,it,I,%,u-12-2
sw2835B-ms98-a-0013,65.490750,65.640750,would,I,%,u-12-2
sw2835B-ms98-a-0013,65.640750,65.780750,they,B,sd,u-12-3
sw2835B-ms98-a-0013,65.780750,65.900750,were,I,sd,u-12-3
sw2835B-ms98-a-0013,65.900750,66.257250,just,I,sd,u-12-3
sw2835B-ms98-a-0013,66.408000,66.690750,getting,I,sd,u-12-3
sw2835B-ms98-a-0013,66.690750,66.970750,out,I,sd,u-12-3
sw2835B-ms98-a-0013,66.970750,67.210750,with,I,sd,u-12-3
sw2835B-ms98-a-0013,67.210750,67.491000,the,I,sd,u-12-3
sw2835B-ms98-a-0013,67.694375,67.807750,you,I,sd,u-12-3
sw2835B-ms98-a-0013,67.807750,68.082500,know,I,sd,u-12-3
sw2835B-ms98-a-0013,68.082500,68.233125,the,I,sd,u-12-3
sw2835B-ms98-a-0013,68.233125,68.820750,disks,I,sd,u-12-3
sw2835B-ms98-a-0013,68.820750,68.960750,and,I,sd,u-12-3
sw2835B-ms98-a-0013,68.960750,69.140750,all,I,sd,u-12-3
sw2835B-ms98-a-0013,69.140750,69.560750,that,I,sd,u-12-3
sw2835B-ms98-a-0013,69.560750,69.730750,getting,I,sd,u-12-3
sw2835B-ms98-a-0013,69.730750,69.920750,away,I,sd,u-12-3
sw2835B-ms98-a-0013,69.920750,70.040750,with,I,sd,u-12-3
sw2835B-ms98-a-0013,70.040750,70.100750,the,I,sd,u-12-3
sw2835B-ms98-a-0013,70.100750,70.860750,cards,I,sd,u-12-3
sw2835B-ms98-a-0014,71.363625,71.427875,you,B,+,u-14-1
sw2835B-ms98-a-0014,71.427875,71.527875,know,I,+,u-14-1
sw2835B-ms98-a-0014,71.527875,71.777875,doing,I,+,u-14-1
sw2835B-ms98-a-0014,71.777875,71.957875,away,I,+,u-14-1
sw2835B-ms98-a-0014,71.957875,72.057875,with,I,+,u-14-1
sw2835B-ms98-a-0014,72.057875,72.209250,the,I,+,u-14-1
sw2835B-ms98-a-0014,72.442875,72.537875,the,I,+,u-14-1
sw2835B-ms98-a-0014,72.537875,73.097875,programming,I,+,u-14-1
sw2835B-ms98-a-0014,73.097875,73.652750,cards,I,+,u-14-1
sw2835B-ms98-a-0014,74.266250,74.657875,and,B,%,u-16-1
sw2835B-ms98-a-0014,74.657875,74.987875,uh,I,%,u-16-1
sw2835B-ms98-a-0016,90.965875,91.135875,i,B,aa,u-18-1
sw2835B-ms98-a-0016,91.135875,91.555875,know,I,aa,u-18-1
sw2835B-ms98-a-0017,93.107125,93.567125,no,B,aa,u-20-1
sw2835B-ms98-a-0019,96.997750,97.427750,um,B,sv,u-22-1
sw2835B-ms98-a-0019,97.427750,97.487750,i,I,sv,u-22-1
sw2835B-ms98-a-0019,97.487750,97.747750,think,I,sv,u-22-1
sw2835B-ms98-a-0019,97.747750,98.117750,TV,I,sv,u-22-1
sw2835B-ms98-a-0019,98.117750,98.387750,has,I,sv,u-22-1
sw2835B-ms98-a-0019,98.387750,98.447750,a,I,sv,u-22-1
sw2835B-ms98-a-0019,98.447750,98.707750,lot,I,sv,u-22-1
sw2835B-ms98-a-0019,98.707750,98.797750,to,I,sv,u-22-1
sw2835B-ms98-a-0019,98.797750,98.922625,do,I,sv,u-22-1
