sw4050B-ms98-a-0001,0.040000,0.236875,-[he]llo,O,,
sw4050B-ms98-a-0003,5.871125,6.111125,that's,B,bd,u-3-1
sw4050B-ms98-a-0003,6.111125,6.481125,okay,I,bd,u-3-1
sw4050B-ms98-a-0003,6.481125,6.661125,i'm,B,sd,u-3-2
sw4050B-ms98-a-0003,6.661125,6.911125,Bill,I,sd,u-3-2
sw4050B-ms98-a-0003,6.911125,7.171125,from,I,sd,u-3-2
sw4050B-ms98-a-0003,7.171125,7.761125,Raleigh,I,sd,u-3-2
sw4050B-ms98-a-0005,11.354000,11.624000,oh,B,sd,u-5-1
sw4050B-ms98-a-0005,11.624000,11.784000,so,I,sd,u-5-1
sw4050B-ms98-a-0005,11.784000,12.084000,another,I,sd,u-5-1
sw4050B-ms98-a-0005,12.084000,12.254000,one,I,sd,u-5-1
sw4050B-ms98-a-0005,12.254000,12.614000,from,I,sd,u-5-1
sw4050B-ms98-a-0006,13.824750,13.954750,a,I,sd,u-5-1
sw4050B-ms98-a-0006,13.954750,14.294750,different,I,sd,u-5-1
sw4050B-ms98-a-0006,14.294750,14.544750,state,I,sd,u-5-1
sw4050B-ms98-a-0006,14.544750,14.924750,besides,I,sd,u-5-1
sw4050B-ms98-a-0006,14.924750,15.504750,Texas,I,sd,u-5-1
sw4050B-ms98-a-0006,15.504750,15.765750,[laughter],O,,
sw4050B-ms98-a-0008,20.932125,21.442125,right,B,b,u-7-1
sw4050B-ms98-a-0010,25.669125,26.213500,uh,B,ny,u-9-1
sw4050B-ms98-a-0011,26.954375,27.424375,yes,I,ny,u-9-1
sw4050B-ms98-a-0011,27.424375,27.544375,and,B,nn,u-9-2
sw4050B-ms98-a-0011,27.544375,27.664375,no,I,nn,u-9-2
sw4050B-ms98-a-0011,27.664375,27.754375,it,B,sd^e,u-9-3
sw4050B-ms98-a-0011,27.754375,28.034375,wasn't,I,sd^e,u-9-3
sw4050B-ms98-a-0011,28.034375,28.294375,really,I,sd^e,u-9-3
sw4050B-ms98-a-0011,28.294375,28.344375,a,I,sd^e,u-9-3
sw4050B-ms98-a-0011,28.344375,28.644375,fa[mily]-,I,sd^e,u-9-3
sw4050B-ms98-a-0011,28.644375,28.684375,a,I,sd^e,u-9-3
sw4050B-ms98-a-0011,28.684375,29.244375,planning,I,sd^e,u-9-3
sw4050B-ms98-a-0011,29.244375,29.444375,one,I,sd^e,u-9-3
sw4050B-ms98-a-0011,29.444375,29.564375,but,B,sd,u-9-4
sw4050B-ms98-a-0011,29.564375,29.654375,it,I,sd,u-9-4
