sw2652A-ms98-a-0002,1.008750,1.558750,okay,B,%,u-1-1
sw2652A-ms98-a-0003,2.637875,2.837875,guess,B,sd^t,u-1-2
sw2652A-ms98-a-0003,2.837875,2.927875,we,I,sd^t,u-1-2
sw2652A-ms98-a-0003,2.927875,3.087875,can,I,sd^t,u-1-2
sw2652A-ms98-a-0003,3.087875,3.197875,go,I,sd^t,u-1-2
sw2652A-ms98-a-0003,3.197875,3.603625,ahead,I,sd^t,u-1-2
sw2652A-ms98-a-0003,3.603625,4.016000,um,B,sd,u-1-3
sw2652A-ms98-a-0003,4.637500,4.892625,well,I,sd,u-1-3
sw2652A-ms98-a-0003,4.892625,4.990500,i,I,sd,u-1-3
sw2652A-ms98-a-0003,4.990500,5.197875,guess,I,sd,u-1-3
sw2652A-ms98-a-0003,5.197875,5.277875,you,I,sd,u-1-3
sw2652A-ms98-a-0003,5.277875,5.561875,know,I,sd,u-1-3
sw2652A-ms98-a-0003,5.814125,5.927875,it's,I,sd,u-1-3
sw2652A-ms98-a-0003,5.927875,6.047875,you,I,sd,u-1-3
sw2652A-ms98-a-0003,6.047875,6.218500,know,I,sd,u-1-3
sw2652A-ms98-a-0003,6.218500,6.397875,since,B,sd,u-1-4
sw2652A-ms98-a-0003,6.397875,6.617875,living,I,sd,u-1-4
sw2652A-ms98-a-0003,6.617875,6.727875,in,I,sd,u-1-4
sw2652A-ms98-a-0003,6.727875,7.137875,Dallas,I,sd,u-1-4
sw2652A-ms98-a-0003,7.137875,7.287875,it's,I,sd,u-1-4
sw2652A-ms98-a-0003,7.287875,7.567875,always,I,sd,u-1-4
sw2652A-ms98-a-0003,7.567875,7.787875,so,I,sd,u-1-4
sw2652A-ms98-a-0003,7.787875,8.177875,hot,I,sd,u-1-4
sw2652A-ms98-a-0003,8.177875,8.387875,so,I,sd,u-1-4
sw2652A-ms98-a-0003,8.387875,8.527875,in,I,sd,u-1-4
sw2652A-ms98-a-0003,8.527875,8.627875,the,I,sd,u-1-4
sw2652A-ms98-a-0003,8.627875,9.227875,summertime,I,sd,u-1-4
sw2652A-ms98-a-0003,9.227875,9.337875,i,I,sd,u-1-4
sw2652A-ms98-a-0003,9.337875,10.287875,just,I,sd,u-1-4
sw2652A-ms98-a-0003,10.287875,10.367875,i,I,sd,u-1-4
sw2652A-ms98-a-0003,10.367875,10.557875,wear,I,sd,u-1-4
sw2652A-ms98-a-0003,10.557875,10.827875,lots,I,sd,u-1-4
sw2652A-ms98-a-0003,10.827875,10.897875,of,I,sd,u-1-4
sw2652A-ms98-a-0003,10.897875,11.517875,shorts,I,sd,u-1-4
sw2652A-ms98-a-0003,11.517875,11.779875,so,I,sd,u-1-4
sw2652A-ms98-a-0003,11.956875,12.127875,because,I,sd,u-1-4
sw2652A-ms98-a-0003,12.127875,12.227875,i,I,sd,u-1-4
sw2652A-ms98-a-0003,12.227875,12.437875,don't,I,sd,u-1-4
sw2652A-ms98-a-0003,12.437875,12.667875,work,I,sd,u-1-4
sw2652A-ms98-a-0003,12.667875,12.907875,during,I,sd,u-1-4
sw2652A-ms98-a-0003,12.907875,12.997875,the,I,sd,u-1-4
sw2652A-ms98-a-0003,12.997875,13.470375,day,I,sd,u-1-4
sw2652A-ms98-a-0004,14.528125,15.035500,so,B,qy,u-3-1
sw2652A-ms98-a-0004,15.287875,15.379000,do,I,qy,u-3-1
sw2652A-ms98-a-0004,15.379000,15.469000,you,I,qy,u-3-1
sw2652A-ms98-a-0004,15.469000,15.799000,work,I,qy,u-3-1
sw2652A-ms98-a-0005,17.019125,17.279125,oh,B,b,u-5-1
sw2652A-ms98-a-0007,22.872250,23.321500,uh-huh,B,b,u-7-1
