sw3182B-ms98-a-0002,1.656875,1.896875,yes,B,ny,u-2-1
sw3182B-ms98-a-0002,1.896875,2.068125,i,B,sd^e,u-2-2
sw3182B-ms98-a-0002,2.068125,2.546875,do,I,sd^e,u-2-2
sw3182B-ms98-a-0003,3.496500,4.016500,china,B,sd,u-4-1
sw3182B-ms98-a-0003,4.016500,5.068875,painting,I,sd,u-4-1
sw3182B-ms98-a-0003,5.068875,5.526500,and,I,sd,u-4-1
sw3182B-ms98-a-0003,5.526500,6.436625,ceramics,I,sd,u-4-1
sw3182B-ms98-a-0005,8.518125,8.698125,i,B,sd,u-6-1
sw3182B-ms98-a-0005,8.698125,9.258125,enjoy,I,sd,u-6-1
sw3182B-ms98-a-0005,9.258125,9.558125,it,I,sd,u-6-1
sw3182B-ms98-a-0005,9.558125,10.028125,um-hum,B,b,u-6-2
sw3182B-ms98-a-0007,12.477375,12.641125,i,B,sd,u-8-1
sw3182B-ms98-a-0007,12.641125,13.121750,enjoy,I,sd,u-8-1
sw3182B-ms98-a-0007,13.121750,13.279875,the,I,sd,u-8-1
sw3182B-ms98-a-0007,13.279875,13.837375,china,I,sd,u-8-1
sw3182B-ms98-a-0007,13.837375,14.387375,more,I,sd,u-8-1
sw3182B-ms98-a-0008,15.567875,15.757875,and,B,sd,u-10-1
sw3182B-ms98-a-0008,15.757875,15.977875,now,I,sd,u-10-1
sw3182B-ms98-a-0008,15.977875,16.177875,that,I,sd,u-10-1
sw3182B-ms98-a-0008,16.177875,16.267875,i,I,sd,u-10-1
sw3182B-ms98-a-0008,16.267875,16.577875,have,I,sd,u-10-1
sw3182B-ms98-a-0008,16.577875,16.717875,my,I,sd,u-10-1
sw3182B-ms98-a-0008,16.717875,17.659000,eyes,I,sd,u-10-1
sw3182B-ms98-a-0008,17.659000,17.962375,[laughter],I,sd,u-10-1
sw3182B-ms98-a-0008,17.962375,18.747875,corrected,I,sd,u-10-1
sw3182B-ms98-a-0008,18.747875,18.867875,to,I,sd,u-10-1
sw3182B-ms98-a-0008,18.867875,18.957875,the,I,sd,u-10-1
sw3182B-ms98-a-0008,18.957875,19.387875,point,I,sd,u-10-1
sw3182B-ms98-a-0008,19.387875,19.557875,that,I,sd,u-10-1
sw3182B-ms98-a-0008,19.557875,19.697875,i,I,sd,u-10-1
sw3182B-ms98-a-0008,19.697875,20.007875,can,I,sd,u-10-1
sw3182B-ms98-a-0008,20.007875,20.656250,see,I,sd,u-10-1
sw3182B-ms98-a-0008,21.221250,21.433125,the,I,sd,u-10-1
sw3182B-ms98-a-0008,21.433125,22.267875,delicate,I,sd,u-10-1
sw3182B-ms98-a-0008,22.267875,22.697875,part,I,sd,u-10-1
sw3182B-ms98-a-0008,22.697875,22.847875,of,I,sd,u-10-1
sw3182B-ms98-a-0008,22.847875,23.397875,china,I,sd,u-10-1
sw3182B-ms98-a-0008,23.397875,23.957875,painting,I,sd,u-10-1
sw3182B-ms98-a-0008,23.957875,24.097875,i,I,sd,u-10-1
sw3182B-ms98-a-0008,24.097875,24.367875,do,I,sd,u-10-1
sw3182B-ms98-a-0008,24.367875,24.867875,enjoy,I,sd,u-10-1
sw3182B-ms98-a-0008,24.867875,25.137625,it,I,sd,u-10-1
sw3182B-ms98-a-0010,28.399500,28.669875,my,B,sd,u-12-1
sw3182B-ms98-a-0010,28.669875,29.489500,husband,I,sd,u-12-1
sw3182B-ms98-a-0010,30.699500,30.949500,kept,I,sd,u-12-1
sw3182B-ms98-a-0010,30.949500,31.549500,begging,I,sd,u-12-1
sw3182B-ms98-a-0010,31.549500,31.749500,me,I,sd,u-12-1
sw3182B-ms98-a-0010,31.749500,31.889500,and,B,sd,u-12-2
sw3182B-ms98-a-0010,31.889500,32.109500,he's,I,sd,u-12-2
sw3182B-ms98-a-0010,32.109500,32.389500,been,I,sd,u-12-2
sw3182B-ms98-a-0010,32.389500,32.699500,dead,I,sd,u-12-2
sw3182B-ms98-a-0010,32.699500,32.949500,now,I,sd,u-12-2
sw3182B-ms98-a-0010,32.949500,33.139500,for,I,sd,u-12-2
sw3182B-ms98-a-0010,33.139500,33.579500,twenty,I,sd,u-12-2
sw3182B-ms98-a-0010,33.579500,34.049500,years,I,sd,u-12-2
sw3182B-ms98-a-0010,34.049500,34.179500,so,B,sd,u-12-3
sw3182B-ms98-a-0010,34.179500,34.409500,you,I,sd,u-12-3
sw3182B-ms98-a-0010,34.409500,35.099500,understand,I,sd,u-12-3
sw3182B-ms98-a-0010,35.099500,35.239500,that,I,sd,u-12-3
sw3182B-ms98-a-0010,35.239500,35.519500,this,I,sd,u-12-3
