sw3936A-ms98-a-0003,2.574500,2.764500,no,B,nn,u-2-1
sw3936A-ms98-a-0003,2.764500,2.904500,we,B,sd^e,u-2-2
sw3936A-ms98-a-0003,2.904500,3.204500,haven't,I,sd^e,u-2-2
sw3936A-ms98-a-0003,3.204500,3.394500,had,I,sd^e,u-2-2
sw3936A-ms98-a-0003,3.394500,3.584500,any,I,sd^e,u-2-2
sw3936A-ms98-a-0003,3.614500,4.194500,since,I,sd^e,u-2-2
sw3936A-ms98-a-0003,4.194500,4.804500,uh,I,sd^e,u-2-2
sw3936A-ms98-a-0003,5.114500,5.494500,oh,I,sd^e,u-2-2
sw3936A-ms98-a-0003,5.594500,5.954500,just,I,sd^e,u-2-2
sw3936A-ms98-a-0003,5.954500,6.384500,before,I,sd^e,u-2-2
sw3936A-ms98-a-0003,6.384500,7.034500,Christmas,I,sd^e,u-2-2
sw3936A-ms98-a-0004,7.890500,8.270500,and,B,sd,u-2-3
sw3936A-ms98-a-0004,8.270500,8.450500,uh,I,sd,u-2-3
sw3936A-ms98-a-0004,8.670500,8.750500,we,B,+,u-4-1
sw3936A-ms98-a-0004,8.750500,8.930500,got,I,+,u-4-1
sw3936A-ms98-a-0004,8.930500,8.960500,a,I,+,u-4-1
sw3936A-ms98-a-0004,8.960500,9.170500,lot,I,+,u-4-1
sw3936A-ms98-a-0004,9.190500,9.510500,before,I,+,u-4-1
sw3936A-ms98-a-0004,9.510500,10.000500,Christmas,I,+,u-4-1
sw3936A-ms98-a-0004,10.000500,10.070500,the,B,sd,u-4-2
sw3936A-ms98-a-0004,10.070500,10.320500,ski,I,sd,u-4-2
sw3936A-ms98-a-0004,10.320500,10.880500,resorts,I,sd,u-4-2
sw3936A-ms98-a-0004,10.880500,10.970500,were,I,sd,u-4-2
sw3936A-ms98-a-0004,10.970500,11.240500,really,I,sd,u-4-2
sw3936A-ms98-a-0004,11.240500,11.900500,excited,O,,
sw3936A-ms98-a-0004,11.900500,11.990500,and,B,%,u-4-3
sw3936A-ms98-a-0004,11.990500,12.040500,uh,I,%,u-4-3
sw3936A-ms98-a-0004,12.040500,12.280500,but,B,sd,u-4-4
sw3936A-ms98-a-0004,12.340500,12.680500,now,I,sd,u-4-4
sw3936A-ms98-a-0004,12.680500,12.730500,uh,I,sd,u-4-4
sw3936A-ms98-a-0005,13.980500,14.040500,we,I,sd,u-4-4
sw3936A-ms98-a-0005,14.040500,14.330500,have,I,sd,u-4-4
sw3936A-ms98-a-0005,14.400500,14.570500,we've,I,sd,u-4-4
sw3936A-ms98-a-0005,14.570500,14.790500,had,I,sd,u-4-4
sw3936A-ms98-a-0005,14.860500,15.330500,fog,I,sd,u-4-4
sw3936A-ms98-a-0005,15.330500,15.470500,for,I,sd,u-4-4
sw3936A-ms98-a-0005,15.500500,15.760500,about,I,sd,u-4-4
sw3936A-ms98-a-0005,15.790500,16.160500,forty,I,sd,u-4-4
sw3936A-ms98-a-0005,16.160500,16.550500,days,I,sd,u-4-4
sw3936A-ms98-a-0005,16.550500,16.660500,in,I,sd,u-4-4
sw3936A-ms98-a-0005,16.660500,16.700500,a,I,sd,u-4-4
sw3936A-ms98-a-0005,16.700500,17.140500,row,I,sd,u-4-4
sw3936A-ms98-a-0005,17.500500,17.690500,and,I,sd,u-4-4
sw3936A-ms98-a-0005,17.840500,18.270500,temperature,I,sd,u-4-4
sw3936A-ms98-a-0005,18.270500,18.920500,inversion,I,sd,u-4-4
sw3936A-ms98-a-0005,18.920500,19.140500,so,B,%,u-4-5
sw3936A-ms98-a-0005,19.600500,19.830500,but,B,nn^e,u-4-6
sw3936A-ms98-a-0005,19.830500,20.340500,no,I,nn^e,u-4-6
sw3936A-ms98-a-0005,20.340500,20.570500,uh,I,nn^e,u-4-6
sw3936A-ms98-a-0005,21.170500,21.310500,no,I,nn^e,u-4-6
sw3936A-ms98-a-0005,21.310500,21.810500,snow,I,nn^e,u-4-6
sw3936A-ms98-a-0006,23.119125,23.179125,the,B,sd,u-6-1
sw3936A-ms98-a-0006,23.179125,23.709125,snow's,I,sd,u-6-1
sw3936A-ms98-a-0006,23.709125,23.939125,all,I,sd,u-6-1
sw3936A-ms98-a-0006,23.939125,24.319125,melted,I,sd,u-6-1
sw3936A-ms98-a-0006,24.329125,24.589125,off,I,sd,u-6-1
sw3936A-ms98-a-0006,24.589125,24.649125,the,I,sd,u-6-1
sw3936A-ms98-a-0006,24.649125,25.069125,mountains,I,sd,u-6-1
sw3936A-ms98-a-0006,25.069125,25.099125,uh,I,sd,u-6-1
sw3936A-ms98-a-0010,37.456875,37.836875,uh-huh,B,b,u-10-1
sw3936A-ms98-a-0011,38.345250,38.455250,i,B,sv,u-10-2
sw3936A-ms98-a-0011,38.455250,38.715250,guess,I,sv,u-10-2
sw3936A-ms98-a-0011,38.715250,38.925250,there,I,sv,u-10-2
sw3936A-ms98-a-0011,38.925250,39.105250,there's,I,sv,u-10-2
sw3936A-ms98-a-0011,39.105250,39.425250,different,I,sv,u-10-2
sw3936A-ms98-a-0011,39.425250,39.695250,parts,I,sv,u-10-2
sw3936A-ms98-a-0011,39.695250,39.755250,of,I,sv,u-10-2
