sw2095B-ms98-a-0002,2.887750,3.097750,no,B,nn,u-2-1
sw2095B-ms98-a-0002,3.097750,3.247750,i've,B,sd^e,u-2-2
sw2095B-ms98-a-0002,3.247750,3.467750,only,I,sd^e,u-2-2
sw2095B-ms98-a-0002,3.467750,3.657750,been,I,sd^e,u-2-2
sw2095B-ms98-a-0002,3.657750,3.867750,here,I,sd^e,u-2-2
sw2095B-ms98-a-0002,3.867750,3.917750,a,I,sd^e,u-2-2
sw2095B-ms98-a-0002,3.917750,4.167750,couple,I,sd^e,u-2-2
sw2095B-ms98-a-0002,4.167750,4.247750,of,I,sd^e,u-2-2
sw2095B-ms98-a-0002,4.247750,4.752250,years,I,sd^e,u-2-2
sw2095B-ms98-a-0002,5.309625,5.737750,uh,B,sv,u-4-1
sw2095B-ms98-a-0002,5.737750,6.217750,but,I,sv,u-4-1
sw2095B-ms98-a-0002,6.217750,6.464875,uh,I,sv,u-4-1
sw2095B-ms98-a-0002,6.943250,7.027750,i-,I,sv,u-4-1
sw2095B-ms98-a-0002,7.027750,7.107750,i-,I,sv,u-4-1
sw2095B-ms98-a-0002,7.107750,7.387750,i've,I,sv,u-4-1
sw2095B-ms98-a-0002,7.387750,7.777750,noticed,I,sv,u-4-1
sw2095B-ms98-a-0002,7.777750,8.067750,that,I,sv,u-4-1
sw2095B-ms98-a-0002,8.067750,8.167750,uh,I,sv,u-4-1
sw2095B-ms98-a-0002,8.167750,8.427750,this,I,sv,u-4-1
sw2095B-ms98-a-0002,8.427750,8.747750,year,I,sv,u-4-1
sw2095B-ms98-a-0002,8.747750,8.847750,it,I,sv,u-4-1
sw2095B-ms98-a-0002,8.847750,9.197750,seems,I,sv,u-4-1
sw2095B-ms98-a-0002,9.197750,9.287750,to,I,sv,u-4-1
sw2095B-ms98-a-0002,9.287750,9.387750,have,I,sv,u-4-1
sw2095B-ms98-a-0002,9.387750,9.507750,been,I,sv,u-4-1
sw2095B-ms98-a-0002,9.507750,9.537750,a,I,sv,u-4-1
sw2095B-ms98-a-0002,9.537750,9.727750,lot,I,sv,u-4-1
sw2095B-ms98-a-0002,9.727750,10.057750,warmer,I,sv,u-4-1
sw2095B-ms98-a-0002,10.057750,10.197750,than,I,sv,u-4-1
sw2095B-ms98-a-0002,10.197750,10.277750,it,I,sv,u-4-1
sw2095B-ms98-a-0002,10.277750,10.457750,has,I,sv,u-4-1
sw2095B-ms98-a-0002,10.457750,10.527750,in,I,sv,u-4-1
sw2095B-ms98-a-0002,10.527750,10.587750,the,I,sv,u-4-1
sw2095B-ms98-a-0002,10.587750,11.077750,past,I,sv,u-4-1
sw2095B-ms98-a-0004,23.713250,24.054500,yeah,B,aa,u-6-1
sw2095B-ms98-a-0004,24.233500,24.463250,yeah,B,aa^r,u-6-2
sw2095B-ms98-a-0004,24.463250,24.663250,well,B,sd,u-6-3
sw2095B-ms98-a-0004,24.663250,24.693250,i,I,sd,u-6-3
sw2095B-ms98-a-0004,24.693250,25.053250,remember,I,sd,u-6-3
sw2095B-ms98-a-0004,25.053250,25.483250,last,I,sd,u-6-3
sw2095B-ms98-a-0004,25.483250,25.743750,year,I,sd,u-6-3
sw2095B-ms98-a-0004,25.743750,25.909375,or,I,sd,u-6-3
sw2095B-ms98-a-0004,25.909375,26.056625,or,I,sd,u-6-3
sw2095B-ms98-a-0004,26.056625,26.150750,the,I,sd,u-6-3
sw2095B-ms98-a-0004,26.150750,26.295000,year,I,sd,u-6-3
sw2095B-ms98-a-0004,26.295000,26.764000,before,I,sd,u-6-3
sw2095B-ms98-a-0004,27.276250,27.443250,uh,B,+,u-8-1
sw2095B-ms98-a-0004,27.443250,27.643250,we,I,+,u-8-1
sw2095B-ms98-a-0004,27.643250,27.853250,had,I,+,u-8-1
sw2095B-ms98-a-0004,27.853250,28.073250,ice,I,+,u-8-1
sw2095B-ms98-a-0004,28.073250,28.193250,and,I,+,u-8-1
sw2095B-ms98-a-0004,28.193250,28.503250,snow,I,+,u-8-1
sw2095B-ms98-a-0004,28.503250,28.613250,we,O,,
sw2095B-ms98-a-0004,28.613250,28.793250,had,O,,
sw2095B-ms98-a-0004,28.793250,28.843250,a,O,,
sw2095B-ms98-a-0004,28.843250,28.945250,had,O,,
sw2095B-ms98-a-0004,28.945250,29.058250,a,O,,
sw2095B-ms98-a-0004,29.303250,29.743250,terrible,B,sd,u-8-2
sw2095B-ms98-a-0004,29.743250,29.883250,ice,I,sd,u-8-2
sw2095B-ms98-a-0004,29.883250,30.313250,storm,I,sd,u-8-2
sw2095B-ms98-a-0004,30.313250,30.663250,uh,I,sd,u-8-2
sw2095B-ms98-a-0004,30.663250,30.953250,around,I,sd,u-8-2
sw2095B-ms98-a-0004,30.953250,31.063250,this,I,sd,u-8-2
sw2095B-ms98-a-0004,31.063250,31.323250,time,I,sd,u-8-2
sw2095B-ms98-a-0004,31.323250,31.383250,of,I,sd,u-8-2
