sw3097B-ms98-a-0002,1.351875,1.871250,hi,B,fp,u-2-1
sw3097B-ms98-a-0003,3.071750,3.396250,o[ne]-,O,,
sw3097B-ms98-a-0003,3.396250,3.583875,one,B,sd,u-2-2
sw3097B-ms98-a-0003,3.583875,3.693125,of,I,sd,u-2-2
sw3097B-ms98-a-0003,3.693125,3.828500,the,I,sd,u-2-2
sw3097B-ms98-a-0003,3.828500,4.368500,interesting,I,sd,u-2-2
sw3097B-ms98-a-0003,4.368500,4.838500,things,I,sd,u-2-2
sw3097B-ms98-a-0003,4.838500,4.968500,that,I,sd,u-2-2
sw3097B-ms98-a-0003,4.968500,5.158500,i,I,sd,u-2-2
sw3097B-ms98-a-0003,5.158500,5.615875,have,I,sd,u-2-2
sw3097B-ms98-a-0003,6.056625,6.618500,considered,I,sd,u-2-2
sw3097B-ms98-a-0003,6.618500,6.968500,about,I,sd,u-2-2
sw3097B-ms98-a-0003,6.968500,7.058500,the,I,sd,u-2-2
sw3097B-ms98-a-0003,7.058500,7.318500,role,I,sd,u-2-2
sw3097B-ms98-a-0003,7.318500,7.778500,change,I,sd,u-2-2
sw3097B-ms98-a-0003,7.778500,7.888500,for,I,sd,u-2-2
sw3097B-ms98-a-0003,7.888500,8.218500,women,I,sd,u-2-2
sw3097B-ms98-a-0003,8.218500,8.588500,is,I,sd,u-2-2
sw3097B-ms98-a-0003,8.588500,8.941625,that,I,sd,u-2-2
sw3097B-ms98-a-0004,9.692125,9.992125,women,I,sd,u-2-2
sw3097B-ms98-a-0004,9.992125,10.152125,of,I,sd,u-2-2
sw3097B-ms98-a-0004,10.152125,10.372125,my,I,sd,u-2-2
sw3097B-ms98-a-0004,10.372125,10.832125,age,I,sd,u-2-2
sw3097B-ms98-a-0004,10.832125,10.992125,my,I,sd,u-2-2
sw3097B-ms98-a-0004,10.992125,11.772500,generation,I,sd,u-2-2
sw3097B-ms98-a-0004,12.444750,12.786000,were,I,sd,u-2-2
sw3097B-ms98-a-0004,13.049625,13.777750,trained,I,sd,u-2-2
sw3097B-ms98-a-0004,13.777750,14.022125,and,I,sd,u-2-2
sw3097B-ms98-a-0004,14.022125,14.615375,taught,I,sd,u-2-2
sw3097B-ms98-a-0004,14.615375,14.832125,and,I,sd,u-2-2
sw3097B-ms98-a-0004,14.832125,15.152125,brought,I,sd,u-2-2
sw3097B-ms98-a-0004,15.152125,15.733250,up,I,sd,u-2-2
sw3097B-ms98-a-0004,16.396125,16.552125,to,I,sd,u-2-2
sw3097B-ms98-a-0004,16.552125,16.962125,be,I,sd,u-2-2
sw3097B-ms98-a-0004,16.962125,17.102125,the,I,sd,u-2-2
sw3097B-ms98-a-0004,17.102125,17.362125,Leave,I,sd,u-2-2
sw3097B-ms98-a-0004,17.362125,17.512125,It,I,sd,u-2-2
sw3097B-ms98-a-0004,17.512125,17.602125,to,I,sd,u-2-2
sw3097B-ms98-a-0004,17.602125,17.972125,Beaver,I,sd,u-2-2
sw3097B-ms98-a-0004,17.972125,18.955250,housewives,I,sd,u-2-2
sw3097B-ms98-a-0004,19.245250,19.312125,but,B,sv,u-4-1
sw3097B-ms98-a-0004,19.312125,19.372125,we,I,sv,u-4-1
sw3097B-ms98-a-0004,19.372125,19.462125,are,I,sv,u-4-1
sw3097B-ms98-a-0004,19.462125,19.642125,not,I,sv,u-4-1
sw3097B-ms98-a-0004,19.642125,19.922125,living,I,sv,u-4-1
sw3097B-ms98-a-0004,19.922125,20.022125,in,I,sv,u-4-1
sw3097B-ms98-a-0004,20.022125,20.182125,that,I,sv,u-4-1
sw3097B-ms98-a-0004,20.182125,20.746500,world,I,sv,u-4-1
sw3097B-ms98-a-0006,23.433875,23.981625,uh-huh,B,b,u-6-1
sw3097B-ms98-a-0006,24.117250,24.647250,families,B,b^m,u-6-2
sw3097B-ms98-a-0006,24.884625,25.213250,uh-huh,B,b,u-6-3
sw3097B-ms98-a-0006,25.390250,25.509250,oh,B,aa,u-8-1
sw3097B-ms98-a-0006,25.509250,25.844375,yeah,I,aa,u-8-1
sw3097B-ms98-a-0006,25.844375,26.259125,sure,B,aa,u-8-2
sw3097B-ms98-a-0007,27.348625,27.586875,uh-huh,B,b,u-10-1
sw3097B-ms98-a-0008,28.560375,28.839500,that's,B,%,u-10-2
sw3097B-ms98-a-0008,28.839500,28.979500,one,I,%,u-10-2
sw3097B-ms98-a-0008,28.979500,29.049250,of,I,%,u-10-2
sw3097B-ms98-a-0008,29.049250,29.527500,the,I,%,u-10-2
sw3097B-ms98-a-0008,29.527500,29.689500,and,B,sv,u-10-3
sw3097B-ms98-a-0008,29.689500,29.959500,it,I,sv,u-10-3
sw3097B-ms98-a-0008,29.959500,30.289500,makes,I,sv,u-10-3
sw3097B-ms98-a-0008,30.289500,30.369500,you,I,sv,u-10-3
sw3097B-ms98-a-0008,30.369500,30.699500,really,I,sv,u-10-3
sw3097B-ms98-a-0008,30.699500,31.199500,concerned,I,sv,u-10-3
sw3097B-ms98-a-0008,31.199500,31.229500,i,B,sd,u-10-4
sw3097B-ms98-a-0008,31.229500,31.299500,am,I,sd,u-10-4
sw3097B-ms98-a-0008,31.299500,31.509500,glad,I,sd,u-10-4
sw3097B-ms98-a-0008,31.509500,31.569500,i,I,sd,u-10-4
sw3097B-ms98-a-0008,31.569500,31.919500,raised,I,sd,u-10-4
sw3097B-ms98-a-0008,31.919500,32.532500,guys,I,sd,u-10-4
sw3097B-ms98-a-0008,32.713375,32.819500,you,B,ad,u-12-1
sw3097B-ms98-a-0008,32.819500,33.080375,know,I,ad,u-12-1
sw3097B-ms98-a-0008,33.080375,33.289500,let,I,ad,u-12-1
sw3097B-ms98-a-0008,33.289500,33.369500,the,I,ad,u-12-1
