sw2488B-ms98-a-0003,7.890625,8.356000,uh-huh,B,b,u-2-1
sw2488B-ms98-a-0005,15.180375,15.670375,uh-huh,B,b,u-4-1
sw2488B-ms98-a-0007,17.805875,18.335875,uh-huh,B,b,u-6-1
sw2488B-ms98-a-0009,21.756625,22.236625,uh-huh,O,,
sw2488B-ms98-a-0011,24.326750,24.466750,how,B,qo,u-8-1
sw2488B-ms98-a-0011,24.466750,24.556750,do,I,qo,u-8-1
sw2488B-ms98-a-0011,24.556750,24.616750,you,I,qo,u-8-1
sw2488B-ms98-a-0011,24.616750,24.796750,f[eel]-,I,qo,u-8-1
sw2488B-ms98-a-0011,24.796750,25.046750,wh[at]-,I,qo,u-8-1
sw2488B-ms98-a-0011,25.046750,25.176750,what,I,qo,u-8-1
sw2488B-ms98-a-0011,25.176750,25.246750,do,I,qo,u-8-1
sw2488B-ms98-a-0011,25.246750,25.306750,you,I,qo,u-8-1
sw2488B-ms98-a-0011,25.306750,25.516750,think,I,qo,u-8-1
sw2488B-ms98-a-0011,25.516750,25.786750,about,I,qo,u-8-1
sw2488B-ms98-a-0011,25.786750,25.876750,it,I,qo,u-8-1
sw2488B-ms98-a-0013,27.987875,28.037875,uh,O,,
sw2488B-ms98-a-0013,28.037875,28.266250,yeah,B,aa,u-10-1
sw2488B-ms98-a-0013,28.821500,29.044625,yeah,B,aa^r,u-10-2
sw2488B-ms98-a-0014,30.049625,30.209625,i,B,aa,u-12-1
sw2488B-ms98-a-0014,30.209625,30.739625,agree,I,aa,u-12-1
sw2488B-ms98-a-0014,30.739625,30.859625,i-,I,aa,u-12-1
sw2488B-ms98-a-0014,30.859625,31.069625,i,I,aa,u-12-1
sw2488B-ms98-a-0014,31.069625,31.379625,agree,I,aa,u-12-1
sw2488B-ms98-a-0014,31.379625,31.469625,you,I,aa,u-12-1
sw2488B-ms98-a-0014,31.469625,31.599625,know,I,aa,u-12-1
sw2488B-ms98-a-0014,31.599625,31.829625,i,B,%,u-12-2
sw2488B-ms98-a-0016,35.622750,35.832750,yeah,B,aa,u-14-1
sw2488B-ms98-a-0016,35.832750,36.012750,oh,B,aa,u-14-2
sw2488B-ms98-a-0016,36.012750,36.062750,i,I,aa,u-14-2
sw2488B-ms98-a-0016,36.062750,36.192750,do,I,aa,u-14-2
sw2488B-ms98-a-0016,36.192750,36.685000,too,I,aa,u-14-2
sw2488B-ms98-a-0016,36.685000,36.772750,i,B,aa^r,u-14-3
sw2488B-ms98-a-0016,36.772750,36.882750,do,I,aa^r,u-14-3
sw2488B-ms98-a-0016,36.882750,37.331625,too,I,aa^r,u-14-3
sw2488B-ms98-a-0018,42.525750,42.765750,they,B,sv,u-16-1
sw2488B-ms98-a-0018,42.765750,42.895750,ought,I,sv,u-16-1
sw2488B-ms98-a-0018,42.895750,42.975750,to,I,sv,u-16-1
sw2488B-ms98-a-0018,42.975750,43.125750,get,I,sv,u-16-1
sw2488B-ms98-a-0018,43.125750,43.275750,it,I,sv,u-16-1
sw2488B-ms98-a-0018,43.275750,43.375750,for,I,sv,u-16-1
sw2488B-ms98-a-0018,43.375750,43.735750,killing,I,sv,u-16-1
sw2488B-ms98-a-0018,43.735750,43.785750,a,I,sv,u-16-1
sw2488B-ms98-a-0018,43.785750,44.345750,civilian,I,sv,u-16-1
sw2488B-ms98-a-0018,44.345750,44.515750,just,I,sv,u-16-1
sw2488B-ms98-a-0018,44.515750,44.615750,as,I,sv,u-16-1
sw2488B-ms98-a-0018,44.615750,44.965750,easily,I,sv,u-16-1
sw2488B-ms98-a-0018,44.965750,45.065750,as,I,sv,u-16-1
sw2488B-ms98-a-0018,45.065750,45.135750,a,I,sv,u-16-1
sw2488B-ms98-a-0018,45.135750,45.645750,policeman,I,sv,u-16-1
sw2488B-ms98-a-0018,45.835750,46.065750,yeah,B,aa,u-18-1
sw2488B-ms98-a-0018,46.185750,46.365750,i,B,aa,u-18-2
sw2488B-ms98-a-0018,46.365750,46.803375,agree,I,aa,u-18-2
sw2488B-ms98-a-0018,47.085875,47.145750,i,O,,
sw2488B-ms98-a-0018,47.145750,47.275750,don't,O,,
sw2488B-ms98-a-0018,47.275750,47.385750,know,O,,
sw2488B-ms98-a-0018,47.385750,47.445750,i,B,sd,u-18-3
sw2488B-ms98-a-0018,47.445750,47.675750,heard,I,sd,u-18-3
sw2488B-ms98-a-0018,47.675750,47.955750,something,I,sd,u-18-3
sw2488B-ms98-a-0018,47.955750,48.055750,on,I,sd,u-18-3
sw2488B-ms98-a-0018,48.055750,48.115750,the,I,sd,u-18-3
sw2488B-ms98-a-0018,48.115750,48.405750,news,I,sd,u-18-3
sw2488B-ms98-a-0018,48.405750,48.465750,the,I,sd,u-18-3
sw2488B-ms98-a-0018,48.465750,48.635750,other,I,sd,u-18-3
