sw3458A-ms98-a-0003,3.067000,3.227000,yeah,B,ny,u-2-1
sw3458A-ms98-a-0003,3.227000,3.378125,is,B,qy^t,u-2-2
sw3458A-ms98-a-0003,3.378125,3.574000,that,I,qy^t,u-2-2
sw3458A-ms98-a-0003,3.574000,3.868500,it,I,qy^t,u-2-2
sw3458A-ms98-a-0003,4.577000,5.142375,okay,B,bk,u-4-1
sw3458A-ms98-a-0003,6.000000,6.637000,um,B,sd^t,u-4-2
sw3458A-ms98-a-0003,6.637000,6.897000,well,I,sd^t,u-4-2
sw3458A-ms98-a-0003,6.897000,7.077625,we,I,sd^t,u-4-2
sw3458A-ms98-a-0003,7.077625,7.259875,i,I,sd^t,u-4-2
sw3458A-ms98-a-0003,7.259875,7.427000,guess,I,sd^t,u-4-2
sw3458A-ms98-a-0003,7.427000,7.507000,we,I,sd^t,u-4-2
sw3458A-ms98-a-0003,7.507000,7.607000,have,I,sd^t,u-4-2
sw3458A-ms98-a-0003,7.607000,7.687000,to,I,sd^t,u-4-2
sw3458A-ms98-a-0003,7.687000,7.837000,talk,I,sd^t,u-4-2
sw3458A-ms98-a-0003,7.837000,8.027000,about,I,sd^t,u-4-2
sw3458A-ms98-a-0003,8.027000,8.657750,magazines,I,sd^t,u-4-2
sw3458A-ms98-a-0003,8.657750,9.083375,and,B,%,u-4-3
sw3458A-ms98-a-0003,9.083375,9.482625,um,I,%,u-4-3
sw3458A-ms98-a-0003,9.964625,10.278625,what,I,%,u-4-3
sw3458A-ms98-a-0003,10.612125,10.827000,what,I,%,u-4-3
sw3458A-ms98-a-0005,12.463750,12.953750,well,B,sd,u-6-1
sw3458A-ms98-a-0005,12.953750,13.103750,i,I,sd,u-6-1
sw3458A-ms98-a-0005,13.103750,13.763750,subscribe,I,sd,u-6-1
sw3458A-ms98-a-0005,13.763750,13.873750,to,I,sd,u-6-1
sw3458A-ms98-a-0005,13.873750,14.313750,P[eople]-,I,sd,u-6-1
sw3458A-ms98-a-0005,14.313750,14.523750,well,I,sd,u-6-1
sw3458A-ms98-a-0005,14.523750,14.681500,i,I,sd,u-6-1
sw3458A-ms98-a-0005,14.681500,14.923750,did,I,sd,u-6-1
sw3458A-ms98-a-0005,14.923750,15.513750,subscribe,I,sd,u-6-1
sw3458A-ms98-a-0005,15.513750,15.623750,to,I,sd,u-6-1
sw3458A-ms98-a-0005,15.623750,15.983750,People,I,sd,u-6-1
sw3458A-ms98-a-0005,15.983750,16.153750,for,I,sd,u-6-1
sw3458A-ms98-a-0005,16.153750,16.252500,a,I,sd,u-6-1
sw3458A-ms98-a-0005,16.252500,16.483125,long,I,sd,u-6-1
sw3458A-ms98-a-0005,16.483125,16.907125,time,I,sd,u-6-1
sw3458A-ms98-a-0005,16.907125,17.137000,i,B,%,u-6-2
sw3458A-ms98-a-0005,17.137000,17.313750,do,I,%,u-6-2
sw3458A-ms98-a-0005,17.313750,17.453750,you,I,%,u-6-2
sw3458A-ms98-a-0005,17.453750,17.563750,know,I,%,u-6-2
sw3458A-ms98-a-0005,17.563750,17.732625,i,B,sd,u-6-3
sw3458A-ms98-a-0005,17.732625,18.101750,enjoy,I,sd,u-6-3
sw3458A-ms98-a-0005,18.101750,18.531625,People,I,sd,u-6-3
sw3458A-ms98-a-0005,19.209625,19.513750,and,B,sd,u-6-4
sw3458A-ms98-a-0005,19.513750,19.793750,now,I,sd,u-6-4
sw3458A-ms98-a-0005,19.793750,20.093750,i'm,I,sd,u-6-4
sw3458A-ms98-a-0005,20.093750,20.579000,um,I,sd,u-6-4
sw3458A-ms98-a-0005,21.354875,21.600750,i,I,sd,u-6-4
sw3458A-ms98-a-0005,21.600750,21.763750,uh,I,sd,u-6-4
sw3458A-ms98-a-0005,21.763750,22.410375,subscribe,I,sd,u-6-4
sw3458A-ms98-a-0005,22.410375,22.690000,to,I,sd,u-6-4
sw3458A-ms98-a-0005,22.690000,22.968750,uh,I,sd,u-6-4
sw3458A-ms98-a-0005,23.533750,23.576375,L[adies]-,I,sd,u-6-4
sw3458A-ms98-a-0005,23.576375,23.833750,Ladies,I,sd,u-6-4
sw3458A-ms98-a-0005,23.833750,24.023750,Home,I,sd,u-6-4
sw3458A-ms98-a-0005,24.023750,24.443750,Journal,I,sd,u-6-4
sw3458A-ms98-a-0007,28.973000,29.343000,uh-huh,B,b,u-8-1
sw3458A-ms98-a-0009,36.512500,36.828000,okay,B,b,u-10-1
sw3458A-ms98-a-0009,36.828000,36.922125,are,B,qy,u-10-2
sw3458A-ms98-a-0009,36.922125,37.086375,you,I,qy,u-10-2
sw3458A-ms98-a-0009,37.086375,37.508250,interested,I,qy,u-10-2
sw3458A-ms98-a-0009,37.508250,37.718000,in,I,qy,u-10-2
sw3458A-ms98-a-0009,37.718000,38.002125,in,I,qy,u-10-2
sw3458A-ms98-a-0009,38.002125,38.568000,computers,I,qy,u-10-2
sw3458A-ms98-a-0010,40.080250,40.753375,yeah,B,b,u-12-1
sw3458A-ms98-a-0012,44.778875,45.603875,[laughter],O,,
sw3458A-ms98-a-0013,46.916625,47.436875,uh-huh,B,b,u-16-1
sw3458A-ms98-a-0013,47.436875,47.686625,yeah,B,aa,u-16-2
sw3458A-ms98-a-0013,47.686625,48.056625,well,B,sd,u-16-3
sw3458A-ms98-a-0013,48.056625,48.246625,that,I,sd,u-16-3
sw3458A-ms98-a-0013,48.246625,48.406625,that,I,sd,u-16-3
sw3458A-ms98-a-0013,48.406625,48.556625,would,I,sd,u-16-3
sw3458A-ms98-a-0013,48.556625,48.676625,be,I,sd,u-16-3
sw3458A-ms98-a-0013,48.676625,48.876625,one,I,sd,u-16-3
sw3458A-ms98-a-0013,48.876625,48.966625,of,I,sd,u-16-3
sw3458A-ms98-a-0013,48.966625,49.116625,my,I,sd,u-16-3
sw3458A-ms98-a-0013,49.116625,49.594500,peeves,I,sd,u-16-3
sw3458A-ms98-a-0013,50.006625,50.416625,my,B,sd,u-16-4
sw3458A-ms98-a-0013,50.416625,50.646625,pet,I,sd,u-16-4
sw3458A-ms98-a-0013,50.646625,51.026625,peeves,I,sd,u-16-4
sw3458A-ms98-a-0013,51.026625,51.212000,with,I,sd,u-16-4
sw3458A-ms98-a-0013,51.212000,51.777000,magazines,I,sd,u-16-4
sw3458A-ms98-a-0013,51.777000,52.103125,uh,I,sd,u-16-4
sw3458A-ms98-a-0013,52.103125,52.265125,the,I,sd,u-16-4
sw3458A-ms98-a-0013,52.265125,52.606625,woman's,I,sd,u-16-4
sw3458A-ms98-a-0013,52.606625,53.426625,magazines,I,sd,u-16-4
sw3458A-ms98-a-0013,53.426625,54.196625,especially,I,sd,u-16-4
sw3458A-ms98-a-0013,54.196625,54.276625,i,B,%,u-16-5
sw3458A-ms98-a-0013,54.276625,54.546625,mean,I,%,u-16-5
sw3458A-ms98-a-0013,54.546625,54.726625,it,I,%,u-16-5
sw3458A-ms98-a-0013,54.726625,55.016625,it's,I,%,u-16-5
sw3458A-ms98-a-0013,55.016625,55.492000,really,I,%,u-16-5
sw3458A-ms98-a-0014,56.237125,56.769125,geared,I,%,u-16-5
sw3458A-ms98-a-0014,56.769125,57.342250,to,I,%,u-16-5
sw3458A-ms98-a-0014,57.342250,57.691750,y[our]-,O,,
sw3458A-ms98-a-0014,57.691750,57.846125,all,B,%,u-16-6
sw3458A-ms98-a-0014,57.846125,57.959000,they,I,%,u-16-6
sw3458A-ms98-a-0014,57.959000,58.169000,have,I,%,u-16-6
sw3458A-ms98-a-0014,58.169000,58.279000,is,O,,
sw3458A-ms98-a-0014,58.539000,58.629000,you,B,sv,u-16-7
sw3458A-ms98-a-0014,58.629000,58.789000,have,I,sv,u-16-7
sw3458A-ms98-a-0014,58.789000,58.959000,too,I,sv,u-16-7
sw3458A-ms98-a-0014,58.959000,59.159000,many,I,sv,u-16-7
sw3458A-ms98-a-0014,59.159000,59.849000,recipes,I,sv,u-16-7
sw3458A-ms98-a-0014,59.849000,60.149000,first,I,sv,u-16-7
sw3458A-ms98-a-0014,60.149000,60.239000,of,I,sv,u-16-7
sw3458A-ms98-a-0014,60.239000,60.415625,all,I,sv,u-16-7
sw3458A-ms98-a-0014,60.415625,60.513625,i,B,%,u-16-8
sw3458A-ms98-a-0014,60.513625,60.699000,just,I,%,u-16-8
sw3458A-ms98-a-0014,60.699000,60.969000,don't,I,%,u-16-8
