sw3162B-ms98-a-0003,36.812500,37.234500,yeah,B,b,u-2-1
sw3162B-ms98-a-0005,49.000625,49.762250,right,B,b,u-4-1
sw3162B-ms98-a-0005,49.762250,50.172250,that,B,%,u-4-2
sw3162B-ms98-a-0005,50.172250,50.322250,a,I,%,u-4-2
sw3162B-ms98-a-0005,50.322250,50.740125,that,I,%,u-4-2
sw3162B-ms98-a-0005,50.740125,50.942250,a,O,,
sw3162B-ms98-a-0005,50.942250,51.052250,a,O,,
sw3162B-ms98-a-0005,51.052250,51.402500,a,O,,
sw3162B-ms98-a-0005,52.064375,52.277875,a,B,sv,u-4-4
sw3162B-ms98-a-0005,52.277875,52.622250,judge,I,sv,u-4-4
sw3162B-ms98-a-0005,52.622250,52.792250,would,I,sv,u-4-4
sw3162B-ms98-a-0005,52.792250,52.922250,be,I,sv,u-4-4
sw3162B-ms98-a-0005,52.922250,53.222250,more,I,sv,u-4-4
sw3162B-ms98-a-0005,53.222250,53.892250,consistent,I,sv,u-4-4
sw3162B-ms98-a-0005,53.892250,54.092250,from,I,sv,u-4-4
sw3162B-ms98-a-0005,54.092250,54.262250,one,I,sv,u-4-4
sw3162B-ms98-a-0005,54.262250,54.552250,case,I,sv,u-4-4
sw3162B-ms98-a-0005,54.552250,54.692250,to,I,sv,u-4-4
sw3162B-ms98-a-0005,54.692250,54.762250,the,I,sv,u-4-4
sw3162B-ms98-a-0005,54.762250,55.152250,next,I,sv,u-4-4
sw3162B-ms98-a-0005,55.152250,55.272250,and,I,sv,u-4-4
sw3162B-ms98-a-0005,55.272250,55.566625,not,I,sv,u-4-4
sw3162B-ms98-a-0005,56.191875,56.502250,not,B,+,u-6-1
sw3162B-ms98-a-0005,56.502250,56.632250,de[pend]-,I,+,u-6-1
sw3162B-ms98-a-0005,56.632250,56.892250,and,I,+,u-6-1
sw3162B-ms98-a-0005,56.892250,57.642250,and,I,+,u-6-1
sw3162B-ms98-a-0005,57.642250,57.878125,uh,I,+,u-6-1
sw3162B-ms98-a-0006,58.990125,59.210125,not,I,+,u-6-1
sw3162B-ms98-a-0006,59.210125,59.550125,depend,I,+,u-6-1
sw3162B-ms98-a-0006,59.550125,59.650125,so,I,+,u-6-1
sw3162B-ms98-a-0006,59.650125,59.880125,much,I,+,u-6-1
sw3162B-ms98-a-0006,59.880125,60.080125,on,I,+,u-6-1
sw3162B-ms98-a-0006,60.080125,60.230125,the,I,+,u-6-1
sw3162B-ms98-a-0006,60.230125,60.370125,on,I,+,u-6-1
sw3162B-ms98-a-0006,60.370125,60.430125,the,I,+,u-6-1
sw3162B-ms98-a-0006,60.430125,60.910125,emotions,I,+,u-6-1
sw3162B-ms98-a-0006,60.910125,60.980125,of,I,+,u-6-1
sw3162B-ms98-a-0006,60.980125,61.050125,a,I,+,u-6-1
sw3162B-ms98-a-0006,61.050125,61.500125,particular,I,+,u-6-1
sw3162B-ms98-a-0006,61.500125,61.850125,case,I,+,u-6-1
sw3162B-ms98-a-0006,61.850125,62.050125,but,I,+,u-6-1
sw3162B-ms98-a-0006,62.050125,62.160125,be,I,+,u-6-1
sw3162B-ms98-a-0006,62.160125,62.330125,able,I,+,u-6-1
sw3162B-ms98-a-0006,62.330125,62.390125,to,I,+,u-6-1
sw3162B-ms98-a-0006,62.390125,62.540125,put,I,+,u-6-1
sw3162B-ms98-a-0006,62.540125,62.670125,it,I,+,u-6-1
sw3162B-ms98-a-0006,62.670125,62.820125,in,I,+,u-6-1
sw3162B-ms98-a-0006,62.820125,63.262875,overall,I,+,u-6-1
sw3162B-ms98-a-0006,64.013500,64.918375,perspective,I,+,u-6-1
sw3162B-ms98-a-0006,64.918375,65.450250,well,B,sd,u-8-1
sw3162B-ms98-a-0006,67.159875,67.440125,i-,O,,
sw3162B-ms98-a-0006,67.440125,67.900125,i,B,+,u-10-1
sw3162B-ms98-a-0006,67.900125,67.930125,i,I,+,u-10-1
sw3162B-ms98-a-0006,67.930125,68.160125,certainly,I,+,u-10-1
sw3162B-ms98-a-0006,68.160125,68.370125,haven't,I,+,u-10-1
sw3162B-ms98-a-0006,68.370125,68.540125,thought,I,+,u-10-1
sw3162B-ms98-a-0006,68.540125,68.750125,much,I,+,u-10-1
