sw3072A-ms98-a-0002,0.695875,1.035875,okay,B,b^m,u-2-1
sw3072A-ms98-a-0002,1.035875,1.165875,where,B,qw,u-2-2
sw3072A-ms98-a-0002,1.165875,1.275875,have,I,qw,u-2-2
sw3072A-ms98-a-0002,1.275875,1.375875,you,I,qw,u-2-2
sw3072A-ms98-a-0002,1.375875,1.475875,all,I,qw,u-2-2
sw3072A-ms98-a-0002,1.475875,1.625875,been,I,qw,u-2-2
sw3072A-ms98-a-0002,1.625875,1.735875,on,I,qw,u-2-2
sw3072A-ms98-a-0002,1.735875,2.421125,vacation,I,qw,u-2-2
sw3072A-ms98-a-0002,2.594375,3.315875,recently,I,qw,u-2-2
sw3072A-ms98-a-0004,7.022250,7.722250,Detroit,B,br,u-4-1
sw3072A-ms98-a-0004,7.722250,7.852250,is,B,qy,u-6-1
sw3072A-ms98-a-0004,7.852250,7.992250,that,I,qy,u-6-1
sw3072A-ms98-a-0004,7.992250,8.022250,a,I,qy,u-6-1
sw3072A-ms98-a-0004,8.022250,8.372250,nice,I,qy,u-6-1
sw3072A-ms98-a-0004,8.372250,8.842250,vacation,I,qy,u-6-1
sw3072A-ms98-a-0004,8.842250,9.256375,spot,I,qy,u-6-1
sw3072A-ms98-a-0006,13.325750,13.605750,right,B,bk,u-8-1
sw3072A-ms98-a-0006,13.605750,14.145750,okay,B,bk,u-8-2
sw3072A-ms98-a-0008,18.872875,19.272875,right,B,b,u-10-1
sw3072A-ms98-a-0008,19.272875,19.392875,so,B,qy^d,u-10-2
sw3072A-ms98-a-0008,19.392875,19.532875,you,I,qy^d,u-10-2
sw3072A-ms98-a-0008,19.532875,19.832875,probably,I,qy^d,u-10-2
sw3072A-ms98-a-0008,19.832875,20.062875,wouldn't,I,qy^d,u-10-2
sw3072A-ms98-a-0008,20.062875,20.582875,recommend,I,qy^d,u-10-2
sw3072A-ms98-a-0008,20.582875,20.842125,that,I,qy^d,u-10-2
sw3072A-ms98-a-0008,20.842125,21.004375,as,I,qy^d,u-10-2
sw3072A-ms98-a-0008,21.143625,21.275500,t[ourist]-,I,qy^d,u-10-2
sw3072A-ms98-a-0008,21.802875,22.062875,big,I,qy^d,u-10-2
