sw2086A-ms98-a-0002,7.991875,8.279250,uh-huh,B,b,u-2-1
sw2086A-ms98-a-0004,19.671625,19.960500,uh-huh,B,b,u-4-1
sw2086A-ms98-a-0006,54.695625,55.006125,uh-huh,B,b,u-6-1
sw2086A-ms98-a-0008,71.542125,72.060500,oh,B,b,u-8-1
sw2086A-ms98-a-0010,75.152500,75.333750,that's,B,bf,u-10-1
sw2086A-ms98-a-0010,75.333750,75.523750,very,I,bf,u-10-1
sw2086A-ms98-a-0010,75.523750,76.003750,spicy,I,bf,u-10-1
sw2086A-ms98-a-0010,76.003750,76.333750,too,I,bf,u-10-1
sw2086A-ms98-a-0011,76.730375,76.820500,i,B,bf,u-12-1
sw2086A-ms98-a-0011,76.820500,77.002000,mean,I,bf,u-12-1
sw2086A-ms98-a-0011,77.002000,77.152000,these,I,bf,u-12-1
sw2086A-ms98-a-0011,77.152000,77.352000,bell,I,bf,u-12-1
sw2086A-ms98-a-0011,77.352000,77.852000,peppers,I,bf,u-12-1
sw2086A-ms98-a-0011,77.852000,78.072000,and,I,bf,u-12-1
sw2086A-ms98-a-0011,78.072000,78.438375,curry,I,bf,u-12-1
sw2086A-ms98-a-0013,85.453500,85.716250,oh,B,sv,u-14-1
sw2086A-ms98-a-0013,85.716250,85.842875,that,I,sv,u-14-1
sw2086A-ms98-a-0013,85.842875,86.092875,sounds,I,sv,u-14-1
sw2086A-ms98-a-0013,86.092875,86.312875,really,I,sv,u-14-1
sw2086A-ms98-a-0013,86.312875,86.698125,good,I,sv,u-14-1
sw2086A-ms98-a-0014,87.748125,88.093500,huh,B,b,u-16-1
sw2086A-ms98-a-0014,88.540250,88.601875,i,B,sd,u-16-2
sw2086A-ms98-a-0014,88.601875,88.761875,guess,I,sd,u-16-2
sw2086A-ms98-a-0014,88.761875,88.831875,it,I,sd,u-16-2
sw2086A-ms98-a-0014,88.831875,88.921875,was,I,sd,u-16-2
sw2086A-ms98-a-0014,88.921875,88.981875,is,B,qy,u-16-3
sw2086A-ms98-a-0014,88.981875,89.081875,this,I,qy,u-16-3
sw2086A-ms98-a-0014,89.081875,89.311875,dinner,I,qy,u-16-3
sw2086A-ms98-a-0014,89.311875,89.571875,time,I,qy,u-16-3
sw2086A-ms98-a-0014,89.571875,89.671875,for,I,qy,u-16-3
sw2086A-ms98-a-0014,89.671875,89.916750,you,I,qy,u-16-3
sw2086A-ms98-a-0016,95.289750,95.403750,all,B,bf,u-18-1
sw2086A-ms98-a-0016,95.403750,95.613750,done,I,bf,u-18-1
sw2086A-ms98-a-0016,95.613750,95.713750,in,I,bf,u-18-1
sw2086A-ms98-a-0016,95.713750,96.233750,advance,I,bf,u-18-1
sw2086A-ms98-a-0017,97.076625,97.255250,[vocalized-noise],O,,
sw2086A-ms98-a-0018,97.673000,97.830000,that's,B,sd,u-18-3
sw2086A-ms98-a-0018,97.830000,98.120000,um,I,sd,u-18-3
sw2086A-ms98-a-0018,99.110000,99.260000,i,I,sd,u-18-3
sw2086A-ms98-a-0018,99.260000,99.435625,uh,I,sd,u-18-3
sw2086A-ms98-a-0018,99.435625,99.689250,i'm,I,sd,u-18-3
sw2086A-ms98-a-0018,99.779625,99.860000,i'm,I,sd,u-18-3
sw2086A-ms98-a-0018,99.860000,100.070000,not,I,sd,u-18-3
sw2086A-ms98-a-0018,100.070000,100.200000,that,I,sd,u-18-3
sw2086A-ms98-a-0018,100.200000,100.430000,great,I,sd,u-18-3
sw2086A-ms98-a-0018,100.430000,100.513625,a,I,sd,u-18-3
sw2086A-ms98-a-0018,100.513625,100.728500,cook,I,sd,u-18-3
sw2086A-ms98-a-0018,100.803750,100.936750,but,B,sd,u-18-4
sw2086A-ms98-a-0018,101.452750,101.560000,i,I,sd,u-18-4
sw2086A-ms98-a-0018,101.560000,101.730000,was,I,sd,u-18-4
sw2086A-ms98-a-0018,101.730000,102.040000,single,I,sd,u-18-4
sw2086A-ms98-a-0018,102.040000,102.210000,until,I,sd,u-18-4
sw2086A-ms98-a-0018,102.210000,102.250000,i,I,sd,u-18-4
sw2086A-ms98-a-0018,102.250000,102.420000,was,I,sd,u-18-4
sw2086A-ms98-a-0018,102.420000,102.750000,thirty,I,sd,u-18-4
sw2086A-ms98-a-0018,102.750000,102.910000,so,B,sd,u-18-5
sw2086A-ms98-a-0018,102.910000,103.017500,i,I,sd,u-18-5
sw2086A-ms98-a-0018,103.017500,103.232375,did,I,sd,u-18-5
sw2086A-ms98-a-0018,103.232375,103.400000,cook,I,sd,u-18-5
sw2086A-ms98-a-0018,103.400000,103.470000,a,I,sd,u-18-5
sw2086A-ms98-a-0018,103.470000,104.022875,little,I,sd,u-18-5
sw2086A-ms98-a-0019,104.375625,104.450125,you,I,sd,u-18-5
sw2086A-ms98-a-0019,104.450125,104.524625,know,I,sd,u-18-5
sw2086A-ms98-a-0019,105.114125,105.244125,uh,B,sd,u-20-1
sw2086A-ms98-a-0020,105.592875,105.654125,and,I,sd,u-20-1
sw2086A-ms98-a-0020,105.654125,105.750750,i,I,sd,u-20-1
sw2086A-ms98-a-0020,105.750750,105.934250,cook,I,sd,u-20-1
sw2086A-ms98-a-0020,105.934250,105.984250,a,I,sd,u-20-1
sw2086A-ms98-a-0020,105.984250,106.134250,little,I,sd,u-20-1
sw2086A-ms98-a-0020,106.134250,106.254250,bit,I,sd,u-20-1
sw2086A-ms98-a-0020,106.254250,106.434625,now,I,sd,u-20-1
sw2086A-ms98-a-0020,106.434625,106.630500,[vocalized-noise],O,,
sw2086A-ms98-a-0020,106.630500,106.754250,what,B,sd,u-20-2
sw2086A-ms98-a-0020,106.754250,106.824250,i,I,sd,u-20-2
sw2086A-ms98-a-0020,106.824250,107.014250,like,I,sd,u-20-2
sw2086A-ms98-a-0020,107.014250,107.114250,to,I,sd,u-20-2
sw2086A-ms98-a-0020,107.114250,107.234250,do,I,sd,u-20-2
sw2086A-ms98-a-0020,107.234250,107.584250,mostly,I,sd,u-20-2
sw2086A-ms98-a-0020,107.584250,107.674250,is,I,sd,u-20-2
sw2086A-ms98-a-0020,107.674250,107.934250,stir,I,sd,u-20-2
sw2086A-ms98-a-0020,107.934250,108.434875,fries,I,sd,u-20-2
sw2086A-ms98-a-0020,108.839750,108.934250,and,B,sd(^q),u-20-3
sw2086A-ms98-a-0020,108.934250,109.044250,my,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,109.044250,109.284250,wife,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,109.284250,109.574750,normally,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,109.574750,109.821625,says,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,109.821625,109.938375,you,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,109.938375,110.077125,know,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,110.416000,110.599375,oh,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,110.682250,111.143500,Tom,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,111.200000,111.384250,why,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,111.384250,111.454250,why,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,111.454250,111.574250,don't,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,111.574250,111.654250,you,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,111.654250,111.774250,make,I,sd(^q),u-20-3
sw2086A-ms98-a-0020,111.774250,111.814250,a,I,sd(^q),u-20-3
