sw2784B-ms98-a-0002,14.046875,14.566875,okay,B,b,u-2-1
sw2784B-ms98-a-0004,27.739000,27.908375,well,B,sv,u-4-1
sw2784B-ms98-a-0004,27.908375,28.028375,i'm,I,sv,u-4-1
sw2784B-ms98-a-0004,28.028375,28.268375,sure,I,sv,u-4-1
sw2784B-ms98-a-0004,28.268375,28.556750,that,I,sv,u-4-1
sw2784B-ms98-a-0004,28.556750,29.313875,uh,I,sv,u-4-1
sw2784B-ms98-a-0004,29.313875,29.608375,probably,I,sv,u-4-1
sw2784B-ms98-a-0004,29.608375,29.778375,every,I,sv,u-4-1
sw2784B-ms98-a-0004,29.778375,30.108375,person,I,sv,u-4-1
sw2784B-ms98-a-0004,30.108375,30.178375,in,I,sv,u-4-1
sw2784B-ms98-a-0004,30.178375,30.348375,this,I,sv,u-4-1
sw2784B-ms98-a-0004,30.348375,30.688375,country,I,sv,u-4-1
sw2784B-ms98-a-0004,30.688375,30.838375,would,I,sv,u-4-1
sw2784B-ms98-a-0004,30.838375,31.078375,agree,I,sv,u-4-1
sw2784B-ms98-a-0004,31.078375,31.218375,with,I,sv,u-4-1
sw2784B-ms98-a-0004,31.218375,31.358375,you,I,sv,u-4-1
sw2784B-ms98-a-0004,31.358375,31.488375,on,I,sv,u-4-1
sw2784B-ms98-a-0004,31.488375,31.797875,that,I,sv,u-4-1
sw2784B-ms98-a-0005,32.368125,32.490125,because_1,O,,
sw2784B-ms98-a-0005,32.490125,32.870125,everybody,B,+,u-6-1
sw2784B-ms98-a-0005,32.870125,33.040125,has,I,+,u-6-1
sw2784B-ms98-a-0005,33.040125,33.100125,a,I,+,u-6-1
sw2784B-ms98-a-0005,33.100125,33.440125,different,I,+,u-6-1
sw2784B-ms98-a-0005,33.440125,33.780125,idea,I,+,u-6-1
sw2784B-ms98-a-0005,33.780125,33.890125,of,I,+,u-6-1
sw2784B-ms98-a-0005,33.890125,34.050125,where,I,+,u-6-1
sw2784B-ms98-a-0005,34.050125,34.120125,the,I,+,u-6-1
sw2784B-ms98-a-0005,34.120125,34.360125,money,I,+,u-6-1
sw2784B-ms98-a-0005,34.360125,34.550125,should,I,+,u-6-1
sw2784B-ms98-a-0005,34.550125,34.860125,go,I,+,u-6-1
sw2784B-ms98-a-0007,60.517625,60.906750,uh-huh,B,b,u-8-1
sw2784B-ms98-a-0009,62.588500,62.917500,yeah,B,b,u-10-1
sw2784B-ms98-a-0011,79.083250,79.265000,oh,B,aa,u-12-1
sw2784B-ms98-a-0011,79.265000,79.475000,yeah,I,aa,u-12-1
sw2784B-ms98-a-0011,79.475000,79.645000,no,B,aa,u-12-2
sw2784B-ms98-a-0011,79.645000,80.015000,argument,I,aa,u-12-2
sw2784B-ms98-a-0011,80.015000,80.256750,here,I,aa,u-12-2
sw2784B-ms98-a-0013,115.623500,115.945125,yeah,B,b,u-14-1
sw2784B-ms98-a-0013,116.073125,116.503500,well,B,sv,u-14-2
sw2784B-ms98-a-0013,116.503500,116.648125,of,I,sv,u-14-2
sw2784B-ms98-a-0013,116.648125,117.104250,course,I,sv,u-14-2
