sw2160A-ms98-a-0002,0.615625,1.015625,hello,B,fp,u-1-1
sw2160A-ms98-a-0003,2.374250,2.694250,did,B,qy,u-3-1
sw2160A-ms98-a-0003,2.694250,2.814250,i,I,qy,u-3-1
sw2160A-ms98-a-0003,2.814250,3.084250,reach,I,qy,u-3-1
sw2160A-ms98-a-0003,3.084250,3.244250,the,I,qy,u-3-1
sw2160A-ms98-a-0003,3.244250,3.664250,Dallas,I,qy,u-3-1
sw2160A-ms98-a-0003,3.664250,3.884250,area,I,qy,u-3-1
sw2160A-ms98-a-0004,5.506375,5.636375,did,B,qy^r,u-5-1
sw2160A-ms98-a-0004,5.636375,5.756375,i,I,qy^r,u-5-1
sw2160A-ms98-a-0004,5.756375,6.016375,reach,I,qy^r,u-5-1
sw2160A-ms98-a-0004,6.016375,6.150875,the,I,qy^r,u-5-1
sw2160A-ms98-a-0004,6.150875,6.629500,Dallas,I,qy^r,u-5-1
sw2160A-ms98-a-0004,6.629500,7.107750,area,I,qy^r,u-5-1
sw2160A-ms98-a-0006,10.206625,10.456625,Dayton,B,b^m,u-7-1
sw2160A-ms98-a-0006,10.456625,10.956625,Ohio,I,b^m,u-7-1
sw2160A-ms98-a-0006,10.956625,11.126625,i'm,B,sd,u-7-2
sw2160A-ms98-a-0006,11.126625,11.316625,from,I,sd,u-7-2
sw2160A-ms98-a-0006,11.316625,11.556625,North,I,sd,u-7-2
sw2160A-ms98-a-0006,11.556625,12.158500,Carolina,I,sd,u-7-2
sw2160A-ms98-a-0008,15.032125,15.192125,in,B,sd,u-9-1
sw2160A-ms98-a-0008,15.192125,15.602125,Raleigh,I,sd,u-9-1
sw2160A-ms98-a-0009,16.621375,16.931375,yeah,B,b,u-11-1
sw2160A-ms98-a-0010,17.872375,18.194375,so,B,%@,u-11-2
sw2160A-ms98-a-0012,20.162625,20.302625,my,B,+,u-13-1
sw2160A-ms98-a-0012,20.302625,20.472625,name,I,+,u-13-1
sw2160A-ms98-a-0012,20.472625,20.622625,is,I,+,u-13-1
sw2160A-ms98-a-0012,20.622625,21.209875,Fernando,I,+,u-13-1
sw2160A-ms98-a-0014,23.310375,23.650375,so,B,%,u-15-1
sw2160A-ms98-a-0014,23.650375,24.030375,um,I,%,u-15-1
sw2160A-ms98-a-0014,24.030375,24.150375,do,I,%,u-15-1
sw2160A-ms98-a-0014,24.150375,24.240375,you,I,%,u-15-1
sw2160A-ms98-a-0014,24.240375,24.580375,work,O,,
sw2160A-ms98-a-0014,24.580375,24.760375,how'd,B,qw^t,u-15-2
sw2160A-ms98-a-0014,24.760375,24.850375,you,I,qw^t,u-15-2
sw2160A-ms98-a-0014,24.850375,25.100375,find,I,qw^t,u-15-2
sw2160A-ms98-a-0014,25.100375,25.220375,out,I,qw^t,u-15-2
sw2160A-ms98-a-0014,25.220375,25.460375,about,I,qw^t,u-15-2
sw2160A-ms98-a-0014,25.460375,25.740000,this,I,qw^t,u-15-2
sw2160A-ms98-a-0016,29.011250,29.266000,oh,B,bk^t,u-17-1
sw2160A-ms98-a-0016,29.266000,29.893000,okay,I,bk^t,u-17-1
sw2160A-ms98-a-0016,30.450375,30.611250,he,B,bf^t,u-17-2
sw2160A-ms98-a-0016,30.611250,30.841250,works,I,bf^t,u-17-2
sw2160A-ms98-a-0016,30.841250,31.015250,for,I,bf^t,u-17-2
sw2160A-ms98-a-0016,31.015250,31.427500,TI,O,,
sw2160A-ms98-a-0018,37.300875,37.460875,oh,B,bk,u-19-1
sw2160A-ms98-a-0018,37.460875,37.780875,okay,I,bk,u-19-1
sw2160A-ms98-a-0018,37.780875,38.010875,because,B,sd,u-19-2
sw2160A-ms98-a-0018,38.010875,38.160875,i'm,I,sd,u-19-2
sw2160A-ms98-a-0018,38.160875,38.350875,down,I,sd,u-19-2
sw2160A-ms98-a-0018,38.350875,38.510875,at,I,sd,u-19-2
sw2160A-ms98-a-0018,38.510875,38.850875,NC,I,sd,u-19-2
sw2160A-ms98-a-0018,38.850875,39.280875,State,I,sd,u-19-2
sw2160A-ms98-a-0019,40.798250,41.078250,and,B,sd,u-21-1
sw2160A-ms98-a-0019,41.078250,41.495750,so,I,sd,u-21-1
sw2160A-ms98-a-0019,41.774500,41.932250,i,I,sd,u-21-1
sw2160A-ms98-a-0019,41.932250,42.169500,took,I,sd,u-21-1
sw2160A-ms98-a-0019,42.169500,42.228250,a,I,sd,u-21-1
sw2160A-ms98-a-0019,42.228250,42.688250,class,I,sd,u-21-1
sw2160A-ms98-a-0019,42.688250,43.188250,and,B,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,43.488250,43.648250,he,I,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,43.648250,43.908250,said,I,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,43.908250,44.178250,sign,I,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,44.178250,44.338250,up,I,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,44.338250,44.428250,and,I,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,44.428250,44.558250,get,I,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,44.558250,44.688250,some,I,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,44.688250,44.938250,money,I,sd(^q)^t,u-21-2
sw2160A-ms98-a-0019,44.938250,45.198250,and,B,+,u-23-1
sw2160A-ms98-a-0019,45.198250,45.388250,just,I,+,u-23-1
sw2160A-ms98-a-0019,45.388250,45.628250,talk,I,+,u-23-1
sw2160A-ms98-a-0019,45.628250,45.728250,for,I,+,u-23-1
sw2160A-ms98-a-0019,45.728250,45.948250,five,I,+,u-23-1
sw2160A-ms98-a-0019,45.948250,46.248250,minutes,I,+,u-23-1
sw2160A-ms98-a-0020,47.332375,47.489625,so,B,qy^t,u-23-2
sw2160A-ms98-a-0020,47.489625,47.859625,are,I,qy^t,u-23-2
sw2160A-ms98-a-0020,47.859625,47.979625,you,I,qy^t,u-23-2
sw2160A-ms98-a-0020,47.979625,48.349625,ready,I,qy^t,u-23-2
sw2160A-ms98-a-0021,49.496250,49.806250,okay,B,%,u-25-1
sw2160A-ms98-a-0021,49.806250,50.046250,let's,B,ad^t,u-25-2
sw2160A-ms98-a-0021,50.046250,50.196250,get,I,ad^t,u-25-2
sw2160A-ms98-a-0021,50.196250,50.586250,started,I,ad^t,u-25-2
sw2160A-ms98-a-0023,52.691000,53.090500,okay,B,%,u-27-1
sw2160A-ms98-a-0024,53.906500,54.236500,so,B,qo,u-27-2
sw2160A-ms98-a-0024,54.236500,54.496500,uh,I,qo,u-27-2
sw2160A-ms98-a-0024,54.496500,54.666500,what,I,qo,u-27-2
sw2160A-ms98-a-0024,54.666500,54.726500,do,I,qo,u-27-2
sw2160A-ms98-a-0024,54.726500,54.786500,you,I,qo,u-27-2
sw2160A-ms98-a-0024,54.786500,54.966500,think,I,qo,u-27-2
sw2160A-ms98-a-0024,54.966500,55.131875,uh,I,qo,u-27-2
sw2160A-ms98-a-0024,55.308500,55.730375,that,I,qo,u-27-2
sw2160A-ms98-a-0024,55.730375,56.164750,uh,I,qo,u-27-2
sw2160A-ms98-a-0024,56.714625,56.806500,wh[at]-,O,,
sw2160A-ms98-a-0024,56.806500,57.066500,what,B,qo,u-27-3
sw2160A-ms98-a-0024,57.066500,57.224625,wh[at]-,I,qo,u-27-3
sw2160A-ms98-a-0024,57.224625,57.398000,what,I,qo,u-27-3
sw2160A-ms98-a-0024,57.398000,57.446500,do,I,qo,u-27-3
sw2160A-ms98-a-0024,57.446500,57.506500,you,I,qo,u-27-3
sw2160A-ms98-a-0024,57.506500,57.636500,think,I,qo,u-27-3
sw2160A-ms98-a-0024,57.636500,57.766500,we,I,qo,u-27-3
sw2160A-ms98-a-0024,57.766500,57.906500,can,I,qo,u-27-3
sw2160A-ms98-a-0024,57.906500,58.076500,do,I,qo,u-27-3
sw2160A-ms98-a-0024,58.076500,58.166500,to,I,qo,u-27-3
sw2160A-ms98-a-0024,58.166500,58.396500,solve,I,qo,u-27-3
sw2160A-ms98-a-0024,58.396500,58.456500,the,I,qo,u-27-3
sw2160A-ms98-a-0024,58.456500,58.846500,crime,I,qo,u-27-3
sw2160A-ms98-a-0024,58.846500,58.916500,in,I,qo,u-27-3
sw2160A-ms98-a-0024,58.916500,59.366500,America,I,qo,u-27-3
sw2160A-ms98-a-0026,62.396750,62.898500,yeah,B,b,u-29-1
sw2160A-ms98-a-0026,63.066750,63.316750,but,B,qo,u-29-2
sw2160A-ms98-a-0026,63.316750,63.548000,what,I,qo,u-29-2
sw2160A-ms98-a-0026,63.548000,63.762750,what,I,qo,u-29-2
sw2160A-ms98-a-0026,63.762750,63.956750,what,I,qo,u-29-2
sw2160A-ms98-a-0026,63.956750,64.046750,are,I,qo,u-29-2
sw2160A-ms98-a-0026,64.046750,64.156750,the,I,qo,u-29-2
sw2160A-ms98-a-0026,64.156750,64.787375,steps,I,qo,u-29-2
sw2160A-ms98-a-0028,76.746250,76.991500,well,B,sv,u-31-1
sw2160A-ms98-a-0028,77.153875,77.321250,see,I,sv,u-31-1
