sw3855B-ms98-a-0002,1.325750,1.923125,okay,B,b,u-2-1
sw3855B-ms98-a-0004,3.941125,4.201125,oh,B,sd,u-4-1
sw3855B-ms98-a-0004,4.201125,4.401125,we,I,sd,u-4-1
sw3855B-ms98-a-0004,4.401125,4.791125,use,I,sd,u-4-1
sw3855B-ms98-a-0004,4.791125,5.120375,them,I,sd,u-4-1
sw3855B-ms98-a-0005,5.974875,6.371125,for,I,sd,u-4-1
sw3855B-ms98-a-0005,6.481125,6.861125,paying,B,+,u-6-1
sw3855B-ms98-a-0005,6.861125,6.981125,our,I,+,u-6-1
sw3855B-ms98-a-0005,6.981125,7.468625,gas,I,+,u-6-1
sw3855B-ms98-a-0006,7.743500,7.823500,for,I,+,u-6-1
sw3855B-ms98-a-0006,7.823500,8.423500,paying,I,+,u-6-1
sw3855B-ms98-a-0007,9.354750,9.607625,uh,I,+,u-6-1
sw3855B-ms98-a-0007,9.853500,10.132125,just,I,+,u-6-1
sw3855B-ms98-a-0007,10.132125,10.322125,about,I,+,u-6-1
sw3855B-ms98-a-0007,10.322125,10.882125,anything,I,+,u-6-1
sw3855B-ms98-a-0007,10.882125,11.302125,because,I,+,u-6-1
sw3855B-ms98-a-0007,11.302125,11.562125,um,I,+,u-6-1
sw3855B-ms98-a-0007,11.962125,12.082125,we,I,+,u-6-1
sw3855B-ms98-a-0007,12.082125,12.202125,don't,I,+,u-6-1
sw3855B-ms98-a-0007,12.202125,12.352125,like,I,+,u-6-1
sw3855B-ms98-a-0007,12.352125,12.412125,to,I,+,u-6-1
sw3855B-ms98-a-0007,12.412125,12.582125,pay,I,+,u-6-1
sw3855B-ms98-a-0007,12.582125,12.742125,for,I,+,u-6-1
sw3855B-ms98-a-0007,12.742125,12.912125,our,I,+,u-6-1
sw3855B-ms98-a-0007,12.912125,13.401000,checks,I,+,u-6-1
sw3855B-ms98-a-0007,13.401000,14.335125,[laughter],O,,
sw3855B-ms98-a-0007,14.335125,14.572125,so,B,sd,u-6-2
sw3855B-ms98-a-0007,14.572125,14.692125,we,I,sd,u-6-2
sw3855B-ms98-a-0007,14.692125,14.982125,use,I,sd,u-6-2
sw3855B-ms98-a-0007,14.982125,15.192125,it,I,sd,u-6-2
sw3855B-ms98-a-0007,15.312125,15.612125,quite,I,sd,u-6-2
sw3855B-ms98-a-0007,15.612125,15.662125,a,I,sd,u-6-2
sw3855B-ms98-a-0007,15.662125,16.022125,bit,I,sd,u-6-2
sw3855B-ms98-a-0008,16.344375,16.514375,but,B,sd,u-8-1
sw3855B-ms98-a-0008,16.704375,17.084375,we,I,sd,u-8-1
sw3855B-ms98-a-0008,17.554375,17.679250,we,I,sd,u-8-1
sw3855B-ms98-a-0008,17.679250,18.014500,pay,I,sd,u-8-1
sw3855B-ms98-a-0008,18.014500,18.434375,off,I,sd,u-8-1
sw3855B-ms98-a-0008,18.434375,18.634375,every,I,sd,u-8-1
sw3855B-ms98-a-0008,18.634375,18.964375,month,I,sd,u-8-1
sw3855B-ms98-a-0008,18.964375,19.074375,though,I,sd,u-8-1
sw3855B-ms98-a-0008,19.074375,19.244375,so,B,sd,u-8-2
sw3855B-ms98-a-0008,19.244375,19.344375,we,I,sd,u-8-2
sw3855B-ms98-a-0008,19.344375,19.784375,never,I,sd,u-8-2
sw3855B-ms98-a-0008,19.784375,20.034375,have,I,sd,u-8-2
sw3855B-ms98-a-0008,20.034375,20.154375,to,I,sd,u-8-2
sw3855B-ms98-a-0008,20.154375,20.491000,pay,I,sd,u-8-2
sw3855B-ms98-a-0008,20.585250,21.034375,interest,I,sd,u-8-2
sw3855B-ms98-a-0008,21.034375,21.254375,and,B,sd,u-8-3
sw3855B-ms98-a-0008,21.254375,21.464375,we,I,sd,u-8-3
sw3855B-ms98-a-0008,21.654375,21.934375,always,I,sd,u-8-3
sw3855B-ms98-a-0008,22.484375,22.614375,we,I,sd,u-8-3
sw3855B-ms98-a-0008,22.614375,22.921000,never,I,sd,u-8-3
sw3855B-ms98-a-0008,22.921000,23.151500,get,I,sd,u-8-3
sw3855B-ms98-a-0008,23.151500,23.407625,the,I,sd,u-8-3
sw3855B-ms98-a-0008,23.743250,23.887250,the,I,sd,u-8-3
sw3855B-ms98-a-0008,23.887250,24.124375,credit,I,sd,u-8-3
sw3855B-ms98-a-0008,24.124375,24.398125,cards,I,sd,u-8-3
sw3855B-ms98-a-0009,25.175750,25.475750,if,I,sd,u-8-3
