sw2035B-ms98-a-0002,2.136375,2.619375,hi,B,fp^m,u-2-1
sw2035B-ms98-a-0003,6.450375,6.734500,pardon,B,br,u-4-1
sw2035B-ms98-a-0003,6.734500,7.018375,me,I,br,u-4-1
sw2035B-ms98-a-0005,10.983000,11.227625,oh,B,ny,u-6-1
sw2035B-ms98-a-0005,11.227625,11.640125,yes,I,ny,u-6-1
sw2035B-ms98-a-0005,11.640125,11.843625,we've,B,sd^e,u-6-2
sw2035B-ms98-a-0005,11.843625,12.048500,um,I,sd^e,u-6-2
sw2035B-ms98-a-0005,12.648500,12.883250,been,I,sd^e,u-6-2
sw2035B-ms98-a-0005,12.883250,13.152875,um,I,sd^e,u-6-2
sw2035B-ms98-a-0006,13.588625,13.769375,we've,I,sd^e,u-6-2
sw2035B-ms98-a-0006,13.769375,14.049375,gone,I,sd^e,u-6-2
sw2035B-ms98-a-0006,14.049375,14.309375,other,I,sd^e,u-6-2
sw2035B-ms98-a-0006,14.429375,14.489375,you,I,sd^e,u-6-2
sw2035B-ms98-a-0006,14.489375,14.629375,know,I,sd^e,u-6-2
sw2035B-ms98-a-0006,14.629375,14.799375,all,I,sd^e,u-6-2
sw2035B-ms98-a-0006,14.799375,15.099375,kinds,I,sd^e,u-6-2
sw2035B-ms98-a-0006,15.099375,15.169375,of,I,sd^e,u-6-2
sw2035B-ms98-a-0006,15.169375,15.529375,places,I,sd^e,u-6-2
sw2035B-ms98-a-0006,15.529375,15.649375,we,B,sd,u-6-3
sw2035B-ms98-a-0006,15.649375,15.779375,go,I,sd,u-6-3
sw2035B-ms98-a-0006,15.779375,15.929375,out,I,sd,u-6-3
sw2035B-ms98-a-0006,15.929375,16.019375,to,I,sd,u-6-3
sw2035B-ms98-a-0006,16.019375,16.624250,dinner,I,sd,u-6-3
sw2035B-ms98-a-0006,16.978250,17.129375,we,B,sd,u-8-1
sw2035B-ms98-a-0006,17.129375,17.369375,take,I,sd,u-8-1
sw2035B-ms98-a-0006,17.369375,17.489375,the,I,sd,u-8-1
sw2035B-ms98-a-0006,17.489375,17.749375,kids,I,sd,u-8-1
sw2035B-ms98-a-0006,17.749375,17.889375,to,I,sd,u-8-1
sw2035B-ms98-a-0006,17.889375,17.969375,the,I,sd,u-8-1
sw2035B-ms98-a-0006,17.969375,18.659375,park,I,sd,u-8-1
sw2035B-ms98-a-0006,18.659375,18.989375,and,B,sd,u-8-2
sw2035B-ms98-a-0006,18.989375,19.155625,um,I,sd,u-8-2
sw2035B-ms98-a-0007,20.308750,20.416125,you,I,sd,u-8-2
sw2035B-ms98-a-0007,20.416125,20.613250,know,I,sd,u-8-2
sw2035B-ms98-a-0007,20.613250,20.992000,whenever,I,sd,u-8-2
sw2035B-ms98-a-0007,20.992000,21.261875,we,I,sd,u-8-2
sw2035B-ms98-a-0007,21.261875,21.570750,he,I,sd,u-8-2
sw2035B-ms98-a-0007,21.570750,21.714625,my,I,sd,u-8-2
sw2035B-ms98-a-0007,21.714625,22.024625,husband,I,sd,u-8-2
sw2035B-ms98-a-0007,22.024625,22.174625,has,I,sd,u-8-2
sw2035B-ms98-a-0007,22.174625,22.444625,time,I,sd,u-8-2
sw2035B-ms98-a-0007,22.444625,22.614625,off,I,sd,u-8-2
sw2035B-ms98-a-0007,22.614625,22.674625,or,I,sd,u-8-2
sw2035B-ms98-a-0007,22.674625,22.934625,something,I,sd,u-8-2
sw2035B-ms98-a-0007,22.934625,23.004625,we,I,sd,u-8-2
sw2035B-ms98-a-0007,23.004625,23.244625,take,I,sd,u-8-2
sw2035B-ms98-a-0007,23.244625,23.364625,them_1,I,sd,u-8-2
sw2035B-ms98-a-0007,23.364625,23.494625,to,I,sd,u-8-2
