sw3203B-ms98-a-0002,0.908375,1.388375,okay,B,o,u-2-1
sw3203B-ms98-a-0004,3.585000,3.865000,we,B,sd,u-4-1
sw3203B-ms98-a-0004,3.865000,4.115000,have,I,sd,u-4-1
sw3203B-ms98-a-0004,4.115000,4.165000,a,I,sd,u-4-1
sw3203B-ms98-a-0004,4.165000,4.265000,uh,I,sd,u-4-1
sw3203B-ms98-a-0004,5.175000,5.465000,four,I,sd,u-4-1
sw3203B-ms98-a-0004,5.465000,6.035000,bedroom,I,sd,u-4-1
sw3203B-ms98-a-0004,6.035000,6.605000,split,I,sd,u-4-1
sw3203B-ms98-a-0004,7.415000,7.785000,brick,I,sd,u-4-1
sw3203B-ms98-a-0004,7.785000,8.105000,home,I,sd,u-4-1
sw3203B-ms98-a-0004,8.105000,8.295000,in,I,sd,u-4-1
sw3203B-ms98-a-0004,8.335000,8.685000,in,I,sd,u-4-1
sw3203B-ms98-a-0004,9.095000,9.565000,Richardson,I,sd,u-4-1
sw3203B-ms98-a-0004,9.565000,10.025000,actually,I,sd,u-4-1
sw3203B-ms98-a-0005,10.987000,11.387000,and,B,sd,u-6-1
sw3203B-ms98-a-0005,11.387000,11.607000,uh,I,sd,u-6-1
sw3203B-ms98-a-0005,12.327000,12.527000,we,I,sd,u-6-1
sw3203B-ms98-a-0005,12.527000,12.747000,bought,I,sd,u-6-1
sw3203B-ms98-a-0005,12.747000,12.857000,it,I,sd,u-6-1
sw3203B-ms98-a-0005,12.857000,13.167000,back,I,sd,u-6-1
sw3203B-ms98-a-0005,13.197000,13.367000,in,I,sd,u-6-1
sw3203B-ms98-a-0005,13.367000,13.677000,about,I,sd,u-6-1
sw3203B-ms98-a-0005,13.677000,14.327000,nineteen,I,sd,u-6-1
sw3203B-ms98-a-0005,14.327000,14.987000,seventy,I,sd,u-6-1
sw3203B-ms98-a-0005,14.987000,15.547000,three,I,sd,u-6-1
sw3203B-ms98-a-0006,16.559500,16.859500,so,B,sd,u-6-2
sw3203B-ms98-a-0006,16.859500,17.039500,we've,I,sd,u-6-2
sw3203B-ms98-a-0006,17.039500,17.399500,seen,I,sd,u-6-2
sw3203B-ms98-a-0006,17.399500,17.499500,it,I,sd,u-6-2
sw3203B-ms98-a-0006,17.499500,17.789500,gone,I,sd,u-6-2
sw3203B-ms98-a-0006,17.789500,17.919500,up,I,sd,u-6-2
sw3203B-ms98-a-0006,17.999500,18.099500,in,I,sd,u-6-2
sw3203B-ms98-a-0006,18.099500,18.459500,value,I,sd,u-6-2
sw3203B-ms98-a-0006,18.459500,18.869500,wise,I,sd,u-6-2
sw3203B-ms98-a-0006,18.869500,19.019500,real,I,sd,u-6-2
sw3203B-ms98-a-0006,19.019500,19.279500,well,I,sd,u-6-2
sw3203B-ms98-a-0006,19.319500,20.449500,[laughter],O,,
sw3203B-ms98-a-0006,20.449500,20.819500,yes,B,aa,u-8-1
sw3203B-ms98-a-0006,20.819500,22.849500,[laughter],O,,
sw3203B-ms98-a-0008,25.222000,25.842000,yes,B,ny,u-10-1
sw3203B-ms98-a-0008,25.902000,26.242000,yes,B,ny^r,u-10-2
sw3203B-ms98-a-0008,26.242000,26.412000,it,B,sd^e,u-10-3
sw3203B-ms98-a-0008,26.552000,26.732000,it,I,sd^e,u-10-3
sw3203B-ms98-a-0008,26.732000,26.982000,looks,I,sd^e,u-10-3
sw3203B-ms98-a-0008,26.982000,27.252000,like,I,sd^e,u-10-3
sw3203B-ms98-a-0008,27.252000,27.462000,all,I,sd^e,u-10-3
sw3203B-ms98-a-0008,27.572000,27.682000,the,I,sd^e,u-10-3
sw3203B-ms98-a-0008,27.682000,27.962000,others,I,sd^e,u-10-3
sw3203B-ms98-a-0008,28.212000,28.672000,it's,B,%,u-10-4
sw3203B-ms98-a-0008,28.672000,28.772000,uh,I,%,u-10-4
sw3203B-ms98-a-0010,31.170250,31.730250,uh-huh,B,b,u-12-1
sw3203B-ms98-a-0012,39.149000,39.399000,oh,B,sd@,u-14-1
sw3203B-ms98-a-0012,39.399000,39.479000,i,I,sd@,u-14-1
sw3203B-ms98-a-0012,39.479000,39.649000,know,I,sd@,u-14-1
sw3203B-ms98-a-0012,39.649000,39.809000,where,I,sd@,u-14-1
sw3203B-ms98-a-0012,39.809000,40.049000,that,I,sd@,u-14-1
sw3203B-ms98-a-0012,40.049000,40.469000,is,I,sd@,u-14-1
sw3203B-ms98-a-0012,40.469000,40.859000,yeah,I,sd@,u-14-1
sw3203B-ms98-a-0014,49.745875,50.015875,yes,B,b,u-16-1
sw3203B-ms98-a-0014,50.015875,50.175875,you're,B,qy^d,u-16-2
sw3203B-ms98-a-0014,50.175875,50.485875,in,I,qy^d,u-16-2
sw3203B-ms98-a-0014,50.485875,50.685875,the,I,qy^d,u-16-2
sw3203B-ms98-a-0014,50.685875,50.865875,the,I,qy^d,u-16-2
sw3203B-ms98-a-0014,50.865875,51.245875,styles,I,qy^d,u-16-2
sw3203B-ms98-a-0014,51.245875,51.355875,that,I,qy^d,u-16-2
sw3203B-ms98-a-0014,51.355875,51.485875,they,I,qy^d,u-16-2
sw3203B-ms98-a-0014,51.485875,51.605875,have,I,qy^d,u-16-2
sw3203B-ms98-a-0014,51.605875,51.965875,started,I,qy^d,u-16-2
sw3203B-ms98-a-0014,51.965875,52.305875,building,I,qy^d,u-16-2
