sw3324A-ms98-a-0001,0.050000,0.350000,okay,B,o,u-1-1
sw3324A-ms98-a-0001,0.350000,0.680000,well,B,sd,u-1-2
sw3324A-ms98-a-0001,1.040000,1.230000,just,I,sd,u-1-2
sw3324A-ms98-a-0001,1.230000,1.290000,to,I,sd,u-1-2
sw3324A-ms98-a-0001,1.290000,1.470000,let,I,sd,u-1-2
sw3324A-ms98-a-0001,1.470000,1.600000,you,I,sd,u-1-2
sw3324A-ms98-a-0001,1.600000,1.890000,know,I,sd,u-1-2
sw3324A-ms98-a-0001,1.890000,2.010000,i,I,sd,u-1-2
sw3324A-ms98-a-0001,2.010000,2.330000,have,I,sd,u-1-2
sw3324A-ms98-a-0001,2.330000,2.510000,uh,I,sd,u-1-2
sw3324A-ms98-a-0001,2.510000,3.090250,two,I,sd,u-1-2
sw3324A-ms98-a-0001,3.361375,3.570000,uh,I,sd,u-1-2
sw3324A-ms98-a-0001,3.570000,3.890000,children,I,sd,u-1-2
sw3324A-ms98-a-0001,3.890000,3.980000,of,I,sd,u-1-2
sw3324A-ms98-a-0001,3.980000,4.150000,my,I,sd,u-1-2
sw3324A-ms98-a-0001,4.150000,4.380000,own,I,sd,u-1-2
sw3324A-ms98-a-0001,4.380000,4.620000,i've,B,sd,u-1-3
sw3324A-ms98-a-0001,4.620000,4.930000,got,I,sd,u-1-3
sw3324A-ms98-a-0001,4.930000,5.130000,two,I,sd,u-1-3
sw3324A-ms98-a-0001,5.130000,5.729625,boys,I,sd,u-1-3
sw3324A-ms98-a-0001,6.253250,6.380000,uh,I,sd,u-1-3
sw3324A-ms98-a-0001,6.380000,6.650000,one,I,sd,u-1-3
sw3324A-ms98-a-0001,6.650000,6.930000,four,I,sd,u-1-3
sw3324A-ms98-a-0001,6.930000,7.070000,year,I,sd,u-1-3
sw3324A-ms98-a-0001,7.070000,7.280000,old,I,sd,u-1-3
sw3324A-ms98-a-0001,7.280000,7.370000,and,I,sd,u-1-3
sw3324A-ms98-a-0001,7.370000,7.510000,one,I,sd,u-1-3
sw3324A-ms98-a-0001,7.510000,7.690000,two,I,sd,u-1-3
sw3324A-ms98-a-0001,7.690000,8.020000,years,I,sd,u-1-3
sw3324A-ms98-a-0001,8.020000,8.360000,old,I,sd,u-1-3
sw3324A-ms98-a-0001,8.360000,8.420000,so,B,sd,u-1-4
sw3324A-ms98-a-0001,8.420000,8.540000,so,I,sd,u-1-4
sw3324A-ms98-a-0001,8.540000,8.680000,i'm,I,sd,u-1-4
sw3324A-ms98-a-0001,8.680000,8.840000,just,I,sd,u-1-4
sw3324A-ms98-a-0001,8.840000,9.200000,starting,I,sd,u-1-4
sw3324A-ms98-a-0001,9.200000,9.636750,out,I,sd,u-1-4
sw3324A-ms98-a-0003,15.087250,15.347250,wow,B,ba,u-5-1
sw3324A-ms98-a-0003,15.347250,16.827250,[laughter],O,,
sw3324A-ms98-a-0003,16.827250,16.997250,wow,B,ba,u-7-1
sw3324A-ms98-a-0003,16.997250,17.187250,that's,B,sv,u-7-2
sw3324A-ms98-a-0003,17.187250,17.377250,quite,I,sv,u-7-2
sw3324A-ms98-a-0003,17.377250,17.437250,a,I,sv,u-7-2
sw3324A-ms98-a-0003,17.437250,17.967250,spread,I,sv,u-7-2
sw3324A-ms98-a-0003,17.967250,18.551375,[laughter],O,,
sw3324A-ms98-a-0005,20.900250,22.202375,[laughter],O,,
sw3324A-ms98-a-0005,22.202375,22.412375,that's,B,ba,u-9-1
sw3324A-ms98-a-0005,22.412375,22.816125,great,I,ba,u-9-1
sw3324A-ms98-a-0006,23.947500,24.303250,well,B,sd,u-11-1
sw3324A-ms98-a-0006,24.838125,24.967500,i,I,sd,u-11-1
sw3324A-ms98-a-0006,24.967500,25.347500,guess,I,sd,u-11-1
sw3324A-ms98-a-0006,25.347500,25.977375,uh,I,sd,u-11-1
sw3324A-ms98-a-0006,26.804625,27.057500,in,I,sd,u-11-1
sw3324A-ms98-a-0006,27.057500,27.217500,one,I,sd,u-11-1
sw3324A-ms98-a-0006,27.217500,27.317500,of,I,sd,u-11-1
sw3324A-ms98-a-0006,27.317500,27.617500,things,I,sd,u-11-1
sw3324A-ms98-a-0006,27.617500,27.877500,that,I,sd,u-11-1
sw3324A-ms98-a-0006,27.877500,28.192250,that,I,sd,u-11-1
sw3324A-ms98-a-0006,28.410625,28.564125,uh,I,sd,u-11-1
sw3324A-ms98-a-0006,28.673375,28.877500,i,I,sd,u-11-1
sw3324A-ms98-a-0006,28.877500,29.107500,like,I,sd,u-11-1
sw3324A-ms98-a-0006,29.107500,29.217500,to,I,sd,u-11-1
sw3324A-ms98-a-0006,29.217500,29.297500,do,I,sd,u-11-1
sw3324A-ms98-a-0006,29.297500,29.447500,with,I,sd,u-11-1
sw3324A-ms98-a-0006,29.447500,29.697500,my,I,sd,u-11-1
sw3324A-ms98-a-0006,29.697500,30.127500,boys,I,sd,u-11-1
sw3324A-ms98-a-0006,30.127500,30.397500,when,I,sd,u-11-1
sw3324A-ms98-a-0006,30.397500,30.587500,uh,I,sd,u-11-1
sw3324A-ms98-a-0006,30.587500,30.767500,when,I,sd,u-11-1
sw3324A-ms98-a-0006,30.767500,30.857500,i,I,sd,u-11-1
sw3324A-ms98-a-0006,30.857500,31.047500,get,I,sd,u-11-1
sw3324A-ms98-a-0006,31.047500,31.287500,home,I,sd,u-11-1
sw3324A-ms98-a-0006,31.287500,31.583250,is,I,sd,u-11-1
sw3324A-ms98-a-0006,32.189625,32.267500,i,I,sd,u-11-1
sw3324A-ms98-a-0006,32.267500,32.387500,like,I,sd,u-11-1
sw3324A-ms98-a-0006,32.387500,32.477500,to,I,sd,u-11-1
sw3324A-ms98-a-0006,32.477500,32.737500,try,I,sd,u-11-1
sw3324A-ms98-a-0006,32.737500,32.847500,and,I,sd,u-11-1
sw3324A-ms98-a-0006,32.847500,33.147500,spend,I,sd,u-11-1
sw3324A-ms98-a-0006,33.147500,33.177500,a,I,sd,u-11-1
sw3324A-ms98-a-0006,33.177500,33.337500,lot,I,sd,u-11-1
sw3324A-ms98-a-0006,33.337500,33.427500,of,I,sd,u-11-1
sw3324A-ms98-a-0006,33.427500,33.797500,time,I,sd,u-11-1
sw3324A-ms98-a-0006,33.797500,33.967500,with,I,sd,u-11-1
sw3324A-ms98-a-0006,33.967500,34.237500,them,I,sd,u-11-1
sw3324A-ms98-a-0006,34.347500,34.487500,you,B,sd,u-11-2
sw3324A-ms98-a-0006,34.487500,34.727500,know,I,sd,u-11-2
sw3324A-ms98-a-0006,34.727500,34.927500,they're,I,sd,u-11-2
sw3324A-ms98-a-0006,34.927500,35.047500,not,I,sd,u-11-2
sw3324A-ms98-a-0006,35.047500,35.267500,very,I,sd,u-11-2
sw3324A-ms98-a-0006,35.267500,35.477500,old,I,sd,u-11-2
sw3324A-ms98-a-0006,35.477500,35.537500,so,B,sd,u-11-3
sw3324A-ms98-a-0006,35.537500,35.687500,they,I,sd,u-11-3
sw3324A-ms98-a-0006,35.687500,35.977500,can't,I,sd,u-11-3
sw3324A-ms98-a-0006,35.977500,36.107500,do,I,sd,u-11-3
sw3324A-ms98-a-0006,36.107500,36.137500,a,I,sd,u-11-3
sw3324A-ms98-a-0006,36.137500,36.327500,whole,I,sd,u-11-3
sw3324A-ms98-a-0006,36.327500,36.567500,lot,I,sd,u-11-3
sw3324A-ms98-a-0006,36.567500,37.016875,yet,I,sd,u-11-3
sw3324A-ms98-a-0007,37.605375,37.865375,but,B,sd,u-13-1
sw3324A-ms98-a-0007,37.865375,38.015375,they,I,sd,u-13-1
sw3324A-ms98-a-0007,38.015375,38.295375,like,I,sd,u-13-1
sw3324A-ms98-a-0007,38.295375,38.635375,to,I,sd,u-13-1
sw3324A-ms98-a-0007,38.635375,38.867250,uh,I,sd,u-13-1
sw3324A-ms98-a-0007,38.972625,39.335375,spend,I,sd,u-13-1
sw3324A-ms98-a-0007,39.335375,39.585375,time,I,sd,u-13-1
sw3324A-ms98-a-0007,39.585375,39.725375,with,I,sd,u-13-1
sw3324A-ms98-a-0007,39.725375,39.845375,me,I,sd,u-13-1
sw3324A-ms98-a-0007,39.845375,39.965375,we,B,sd,u-13-2
sw3324A-ms98-a-0007,39.965375,40.340000,just,I,sd,u-13-2
sw3324A-ms98-a-0007,40.825875,41.105375,oh,I,sd,u-13-2
sw3324A-ms98-a-0007,41.105375,41.355375,just,I,sd,u-13-2
sw3324A-ms98-a-0007,41.355375,41.655375,do,I,sd,u-13-2
sw3324A-ms98-a-0007,41.655375,42.135375,various,I,sd,u-13-2
sw3324A-ms98-a-0007,42.135375,42.615375,things,I,sd,u-13-2
sw3324A-ms98-a-0007,42.615375,42.995375,nothing,I,sd,u-13-2
sw3324A-ms98-a-0007,42.995375,43.405375,really,I,sd,u-13-2
sw3324A-ms98-a-0007,43.535375,43.625375,they,B,sd,u-13-3
sw3324A-ms98-a-0007,43.625375,43.805375,like,I,sd,u-13-3
sw3324A-ms98-a-0007,43.805375,43.915375,to,I,sd,u-13-3
sw3324A-ms98-a-0007,43.915375,44.065375,be,I,sd,u-13-3
sw3324A-ms98-a-0007,44.065375,44.545375,outside,I,sd,u-13-3
sw3324A-ms98-a-0007,44.545375,44.655375,as,I,sd,u-13-3
sw3324A-ms98-a-0007,44.655375,44.905375,much,I,sd,u-13-3
sw3324A-ms98-a-0007,44.905375,45.015375,as,I,sd,u-13-3
sw3324A-ms98-a-0007,45.015375,45.715375,possible,I,sd,u-13-3
sw3324A-ms98-a-0008,46.483625,47.253625,right,B,aa,u-15-1
sw3324A-ms98-a-0008,47.253625,47.503625,uh,I,aa,u-15-1
sw3324A-ms98-a-0008,47.503625,47.803625,but,B,sd,u-17-1
sw3324A-ms98-a-0008,47.803625,47.863625,you,I,sd,u-17-1
sw3324A-ms98-a-0008,47.863625,47.943625,know,I,sd,u-17-1
sw3324A-ms98-a-0008,47.943625,48.013625,the,I,sd,u-17-1
sw3324A-ms98-a-0008,48.013625,48.393625,weather's,I,sd,u-17-1
sw3324A-ms98-a-0008,48.393625,48.703625,trying,I,sd,u-17-1
sw3324A-ms98-a-0008,48.703625,48.783625,to,I,sd,u-17-1
sw3324A-ms98-a-0008,48.783625,49.113625,turn,I,sd,u-17-1
sw3324A-ms98-a-0008,49.113625,49.353625,now,I,sd,u-17-1
sw3324A-ms98-a-0008,49.353625,49.733625,so,B,%,u-17-2
sw3324A-ms98-a-0010,52.009875,52.309875,yes,B,ny,u-19-1
sw3324A-ms98-a-0010,52.309875,52.459875,i,B,sd^e,u-19-2
sw3324A-ms98-a-0010,52.459875,52.767250,i'm,B,+,u-21-1
sw3324A-ms98-a-0010,52.767250,53.083625,[vocalized-noise],I,+,u-21-1
sw3324A-ms98-a-0010,53.083625,53.299875,i'm,I,+,u-21-1
sw3324A-ms98-a-0010,53.299875,53.449875,in,I,+,u-21-1
sw3324A-ms98-a-0010,53.449875,53.707375,uh,I,+,u-21-1
sw3324A-ms98-a-0010,54.091500,54.695500,Dallas,I,+,u-21-1
sw3324A-ms98-a-0010,55.160625,55.934125,[laughter],O,,
sw3324A-ms98-a-0011,57.293000,57.733000,right,B,na,u-25-1
sw3324A-ms98-a-0011,57.733000,58.183000,right,B,na^r,u-25-2
sw3324A-ms98-a-0011,58.972375,59.455000,right,B,b,u-27-1
sw3324A-ms98-a-0013,61.887375,61.977375,you,O,,
sw3324A-ms98-a-0013,61.977375,62.057375,know,O,,
sw3324A-ms98-a-0013,62.057375,62.197375,one,O,,
sw3324A-ms98-a-0013,62.197375,62.257375,o[f]-,O,,
sw3324A-ms98-a-0013,62.257375,62.477375,one,O,,
sw3324A-ms98-a-0013,62.477375,62.557375,of,O,,
sw3324A-ms98-a-0013,62.557375,62.647375,the,O,,
sw3324A-ms98-a-0013,62.647375,62.974625,well,B,%,u-29-2
sw3324A-ms98-a-0013,63.422875,63.547375,one,B,sd,u-29-3
sw3324A-ms98-a-0013,63.547375,63.637375,of,I,sd,u-29-3
sw3324A-ms98-a-0013,63.637375,63.717375,the,I,sd,u-29-3
sw3324A-ms98-a-0013,63.717375,63.867375,things,I,sd,u-29-3
sw3324A-ms98-a-0013,63.867375,64.017375,i've,I,sd,u-29-3
sw3324A-ms98-a-0013,64.017375,64.547375,noticed,I,sd,u-29-3
sw3324A-ms98-a-0013,64.547375,64.777375,is,I,sd,u-29-3
sw3324A-ms98-a-0013,64.777375,64.967375,one,I,sd,u-29-3
sw3324A-ms98-a-0013,64.967375,65.037375,of,I,sd,u-29-3
sw3324A-ms98-a-0013,65.037375,65.117375,the,I,sd,u-29-3
