sw2754B-ms98-a-0003,2.270000,2.831250,okay,B,o,u-2-1
sw2754B-ms98-a-0005,4.537250,4.907250,well,B,sd,u-2-2
sw2754B-ms98-a-0005,4.907250,5.187250,uh,I,sd,u-2-2
sw2754B-ms98-a-0005,5.357250,5.917250,anyways,I,sd,u-2-2
sw2754B-ms98-a-0005,5.917250,6.067250,i'm,I,sd,u-2-2
sw2754B-ms98-a-0005,6.067250,6.257250,not,I,sd,u-2-2
sw2754B-ms98-a-0005,6.427250,6.797250,exactly,I,sd,u-2-2
sw2754B-ms98-a-0005,6.797250,7.047250,sure,I,sd,u-2-2
sw2754B-ms98-a-0005,7.047250,7.157250,i,B,sd^t,u-2-3
sw2754B-ms98-a-0005,7.157250,7.507250,i,I,sd^t,u-2-3
sw2754B-ms98-a-0005,7.507250,7.777250,wasn't,I,sd^t,u-2-3
sw2754B-ms98-a-0005,7.777250,8.041250,really,I,sd^t,u-2-3
sw2754B-ms98-a-0005,8.191875,8.537250,uh,I,sd^t,u-2-3
sw2754B-ms98-a-0005,8.537250,8.747250,paying,I,sd^t,u-2-3
sw2754B-ms98-a-0005,8.747250,9.067250,attention,I,sd^t,u-2-3
sw2754B-ms98-a-0005,9.067250,9.177250,as,I,sd^t,u-2-3
sw2754B-ms98-a-0005,9.177250,9.277250,to,I,sd^t,u-2-3
sw2754B-ms98-a-0005,9.277250,9.447250,what,I,sd^t,u-2-3
sw2754B-ms98-a-0005,9.447250,9.977250,particular,I,sd^t,u-2-3
sw2754B-ms98-a-0005,9.977250,10.247250,uh,I,sd^t,u-2-3
sw2754B-ms98-a-0005,10.247250,10.647250,parts,I,sd^t,u-2-3
sw2754B-ms98-a-0005,10.647250,10.737250,of,I,sd^t,u-2-3
sw2754B-ms98-a-0005,10.737250,11.047250,capital,I,sd^t,u-2-3
sw2754B-ms98-a-0005,11.047250,11.377250,punishment,I,sd^t,u-2-3
sw2754B-ms98-a-0005,11.377250,11.487250,we're,I,sd^t,u-2-3
sw2754B-ms98-a-0005,11.487250,11.737250,supposed,I,sd^t,u-2-3
sw2754B-ms98-a-0005,11.737250,11.817250,to,I,sd^t,u-2-3
sw2754B-ms98-a-0005,11.817250,12.077250,talk,I,sd^t,u-2-3
sw2754B-ms98-a-0005,12.077250,12.357250,about,I,sd^t,u-2-3
sw2754B-ms98-a-0005,12.357250,12.467250,but,B,qo^t,u-2-4
sw2754B-ms98-a-0005,12.467250,12.537250,it,I,qo^t,u-2-4
sw2754B-ms98-a-0005,12.537250,12.787250,was,I,qo^t,u-2-4
sw2754B-ms98-a-0005,12.787250,12.996000,uh,I,qo^t,u-2-4
sw2754B-ms98-a-0005,13.365000,13.657250,basically,I,qo^t,u-2-4
sw2754B-ms98-a-0005,13.657250,13.877250,what's,I,qo^t,u-2-4
sw2754B-ms98-a-0005,13.877250,13.987250,your,I,qo^t,u-2-4
sw2754B-ms98-a-0005,13.987250,14.367250,views,I,qo^t,u-2-4
sw2754B-ms98-a-0005,14.367250,14.857250,on,I,qo^t,u-2-4
sw2754B-ms98-a-0005,14.857250,15.087250,whether,I,qo^t,u-2-4
sw2754B-ms98-a-0005,15.087250,15.207250,you,I,qo^t,u-2-4
sw2754B-ms98-a-0005,15.207250,15.417250,thought,I,qo^t,u-2-4
sw2754B-ms98-a-0005,15.417250,15.507250,there,I,qo^t,u-2-4
sw2754B-ms98-a-0005,15.507250,15.607250,was,I,qo^t,u-2-4
sw2754B-ms98-a-0005,15.607250,15.857250,certain,I,qo^t,u-2-4
