sw2552B-ms98-a-0003,14.463750,14.944875,right,B,b,u-2-1
sw2552B-ms98-a-0005,18.427875,18.873875,uh-huh,B,b,u-4-1
sw2552B-ms98-a-0007,33.932125,34.461000,right,B,b,u-6-1
sw2552B-ms98-a-0009,46.318250,46.902500,uh-huh,B,b,u-8-1
sw2552B-ms98-a-0011,69.809625,70.276375,uh-huh,B,b,u-10-1
sw2552B-ms98-a-0013,71.397000,71.542375,you,B,qy^d,u-10-2
sw2552B-ms98-a-0013,71.542375,71.792375,must,I,qy^d,u-10-2
sw2552B-ms98-a-0013,71.792375,71.922375,be,I,qy^d,u-10-2
sw2552B-ms98-a-0013,71.922375,72.827625,LES,O,,
sw2552B-ms98-a-0014,73.373625,73.801375,so,B,sd,u-12-1
sw2552B-ms98-a-0014,73.801375,73.931375,am,I,sd,u-12-1
sw2552B-ms98-a-0014,73.931375,74.234750,i,I,sd,u-12-1
sw2552B-ms98-a-0014,75.061500,75.511375,yes,B,ny,u-14-1
sw2552B-ms98-a-0014,75.511375,75.661375,what,B,sv^e,u-14-2
sw2552B-ms98-a-0014,75.661375,75.711375,a,I,sv^e,u-14-2
sw2552B-ms98-a-0014,75.711375,76.629625,coincidence,I,sv^e,u-14-2
sw2552B-ms98-a-0015,76.833750,78.515500,[laughter],O,,
sw2552B-ms98-a-0016,79.005875,79.434500,yeah,B,b,u-18-1
sw2552B-ms98-a-0016,79.434500,79.684500,i,B,sd,u-18-2
sw2552B-ms98-a-0016,79.684500,79.854500,know,I,sd,u-18-2
sw2552B-ms98-a-0016,79.854500,80.044500,what,I,sd,u-18-2
sw2552B-ms98-a-0016,80.044500,80.434500,family,I,sd,u-18-2
sw2552B-ms98-a-0016,80.434500,80.654500,home,I,sd,u-18-2
sw2552B-ms98-a-0016,80.654500,81.024500,evening's,I,sd,u-18-2
sw2552B-ms98-a-0016,81.024500,81.214500,all,I,sd,u-18-2
sw2552B-ms98-a-0016,81.214500,81.697875,about,I,sd,u-18-2
sw2552B-ms98-a-0017,81.853625,82.329375,[laughter],O,,
sw2552B-ms98-a-0019,87.537750,88.054875,um-hum,B,b,u-20-1
sw2552B-ms98-a-0021,90.177500,90.732375,right,B,aa,u-22-1
sw2552B-ms98-a-0021,90.732375,90.902375,and,B,qy^d,u-22-2
sw2552B-ms98-a-0021,90.902375,91.042375,then,I,qy^d,u-22-2
sw2552B-ms98-a-0021,91.042375,91.112375,the,I,qy^d,u-22-2
sw2552B-ms98-a-0021,91.112375,91.532375,family,I,qy^d,u-22-2
sw2552B-ms98-a-0021,91.532375,91.742375,home,I,qy^d,u-22-2
sw2552B-ms98-a-0021,91.742375,92.132375,evening,I,qy^d,u-22-2
sw2552B-ms98-a-0021,92.132375,92.561750,too,I,qy^d,u-22-2
sw2552B-ms98-a-0023,98.510250,99.129500,right,B,b,u-24-1
sw2552B-ms98-a-0025,101.843500,101.925750,well,B,ba,u-26-1
sw2552B-ms98-a-0025,101.925750,102.195750,that's,I,ba,u-26-1
sw2552B-ms98-a-0025,102.195750,102.766500,good,I,ba,u-26-1
sw2552B-ms98-a-0026,103.651250,103.887375,um,B,qw,u-26-2
sw2552B-ms98-a-0026,103.887375,104.027375,how,I,qw,u-26-2
sw2552B-ms98-a-0026,104.027375,104.237375,many,I,qw,u-26-2
sw2552B-ms98-a-0026,104.237375,104.637375,children,I,qw,u-26-2
sw2552B-ms98-a-0026,104.637375,104.717375,do,I,qw,u-26-2
sw2552B-ms98-a-0026,104.717375,104.837375,you,I,qw,u-26-2
sw2552B-ms98-a-0026,104.837375,105.398125,have,I,qw,u-26-2
sw2552B-ms98-a-0027,106.849375,107.993500,two,B,qy^m,u-28-1
sw2552B-ms98-a-0027,107.993500,108.348000,what,B,qo@,u-30-1
sw2552B-ms98-a-0027,108.622875,108.703500,what,I,qo@,u-30-1
sw2552B-ms98-a-0027,108.703500,108.763500,do,I,qo@,u-30-1
sw2552B-ms98-a-0027,108.763500,108.823500,you,I,qo@,u-30-1
sw2552B-ms98-a-0027,108.823500,109.186500,have,I,qo@,u-30-1
sw2552B-ms98-a-0029,116.723125,117.114250,five,B,+@,u-32-1
sw2552B-ms98-a-0029,117.114250,117.274250,and,I,+@,u-32-1
sw2552B-ms98-a-0029,117.274250,117.705250,four,I,+@,u-32-1
sw2552B-ms98-a-0030,118.308625,118.403125,i,B,sd,u-34-1
sw2552B-ms98-a-0030,118.403125,118.613125,have,I,sd,u-34-1
sw2552B-ms98-a-0030,118.613125,118.843125,two,I,sd,u-34-1
sw2552B-ms98-a-0030,118.843125,119.508125,daughters,I,sd,u-34-1
sw2552B-ms98-a-0031,120.887375,121.025875,my,B,sd,u-36-1
sw2552B-ms98-a-0031,121.025875,121.615875,oldest,I,sd,u-36-1
sw2552B-ms98-a-0031,121.615875,122.005875,is,I,sd,u-36-1
sw2552B-ms98-a-0031,122.005875,122.460125,uh,I,sd,u-36-1
sw2552B-ms98-a-0031,122.460125,123.156875,four,I,sd,u-36-1
sw2552B-ms98-a-0031,123.769625,124.025875,and,B,sd,u-36-2
sw2552B-ms98-a-0031,124.025875,124.145875,my,I,sd,u-36-2
sw2552B-ms98-a-0031,124.145875,124.665875,youngest,I,sd,u-36-2
sw2552B-ms98-a-0031,124.665875,124.905875,is,I,sd,u-36-2
sw2552B-ms98-a-0031,124.905875,125.185875,about,I,sd,u-36-2
sw2552B-ms98-a-0031,125.185875,125.265875,to,I,sd,u-36-2
sw2552B-ms98-a-0031,125.265875,125.575875,turn,I,sd,u-36-2
sw2552B-ms98-a-0031,125.575875,126.242875,three,I,sd,u-36-2
sw2552B-ms98-a-0032,126.902625,127.099375,two,B,b,u-38-1
sw2552B-ms98-a-0032,127.099375,127.669000,girls,I,b,u-38-1
sw2552B-ms98-a-0033,129.128250,129.447750,and,B,sd,u-40-1
sw2552B-ms98-a-0033,129.447750,129.647750,they,I,sd,u-40-1
sw2552B-ms98-a-0033,129.647750,129.907750,are,I,sd,u-40-1
sw2552B-ms98-a-0033,129.907750,129.947750,a,I,sd,u-40-1
sw2552B-ms98-a-0033,129.947750,130.837750,handful,I,sd,u-40-1
sw2552B-ms98-a-0033,130.837750,131.664000,[laughter],O,,
sw2552B-ms98-a-0034,132.319750,132.968625,yes,B,aa,u-42-1
sw2552B-ms98-a-0034,132.968625,133.178500,w[e]-,O,,
sw2552B-ms98-a-0034,133.626750,133.973000,we've,B,sd,u-42-2
sw2552B-ms98-a-0034,134.300625,134.856625,my,I,sd,u-42-2
sw2552B-ms98-a-0034,134.856625,135.066625,uh,I,sd,u-42-2
sw2552B-ms98-a-0034,135.066625,135.186625,well,I,sd,u-42-2
sw2552B-ms98-a-0034,135.186625,135.326625,when,I,sd,u-42-2
sw2552B-ms98-a-0034,135.326625,135.406625,we,I,sd,u-42-2
sw2552B-ms98-a-0034,135.406625,135.666625,first,I,sd,u-42-2
sw2552B-ms98-a-0034,135.666625,135.856625,got,I,sd,u-42-2
sw2552B-ms98-a-0034,135.856625,136.256625,married,I,sd,u-42-2
sw2552B-ms98-a-0034,136.256625,136.428875,my,I,sd,u-42-2
sw2552B-ms98-a-0034,136.428875,136.876625,wife,I,sd,u-42-2
sw2552B-ms98-a-0034,136.876625,137.300750,worked,I,sd,u-42-2
sw2552B-ms98-a-0034,138.012625,138.146625,for,I,sd,u-42-2
sw2552B-ms98-a-0034,138.146625,138.261000,a,I,sd,u-42-2
sw2552B-ms98-a-0034,138.261000,138.658625,year,I,sd,u-42-2
sw2552B-ms98-a-0035,139.559000,139.668375,then,B,sd,u-42-3
sw2552B-ms98-a-0035,139.668375,139.748375,we,I,sd,u-42-3
sw2552B-ms98-a-0035,139.748375,140.198375,decided,I,sd,u-42-3
sw2552B-ms98-a-0035,140.198375,140.288375,to,I,sd,u-42-3
sw2552B-ms98-a-0035,140.288375,140.548375,have,I,sd,u-42-3
sw2552B-ms98-a-0035,140.548375,141.067875,kids,I,sd,u-42-3
sw2552B-ms98-a-0036,142.229500,142.694375,and,B,sd,u-44-1
sw2552B-ms98-a-0036,142.694375,143.044375,uh,I,sd,u-44-1
sw2552B-ms98-a-0036,143.044375,143.488500,she,I,sd,u-44-1
sw2552B-ms98-a-0036,143.812375,144.004375,she,I,sd,u-44-1
sw2552B-ms98-a-0036,144.004375,144.184375,got,I,sd,u-44-1
sw2552B-ms98-a-0036,144.184375,144.674375,pregnant,I,sd,u-44-1
sw2552B-ms98-a-0036,144.674375,144.794375,and,B,sd,u-44-2
sw2552B-ms98-a-0036,144.794375,145.046125,then,I,sd,u-44-2
sw2552B-ms98-a-0037,146.002875,146.176875,we,I,sd,u-44-2
sw2552B-ms98-a-0037,146.176875,146.646875,decided,I,sd,u-44-2
sw2552B-ms98-a-0037,146.646875,146.786875,she,I,sd,u-44-2
sw2552B-ms98-a-0037,146.786875,146.926875,would,I,sd,u-44-2
sw2552B-ms98-a-0037,146.926875,147.206875,stay,I,sd,u-44-2
