sw3331B-ms98-a-0003,8.875625,9.319875,uh-huh,B,b,u-2-1
sw3331B-ms98-a-0005,13.604500,14.051875,uh-huh,B,b,u-4-1
sw3331B-ms98-a-0005,14.654500,15.081125,uh-huh,B,aa,u-6-1
sw3331B-ms98-a-0005,15.450250,15.637625,i,B,aa,u-6-2
sw3331B-ms98-a-0005,15.637625,15.927625,agree,I,aa,u-6-2
sw3331B-ms98-a-0005,15.927625,16.087625,with,I,aa,u-6-2
sw3331B-ms98-a-0005,16.087625,16.608625,that,I,aa,u-6-2
sw3331B-ms98-a-0007,20.537000,20.629125,you,B,bh,u-8-1
sw3331B-ms98-a-0007,20.629125,21.126750,were,I,bh,u-8-1
sw3331B-ms98-a-0009,26.517125,26.930625,uh-huh,B,b,u-10-1
sw3331B-ms98-a-0010,28.496500,28.951375,uh-huh,B,b,u-12-1
sw3331B-ms98-a-0012,37.386125,37.774375,yeah,B,b,u-14-1
sw3331B-ms98-a-0012,38.373250,38.757875,yeah,B,aa,u-16-1
sw3331B-ms98-a-0012,39.081875,39.423250,yeah,B,aa,u-16-2
sw3331B-ms98-a-0012,39.913000,40.089875,from,B,sv,u-16-3
sw3331B-ms98-a-0012,40.089875,40.279875,what,I,sv,u-16-3
sw3331B-ms98-a-0012,40.279875,40.349875,i,I,sv,u-16-3
sw3331B-ms98-a-0012,40.349875,41.049875,understand,I,sv,u-16-3
sw3331B-ms98-a-0012,41.049875,41.159875,they,I,sv,u-16-3
sw3331B-ms98-a-0012,41.159875,41.419875,act,I,sv,u-16-3
sw3331B-ms98-a-0012,41.419875,41.589875,up,I,sv,u-16-3
sw3331B-ms98-a-0012,41.589875,41.869875,pretty,I,sv,u-16-3
sw3331B-ms98-a-0012,41.869875,42.438750,bad,I,sv,u-16-3
sw3331B-ms98-a-0012,42.438750,43.937000,[laughter],O,,
sw3331B-ms98-a-0013,44.937750,45.215500,what,B,qw,u-18-1
sw3331B-ms98-a-0013,45.215500,45.773625,uh,I,qw,u-18-1
sw3331B-ms98-a-0013,45.773625,46.085500,grade,I,qw,u-18-1
sw3331B-ms98-a-0013,46.085500,46.215500,is,I,qw,u-18-1
sw3331B-ms98-a-0013,46.215500,46.315500,your,I,qw,u-18-1
sw3331B-ms98-a-0013,46.315500,46.675500,daughter,I,qw,u-18-1
sw3331B-ms98-a-0013,46.675500,47.002375,in,I,qw,u-18-1
sw3331B-ms98-a-0015,49.784875,50.210625,um-hum,B,b,u-20-1
sw3331B-ms98-a-0015,50.444125,50.776500,um-hum,B,b^r,u-20-2
sw3331B-ms98-a-0017,55.690750,56.116750,um-hum,B,b,u-22-1
sw3331B-ms98-a-0017,56.278750,56.650875,um-hum,B,b,u-22-2
sw3331B-ms98-a-0018,58.420125,58.872000,yeah,B,b,u-24-1
sw3331B-ms98-a-0020,62.431125,62.730375,oh,B,aa,u-26-1
sw3331B-ms98-a-0020,62.730375,63.200375,no,I,aa,u-26-1
sw3331B-ms98-a-0020,63.200375,63.660750,huh-uh,O,,
sw3331B-ms98-a-0020,64.387750,64.460375,they,B,sd,u-26-3
sw3331B-ms98-a-0020,64.460375,64.660375,always,I,sd,u-26-3
sw3331B-ms98-a-0020,64.660375,64.936250,had,I,sd,u-26-3
sw3331B-ms98-a-0020,64.936250,65.460375,paddle,I,sd,u-26-3
sw3331B-ms98-a-0020,65.460375,65.560375,in,I,sd,u-26-3
sw3331B-ms98-a-0020,65.560375,65.750375,our,I,sd,u-26-3
sw3331B-ms98-a-0020,65.750375,66.300375,school,I,sd,u-26-3
sw3331B-ms98-a-0020,66.300375,67.357000,[laughter],O,,
sw3331B-ms98-a-0021,68.724500,68.951875,i,B,aa,u-30-1
sw3331B-ms98-a-0021,68.951875,69.511125,know,I,aa,u-30-1
sw3331B-ms98-a-0023,71.891125,72.350500,um-hum,B,b,u-32-1
sw3331B-ms98-a-0025,79.449250,79.961500,yeah,B,aa,u-34-1
sw3331B-ms98-a-0025,80.108375,80.472875,yeah,B,aa^r,u-34-2
sw3331B-ms98-a-0027,93.888875,94.308500,um-hum,B,aa,u-36-1
sw3331B-ms98-a-0027,94.624875,94.987500,um-hum,B,aa^r,u-36-2
sw3331B-ms98-a-0028,96.074125,96.477000,um-hum,B,aa,u-38-1
sw3331B-ms98-a-0030,107.400500,107.777875,yeah,B,aa,u-40-1
sw3331B-ms98-a-0030,108.451000,108.696000,wasn't,B,qy,u-40-2
sw3331B-ms98-a-0030,108.696000,108.906000,that,I,qy,u-40-2
sw3331B-ms98-a-0030,108.906000,109.096000,what,I,qy,u-40-2
sw3331B-ms98-a-0030,109.096000,109.326000,part,I,qy,u-40-2
sw3331B-ms98-a-0030,109.326000,109.386000,of,I,qy,u-40-2
sw3331B-ms98-a-0030,109.386000,109.476000,the,I,qy,u-40-2
sw3331B-ms98-a-0030,109.476000,109.936000,lottery's,I,qy,u-40-2
sw3331B-ms98-a-0030,109.936000,110.146000,gonna,I,qy,u-40-2
sw3331B-ms98-a-0030,110.146000,110.306000,go,I,qy,u-40-2
sw3331B-ms98-a-0030,110.306000,110.646000,for,I,qy,u-40-2
sw3331B-ms98-a-0030,110.646000,110.796000,if,I,qy,u-40-2
sw3331B-ms98-a-0030,110.796000,111.103000,we,I,qy,u-40-2
sw3331B-ms98-a-0030,111.355375,111.796000,approve,B,+,u-42-1
sw3331B-ms98-a-0030,111.796000,112.304375,it,I,+,u-42-1
sw3331B-ms98-a-0030,113.253500,113.704000,uh-huh,B,b,u-44-1
sw3331B-ms98-a-0030,114.525125,114.967000,uh-huh,O,,
sw3331B-ms98-a-0032,117.201500,118.378375,[laughter],O,,
sw3331B-ms98-a-0034,120.955875,123.521625,[laughter],O,,
sw3331B-ms98-a-0036,131.645125,132.058625,um-hum,B,b,u-50-1
sw3331B-ms98-a-0038,139.220750,139.562750,um-hum,B,b,u-52-1
sw3331B-ms98-a-0040,142.769125,143.606000,no,B,ar,u-54-1
sw3331B-ms98-a-0040,143.606000,144.371375,really,B,bh,u-54-2
sw3331B-ms98-a-0040,144.646375,145.314500,ooh,B,bk,u-56-1
sw3331B-ms98-a-0042,149.082625,149.507000,um-hum,B,b,u-58-1
sw3331B-ms98-a-0044,154.068125,154.600000,um-hum,B,b,u-60-1
sw3331B-ms98-a-0044,155.125375,155.450375,hm,I,b,u-60-1
sw3331B-ms98-a-0046,161.556250,162.307500,[laughter],O,,
sw3331B-ms98-a-0048,165.531625,165.697750,oh,B,aa,u-64-1
sw3331B-ms98-a-0048,165.697750,165.839875,i,I,aa,u-64-1
sw3331B-ms98-a-0048,165.839875,166.009625,do,I,aa,u-64-1
sw3331B-ms98-a-0048,166.009625,166.478750,too,I,aa,u-64-1
sw3331B-ms98-a-0048,167.141625,167.255125,i,B,aa^m,u-64-2
sw3331B-ms98-a-0048,167.255125,167.427750,think,I,aa^m,u-64-2
sw3331B-ms98-a-0048,167.427750,167.547750,they're,I,aa^m,u-64-2
sw3331B-ms98-a-0048,167.547750,167.787750,doing,I,aa^m,u-64-2
sw3331B-ms98-a-0048,167.787750,167.997750,real,I,aa^m,u-64-2
sw3331B-ms98-a-0048,167.997750,168.227750,good,I,aa^m,u-64-2
sw3331B-ms98-a-0048,168.227750,168.640500,job,I,aa^m,u-64-2
sw3331B-ms98-a-0049,170.046375,170.221250,but,B,qh,u-66-1
sw3331B-ms98-a-0049,170.221250,170.431250,then,I,qh,u-66-1
sw3331B-ms98-a-0049,170.431250,170.551250,what,I,qh,u-66-1
sw3331B-ms98-a-0049,170.551250,170.651250,do,I,qh,u-66-1
sw3331B-ms98-a-0049,170.651250,170.840125,i,I,qh,u-66-1
sw3331B-ms98-a-0049,170.840125,171.051000,know,I,qh,u-66-1
sw3331B-ms98-a-0049,171.051000,171.951875,[laughter-i],O,,
sw3331B-ms98-a-0049,171.951875,172.119750,[laughter-don't],O,,
sw3331B-ms98-a-0049,172.119750,172.291250,[laughter-have],O,,
sw3331B-ms98-a-0049,172.291250,172.461250,[laughter-any],O,,
sw3331B-ms98-a-0049,172.461250,172.951250,[laughter-kids],O,,
sw3331B-ms98-a-0049,172.951250,174.361250,[laughter],O,,
sw3331B-ms98-a-0049,174.361250,174.691250,no,B,nn,u-70-1
sw3331B-ms98-a-0049,174.691250,174.961250,none,B,sd^e,u-70-2
sw3331B-ms98-a-0049,174.961250,175.101250,at,I,sd^e,u-70-2
sw3331B-ms98-a-0049,175.101250,175.543125,all,I,sd^e,u-70-2
sw3331B-ms98-a-0049,175.543125,176.664625,[laughter],O,,
sw3331B-ms98-a-0050,178.264875,178.454875,oh,B,ny,u-72-1
sw3331B-ms98-a-0050,178.454875,178.984875,yeah,I,ny,u-72-1
sw3331B-ms98-a-0050,178.984875,180.834875,[laughter],O,,
sw3331B-ms98-a-0050,180.834875,181.158250,so,O,,
sw3331B-ms98-a-0052,184.776000,185.388500,okay,B,fc,u-74-1
sw3331B-ms98-a-0052,186.085250,186.423250,well,B,fc,u-76-1
sw3331B-ms98-a-0052,186.423250,186.533250,it's,I,fc,u-76-1
sw3331B-ms98-a-0052,186.533250,186.733250,good,I,fc,u-76-1
sw3331B-ms98-a-0052,186.733250,187.093250,talking,I,fc,u-76-1
sw3331B-ms98-a-0052,187.093250,187.153250,to,I,fc,u-76-1
sw3331B-ms98-a-0052,187.153250,187.283250,you,I,fc,u-76-1
sw3331B-ms98-a-0052,187.283250,187.808375,too,I,fc,u-76-1
sw3331B-ms98-a-0052,187.808375,188.315125,we'll,B,fc,u-78-1
sw3331B-ms98-a-0052,188.315125,188.463250,see,I,fc,u-78-1
sw3331B-ms98-a-0052,188.463250,188.623250,you,I,fc,u-78-1
sw3331B-ms98-a-0052,188.623250,189.119625,bye-bye,O,,
