sw3071B-ms98-a-0001,0.470000,0.961375,uh-huh,B,b,u-2-1
sw3071B-ms98-a-0003,3.165125,3.637375,okay,B,aa,u-4-1
sw3071B-ms98-a-0005,9.747500,9.983125,uh,B,na,u-6-1
sw3071B-ms98-a-0005,9.983125,10.125875,well,I,na,u-6-1
sw3071B-ms98-a-0005,10.125875,10.317250,i,I,na,u-6-1
sw3071B-ms98-a-0005,10.317250,10.880500,sing,I,na,u-6-1
sw3071B-ms98-a-0005,11.050000,11.131500,i,B,sd,u-8-1
sw3071B-ms98-a-0005,11.131500,11.275125,don't,I,sd,u-8-1
sw3071B-ms98-a-0005,11.275125,11.445125,play,I,sd,u-8-1
sw3071B-ms98-a-0005,11.445125,11.565125,an,I,sd,u-8-1
sw3071B-ms98-a-0005,11.565125,12.024375,instrument,I,sd,u-8-1
sw3071B-ms98-a-0005,12.024375,12.288625,though,O,,
sw3071B-ms98-a-0007,14.750000,15.027625,oh,B,ng,u-10-1
sw3071B-ms98-a-0007,15.027625,15.187625,not,I,ng,u-10-1
sw3071B-ms98-a-0007,15.187625,15.327625,right,I,ng,u-10-1
sw3071B-ms98-a-0007,15.327625,15.682500,now,I,ng,u-10-1
sw3071B-ms98-a-0009,18.632750,18.995875,oh,B,sd,u-12-1
sw3071B-ms98-a-0009,18.995875,19.161125,pretty,I,sd,u-12-1
sw3071B-ms98-a-0009,19.161125,19.381125,much,I,sd,u-12-1
sw3071B-ms98-a-0009,19.381125,19.851125,anything,I,sd,u-12-1
sw3071B-ms98-a-0011,25.822750,26.026625,oh,B,ny,u-14-1
sw3071B-ms98-a-0011,26.026625,26.307500,yeah,I,ny,u-14-1
sw3071B-ms98-a-0011,26.729375,26.798750,a,B,sd,u-16-1
sw3071B-ms98-a-0011,26.798750,27.000625,long,I,sd,u-16-1
sw3071B-ms98-a-0011,27.000625,27.290625,time,I,sd,u-16-1
sw3071B-ms98-a-0011,27.290625,27.460875,out,I,sd,u-16-1
sw3071B-ms98-a-0011,27.577625,27.730625,all,I,sd,u-16-1
sw3071B-ms98-a-0011,27.730625,27.850625,through,I,sd,u-16-1
sw3071B-ms98-a-0011,27.850625,28.390625,college,I,sd,u-16-1
sw3071B-ms98-a-0011,28.390625,28.640625,and,I,sd,u-16-1
sw3071B-ms98-a-0011,28.640625,29.010625,everything,I,sd,u-16-1
sw3071B-ms98-a-0011,29.010625,29.040625,i,I,sd,u-16-1
sw3071B-ms98-a-0011,29.040625,29.220625,was,I,sd,u-16-1
sw3071B-ms98-a-0011,29.220625,29.320625,in,I,sd,u-16-1
sw3071B-ms98-a-0011,29.320625,29.380625,the,I,sd,u-16-1
sw3071B-ms98-a-0011,29.380625,29.987625,choirs,I,sd,u-16-1
sw3071B-ms98-a-0012,30.745000,30.850500,and,B,sd,u-18-1
