sw3584B-ms98-a-0002,1.601250,2.201250,okay,B,aa,u-2-1
sw3584B-ms98-a-0002,2.201250,2.586000,uh,B,sd,u-2-2
sw3584B-ms98-a-0002,3.022875,3.201250,right,I,sd,u-2-2
sw3584B-ms98-a-0002,3.201250,3.421250,now,I,sd,u-2-2
sw3584B-ms98-a-0002,3.421250,3.651250,we're,I,sd,u-2-2
sw3584B-ms98-a-0002,3.651250,4.051250,living,I,sd,u-2-2
sw3584B-ms98-a-0002,4.051250,4.471250,in,I,sd,u-2-2
sw3584B-ms98-a-0002,4.471250,4.601250,uh,O,,
sw3584B-ms98-a-0002,4.601250,4.821250,well,B,sd,u-2-3
sw3584B-ms98-a-0002,4.821250,5.035625,it's,I,sd,u-2-3
sw3584B-ms98-a-0002,5.035625,5.811500,me,I,sd,u-2-3
sw3584B-ms98-a-0002,5.811500,6.159250,uh,I,sd,u-2-3
sw3584B-ms98-a-0002,6.159250,6.336250,my,I,sd,u-2-3
sw3584B-ms98-a-0002,6.336250,6.721250,wife,I,sd,u-2-3
sw3584B-ms98-a-0002,6.721250,7.005125,and,I,sd,u-2-3
sw3584B-ms98-a-0002,7.005125,7.287625,uh,I,sd,u-2-3
sw3584B-ms98-a-0002,7.287625,7.501250,two,I,sd,u-2-3
sw3584B-ms98-a-0002,7.501250,7.771250,young,I,sd,u-2-3
sw3584B-ms98-a-0002,7.771250,8.321250,boys,I,sd,u-2-3
sw3584B-ms98-a-0003,9.116625,9.536625,and,B,sd,u-2-4
sw3584B-ms98-a-0003,9.536625,9.676625,uh,I,sd,u-2-4
sw3584B-ms98-a-0003,9.676625,9.856625,right,I,sd,u-2-4
sw3584B-ms98-a-0003,9.856625,10.046625,now,I,sd,u-2-4
sw3584B-ms98-a-0003,10.046625,10.236625,we're,I,sd,u-2-4
sw3584B-ms98-a-0003,10.236625,10.586625,in,I,sd,u-2-4
sw3584B-ms98-a-0003,10.586625,10.646625,a,I,sd,u-2-4
sw3584B-ms98-a-0003,10.646625,10.836625,uh,I,sd,u-2-4
sw3584B-ms98-a-0003,10.836625,10.946625,i,I,sd,u-2-4
sw3584B-ms98-a-0003,10.946625,11.216875,guess,I,sd,u-2-4
sw3584B-ms98-a-0003,11.216875,11.329750,it's,I,sd,u-2-4
sw3584B-ms98-a-0003,11.329750,11.696625,either,I,sd,u-2-4
sw3584B-ms98-a-0003,11.696625,11.796625,a,I,sd,u-2-4
sw3584B-ms98-a-0003,11.796625,12.076625,zero,I,sd,u-2-4
sw3584B-ms98-a-0003,12.076625,12.346625,lot,I,sd,u-2-4
sw3584B-ms98-a-0003,12.346625,12.716625,line,I,sd,u-2-4
sw3584B-ms98-a-0003,12.716625,12.906625,or,I,sd,u-2-4
sw3584B-ms98-a-0003,12.906625,12.976625,a,I,sd,u-2-4
sw3584B-ms98-a-0003,12.976625,13.316625,garden,I,sd,u-2-4
sw3584B-ms98-a-0003,13.316625,13.716625,home,I,sd,u-2-4
sw3584B-ms98-a-0004,14.552250,14.752250,which,B,+,u-4-1
sw3584B-ms98-a-0004,14.752250,14.812250,you,I,+,u-4-1
sw3584B-ms98-a-0004,14.812250,14.962250,might,I,+,u-4-1
sw3584B-ms98-a-0004,14.962250,15.202250,call,I,+,u-4-1
sw3584B-ms98-a-0004,15.202250,15.282250,it,I,+,u-4-1
sw3584B-ms98-a-0004,15.282250,15.432250,so,B,sd,u-4-2
sw3584B-ms98-a-0004,15.432250,15.502250,we,I,sd,u-4-2
sw3584B-ms98-a-0004,15.502250,15.692250,don't,I,sd,u-4-2
sw3584B-ms98-a-0004,15.692250,15.822250,have,I,sd,u-4-2
sw3584B-ms98-a-0004,15.822250,15.979000,a,I,sd,u-4-2
sw3584B-ms98-a-0004,16.649875,16.808000,a,I,sd,u-4-2
sw3584B-ms98-a-0004,16.808000,17.113500,big,I,sd,u-4-2
sw3584B-ms98-a-0004,17.113500,17.900625,yard,I,sd,u-4-2
sw3584B-ms98-a-0004,17.900625,18.514125,uh,I,sd,u-4-2
sw3584B-ms98-a-0004,18.732625,19.072250,but,B,sd,u-4-3
sw3584B-ms98-a-0004,19.072250,19.222250,uh,I,sd,u-4-3
sw3584B-ms98-a-0004,19.222250,19.412250,when,I,sd,u-4-3
sw3584B-ms98-a-0004,19.412250,19.492250,my,I,sd,u-4-3
sw3584B-ms98-a-0004,19.492250,19.872250,wife,I,sd,u-4-3
sw3584B-ms98-a-0004,19.872250,20.022250,and,I,sd,u-4-3
sw3584B-ms98-a-0004,20.022250,20.202250,i,I,sd,u-4-3
sw3584B-ms98-a-0004,20.202250,20.572250,first,I,sd,u-4-3
sw3584B-ms98-a-0004,20.572250,20.772250,moved,I,sd,u-4-3
sw3584B-ms98-a-0004,20.772250,20.922250,in,I,sd,u-4-3
sw3584B-ms98-a-0004,20.922250,21.002250,it,I,sd,u-4-3
sw3584B-ms98-a-0004,21.002250,21.092250,was,I,sd,u-4-3
sw3584B-ms98-a-0004,21.092250,21.312250,just,I,sd,u-4-3
sw3584B-ms98-a-0004,21.312250,21.382250,the,I,sd,u-4-3
sw3584B-ms98-a-0004,21.382250,21.582250,two,I,sd,u-4-3
sw3584B-ms98-a-0004,21.582250,21.672250,of,I,sd,u-4-3
sw3584B-ms98-a-0004,21.672250,21.892250,us,I,sd,u-4-3
sw3584B-ms98-a-0004,21.892250,21.972250,so,B,sd,u-4-4
sw3584B-ms98-a-0004,21.972250,22.042250,it,I,sd,u-4-4
sw3584B-ms98-a-0004,22.042250,22.172250,was,I,sd,u-4-4
sw3584B-ms98-a-0004,22.172250,22.712250,enough,I,sd,u-4-4
sw3584B-ms98-a-0005,23.591000,24.052750,uh,B,sd,u-6-1
sw3584B-ms98-a-0005,24.533500,24.787625,and,I,sd,u-6-1
sw3584B-ms98-a-0005,24.787625,25.017625,it's,I,sd,u-6-1
sw3584B-ms98-a-0005,25.017625,25.167625,uh,I,sd,u-6-1
sw3584B-ms98-a-0005,25.167625,25.277625,i,I,sd,u-6-1
sw3584B-ms98-a-0005,25.277625,25.487625,guess,I,sd,u-6-1
sw3584B-ms98-a-0005,25.487625,25.597625,what,I,sd,u-6-1
sw3584B-ms98-a-0005,25.597625,25.707625,they,I,sd,u-6-1
sw3584B-ms98-a-0005,25.707625,25.947625,call,I,sd,u-6-1
sw3584B-ms98-a-0005,25.947625,26.007625,a,I,sd,u-6-1
sw3584B-ms98-a-0005,26.007625,26.467625,story,I,sd,u-6-1
sw3584B-ms98-a-0005,26.467625,26.617625,and,I,sd,u-6-1
sw3584B-ms98-a-0005,26.617625,26.657625,a,I,sd,u-6-1
sw3584B-ms98-a-0005,26.657625,27.207625,half,I,sd,u-6-1
sw3584B-ms98-a-0005,27.207625,27.537625,because,B,sd,u-6-2
sw3584B-ms98-a-0005,27.537625,27.677625,it's,I,sd,u-6-2
sw3584B-ms98-a-0005,27.677625,27.867625,not,I,sd,u-6-2
sw3584B-ms98-a-0005,27.867625,27.907625,a,I,sd,u-6-2
sw3584B-ms98-a-0005,27.907625,28.438875,full,I,sd,u-6-2
sw3584B-ms98-a-0005,28.744000,28.957625,two,I,sd,u-6-2
sw3584B-ms98-a-0005,28.957625,29.487625,story,I,sd,u-6-2
sw3584B-ms98-a-0006,30.308875,30.638875,where,B,+,u-8-1
sw3584B-ms98-a-0006,30.638875,30.748875,you,I,+,u-8-1
sw3584B-ms98-a-0006,30.748875,30.808875,know,I,+,u-8-1
sw3584B-ms98-a-0006,30.808875,31.188875,everything,I,+,u-8-1
sw3584B-ms98-a-0006,31.188875,31.298875,on,I,+,u-8-1
sw3584B-ms98-a-0006,31.298875,31.658875,top,I,+,u-8-1
sw3584B-ms98-a-0006,31.658875,31.778875,is,I,+,u-8-1
sw3584B-ms98-a-0006,31.778875,31.958875,on,I,+,u-8-1
sw3584B-ms98-a-0006,31.958875,32.438875,bottom,I,+,u-8-1
sw3584B-ms98-a-0007,33.392000,33.682000,so,B,sd,u-8-2
sw3584B-ms98-a-0007,33.682000,33.832000,it's,I,sd,u-8-2
sw3584B-ms98-a-0007,33.832000,33.992000,got,I,sd,u-8-2
sw3584B-ms98-a-0007,33.992000,34.132000,real,I,sd,u-8-2
sw3584B-ms98-a-0007,34.132000,34.302000,high,I,sd,u-8-2
sw3584B-ms98-a-0007,34.302000,34.902000,ceilings,I,sd,u-8-2
sw3584B-ms98-a-0007,34.902000,35.052000,on,I,sd,u-8-2
sw3584B-ms98-a-0007,35.052000,35.292000,half,I,sd,u-8-2
sw3584B-ms98-a-0007,35.292000,35.402000,the,I,sd,u-8-2
sw3584B-ms98-a-0007,35.402000,35.832000,house,I,sd,u-8-2
sw3584B-ms98-a-0007,35.832000,36.022000,and,B,sd,u-8-3
sw3584B-ms98-a-0007,36.022000,36.092000,the,I,sd,u-8-3
sw3584B-ms98-a-0007,36.092000,36.222000,other,I,sd,u-8-3
sw3584B-ms98-a-0007,36.222000,36.452000,half,I,sd,u-8-3
sw3584B-ms98-a-0007,36.452000,36.542000,is,I,sd,u-8-3
sw3584B-ms98-a-0007,36.542000,36.732000,just,I,sd,u-8-3
sw3584B-ms98-a-0007,36.732000,37.142000,standard,I,sd,u-8-3
sw3584B-ms98-a-0007,37.142000,37.412000,sized,I,sd,u-8-3
sw3584B-ms98-a-0007,37.412000,38.019500,ceilings,I,sd,u-8-3
sw3584B-ms98-a-0008,38.935125,39.113500,and,B,sd,u-10-1
sw3584B-ms98-a-0008,39.113500,39.320500,uh,I,sd,u-10-1
sw3584B-ms98-a-0008,39.320500,39.540500,i[t's]-,I,sd,u-10-1
sw3584B-ms98-a-0008,39.540500,39.670375,it's,I,sd,u-10-1
sw3584B-ms98-a-0008,39.670375,39.907625,about,I,sd,u-10-1
sw3584B-ms98-a-0008,39.907625,40.050500,a,I,sd,u-10-1
sw3584B-ms98-a-0008,40.050500,40.330500,five,I,sd,u-10-1
sw3584B-ms98-a-0008,40.330500,40.490500,year,I,sd,u-10-1
sw3584B-ms98-a-0008,40.490500,40.660500,old,I,sd,u-10-1
sw3584B-ms98-a-0008,40.660500,41.030500,house,I,sd,u-10-1
sw3584B-ms98-a-0008,41.030500,41.270500,now,I,sd,u-10-1
sw3584B-ms98-a-0009,42.660875,42.897500,it's,B,aa,u-12-1
sw3584B-ms98-a-0009,42.897500,43.067000,uh,I,aa,u-12-1
sw3584B-ms98-a-0009,43.067000,43.240875,pretty,I,aa,u-12-1
sw3584B-ms98-a-0009,43.240875,43.620875,nice,I,aa,u-12-1
sw3584B-ms98-a-0009,43.620875,43.800875,u[nfortunately]-,O,,
sw3584B-ms98-a-0009,43.800875,44.390875,unfortunately,B,sd,u-12-2
sw3584B-ms98-a-0009,44.390875,44.490875,the,I,sd,u-12-2
sw3584B-ms98-a-0009,44.490875,44.900875,builder,I,sd,u-12-2
sw3584B-ms98-a-0009,44.900875,45.010875,who,I,sd,u-12-2
sw3584B-ms98-a-0009,45.010875,45.370875,built,I,sd,u-12-2
sw3584B-ms98-a-0009,45.370875,45.620875,it,I,sd,u-12-2
sw3584B-ms98-a-0009,45.620875,45.820875,went,I,sd,u-12-2
sw3584B-ms98-a-0009,45.820875,45.970875,out,I,sd,u-12-2
sw3584B-ms98-a-0009,45.970875,46.080875,of,I,sd,u-12-2
sw3584B-ms98-a-0009,46.080875,46.490875,business,I,sd,u-12-2
sw3584B-ms98-a-0009,46.490875,46.910875,already,I,sd,u-12-2
sw3584B-ms98-a-0009,46.910875,47.796875,[laughter],O,,
sw3584B-ms98-a-0010,48.283875,48.742375,[laughter],O,,
sw3584B-ms98-a-0010,48.742375,49.044000,yeah,B,ny,u-14-1
sw3584B-ms98-a-0010,49.044000,49.153250,it,B,%,u-14-2
sw3584B-ms98-a-0010,49.153250,49.402375,was,I,%,u-14-2
sw3584B-ms98-a-0010,49.402375,49.532375,a,I,%,u-14-2
sw3584B-ms98-a-0010,49.532375,50.002375,Landmark,B,sd^e,u-14-3
sw3584B-ms98-a-0010,50.002375,50.102375,is,I,sd^e,u-14-3
sw3584B-ms98-a-0010,50.102375,50.162375,the,I,sd^e,u-14-3
sw3584B-ms98-a-0010,50.162375,50.312375,one,I,sd^e,u-14-3
sw3584B-ms98-a-0010,50.312375,50.372375,who,I,sd^e,u-14-3
sw3584B-ms98-a-0010,50.372375,50.742375,built,I,sd^e,u-14-3
sw3584B-ms98-a-0010,50.742375,50.952375,it,I,sd^e,u-14-3
sw3584B-ms98-a-0012,54.848500,55.392125,yeah,B,b,u-16-1
sw3584B-ms98-a-0013,56.126875,56.396875,that's,B,aa,u-18-1
sw3584B-ms98-a-0013,56.396875,57.023125,true,I,aa,u-18-1
sw3584B-ms98-a-0014,57.939250,58.249250,exactly,B,aa,u-20-1
sw3584B-ms98-a-0014,58.249250,58.369250,what,I,aa,u-20-1
sw3584B-ms98-a-0014,58.369250,58.699250,happened,I,aa,u-20-1
sw3584B-ms98-a-0014,58.699250,58.839250,to,I,aa,u-20-1
sw3584B-ms98-a-0014,58.839250,59.049250,them_1,O,,
sw3584B-ms98-a-0016,62.235625,62.435625,oh,B,ba,u-22-1
sw3584B-ms98-a-0016,62.435625,62.725625,that's,I,ba,u-22-1
sw3584B-ms98-a-0016,62.725625,63.317125,nice,I,ba,u-22-1
sw3584B-ms98-a-0019,70.563750,70.843750,oh,B,bh,u-24-1
sw3584B-ms98-a-0019,70.843750,71.360250,really,I,bh,u-24-1
sw3584B-ms98-a-0019,72.022625,72.116750,are,B,qy,u-26-1
sw3584B-ms98-a-0019,72.116750,72.206625,you,I,qy,u-26-1
sw3584B-ms98-a-0019,72.206625,72.383750,doing,I,qy,u-26-1
sw3584B-ms98-a-0019,72.383750,72.443750,it,I,qy,u-26-1
sw3584B-ms98-a-0019,72.443750,73.059375,yourself,I,qy,u-26-1
sw3584B-ms98-a-0020,73.756375,74.427000,wow,B,ba,u-28-1
sw3584B-ms98-a-0021,75.266625,75.607250,oh,B,ba,u-30-1
sw3584B-ms98-a-0021,75.607250,75.857250,that's,I,ba,u-30-1
sw3584B-ms98-a-0021,75.857250,76.425250,nice,I,ba,u-30-1
sw3584B-ms98-a-0023,79.040750,79.592750,oh,B,b,u-32-1
sw3584B-ms98-a-0023,79.592750,79.732750,i,I,b,u-32-1
sw3584B-ms98-a-0023,79.732750,80.137750,see,I,b,u-32-1
sw3584B-ms98-a-0024,81.440500,82.128500,oh,O,,
sw3584B-ms98-a-0026,85.153000,88.976125,[laughter],O,,
sw3584B-ms98-a-0026,88.976125,89.630375,yeah,B,b,u-36-1
sw3584B-ms98-a-0028,96.571500,96.781500,that's,B,ba,u-38-1
sw3584B-ms98-a-0028,96.781500,97.381500,great,I,ba,u-38-1
sw3584B-ms98-a-0030,104.012000,104.122000,re[ally]-,O,,
sw3584B-ms98-a-0030,104.122000,104.282000,is,B,bh,u-40-2
sw3584B-ms98-a-0030,104.282000,104.482000,that,I,bh,u-40-2
sw3584B-ms98-a-0030,104.482000,104.972000,so,I,bh,u-40-2
sw3584B-ms98-a-0030,104.972000,105.042000,i,B,sd,u-40-3
sw3584B-ms98-a-0030,105.042000,105.302000,didn't,I,sd,u-40-3
sw3584B-ms98-a-0030,105.302000,105.452000,know,I,sd,u-40-3
sw3584B-ms98-a-0030,105.452000,105.772000,that,I,sd,u-40-3
sw3584B-ms98-a-0032,110.253875,110.433875,that,B,ba,u-42-1
sw3584B-ms98-a-0032,110.433875,110.673875,sounds,I,ba,u-42-1
sw3584B-ms98-a-0032,110.673875,110.843875,kind,I,ba,u-42-1
sw3584B-ms98-a-0032,110.843875,110.963875,of,I,ba,u-42-1
sw3584B-ms98-a-0032,110.963875,111.323875,dumb,I,ba,u-42-1
