sw3113A-ms98-a-0002,3.285375,3.846375,okay,B,b,u-2-1
sw3113A-ms98-a-0002,4.110000,4.560000,well,B,sd,u-2-2
sw3113A-ms98-a-0002,5.479000,5.817750,i,I,sd,u-2-2
sw3113A-ms98-a-0002,5.817750,6.056250,uh,I,sd,u-2-2
sw3113A-ms98-a-0002,6.530875,6.657750,i,I,sd,u-2-2
sw3113A-ms98-a-0002,6.657750,6.897750,guess,I,sd,u-2-2
sw3113A-ms98-a-0002,6.897750,7.077750,because,I,sd,u-2-2
sw3113A-ms98-a-0002,7.077750,7.167750,i,I,sd,u-2-2
sw3113A-ms98-a-0002,7.167750,7.437750,work,I,sd,u-2-2
sw3113A-ms98-a-0002,7.437750,7.667750,quite,I,sd,u-2-2
sw3113A-ms98-a-0002,7.667750,7.717750,a,I,sd,u-2-2
sw3113A-ms98-a-0002,7.717750,7.887750,bit,I,sd,u-2-2
sw3113A-ms98-a-0002,7.887750,8.087750,with,I,sd,u-2-2
sw3113A-ms98-a-0002,8.087750,8.457750,lawyers,I,sd,u-2-2
sw3113A-ms98-a-0002,8.457750,8.547750,i'm,I,sd,u-2-2
sw3113A-ms98-a-0002,8.547750,8.667750,not,I,sd,u-2-2
sw3113A-ms98-a-0002,8.667750,8.747750,a,I,sd,u-2-2
sw3113A-ms98-a-0002,8.747750,9.344375,lawyer,I,sd,u-2-2
sw3113A-ms98-a-0002,10.360000,10.607750,uh,I,sd,u-2-2
sw3113A-ms98-a-0002,10.607750,10.787750,that,I,sd,u-2-2
sw3113A-ms98-a-0002,10.787750,11.061500,i,I,sd,u-2-2
sw3113A-ms98-a-0002,11.532250,11.827750,find,I,sd,u-2-2
sw3113A-ms98-a-0002,11.827750,11.877750,a,I,sd,u-2-2
sw3113A-ms98-a-0002,11.877750,12.117750,lot,I,sd,u-2-2
sw3113A-ms98-a-0002,12.117750,12.187750,of,I,sd,u-2-2
sw3113A-ms98-a-0002,12.187750,12.477750,things,I,sd,u-2-2
sw3113A-ms98-a-0002,12.477750,12.547750,are,I,sd,u-2-2
sw3113A-ms98-a-0002,12.547750,12.777750,so,I,sd,u-2-2
sw3113A-ms98-a-0002,12.777750,13.706625,specialized,I,sd,u-2-2
sw3113A-ms98-a-0002,13.861375,14.148125,that,I,sd,u-2-2
