sw2675A-ms98-a-0002,1.237750,1.789625,um-hum,B,b,u-2-1
sw2675A-ms98-a-0004,11.571375,12.011375,uh-huh,B,b,u-4-1
sw2675A-ms98-a-0006,37.758000,38.211125,um-hum,B,b,u-6-1
sw2675A-ms98-a-0008,50.710000,51.310000,um-hum,O,,
sw2675A-ms98-a-0009,52.502750,52.779000,i,B,sv,u-8-1
sw2675A-ms98-a-0009,52.779000,53.008625,think,I,sv,u-8-1
sw2675A-ms98-a-0009,53.008625,53.198625,i,I,sv,u-8-1
sw2675A-ms98-a-0009,53.198625,53.558625,agree,I,sv,u-8-1
sw2675A-ms98-a-0009,53.558625,53.728625,with,I,sv,u-8-1
sw2675A-ms98-a-0009,53.728625,53.968625,that,I,sv,u-8-1
sw2675A-ms98-a-0009,53.968625,54.238625,very,I,sv,u-8-1
sw2675A-ms98-a-0009,54.238625,54.807000,much,I,sv,u-8-1
sw2675A-ms98-a-0009,55.308000,55.602500,i,B,%,u-10-1
sw2675A-ms98-a-0009,55.740750,55.858625,do,B,qy,u-10-2
sw2675A-ms98-a-0009,55.858625,56.078625,you,I,qy,u-10-2
sw2675A-ms98-a-0011,59.146500,59.274625,i,O,,
sw2675A-ms98-a-0011,59.551125,59.635125,do,B,qy,u-12-1
sw2675A-ms98-a-0011,59.635125,59.811250,you,I,qy,u-12-1
sw2675A-ms98-a-0011,59.811250,60.131250,think,I,qy,u-12-1
sw2675A-ms98-a-0011,60.131250,60.171250,a,I,qy,u-12-1
sw2675A-ms98-a-0011,60.171250,60.441250,lot,I,qy,u-12-1
sw2675A-ms98-a-0011,60.441250,60.531250,of,I,qy,u-12-1
sw2675A-ms98-a-0011,60.531250,61.252750,people,I,qy,u-12-1
sw2675A-ms98-a-0011,61.444875,61.661250,when,I,qy,u-12-1
sw2675A-ms98-a-0011,61.661250,61.741250,they,I,qy,u-12-1
sw2675A-ms98-a-0011,61.741250,61.871250,are,I,qy,u-12-1
sw2675A-ms98-a-0011,61.871250,62.331250,listening,I,qy,u-12-1
sw2675A-ms98-a-0011,62.331250,62.501250,to,I,qy,u-12-1
sw2675A-ms98-a-0011,62.501250,62.561250,a,I,qy,u-12-1
sw2675A-ms98-a-0011,62.561250,62.941250,trial,I,qy,u-12-1
sw2675A-ms98-a-0011,62.941250,63.201250,put,I,qy,u-12-1
sw2675A-ms98-a-0011,63.201250,63.971250,themselves,I,qy,u-12-1
sw2675A-ms98-a-0012,64.632250,64.892250,in,I,qy,u-12-1
sw2675A-ms98-a-0012,64.892250,64.952250,a,I,qy,u-12-1
sw2675A-ms98-a-0012,64.952250,65.862250,position,I,qy,u-12-1
sw2675A-ms98-a-0012,66.052250,66.302250,like,I,qy,u-12-1
sw2675A-ms98-a-0012,66.302250,66.582250,that,I,qy,u-12-1
sw2675A-ms98-a-0012,66.582250,66.812250,and,I,qy,u-12-1
sw2675A-ms98-a-0012,66.812250,67.250750,say,I,qy,u-12-1
sw2675A-ms98-a-0012,67.687625,67.862250,i,I,qy,u-12-1
sw2675A-ms98-a-0012,67.862250,68.022250,would,I,qy,u-12-1
sw2675A-ms98-a-0012,68.022250,68.282250,never,I,qy,u-12-1
sw2675A-ms98-a-0012,68.282250,68.472250,do,I,qy,u-12-1
sw2675A-ms98-a-0012,68.472250,68.922250,something,I,qy,u-12-1
sw2675A-ms98-a-0012,68.922250,69.172250,like,I,qy,u-12-1
sw2675A-ms98-a-0012,69.172250,69.502250,that,I,qy,u-12-1
sw2675A-ms98-a-0012,69.502250,69.692250,and,B,qy,u-12-2
sw2675A-ms98-a-0012,69.692250,69.852250,it's,I,qy,u-12-2
sw2675A-ms98-a-0012,69.852250,70.132250,hard,I,qy,u-12-2
sw2675A-ms98-a-0012,70.132250,70.272250,for,I,qy,u-12-2
sw2675A-ms98-a-0012,70.272250,70.432250,them,I,qy,u-12-2
sw2675A-ms98-a-0012,70.432250,70.552250,to,I,qy,u-12-2
sw2675A-ms98-a-0012,70.552250,71.052250,believe,I,qy,u-12-2
sw2675A-ms98-a-0012,71.052250,71.212250,that,I,qy,u-12-2
sw2675A-ms98-a-0012,71.212250,71.665750,somebody,I,qy,u-12-2
sw2675A-ms98-a-0012,71.665750,72.012250,else,I,qy,u-12-2
sw2675A-ms98-a-0012,72.012250,72.302250,could,I,qy,u-12-2
sw2675A-ms98-a-0012,72.302250,72.679250,do,I,qy,u-12-2
sw2675A-ms98-a-0012,73.244250,73.423625,the,I,qy,u-12-2
sw2675A-ms98-a-0012,73.423625,73.721125,things,I,qy,u-12-2
sw2675A-ms98-a-0012,73.721125,73.852250,that,I,qy,u-12-2
sw2675A-ms98-a-0012,73.852250,74.002250,have,I,qy,u-12-2
sw2675A-ms98-a-0012,74.002250,74.202250,been,I,qy,u-12-2
sw2675A-ms98-a-0012,74.202250,74.652250,done,I,qy,u-12-2
sw2675A-ms98-a-0014,79.498250,80.120750,um-hum,B,b,u-14-1
sw2675A-ms98-a-0014,80.120750,80.585125,um-hum,O,,
sw2675A-ms98-a-0016,86.140250,86.333000,i,B,sd,u-16-1
sw2675A-ms98-a-0016,86.333000,86.568125,never,I,sd,u-16-1
sw2675A-ms98-a-0016,86.568125,86.947500,have,I,sd,u-16-1
sw2675A-ms98-a-0016,86.947500,87.478875,either,I,sd,u-16-1
sw2675A-ms98-a-0017,88.319250,88.654125,uh-huh,O,,
sw2675A-ms98-a-0018,89.372250,89.562000,uh,O,,
sw2675A-ms98-a-0018,89.649000,89.802250,is,B,qy@,u-18-1
sw2675A-ms98-a-0018,89.802250,89.992250,there,I,qy@,u-18-1
sw2675A-ms98-a-0018,89.992250,90.032250,a,I,qy@,u-18-1
sw2675A-ms98-a-0018,90.032250,90.462250,reason,I,qy@,u-18-1
sw2675A-ms98-a-0018,90.462250,90.592250,why,I,qy@,u-18-1
sw2675A-ms98-a-0018,90.592250,90.792250,you,I,qy@,u-18-1
sw2675A-ms98-a-0018,90.792250,90.942250,have,I,qy@,u-18-1
sw2675A-ms98-a-0018,90.942250,91.412250,never,I,qy@,u-18-1
