sw3862A-ms98-a-0002,0.231125,0.680250,hello,B,fp,u-1-1
sw3862A-ms98-a-0003,1.602125,1.882125,hi,B,fp,u-3-1
sw3862A-ms98-a-0003,1.882125,1.992125,my,B,fp,u-3-2
sw3862A-ms98-a-0003,1.992125,2.212125,name,I,fp,u-3-2
sw3862A-ms98-a-0003,2.212125,2.322125,is,I,fp,u-3-2
sw3862A-ms98-a-0003,2.322125,3.002125,Dolphene,I,fp,u-3-2
sw3862A-ms98-a-0003,3.002125,3.072125,i,B,fp,u-3-3
sw3862A-ms98-a-0003,3.072125,3.252125,live,I,fp,u-3-3
sw3862A-ms98-a-0003,3.252125,3.392125,in,I,fp,u-3-3
sw3862A-ms98-a-0003,3.392125,4.252125,Texas,I,fp,u-3-3
sw3862A-ms98-a-0005,8.359375,8.859375,okay,B,b,u-5-1
sw3862A-ms98-a-0005,8.859375,8.989375,i,B,sd,u-5-2
sw3862A-ms98-a-0005,8.989375,9.249375,work,I,sd,u-5-2
sw3862A-ms98-a-0005,9.249375,9.409375,for,I,sd,u-5-2
sw3862A-ms98-a-0005,9.409375,9.949375,TI,O,,
sw3862A-ms98-a-0005,9.949375,10.244750,do,B,qy,u-5-3
sw3862A-ms98-a-0005,10.425500,10.479375,do,I,qy,u-5-3
sw3862A-ms98-a-0005,10.479375,10.679375,you,I,qy,u-5-3
sw3862A-ms98-a-0005,10.679375,11.176375,also,I,qy,u-5-3
sw3862A-ms98-a-0005,12.124625,12.626250,okay,B,bk,u-7-1
sw3862A-ms98-a-0007,16.004500,16.203250,oh,B,bk,u-9-1
sw3862A-ms98-a-0007,16.203250,16.692500,okay,I,bk,u-9-1
sw3862A-ms98-a-0007,17.601750,17.904250,uh,B,qy^t,u-9-2
sw3862A-ms98-a-0007,17.904250,18.054250,you're,I,qy^t,u-9-2
sw3862A-ms98-a-0007,18.054250,18.284250,ready,I,qy^t,u-9-2
sw3862A-ms98-a-0007,18.284250,18.444250,to,I,qy^t,u-9-2
sw3862A-ms98-a-0007,18.444250,19.034250,begin,I,qy^t,u-9-2
sw3862A-ms98-a-0008,20.144250,20.354250,[laughter-oh],O,,
sw3862A-ms98-a-0008,20.354250,20.729625,okay,B,bk,u-11-1
sw3862A-ms98-a-0011,25.935875,26.447875,okay,B,b,u-11-2
sw3862A-ms98-a-0013,31.337375,31.926125,yes,B,ny,u-13-1
sw3862A-ms98-a-0015,38.468875,38.827250,well,B,sd,u-15-1
sw3862A-ms98-a-0015,38.827250,38.917250,i,I,sd,u-15-1
sw3862A-ms98-a-0015,38.917250,39.227250,don't,I,sd,u-15-1
sw3862A-ms98-a-0015,39.227250,39.507250,think,I,sd,u-15-1
sw3862A-ms98-a-0015,39.507250,39.825250,that,I,sd,u-15-1
sw3862A-ms98-a-0015,40.598625,41.032875,uh,I,sd,u-15-1
sw3862A-ms98-a-0015,41.816000,42.027250,any,I,sd,u-15-1
sw3862A-ms98-a-0015,42.027250,42.137250,of,I,sd,u-15-1
sw3862A-ms98-a-0015,42.137250,42.407250,my,I,sd,u-15-1
sw3862A-ms98-a-0015,42.407250,43.087250,relatives,I,sd,u-15-1
sw3862A-ms98-a-0015,43.087250,43.297250,would,I,sd,u-15-1
sw3862A-ms98-a-0015,43.297250,43.677250,really,I,sd,u-15-1
sw3862A-ms98-a-0015,43.677250,43.947250,like,I,sd,u-15-1
sw3862A-ms98-a-0015,43.947250,44.117250,to,I,sd,u-15-1
sw3862A-ms98-a-0015,44.117250,44.317250,go,I,sd,u-15-1
sw3862A-ms98-a-0015,44.317250,44.728000,there,I,sd,u-15-1
sw3862A-ms98-a-0016,45.698875,45.968875,i-,O,,
sw3862A-ms98-a-0016,45.968875,46.058875,i,B,sd,u-15-2
sw3862A-ms98-a-0016,46.058875,46.458875,believe,I,sd,u-15-2
sw3862A-ms98-a-0016,46.458875,46.697750,that,I,sd,u-15-2
sw3862A-ms98-a-0016,46.972625,47.208875,if,I,sd,u-15-2
sw3862A-ms98-a-0016,47.208875,47.511750,i,I,sd,u-15-2
sw3862A-ms98-a-0016,48.283875,48.548875,am,I,sd,u-15-2
sw3862A-ms98-a-0016,48.548875,48.638875,in,I,sd,u-15-2
sw3862A-ms98-a-0016,48.638875,48.728875,a,I,sd,u-15-2
sw3862A-ms98-a-0016,48.728875,49.655750,position,I,sd,u-15-2
sw3862A-ms98-a-0016,50.560500,51.008875,uh,I,sd,u-15-2
sw3862A-ms98-a-0016,51.008875,51.278875,like,I,sd,u-15-2
sw3862A-ms98-a-0016,51.278875,51.428875,when,I,sd,u-15-2
sw3862A-ms98-a-0016,51.428875,51.598875,my,I,sd,u-15-2
sw3862A-ms98-a-0016,51.598875,52.185500,mother,I,sd,u-15-2
sw3862A-ms98-a-0017,53.181125,53.510875,gets,I,sd,u-15-2
sw3862A-ms98-a-0017,53.510875,53.700875,to,I,sd,u-15-2
sw3862A-ms98-a-0017,53.700875,53.840875,th[e]-,I,sd,u-15-2
sw3862A-ms98-a-0017,53.840875,54.000875,to,I,sd,u-15-2
sw3862A-ms98-a-0017,54.000875,54.080875,a,I,sd,u-15-2
sw3862A-ms98-a-0017,54.080875,54.390875,point,I,sd,u-15-2
sw3862A-ms98-a-0017,54.390875,54.580875,where,I,sd,u-15-2
sw3862A-ms98-a-0017,54.580875,54.790875,she,I,sd,u-15-2
sw3862A-ms98-a-0017,54.790875,55.070875,needs,I,sd,u-15-2
sw3862A-ms98-a-0017,55.070875,55.590875,special,I,sd,u-15-2
sw3862A-ms98-a-0017,55.590875,56.040875,care,I,sd,u-15-2
