sw4347B-ms98-a-0001,0.040000,0.080875,okay,B,o,u-1-1
sw4347B-ms98-a-0001,0.080875,0.190000,so,B,qw,u-1-2
sw4347B-ms98-a-0001,0.190000,0.300000,what,I,qw,u-1-2
sw4347B-ms98-a-0001,0.300000,0.470000,kind,I,qw,u-1-2
sw4347B-ms98-a-0001,0.470000,0.530000,of,I,qw,u-1-2
sw4347B-ms98-a-0001,0.530000,0.690000,luck,I,qw,u-1-2
sw4347B-ms98-a-0001,0.690000,0.810000,you,I,qw,u-1-2
sw4347B-ms98-a-0001,0.810000,0.910000,been,I,qw,u-1-2
sw4347B-ms98-a-0001,0.910000,1.220000,having,I,qw,u-1-2
sw4347B-ms98-a-0001,1.220000,1.350000,with,I,qw,u-1-2
sw4347B-ms98-a-0001,1.350000,1.680000,buying,I,qw,u-1-2
sw4347B-ms98-a-0001,1.680000,1.790000,and,I,qw,u-1-2
sw4347B-ms98-a-0001,1.790000,2.283875,returning,I,qw,u-1-2
sw4347B-ms98-a-0001,2.540000,2.700250,gi[fts]-,I,qw,u-1-2
sw4347B-ms98-a-0001,2.700250,3.066125,products,I,qw,u-1-2
sw4347B-ms98-a-0003,20.147625,20.587625,um-hum,B,b,u-3-1
sw4347B-ms98-a-0005,24.800000,24.951125,i,B,ng,u-5-1
sw4347B-ms98-a-0005,24.951125,25.098625,haven't,I,ng,u-5-1
sw4347B-ms98-a-0005,25.098625,25.343000,had,I,ng,u-5-1
sw4347B-ms98-a-0005,25.343000,25.460000,to,I,ng,u-5-1
sw4347B-ms98-a-0005,25.460000,25.920000,it's,B,%,u-5-2
sw4347B-ms98-a-0005,25.920000,26.167000,uh,I,%,u-5-2
sw4347B-ms98-a-0005,26.927875,27.255625,the,I,%,u-5-2
sw4347B-ms98-a-0005,27.255625,27.620000,every,B,%,u-5-3
sw4347B-ms98-a-0005,27.620000,27.760000,so,I,%,u-5-3
sw4347B-ms98-a-0005,27.760000,28.150000,often,I,%,u-5-3
sw4347B-ms98-a-0005,28.150000,28.200000,i,B,sd,u-5-4
