sw2289B-ms98-a-0002,4.849000,5.379000,okay,B,aa,u-2-1
sw2289B-ms98-a-0002,5.379000,5.620625,well,B,qy,u-2-2
sw2289B-ms98-a-0002,5.718500,5.939000,is,I,qy,u-2-2
sw2289B-ms98-a-0002,5.939000,6.129000,your,I,qy,u-2-2
sw2289B-ms98-a-0002,6.129000,6.359000,does,B,qy,u-2-3
sw2289B-ms98-a-0002,6.359000,6.489000,your,I,qy,u-2-3
sw2289B-ms98-a-0002,6.489000,6.769000,city,I,qy,u-2-3
sw2289B-ms98-a-0002,6.769000,6.929000,have,I,qy,u-2-3
sw2289B-ms98-a-0002,6.929000,7.449000,mandatory,I,qy,u-2-3
sw2289B-ms98-a-0002,7.449000,7.602750,re[cycling]-,I,qy,u-2-3
sw2289B-ms98-a-0002,7.907750,8.279000,uh,I,qy,u-2-3
sw2289B-ms98-a-0002,8.279000,8.939000,recycling,I,qy,u-2-3
sw2289B-ms98-a-0004,23.684500,24.344875,um,B,na,u-4-1
sw2289B-ms98-a-0004,24.480375,24.844500,there,I,na,u-4-1
sw2289B-ms98-a-0004,24.844500,25.104500,there's,I,na,u-4-1
sw2289B-ms98-a-0004,25.104500,25.274500,some,I,na,u-4-1
sw2289B-ms98-a-0004,25.274500,25.764500,places,I,na,u-4-1
sw2289B-ms98-a-0004,25.764500,25.934500,that,I,na,u-4-1
sw2289B-ms98-a-0004,25.934500,26.004500,are,I,na,u-4-1
sw2289B-ms98-a-0004,26.004500,26.444500,strongly,I,na,u-4-1
sw2289B-ms98-a-0004,26.444500,27.034500,encouraging,I,na,u-4-1
sw2289B-ms98-a-0004,27.034500,27.294500,it,I,na,u-4-1
sw2289B-ms98-a-0004,27.294500,27.554500,then,O,,
sw2289B-ms98-a-0004,27.554500,27.744500,that,B,sd^e,u-4-2
sw2289B-ms98-a-0004,27.744500,27.814500,the,I,sd^e,u-4-2
sw2289B-ms98-a-0004,27.814500,28.124500,city,I,sd^e,u-4-2
sw2289B-ms98-a-0004,28.124500,28.254500,will,I,sd^e,u-4-2
sw2289B-ms98-a-0004,28.254500,28.544500,pick,I,sd^e,u-4-2
sw2289B-ms98-a-0004,28.544500,28.634500,it,I,sd^e,u-4-2
sw2289B-ms98-a-0004,28.634500,29.034500,up,I,sd^e,u-4-2
sw2289B-ms98-a-0005,29.374375,29.604375,that's,B,sd,u-4-3
sw2289B-ms98-a-0005,29.604375,29.774375,been,I,sd,u-4-3
sw2289B-ms98-a-0005,29.774375,29.894375,one,I,sd,u-4-3
sw2289B-ms98-a-0005,29.894375,29.974375,of,I,sd,u-4-3
sw2289B-ms98-a-0005,29.974375,30.074375,the,I,sd,u-4-3
