sw3760B-ms98-a-0003,3.339000,3.671500,um-hum,B,b,u-2-1
sw3760B-ms98-a-0005,6.792625,7.407375,uh-huh,B,b,u-4-1
sw3760B-ms98-a-0007,22.166125,22.286125,well,B,sv,u-6-1
sw3760B-ms98-a-0007,22.286125,22.476125,that's,I,sv,u-6-1
sw3760B-ms98-a-0007,22.476125,22.646125,pretty,I,sv,u-6-1
sw3760B-ms98-a-0007,22.646125,23.066125,impressive,I,sv,u-6-1
sw3760B-ms98-a-0007,23.066125,23.126125,to,I,sv,u-6-1
sw3760B-ms98-a-0007,23.126125,23.226125,have,I,sv,u-6-1
sw3760B-ms98-a-0007,23.226125,23.436125,three,I,sv,u-6-1
sw3760B-ms98-a-0007,23.436125,23.696125,books,I,sv,u-6-1
sw3760B-ms98-a-0007,23.696125,24.126375,going,I,sv,u-6-1
sw3760B-ms98-a-0009,25.684875,25.799875,oh,B,b,u-8-1
sw3760B-ms98-a-0009,25.799875,26.092750,yeah,I,b,u-8-1
sw3760B-ms98-a-0009,26.333750,26.559875,and,B,qw,u-8-2
sw3760B-ms98-a-0009,26.559875,26.649875,and,I,qw,u-8-2
sw3760B-ms98-a-0009,26.649875,26.819875,what,I,qw,u-8-2
sw3760B-ms98-a-0009,26.819875,26.989875,kind,I,qw,u-8-2
sw3760B-ms98-a-0009,26.989875,27.059875,of,I,qw,u-8-2
sw3760B-ms98-a-0009,27.059875,27.239875,books,I,qw,u-8-2
sw3760B-ms98-a-0009,27.239875,27.309875,do,I,qw,u-8-2
sw3760B-ms98-a-0009,27.309875,27.399875,you,I,qw,u-8-2
sw3760B-ms98-a-0009,27.399875,27.589875,read,I,qw,u-8-2
sw3760B-ms98-a-0011,43.358875,43.529125,oh,B,b,u-10-1
sw3760B-ms98-a-0011,43.529125,43.820625,yeah,I,b,u-10-1
sw3760B-ms98-a-0012,44.570500,44.690750,oh,B,qy,u-12-1
sw3760B-ms98-a-0012,44.690750,44.790750,do,I,qy,u-12-1
sw3760B-ms98-a-0012,44.790750,44.870750,you,I,qy,u-12-1
sw3760B-ms98-a-0012,44.870750,45.100750,like,I,qy,u-12-1
sw3760B-ms98-a-0012,45.100750,45.280750,those,I,qy,u-12-1
sw3760B-ms98-a-0012,45.280750,45.710750,detective,I,qy,u-12-1
sw3760B-ms98-a-0012,45.710750,46.260000,stories,I,qy,u-12-1
sw3760B-ms98-a-0014,52.040375,52.247000,oh,B,ba,u-14-1
sw3760B-ms98-a-0014,52.247000,52.507000,well,I,ba,u-14-1
sw3760B-ms98-a-0014,52.507000,52.747000,that's,I,ba,u-14-1
sw3760B-ms98-a-0014,52.747000,53.157000,interesting,I,ba,u-14-1
sw3760B-ms98-a-0014,53.157000,53.237000,i-,O,,
sw3760B-ms98-a-0014,53.237000,53.377000,i,B,sd,u-14-2
sw3760B-ms98-a-0014,53.377000,53.733875,actually,I,sd,u-14-2
sw3760B-ms98-a-0014,53.733875,53.987000,like,I,sd,u-14-2
sw3760B-ms98-a-0014,53.987000,54.117000,to,I,sd,u-14-2
sw3760B-ms98-a-0014,54.117000,54.277000,read,I,sd,u-14-2
sw3760B-ms98-a-0014,54.277000,54.577000,also,I,sd,u-14-2
sw3760B-ms98-a-0014,54.577000,54.897000,but,B,sd,u-14-3
sw3760B-ms98-a-0015,56.073125,56.333125,i,I,sd,u-14-3
sw3760B-ms98-a-0015,56.333125,56.683125,usually,I,sd,u-14-3
sw3760B-ms98-a-0015,56.683125,56.933125,fall,I,sd,u-14-3
sw3760B-ms98-a-0015,56.933125,57.143125,into,I,sd,u-14-3
sw3760B-ms98-a-0015,57.143125,57.283125,one,I,sd,u-14-3
sw3760B-ms98-a-0015,57.283125,57.373125,of,I,sd,u-14-3
sw3760B-ms98-a-0015,57.373125,57.603125,two,I,sd,u-14-3
sw3760B-ms98-a-0015,57.603125,58.324625,categories,I,sd,u-14-3
sw3760B-ms98-a-0015,58.324625,58.938000,either,I,sd,u-14-3
sw3760B-ms98-a-0016,59.695500,59.962625,[vocalized-noise],I,sd,u-14-3
sw3760B-ms98-a-0016,59.962625,60.592625,true,I,sd,u-14-3
sw3760B-ms98-a-0016,60.592625,61.042625,science,I,sd,u-14-3
sw3760B-ms98-a-0016,61.042625,61.372625,fiction,I,sd,u-14-3
sw3760B-ms98-a-0016,61.372625,61.442625,or,I,sd,u-14-3
sw3760B-ms98-a-0016,61.442625,62.095000,fantasy,I,sd,u-14-3
sw3760B-ms98-a-0016,62.513000,62.772625,on,I,sd,u-14-3
sw3760B-ms98-a-0016,62.772625,62.952625,one,I,sd,u-14-3
sw3760B-ms98-a-0016,62.952625,63.290250,hand,I,sd,u-14-3
sw3760B-ms98-a-0016,63.520000,63.825125,or,I,sd,u-14-3
sw3760B-ms98-a-0016,64.149000,64.482625,highly,I,sd,u-14-3
sw3760B-ms98-a-0016,64.482625,65.166625,technical,I,sd,u-14-3
sw3760B-ms98-a-0017,66.498875,66.895000,yeah,B,b,u-16-1
sw3760B-ms98-a-0018,67.759375,67.949375,kind,B,sd,u-18-2
sw3760B-ms98-a-0018,67.949375,68.199375,of,I,sd,u-18-2
sw3760B-ms98-a-0018,68.199375,68.339375,one,I,sd,u-18-2
sw3760B-ms98-a-0018,68.339375,68.449375,or,I,sd,u-18-2
sw3760B-ms98-a-0018,68.449375,68.529375,the,I,sd,u-18-2
sw3760B-ms98-a-0018,68.529375,68.862250,other,I,sd,u-18-2
sw3760B-ms98-a-0019,69.671750,70.005250,i,O,,
sw3760B-ms98-a-0020,71.186125,71.292750,i,B,+@,u-20-1
sw3760B-ms98-a-0020,71.292750,71.692750,do,I,+@,u-20-1
sw3760B-ms98-a-0020,71.692750,72.007125,yes,B,ny,u-20-2
sw3760B-ms98-a-0021,72.769375,73.034250,yeah,B,b,u-22-1
sw3760B-ms98-a-0021,73.034250,73.254250,and,B,sd,u-22-2
sw3760B-ms98-a-0021,73.254250,73.394250,i'm,I,sd,u-22-2
sw3760B-ms98-a-0021,73.394250,73.434250,a,I,sd,u-22-2
sw3760B-ms98-a-0021,73.434250,73.814250,computer,I,sd,u-22-2
sw3760B-ms98-a-0021,73.814250,74.474250,scientist,I,sd,u-22-2
sw3760B-ms98-a-0022,75.562375,75.792375,but,B,sd,u-24-1
sw3760B-ms98-a-0022,75.792375,75.872375,i,I,sd,u-24-1
sw3760B-ms98-a-0022,75.872375,76.032375,have,I,sd,u-24-1
sw3760B-ms98-a-0022,76.032375,76.072375,a,I,sd,u-24-1
sw3760B-ms98-a-0022,76.072375,76.252375,lot,I,sd,u-24-1
sw3760B-ms98-a-0022,76.252375,76.332375,of,I,sd,u-24-1
sw3760B-ms98-a-0022,76.332375,76.474000,other,I,sd,u-24-1
