sw2303A-ms98-a-0002,3.422250,4.102000,yes,B,aa,u-2-1
sw2303A-ms98-a-0004,6.439500,6.746500,i,B,%,u-4-1
sw2303A-ms98-a-0004,6.746500,7.099000,i,I,%,u-4-1
sw2303A-ms98-a-0006,11.138750,11.558750,yeah,B,b,u-6-1
sw2303A-ms98-a-0006,11.558750,11.938750,um,B,sv,u-6-2
sw2303A-ms98-a-0006,12.048750,12.288750,i,I,sv,u-6-2
sw2303A-ms98-a-0006,12.288750,12.504500,i,I,sv,u-6-2
sw2303A-ms98-a-0006,12.504500,12.982875,suspect,I,sv,u-6-2
sw2303A-ms98-a-0006,12.982875,13.168750,the,I,sv,u-6-2
sw2303A-ms98-a-0006,13.168750,13.568750,apathy,I,sv,u-6-2
sw2303A-ms98-a-0006,13.568750,13.728750,is,I,sv,u-6-2
sw2303A-ms98-a-0006,13.868750,14.198750,is,I,sv,u-6-2
sw2303A-ms98-a-0006,14.318750,14.508750,due,I,sv,u-6-2
sw2303A-ms98-a-0006,14.508750,14.638750,to,I,sv,u-6-2
sw2303A-ms98-a-0006,14.638750,15.219750,something,I,sv,u-6-2
sw2303A-ms98-a-0006,15.622750,15.928750,like,I,sv,u-6-2
sw2303A-ms98-a-0006,15.928750,16.358750,people,I,sv,u-6-2
sw2303A-ms98-a-0006,16.358750,16.644750,just,I,sv,u-6-2
sw2303A-ms98-a-0006,17.013875,17.608375,feeling,I,sv,u-6-2
sw2303A-ms98-a-0006,17.992625,18.318750,that,I,sv,u-6-2
sw2303A-ms98-a-0006,18.318750,18.588750,that,I,sv,u-6-2
sw2303A-ms98-a-0006,18.588750,18.738750,their,I,sv,u-6-2
sw2303A-ms98-a-0006,18.738750,18.908750,vote,I,sv,u-6-2
sw2303A-ms98-a-0006,18.908750,19.108750,doesn't,I,sv,u-6-2
sw2303A-ms98-a-0006,19.108750,19.268750,count,I,sv,u-6-2
sw2303A-ms98-a-0006,19.268750,19.680250,anyway,I,sv,u-6-2
sw2303A-ms98-a-0006,19.808375,19.948750,i,B,qh,u-6-3
sw2303A-ms98-a-0006,19.948750,20.208750,mean,I,qh,u-6-3
sw2303A-ms98-a-0006,20.208750,20.478750,why,I,qh,u-6-3
sw2303A-ms98-a-0006,20.478750,20.628750,why,I,qh,u-6-3
sw2303A-ms98-a-0006,20.628750,20.978750,bother,I,qh,u-6-3
sw2303A-ms98-a-0006,20.978750,21.438500,voting,I,qh,u-6-3
sw2303A-ms98-a-0006,21.438500,21.858750,if,I,qh,u-6-3
sw2303A-ms98-a-0007,22.541000,23.045375,um,I,qh,u-6-3
sw2303A-ms98-a-0007,23.045375,23.311000,if,I,qh,u-6-3
sw2303A-ms98-a-0007,23.311000,23.471000,your,I,qh,u-6-3
sw2303A-ms98-a-0007,23.471000,23.711000,vote,I,qh,u-6-3
sw2303A-ms98-a-0007,23.711000,23.911000,won't,I,qh,u-6-3
sw2303A-ms98-a-0007,23.911000,24.061000,make,I,qh,u-6-3
sw2303A-ms98-a-0007,24.061000,24.111000,a,I,qh,u-6-3
sw2303A-ms98-a-0007,24.111000,24.551000,difference,I,qh,u-6-3
sw2303A-ms98-a-0007,24.731000,24.851000,so,B,sd,u-6-4
sw2303A-ms98-a-0007,24.851000,25.021000,for,I,sd,u-6-4
sw2303A-ms98-a-0007,25.021000,25.511000,instance,I,sd,u-6-4
sw2303A-ms98-a-0007,25.511000,25.889125,in,I,sd,u-6-4
sw2303A-ms98-a-0007,26.495625,26.871000,um,I,sd,u-6-4
sw2303A-ms98-a-0007,26.871000,26.961000,the,I,sd,u-6-4
sw2303A-ms98-a-0007,26.961000,27.241000,last,I,sd,u-6-4
sw2303A-ms98-a-0007,27.241000,27.781000,presidential,I,sd,u-6-4
sw2303A-ms98-a-0007,27.781000,28.141000,election,I,sd,u-6-4
sw2303A-ms98-a-0007,28.141000,28.221000,i'm,I,sd,u-6-4
sw2303A-ms98-a-0007,28.221000,28.381000,sure,I,sd,u-6-4
sw2303A-ms98-a-0007,28.381000,28.411000,a,I,sd,u-6-4
sw2303A-ms98-a-0007,28.411000,28.511000,lot,I,sd,u-6-4
sw2303A-ms98-a-0007,28.511000,28.571000,of,I,sd,u-6-4
sw2303A-ms98-a-0007,28.571000,28.818375,people,I,sd,u-6-4
sw2303A-ms98-a-0007,28.818375,29.104625,thought,I,sd,u-6-4
sw2303A-ms98-a-0007,29.104625,29.488750,oh,I,sd,u-6-4
sw2303A-ms98-a-0007,29.756250,29.921000,Bush,I,sd,u-6-4
sw2303A-ms98-a-0007,29.921000,30.001000,is,I,sd,u-6-4
sw2303A-ms98-a-0007,30.001000,30.121000,going,I,sd,u-6-4
sw2303A-ms98-a-0007,30.121000,30.181000,to,I,sd,u-6-4
sw2303A-ms98-a-0007,30.181000,30.441000,win,I,sd,u-6-4
sw2303A-ms98-a-0007,30.441000,30.571000,either,I,sd,u-6-4
sw2303A-ms98-a-0007,30.571000,30.955000,way,I,sd,u-6-4
sw2303A-ms98-a-0007,31.177125,31.351000,why,B,qh,u-6-5
sw2303A-ms98-a-0007,31.351000,31.581000,bother,I,qh,u-6-5
sw2303A-ms98-a-0007,31.581000,31.991000,voting,I,qh,u-6-5
sw2303A-ms98-a-0008,32.695625,33.076375,[vocalized-noise],O,,
sw2303A-ms98-a-0010,34.933625,35.158500,that's,B,b,u-8-1
sw2303A-ms98-a-0010,35.158500,35.573000,right,I,b,u-8-1
sw2303A-ms98-a-0010,35.573000,35.666375,i,B,%,u-8-2
sw2303A-ms98-a-0010,35.666375,35.873625,think,I,%,u-8-2
sw2303A-ms98-a-0010,35.873625,36.173625,that's,I,%,u-8-2
sw2303A-ms98-a-0010,36.173625,36.387125,and,B,sd(^q),u-8-3
sw2303A-ms98-a-0010,36.387125,36.718625,and,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,36.718625,36.843625,the,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,36.843625,36.983625,other,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,36.983625,37.243625,side,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,37.243625,37.303625,of,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,37.303625,37.363625,the,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,37.363625,37.673625,coin,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,37.673625,37.893625,is,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,38.493625,38.663625,um,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,38.663625,38.933625,people,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,38.933625,39.173625,saying,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,39.173625,39.293625,well,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,39.293625,39.413625,if,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,39.413625,39.523625,i,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,39.523625,39.773625,really,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,39.773625,40.023625,like,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,40.023625,40.103625,the,I,sd(^q),u-8-3
sw2303A-ms98-a-0010,40.103625,40.443625,underdog,I,sd(^q),u-8-3
