sw2504B-ms98-a-0002,1.045000,1.634000,okay,B,b^m,u-2-1
sw2504B-ms98-a-0002,1.965500,2.435125,well,B,qh,u-2-2
sw2504B-ms98-a-0002,2.435125,3.040750,um,I,qh,u-2-2
sw2504B-ms98-a-0003,4.085875,4.168125,do,I,qh,u-2-2
sw2504B-ms98-a-0003,4.168125,4.258125,you,I,qh,u-2-2
sw2504B-ms98-a-0003,4.258125,4.758125,believe,I,qh,u-2-2
sw2504B-ms98-a-0003,4.758125,5.018125,only,I,qh,u-2-2
sw2504B-ms98-a-0003,5.018125,5.348125,fifty,I,qh,u-2-2
sw2504B-ms98-a-0003,5.348125,5.748125,percent,I,qh,u-2-2
sw2504B-ms98-a-0003,5.748125,5.818125,of,I,qh,u-2-2
sw2504B-ms98-a-0003,5.818125,5.888125,the,I,qh,u-2-2
sw2504B-ms98-a-0003,5.888125,6.298125,people,I,qh,u-2-2
sw2504B-ms98-a-0003,6.298125,6.868125,actually,I,qh,u-2-2
sw2504B-ms98-a-0003,6.868125,7.498125,vote,I,qh,u-2-2
sw2504B-ms98-a-0005,27.914875,28.207750,well,B,%,u-8-1
sw2504B-ms98-a-0007,45.198750,46.897875,[laughter],O,,
sw2504B-ms98-a-0009,57.855375,58.117250,well,B,aa,u-12-1
sw2504B-ms98-a-0009,58.512375,58.765250,it,I,aa,u-12-1
sw2504B-ms98-a-0009,59.141875,59.465375,uh,I,aa,u-12-1
sw2504B-ms98-a-0009,59.465375,59.715375,there's,I,aa,u-12-1
sw2504B-ms98-a-0009,59.715375,59.855375,no,I,aa,u-12-1
sw2504B-ms98-a-0009,59.855375,60.355375,question,I,aa,u-12-1
sw2504B-ms98-a-0009,60.355375,60.585375,it,I,aa,u-12-1
sw2504B-ms98-a-0009,60.585375,60.915375,does,I,aa,u-12-1
sw2504B-ms98-a-0009,60.915375,61.095375,make,I,aa,u-12-1
sw2504B-ms98-a-0009,61.095375,61.205375,a,I,aa,u-12-1
sw2504B-ms98-a-0009,61.205375,61.885375,difference,I,aa,u-12-1
sw2504B-ms98-a-0009,61.885375,62.278625,uh,B,sv,u-12-2
sw2504B-ms98-a-0009,62.606250,62.785375,so,I,sv,u-12-2
sw2504B-ms98-a-0009,62.785375,63.015375,far,I,sv,u-12-2
sw2504B-ms98-a-0009,63.015375,63.125375,as,B,+,u-14-1
sw2504B-ms98-a-0009,63.125375,63.553375,having,I,+,u-14-1
sw2504B-ms98-a-0009,63.553375,63.715375,a,I,+,u-14-1
sw2504B-ms98-a-0009,63.715375,64.155375,party,I,+,u-14-1
sw2504B-ms98-a-0009,64.155375,64.305375,and,I,+,u-14-1
sw2504B-ms98-a-0009,64.305375,64.425375,then,I,+,u-14-1
sw2504B-ms98-a-0009,64.425375,64.645375,all,I,+,u-14-1
sw2504B-ms98-a-0009,64.645375,65.158375,voting,I,+,u-14-1
sw2504B-ms98-a-0009,65.158375,65.395375,uh,I,+,u-14-1
sw2504B-ms98-a-0009,65.395375,65.525375,when,I,+,u-14-1
sw2504B-ms98-a-0009,65.525375,65.615375,you,I,+,u-14-1
sw2504B-ms98-a-0009,65.615375,65.805375,have,I,+,u-14-1
sw2504B-ms98-a-0009,65.805375,66.165375,different,I,+,u-14-1
sw2504B-ms98-a-0009,66.165375,66.885375,precincts,I,+,u-14-1
sw2504B-ms98-a-0009,66.885375,66.955375,you,I,+,u-14-1
sw2504B-ms98-a-0009,66.955375,67.145375,would,I,+,u-14-1
sw2504B-ms98-a-0009,67.145375,67.255375,have,I,+,u-14-1
sw2504B-ms98-a-0009,67.255375,67.375375,to,I,+,u-14-1
sw2504B-ms98-a-0009,67.375375,67.605375,have,I,+,u-14-1
sw2504B-ms98-a-0009,67.605375,67.902750,a,I,+,u-14-1
sw2504B-ms98-a-0009,67.902750,68.185375,party,I,+,u-14-1
sw2504B-ms98-a-0009,68.185375,68.305375,in,I,+,u-14-1
sw2504B-ms98-a-0009,68.305375,68.515375,every,I,+,u-14-1
sw2504B-ms98-a-0009,68.515375,69.290125,precinct,I,+,u-14-1
sw2504B-ms98-a-0010,70.062250,70.629500,because,B,sv,u-16-1
sw2504B-ms98-a-0010,70.629500,71.124750,people,I,sv,u-16-1
sw2504B-ms98-a-0010,71.283000,71.529500,have,I,sv,u-16-1
sw2504B-ms98-a-0010,71.529500,71.639500,to,I,sv,u-16-1
sw2504B-ms98-a-0010,71.639500,71.909500,vote,I,sv,u-16-1
sw2504B-ms98-a-0010,71.909500,72.039500,in,I,sv,u-16-1
sw2504B-ms98-a-0010,72.039500,72.399500,different,I,sv,u-16-1
sw2504B-ms98-a-0010,72.399500,72.988250,area,O,,
