sw2539B-ms98-a-0002,0.936125,1.398375,okay,B,o,u-1-1
sw2539B-ms98-a-0004,5.207000,5.325250,well,B,fe,u-3-1
sw2539B-ms98-a-0004,5.325250,5.713250,gosh,I,fe,u-3-1
sw2539B-ms98-a-0004,5.979500,6.215250,all,B,sd,u-3-2
sw2539B-ms98-a-0004,6.215250,6.735250,kinds,I,sd,u-3-2
sw2539B-ms98-a-0004,6.735250,7.289500,um,I,sd,u-3-2
sw2539B-ms98-a-0004,7.474125,8.890125,mostly,B,sd,u-3-3
sw2539B-ms98-a-0004,8.890125,9.435250,between,I,sd,u-3-3
sw2539B-ms98-a-0004,9.435250,9.505250,the,I,sd,u-3-3
sw2539B-ms98-a-0004,9.505250,9.845250,ages,I,sd,u-3-3
sw2539B-ms98-a-0004,9.845250,10.025250,of,I,sd,u-3-3
sw2539B-ms98-a-0004,10.025250,10.295250,two,I,sd,u-3-3
sw2539B-ms98-a-0004,10.295250,10.461125,and,I,sd,u-3-3
sw2539B-ms98-a-0004,10.461125,10.949000,ten,I,sd,u-3-3
sw2539B-ms98-a-0005,12.356625,12.834125,um,B,sd,u-5-1
sw2539B-ms98-a-0005,13.127875,13.587750,last,I,sd,u-5-1
sw2539B-ms98-a-0005,13.587750,13.787750,like,I,sd,u-5-1
sw2539B-ms98-a-0005,13.787750,13.837750,a,I,sd,u-5-1
sw2539B-ms98-a-0005,13.837750,14.037750,few,I,sd,u-5-1
sw2539B-ms98-a-0005,14.037750,14.417750,summers,I,sd,u-5-1
sw2539B-ms98-a-0005,14.417750,14.737750,ago,I,sd,u-5-1
sw2539B-ms98-a-0005,14.737750,14.847750,i,I,sd,u-5-1
sw2539B-ms98-a-0005,14.847750,15.337750,kept,I,sd,u-5-1
sw2539B-ms98-a-0005,15.337750,15.557750,two,I,sd,u-5-1
sw2539B-ms98-a-0005,15.557750,16.007750,children,I,sd,u-5-1
sw2539B-ms98-a-0005,16.007750,16.297750,every,I,sd,u-5-1
sw2539B-ms98-a-0005,16.297750,16.577750,day,I,sd,u-5-1
sw2539B-ms98-a-0005,16.577750,16.737750,for,I,sd,u-5-1
sw2539B-ms98-a-0005,16.737750,16.797750,the,I,sd,u-5-1
sw2539B-ms98-a-0005,16.797750,17.187750,entire,I,sd,u-5-1
sw2539B-ms98-a-0005,17.187750,17.751125,summer,I,sd,u-5-1
sw2539B-ms98-a-0005,17.751125,18.067750,and,B,sd,u-5-2
sw2539B-ms98-a-0005,18.067750,18.147750,i,I,sd,u-5-2
sw2539B-ms98-a-0005,18.147750,18.307750,mean,I,sd,u-5-2
sw2539B-ms98-a-0005,18.307750,18.427750,they,I,sd,u-5-2
sw2539B-ms98-a-0005,18.427750,18.787750,became,I,sd,u-5-2
sw2539B-ms98-a-0005,18.787750,18.967750,like,I,sd,u-5-2
sw2539B-ms98-a-0005,18.967750,19.167750,my,I,sd,u-5-2
sw2539B-ms98-a-0005,19.167750,19.619250,children,I,sd,u-5-2
sw2539B-ms98-a-0006,19.738125,20.897625,[laughter],O,,
sw2539B-ms98-a-0006,20.897625,21.212750,and,B,sd,u-7-1
sw2539B-ms98-a-0006,21.212750,21.663750,um,I,sd,u-7-1
sw2539B-ms98-a-0007,22.288500,22.450375,and,I,sd,u-7-1
sw2539B-ms98-a-0007,22.450375,22.570375,they,I,sd,u-7-1
sw2539B-ms98-a-0007,22.570375,22.720375,live,I,sd,u-7-1
sw2539B-ms98-a-0007,22.720375,22.780375,in,I,sd,u-7-1
sw2539B-ms98-a-0007,22.780375,22.850375,an,I,sd,u-7-1
sw2539B-ms98-a-0007,22.850375,23.260375,apartment,I,sd,u-7-1
sw2539B-ms98-a-0007,23.260375,23.890375,complex,I,sd,u-7-1
sw2539B-ms98-a-0007,23.890375,24.070375,so,B,sd,u-7-2
sw2539B-ms98-a-0007,24.070375,24.461500,we,I,sd,u-7-2
sw2539B-ms98-a-0007,24.461500,24.840375,swam,I,sd,u-7-2
sw2539B-ms98-a-0007,24.840375,24.900375,a,I,sd,u-7-2
sw2539B-ms98-a-0007,24.900375,25.220375,lot,I,sd,u-7-2
sw2539B-ms98-a-0007,25.220375,25.310375,and,B,sd,u-7-3
sw2539B-ms98-a-0007,25.310375,25.420375,we,I,sd,u-7-3
sw2539B-ms98-a-0007,25.420375,25.620375,played,I,sd,u-7-3
sw2539B-ms98-a-0007,25.620375,25.690375,on,I,sd,u-7-3
sw2539B-ms98-a-0007,25.690375,25.750375,the,I,sd,u-7-3
sw2539B-ms98-a-0007,25.750375,26.260375,playground,I,sd,u-7-3
sw2539B-ms98-a-0007,26.260375,26.290375,a,I,sd,u-7-3
sw2539B-ms98-a-0007,26.290375,26.740875,lot,I,sd,u-7-3
sw2539B-ms98-a-0007,26.740875,26.985875,and,B,sd,u-7-4
sw2539B-ms98-a-0008,27.789000,27.881000,we,I,sd,u-7-4
sw2539B-ms98-a-0008,27.881000,28.031000,would,I,sd,u-7-4
sw2539B-ms98-a-0008,28.031000,28.342875,go,I,sd,u-7-4
sw2539B-ms98-a-0008,28.870125,29.011000,to,I,sd,u-7-4
sw2539B-ms98-a-0008,29.011000,29.071000,a,I,sd,u-7-4
sw2539B-ms98-a-0008,29.071000,29.471000,movie,I,sd,u-7-4
sw2539B-ms98-a-0008,29.471000,29.661000,on,I,sd,u-7-4
sw2539B-ms98-a-0008,29.661000,30.751000,Thursdays,I,sd,u-7-4
sw2539B-ms98-a-0008,30.751000,31.210125,and,B,sd,u-7-5
sw2539B-ms98-a-0008,31.210125,31.670250,um,I,sd,u-7-5
sw2539B-ms98-a-0009,32.449000,32.518750,there,I,sd,u-7-5
sw2539B-ms98-a-0009,32.518750,32.658750,was,I,sd,u-7-5
sw2539B-ms98-a-0009,32.658750,32.928750,always,I,sd,u-7-5
sw2539B-ms98-a-0009,32.928750,33.018750,an,I,sd,u-7-5
sw2539B-ms98-a-0009,33.018750,33.715625,activity,I,sd,u-7-5
sw2539B-ms98-a-0009,33.715625,33.858750,you,B,sd,u-7-6
sw2539B-ms98-a-0009,33.858750,33.988750,know,I,sd,u-7-6
sw2539B-ms98-a-0009,33.988750,34.098750,they,I,sd,u-7-6
sw2539B-ms98-a-0009,34.098750,34.248750,had,I,sd,u-7-6
sw2539B-ms98-a-0009,34.248750,34.338750,their,I,sd,u-7-6
sw2539B-ms98-a-0009,34.338750,34.728750,favorite,I,sd,u-7-6
sw2539B-ms98-a-0009,34.728750,35.028750,TV,I,sd,u-7-6
sw2539B-ms98-a-0009,35.028750,35.578750,shows,I,sd,u-7-6
sw2539B-ms98-a-0009,35.578750,35.830750,and,I,sd,u-7-6
sw2539B-ms98-a-0009,36.294125,36.478750,things,I,sd,u-7-6
sw2539B-ms98-a-0009,36.478750,36.668750,like,I,sd,u-7-6
sw2539B-ms98-a-0009,36.668750,36.898750,that,I,sd,u-7-6
sw2539B-ms98-a-0009,36.898750,36.988750,that,I,sd,u-7-6
sw2539B-ms98-a-0009,36.988750,37.138750,we,I,sd,u-7-6
sw2539B-ms98-a-0009,37.138750,37.648750,watched,I,sd,u-7-6
sw2539B-ms98-a-0009,37.648750,37.788750,and,B,sd,u-7-7
sw2539B-ms98-a-0009,37.788750,38.091875,then,I,sd,u-7-7
sw2539B-ms98-a-0009,38.197250,38.308750,we,I,sd,u-7-7
sw2539B-ms98-a-0009,38.308750,38.558750,took,I,sd,u-7-7
sw2539B-ms98-a-0009,38.558750,39.298750,naps,I,sd,u-7-7
sw2539B-ms98-a-0009,39.298750,39.554375,and,B,h,u-7-8
sw2539B-ms98-a-0010,40.306125,40.820000,um,I,h,u-7-8
sw2539B-ms98-a-0010,41.388750,41.465000,i,I,h,u-7-8
sw2539B-ms98-a-0010,41.465000,41.557000,don't,I,h,u-7-8
sw2539B-ms98-a-0010,41.557000,41.677000,know,I,h,u-7-8
sw2539B-ms98-a-0010,41.677000,41.780500,it,B,sd,u-7-9
sw2539B-ms98-a-0010,42.127125,42.287000,it,I,sd,u-7-9
sw2539B-ms98-a-0010,42.287000,42.467000,just,I,sd,u-7-9
sw2539B-ms98-a-0010,42.467000,42.647000,seems,I,sd,u-7-9
sw2539B-ms98-a-0010,42.647000,42.807000,like,I,sd,u-7-9
sw2539B-ms98-a-0010,42.807000,42.907000,there,I,sd,u-7-9
sw2539B-ms98-a-0010,42.907000,42.994750,was,I,sd,u-7-9
sw2539B-ms98-a-0010,42.994750,43.467000,always,I,sd,u-7-9
sw2539B-ms98-a-0010,43.467000,43.767000,something,I,sd,u-7-9
sw2539B-ms98-a-0010,43.767000,43.837000,to,I,sd,u-7-9
sw2539B-ms98-a-0010,43.837000,44.007000,do,I,sd,u-7-9
sw2539B-ms98-a-0010,44.007000,44.357000,children,B,sv,u-7-10
sw2539B-ms98-a-0010,44.357000,44.477000,are,I,sv,u-7-10
sw2539B-ms98-a-0010,44.477000,44.877000,so,I,sv,u-7-10
sw2539B-ms98-a-0010,44.877000,45.087000,full,I,sv,u-7-10
sw2539B-ms98-a-0010,45.087000,45.187000,of,I,sv,u-7-10
sw2539B-ms98-a-0010,45.187000,45.791000,energy,I,sv,u-7-10
sw2539B-ms98-a-0011,46.672500,47.007125,and,B,sv,u-9-1
sw2539B-ms98-a-0011,47.007125,47.237125,oh,I,sv,u-9-1
sw2539B-ms98-a-0011,47.237125,47.367125,they,I,sv,u-9-1
sw2539B-ms98-a-0011,47.367125,47.667625,were,I,sv,u-9-1
sw2539B-ms98-a-0011,47.938625,48.077125,they,I,sv,u-9-1
sw2539B-ms98-a-0011,48.077125,48.424375,just,I,sv,u-9-1
