sw2917B-ms98-a-0002,2.970250,3.490250,oh,B,b,u-2-1
sw2917B-ms98-a-0002,3.490250,4.900250,[laughter],O,,
sw2917B-ms98-a-0002,4.900250,5.411375,well,B,sd,u-4-1
sw2917B-ms98-a-0002,5.742750,5.920250,my,I,sd,u-4-1
sw2917B-ms98-a-0002,5.920250,6.290250,husband,I,sd,u-4-1
sw2917B-ms98-a-0002,6.290250,6.390250,and,I,sd,u-4-1
sw2917B-ms98-a-0002,6.390250,6.520250,i,I,sd,u-4-1
sw2917B-ms98-a-0002,6.520250,6.700250,have,I,sd,u-4-1
sw2917B-ms98-a-0002,6.700250,6.980250,gotten,I,sd,u-4-1
sw2917B-ms98-a-0002,6.980250,7.210250,into,I,sd,u-4-1
sw2917B-ms98-a-0002,7.210250,7.676000,some,I,sd,u-4-1
sw2917B-ms98-a-0002,7.676000,8.150250,some,I,sd,u-4-1
sw2917B-ms98-a-0002,8.150250,8.680250,problems,I,sd,u-4-1
sw2917B-ms98-a-0002,8.680250,8.800250,with,I,sd,u-4-1
sw2917B-ms98-a-0002,8.800250,9.130250,credit,I,sd,u-4-1
sw2917B-ms98-a-0002,9.130250,9.540250,cards,I,sd,u-4-1
sw2917B-ms98-a-0002,9.540250,9.690250,we,B,sd,u-4-2
sw2917B-ms98-a-0002,9.690250,9.970250,don't,I,sd,u-4-2
sw2917B-ms98-a-0002,9.970250,10.310250,handle,I,sd,u-4-2
sw2917B-ms98-a-0002,10.310250,10.460250,them,I,sd,u-4-2
sw2917B-ms98-a-0002,10.460250,10.680250,very,I,sd,u-4-2
sw2917B-ms98-a-0002,10.680250,11.512250,well,I,sd,u-4-2
sw2917B-ms98-a-0003,12.389500,12.799500,we,B,sd,u-6-1
sw2917B-ms98-a-0003,12.799500,12.989500,we,I,sd,u-6-1
sw2917B-ms98-a-0003,12.989500,13.319500,tend,I,sd,u-6-1
sw2917B-ms98-a-0003,13.319500,13.459500,to,I,sd,u-6-1
sw2917B-ms98-a-0003,13.459500,13.679500,run,I,sd,u-6-1
sw2917B-ms98-a-0003,13.679500,13.849500,them,I,sd,u-6-1
sw2917B-ms98-a-0003,13.849500,14.089500,up,I,sd,u-6-1
sw2917B-ms98-a-0003,14.089500,14.189500,to,I,sd,u-6-1
sw2917B-ms98-a-0003,14.189500,14.269500,the,I,sd,u-6-1
sw2917B-ms98-a-0003,14.269500,14.799500,maximum,I,sd,u-6-1
sw2917B-ms98-a-0003,14.799500,14.889500,and,I,sd,u-6-1
sw2917B-ms98-a-0003,14.889500,15.079500,then,I,sd,u-6-1
sw2917B-ms98-a-0003,15.079500,15.279500,ask,I,sd,u-6-1
sw2917B-ms98-a-0003,15.279500,15.399500,for,I,sd,u-6-1
sw2917B-ms98-a-0003,15.399500,15.608125,more,I,sd,u-6-1
sw2917B-ms98-a-0003,15.608125,16.303625,[laughter],O,,
sw2917B-ms98-a-0004,17.546875,17.736875,they,B,sd,u-8-1
sw2917B-ms98-a-0004,17.736875,18.066875,they're,I,sd,u-8-1
sw2917B-ms98-a-0004,18.066875,18.276875,they're,I,sd,u-8-1
sw2917B-ms98-a-0004,18.276875,19.039875,really,I,sd,u-8-1
sw2917B-ms98-a-0004,19.039875,19.336875,bad,I,sd,u-8-1
sw2917B-ms98-a-0004,19.336875,19.526875,for,I,sd,u-8-1
sw2917B-ms98-a-0004,19.526875,19.943625,us,I,sd,u-8-1
sw2917B-ms98-a-0004,19.943625,20.546250,um,B,sd,u-8-2
sw2917B-ms98-a-0004,20.546250,20.766875,matter,I,sd,u-8-2
sw2917B-ms98-a-0004,20.766875,20.836875,of,I,sd,u-8-2
sw2917B-ms98-a-0004,20.836875,21.066875,fact,I,sd,u-8-2
sw2917B-ms98-a-0004,21.066875,21.316875,we've,I,sd,u-8-2
sw2917B-ms98-a-0004,21.316875,21.566875,gotten,I,sd,u-8-2
sw2917B-ms98-a-0004,21.566875,21.716875,rid,I,sd,u-8-2
sw2917B-ms98-a-0004,21.716875,21.806875,of,I,sd,u-8-2
sw2917B-ms98-a-0004,21.806875,21.976875,all,I,sd,u-8-2
sw2917B-ms98-a-0004,21.976875,22.096875,of,I,sd,u-8-2
sw2917B-ms98-a-0004,22.096875,22.206875,our,I,sd,u-8-2
sw2917B-ms98-a-0004,22.206875,22.506875,credit,I,sd,u-8-2
sw2917B-ms98-a-0004,22.506875,22.906875,cards,I,sd,u-8-2
sw2917B-ms98-a-0004,22.906875,23.266875,except,I,sd,u-8-2
sw2917B-ms98-a-0004,23.266875,23.610000,for,I,sd,u-8-2
sw2917B-ms98-a-0004,23.610000,23.706875,a,I,sd,u-8-2
sw2917B-ms98-a-0004,23.706875,24.336875,MasterCard,I,sd,u-8-2
sw2917B-ms98-a-0004,24.336875,24.426875,and,I,sd,u-8-2
sw2917B-ms98-a-0004,24.426875,24.456875,a,I,sd,u-8-2
sw2917B-ms98-a-0004,24.456875,24.933125,Visa,I,sd,u-8-2
sw2917B-ms98-a-0005,25.946375,26.085750,then,O,,
sw2917B-ms98-a-0005,26.085750,26.293875,and,B,sd,u-10-1
sw2917B-ms98-a-0005,26.293875,26.485750,we,I,sd,u-10-1
sw2917B-ms98-a-0005,26.485750,26.745750,pretty,I,sd,u-10-1
sw2917B-ms98-a-0005,26.745750,26.985750,much,I,sd,u-10-1
sw2917B-ms98-a-0005,26.985750,27.255750,keep,I,sd,u-10-1
sw2917B-ms98-a-0005,27.255750,27.475750,those,I,sd,u-10-1
