sw2996A-ms98-a-0003,6.848750,7.219625,yeah,B,ny,u-2-1
sw2996A-ms98-a-0003,7.219625,7.475625,oh,B,na,u-2-2
sw2996A-ms98-a-0003,7.605625,8.535625,definitely,I,na,u-2-2
sw2996A-ms98-a-0003,8.535625,10.635625,[laughter],O,,
sw2996A-ms98-a-0003,10.635625,10.935625,seems,B,%,u-2-3
sw2996A-ms98-a-0003,10.935625,11.290750,like,I,%,u-2-3
sw2996A-ms98-a-0005,28.370125,28.630125,yeah,B,aa,u-4-1
sw2996A-ms98-a-0005,28.630125,28.820125,i,B,sd,u-4-2
sw2996A-ms98-a-0005,28.820125,29.260125,think,I,sd,u-4-2
sw2996A-ms98-a-0005,29.260125,29.480125,that,I,sd,u-4-2
sw2996A-ms98-a-0005,29.480125,29.740125,uh,I,sd,u-4-2
sw2996A-ms98-a-0005,29.900125,30.040125,we,I,sd,u-4-2
sw2996A-ms98-a-0005,30.040125,30.580125,probably,I,sd,u-4-2
sw2996A-ms98-a-0005,30.580125,30.850125,will,I,sd,u-4-2
sw2996A-ms98-a-0005,30.850125,31.080125,have,I,sd,u-4-2
sw2996A-ms98-a-0005,31.080125,31.180125,to,I,sd,u-4-2
sw2996A-ms98-a-0005,31.380125,31.570125,have,I,sd,u-4-2
sw2996A-ms98-a-0005,31.570125,31.850125,to,I,sd,u-4-2
sw2996A-ms98-a-0005,31.850125,32.070125,uh,I,sd,u-4-2
sw2996A-ms98-a-0005,32.070125,32.310125,have,I,sd,u-4-2
sw2996A-ms98-a-0005,32.310125,32.370125,a,I,sd,u-4-2
sw2996A-ms98-a-0005,32.370125,32.770125,state,I,sd,u-4-2
sw2996A-ms98-a-0005,32.770125,33.130125,income,I,sd,u-4-2
sw2996A-ms98-a-0005,33.130125,33.480125,tax,I,sd,u-4-2
sw2996A-ms98-a-0005,33.480125,33.965375,because,I,sd,u-4-2
sw2996A-ms98-a-0005,34.756375,35.087750,uh,I,sd,u-4-2
sw2996A-ms98-a-0005,35.340125,35.910125,Texans,I,sd,u-4-2
sw2996A-ms98-a-0005,36.490125,36.958875,don't,I,sd,u-4-2
sw2996A-ms98-a-0005,37.203625,37.700125,approve,I,sd,u-4-2
sw2996A-ms98-a-0005,37.700125,37.860125,of,I,sd,u-4-2
sw2996A-ms98-a-0005,37.860125,38.210125,such,I,sd,u-4-2
sw2996A-ms98-a-0005,38.210125,38.550125,things,I,sd,u-4-2
sw2996A-ms98-a-0005,38.550125,38.830125,as,I,sd,u-4-2
sw2996A-ms98-a-0005,38.830125,39.700125,lotteries,I,sd,u-4-2
sw2996A-ms98-a-0006,40.438125,40.917500,uh,I,sd,u-4-2
sw2996A-ms98-a-0006,41.890500,42.013875,uh,I,sd,u-4-2
sw2996A-ms98-a-0006,42.013875,42.243875,well,I,sd,u-4-2
sw2996A-ms98-a-0006,42.243875,42.370875,i,I,sd,u-4-2
sw2996A-ms98-a-0006,42.559250,42.753875,i,I,sd,u-4-2
sw2996A-ms98-a-0006,42.753875,42.950250,c[ome]-,I,sd,u-4-2
sw2996A-ms98-a-0006,42.950250,43.130750,i,I,sd,u-4-2
sw2996A-ms98-a-0006,43.130750,43.393875,come,I,sd,u-4-2
sw2996A-ms98-a-0006,43.393875,43.643875,here,I,sd,u-4-2
sw2996A-ms98-a-0006,43.643875,43.893875,from,I,sd,u-4-2
sw2996A-ms98-a-0006,43.893875,44.073875,New,I,sd,u-4-2
sw2996A-ms98-a-0006,44.073875,44.373875,York,I,sd,u-4-2
sw2996A-ms98-a-0006,44.373875,44.473875,and,B,sd,u-4-3
sw2996A-ms98-a-0006,44.473875,44.573875,New,I,sd,u-4-3
sw2996A-ms98-a-0006,44.573875,44.843875,York,I,sd,u-4-3
sw2996A-ms98-a-0006,44.843875,45.023875,had,I,sd,u-4-3
sw2996A-ms98-a-0006,45.023875,45.093875,a,I,sd,u-4-3
sw2996A-ms98-a-0006,45.093875,45.473875,state,I,sd,u-4-3
sw2996A-ms98-a-0006,45.473875,45.933875,lottery,I,sd,u-4-3
sw2996A-ms98-a-0006,45.933875,46.053875,and,B,sd,u-6-1
sw2996A-ms98-a-0006,46.053875,46.173875,it,I,sd,u-6-1
sw2996A-ms98-a-0006,46.173875,46.463875,really,I,sd,u-6-1
sw2996A-ms98-a-0006,46.463875,46.803875,raised,I,sd,u-6-1
sw2996A-ms98-a-0006,46.803875,46.893875,a,I,sd,u-6-1
sw2996A-ms98-a-0006,46.893875,47.213875,lot,I,sd,u-6-1
sw2996A-ms98-a-0006,47.213875,47.323875,of,I,sd,u-6-1
sw2996A-ms98-a-0006,47.323875,47.633875,money,I,sd,u-6-1
