sw2340B-ms98-a-0002,0.697750,0.987750,hello,B,fp,u-1-1
sw2340B-ms98-a-0004,3.489250,3.819250,fine,B,fp,u-3-1
sw2340B-ms98-a-0004,3.819250,4.099250,i'm,B,fp,u-3-2
sw2340B-ms98-a-0004,4.099250,4.519250,Callie,I,fp,u-3-2
sw2340B-ms98-a-0004,4.519250,4.619250,in,I,fp,u-3-2
sw2340B-ms98-a-0004,4.619250,5.149250,Garland,I,fp,u-3-2
sw2340B-ms98-a-0005,6.049625,6.379625,yes,B,ny,u-5-1
sw2340B-ms98-a-0007,8.755250,8.975250,oh,B,b,u-7-1
sw2340B-ms98-a-0007,8.975250,9.365250,are,I,b,u-7-1
sw2340B-ms98-a-0007,9.365250,9.796875,you,I,b,u-7-1
sw2340B-ms98-a-0008,10.562625,10.752625,yeah,B,ny,u-9-1
sw2340B-ms98-a-0008,10.752625,11.092625,you,B,qy,u-9-2
sw2340B-ms98-a-0010,15.456750,16.090625,[vocalized-noise],O,,
sw2340B-ms98-a-0011,16.743500,17.098125,i,B,aa,u-11-1
sw2340B-ms98-a-0011,17.098125,17.512125,know,I,aa,u-11-1
sw2340B-ms98-a-0011,17.512125,17.646125,i,B,aa^r,u-11-2
sw2340B-ms98-a-0011,17.646125,17.975125,know,I,aa^r,u-11-2
sw2340B-ms98-a-0011,17.975125,18.288375,aren't,O,,
sw2340B-ms98-a-0011,18.288375,18.723250,they,B,%,u-11-3
sw2340B-ms98-a-0012,19.443500,19.582875,i,O,,
sw2340B-ms98-a-0012,19.582875,19.762875,love,O,,
sw2340B-ms98-a-0012,19.762875,19.862875,it,B,sd,u-13-1
sw2340B-ms98-a-0012,19.862875,20.002875,in,I,sd,u-13-1
sw2340B-ms98-a-0012,20.002875,20.146000,the,I,sd,u-13-1
sw2340B-ms98-a-0013,21.766375,21.936375,it,I,sd,u-13-1
sw2340B-ms98-a-0013,21.936375,22.096375,was,I,sd,u-13-1
sw2340B-ms98-a-0013,22.096375,22.146375,a,I,sd,u-13-1
sw2340B-ms98-a-0013,22.146375,22.336375,lot,I,sd,u-13-1
sw2340B-ms98-a-0013,22.336375,22.696375,nicer,I,sd,u-13-1
sw2340B-ms98-a-0013,22.696375,22.796375,than,I,sd,u-13-1
sw2340B-ms98-a-0013,22.796375,22.826375,i,I,sd,u-13-1
sw2340B-ms98-a-0013,22.826375,23.626375,expected,I,sd,u-13-1
sw2340B-ms98-a-0015,35.880750,36.080750,i've,B,sd^t,u-15-1
sw2340B-ms98-a-0015,36.080750,36.440750,talked,I,sd^t,u-15-1
sw2340B-ms98-a-0015,36.440750,36.570750,to,I,sd^t,u-15-1
sw2340B-ms98-a-0015,36.570750,36.600750,i,B,sd^t,u-15-2
sw2340B-ms98-a-0015,36.600750,36.920750,don't,I,sd^t,u-15-2
sw2340B-ms98-a-0015,36.920750,37.740750,think,I,sd^t,u-15-2
sw2340B-ms98-a-0015,37.740750,37.820750,they,I,sd^t,u-15-2
sw2340B-ms98-a-0015,37.820750,37.920750,were,I,sd^t,u-15-2
sw2340B-ms98-a-0015,37.920750,38.668125,students,I,sd^t,u-15-2
sw2340B-ms98-a-0015,38.668125,38.995750,one,B,sd^t,u-15-3
sw2340B-ms98-a-0015,38.995750,39.080750,i,I,sd^t,u-15-3
sw2340B-ms98-a-0015,39.080750,39.310750,think,I,sd^t,u-15-3
sw2340B-ms98-a-0015,39.310750,39.540750,worked,I,sd^t,u-15-3
sw2340B-ms98-a-0015,39.540750,39.620750,at,I,sd^t,u-15-3
sw2340B-ms98-a-0015,39.620750,39.650750,a,I,sd^t,u-15-3
sw2340B-ms98-a-0015,39.650750,40.349375,university,I,sd^t,u-15-3
sw2340B-ms98-a-0015,40.707250,41.554375,university,I,sd^t,u-15-3
sw2340B-ms98-a-0015,41.993500,42.620750,um,B,+,u-17-1
sw2340B-ms98-a-0015,42.944750,43.065250,and,I,+,u-17-1
sw2340B-ms98-a-0015,43.065250,43.200750,the,I,+,u-17-1
sw2340B-ms98-a-0015,43.200750,43.610750,furthest,I,+,u-17-1
sw2340B-ms98-a-0015,43.610750,43.820750,away,I,+,u-17-1
sw2340B-ms98-a-0015,43.820750,43.910750,i've,I,+,u-17-1
sw2340B-ms98-a-0015,43.910750,44.140750,talked,I,+,u-17-1
sw2340B-ms98-a-0015,44.140750,44.200750,to,I,+,u-17-1
sw2340B-ms98-a-0015,44.200750,44.550750,someone,I,+,u-17-1
sw2340B-ms98-a-0015,44.550750,44.750750,has,I,+,u-17-1
sw2340B-ms98-a-0015,44.750750,44.980750,been,I,+,u-17-1
sw2340B-ms98-a-0015,44.980750,45.110750,New,I,+,u-17-1
sw2340B-ms98-a-0015,45.110750,45.603375,York,I,+,u-17-1
sw2340B-ms98-a-0016,47.081500,47.598750,so,O,,
sw2340B-ms98-a-0017,49.394125,49.714125,yes,B,aa,u-19-1
sw2340B-ms98-a-0017,49.714125,49.844125,we,B,aa,u-19-2
sw2340B-ms98-a-0017,49.844125,50.129875,are,I,aa,u-19-2
sw2340B-ms98-a-0019,63.061875,63.550375,oh,B,%,u-21-1
sw2340B-ms98-a-0019,63.550375,63.670875,well,I,%,u-21-1
sw2340B-ms98-a-0019,63.670875,63.795000,that's,I,%,u-21-1
sw2340B-ms98-a-0019,63.795000,64.044875,not,O,,
sw2340B-ms98-a-0019,64.237000,64.380375,did,B,qy^t,u-21-2
sw2340B-ms98-a-0019,64.380375,64.480375,you,I,qy^t,u-21-2
sw2340B-ms98-a-0019,64.480375,64.740375,push,I,qy^t,u-21-2
sw2340B-ms98-a-0019,64.740375,64.830375,the,I,qy^t,u-21-2
sw2340B-ms98-a-0019,64.830375,65.180375,button,I,qy^t,u-21-2
sw2340B-ms98-a-0021,66.980625,67.140625,did,B,qy^d,u-23-1
sw2340B-ms98-a-0021,67.140625,67.280625,you,O,,
sw2340B-ms98-a-0023,69.082250,69.332250,okay,B,b,u-25-1
sw2340B-ms98-a-0023,69.332250,69.532250,just,B,sd^m,u-25-2
sw2340B-ms98-a-0023,69.532250,69.672250,in,I,sd^m,u-25-2
sw2340B-ms98-a-0023,69.672250,69.912250,case,I,sd^m,u-25-2
sw2340B-ms98-a-0023,69.912250,70.883625,[laughter],O,,
sw2340B-ms98-a-0025,74.869875,75.137750,now,B,%,u-27-1
sw2340B-ms98-a-0025,75.483125,75.803125,what's,O,,
sw2340B-ms98-a-0026,76.746625,77.206625,oh,B,b,u-29-1
sw2340B-ms98-a-0028,84.157250,85.095000,oh,B,b,u-31-1
sw2340B-ms98-a-0030,91.689375,91.809875,well,B,ba,u-33-1
sw2340B-ms98-a-0030,91.809875,92.045875,isn't,I,ba,u-33-1
sw2340B-ms98-a-0030,92.045875,92.200250,that,I,ba,u-33-1
sw2340B-ms98-a-0030,92.200250,92.800000,neat,I,ba,u-33-1
sw2340B-ms98-a-0031,93.288000,93.487875,isn't,B,ba,u-35-1
sw2340B-ms98-a-0031,93.487875,93.747375,that,I,ba,u-35-1
sw2340B-ms98-a-0031,93.747375,94.436625,neat,I,ba,u-35-1
sw2340B-ms98-a-0033,104.720375,105.298125,uh-huh,B,b,u-37-1
sw2340B-ms98-a-0033,105.772125,106.167750,oh,B,ba,u-39-1
sw2340B-ms98-a-0033,106.167750,106.387750,that's,I,ba,u-39-1
sw2340B-ms98-a-0033,106.387750,106.647750,good,I,ba,u-39-1
sw2340B-ms98-a-0035,111.163000,111.473000,that's,B,ba,u-41-1
sw2340B-ms98-a-0035,111.473000,111.673000,neat,I,ba,u-41-1
sw2340B-ms98-a-0035,111.673000,111.903000,just,B,qy^d,u-41-2
sw2340B-ms98-a-0035,111.903000,112.563000,supervised,I,qy^d,u-41-2
sw2340B-ms98-a-0035,112.563000,112.763000,more,I,qy^d,u-41-2
sw2340B-ms98-a-0035,112.763000,112.843000,or,I,qy^d,u-41-2
sw2340B-ms98-a-0035,112.843000,113.193000,less,I,qy^d,u-41-2
sw2340B-ms98-a-0035,113.193000,113.353000,than,I,qy^d,u-41-2
sw2340B-ms98-a-0035,113.353000,113.923000,anything,I,qy^d,u-41-2
sw2340B-ms98-a-0035,113.923000,114.023000,and,I,qy^d,u-41-2
sw2340B-ms98-a-0035,114.023000,114.633000,security,I,qy^d,u-41-2
sw2340B-ms98-a-0035,114.633000,114.703000,i,I,qy^d,u-41-2
sw2340B-ms98-a-0035,114.703000,115.003000,guess,I,qy^d,u-41-2
sw2340B-ms98-a-0035,115.003000,115.113000,for,O,,
sw2340B-ms98-a-0035,115.113000,115.521000,them_1,O,,
sw2340B-ms98-a-0037,122.457625,122.897625,oh,B,bk,u-43-1
sw2340B-ms98-a-0039,125.526250,125.909750,right,O,,
sw2340B-ms98-a-0039,126.153750,126.286250,what,B,qw,u-47-1
sw2340B-ms98-a-0039,126.286250,126.446250,made,I,qw,u-47-1
sw2340B-ms98-a-0039,126.446250,126.506250,you,I,qw,u-47-1
sw2340B-ms98-a-0039,126.506250,126.576250,all,I,qw,u-47-1
