sw2418B-ms98-a-0002,0.827750,1.297750,okay,B,aa,u-2-1
sw2418B-ms98-a-0004,3.962375,4.212375,well,B,ng,u-4-1
sw2418B-ms98-a-0004,4.212375,4.412375,i,I,ng,u-4-1
sw2418B-ms98-a-0004,4.412375,4.732375,left,I,ng,u-4-1
sw2418B-ms98-a-0004,4.732375,5.062375,TI,I,ng,u-4-1
sw2418B-ms98-a-0004,5.062375,5.302375,in,I,ng,u-4-1
sw2418B-ms98-a-0004,5.302375,5.932375,January,I,ng,u-4-1
sw2418B-ms98-a-0004,5.932375,6.132375,but,B,sd,u-4-2
sw2418B-ms98-a-0004,6.132375,6.242375,i,I,sd,u-4-2
sw2418B-ms98-a-0004,6.242375,6.552375,signed,I,sd,u-4-2
sw2418B-ms98-a-0004,6.552375,6.692375,up,I,sd,u-4-2
sw2418B-ms98-a-0004,6.692375,6.822375,for,I,sd,u-4-2
sw2418B-ms98-a-0004,6.822375,7.022375,this,I,sd,u-4-2
sw2418B-ms98-a-0004,7.022375,7.362750,before,I,sd,u-4-2
sw2418B-ms98-a-0004,7.362750,7.532125,i,I,sd,u-4-2
sw2418B-ms98-a-0004,7.532125,8.028000,did,I,sd,u-4-2
sw2418B-ms98-a-0006,26.462125,26.622125,oh,B,sv,u-6-1
sw2418B-ms98-a-0006,26.622125,26.742125,i,I,sv,u-6-1
sw2418B-ms98-a-0006,26.742125,26.972125,think,I,sv,u-6-1
sw2418B-ms98-a-0006,26.972125,27.212125,that's,I,sv,u-6-1
sw2418B-ms98-a-0006,27.212125,27.262125,a,I,sv,u-6-1
sw2418B-ms98-a-0006,27.622125,27.902125,that's,B,+,u-8-1
sw2418B-ms98-a-0006,27.902125,27.972125,a,I,+,u-8-1
sw2418B-ms98-a-0006,28.072125,28.258625,good,I,+,u-8-1
sw2418B-ms98-a-0006,28.258625,28.902125,idea,I,+,u-8-1
sw2418B-ms98-a-0007,29.888375,29.978375,all,B,b,u-10-1
sw2418B-ms98-a-0007,29.978375,30.600125,right,I,b,u-10-1
sw2418B-ms98-a-0009,33.228875,33.328875,oh,B,nn,u-12-1
