sw3402B-ms98-a-0003,4.662375,5.221250,right,B,aa,u-2-1
sw3402B-ms98-a-0005,8.093500,8.762625,[laughter-that's],O,,
sw3402B-ms98-a-0006,9.635250,10.344500,right,B,aa,u-6-1
sw3402B-ms98-a-0008,42.998625,43.338625,well,B,sd,u-8-1
sw3402B-ms98-a-0008,43.338625,43.658625,unlike,I,sd,u-8-1
sw3402B-ms98-a-0008,43.658625,43.788625,you,I,sd,u-8-1
sw3402B-ms98-a-0008,43.788625,43.878625,i,B,sd,u-8-2
sw3402B-ms98-a-0008,43.878625,44.268625,don't,I,sd,u-8-2
sw3402B-ms98-a-0008,44.268625,44.348625,i,I,sd,u-8-2
sw3402B-ms98-a-0008,44.348625,44.658625,don't,I,sd,u-8-2
sw3402B-ms98-a-0008,44.658625,44.698625,i,I,sd,u-8-2
sw3402B-ms98-a-0008,44.698625,44.898625,like,I,sd,u-8-2
sw3402B-ms98-a-0008,44.898625,44.988625,to,I,sd,u-8-2
sw3402B-ms98-a-0008,44.988625,45.078625,read,I,sd,u-8-2
sw3402B-ms98-a-0008,45.078625,45.138625,the,I,sd,u-8-2
sw3402B-ms98-a-0008,45.138625,45.428625,paper,I,sd,u-8-2
sw3402B-ms98-a-0008,45.428625,45.568625,but,B,sd,u-8-3
sw3402B-ms98-a-0008,45.568625,45.658625,i,I,sd,u-8-3
sw3402B-ms98-a-0008,45.658625,46.340875,basically,I,sd,u-8-3
sw3402B-ms98-a-0008,46.340875,46.698625,don't,I,sd,u-8-3
sw3402B-ms98-a-0008,46.698625,46.808625,do,I,sd,u-8-3
sw3402B-ms98-a-0008,46.808625,46.908625,it,I,sd,u-8-3
sw3402B-ms98-a-0008,46.908625,47.158625,every,I,sd,u-8-3
sw3402B-ms98-a-0008,47.158625,47.673625,day,I,sd,u-8-3
sw3402B-ms98-a-0009,48.134750,48.304750,and,B,sd,u-10-1
sw3402B-ms98-a-0009,48.304750,48.504750,i,I,sd,u-10-1
sw3402B-ms98-a-0009,48.504750,48.844750,um,I,sd,u-10-1
sw3402B-ms98-a-0009,48.844750,48.974750,i,I,sd,u-10-1
sw3402B-ms98-a-0009,48.974750,49.194750,usually,I,sd,u-10-1
sw3402B-ms98-a-0009,49.194750,49.834750,watch,I,sd,u-10-1
