sw3081B-ms98-a-0003,14.284500,15.034500,um-hum,B,b,u-2-1
sw3081B-ms98-a-0005,27.675625,27.795625,oh,B,ba,u-4-1
sw3081B-ms98-a-0005,27.795625,27.975625,that,I,ba,u-4-1
sw3081B-ms98-a-0005,27.975625,28.315625,sounds,I,ba,u-4-1
sw3081B-ms98-a-0005,28.315625,28.695625,good,I,ba,u-4-1
sw3081B-ms98-a-0006,29.471375,29.851375,um,B,sd,u-6-1
sw3081B-ms98-a-0006,29.851375,30.028875,we're,I,sd,u-6-1
sw3081B-ms98-a-0006,30.028875,30.311375,not,I,sd,u-6-1
sw3081B-ms98-a-0006,30.461375,30.988125,uh,I,sd,u-6-1
sw3081B-ms98-a-0006,30.988125,31.553000,real,I,sd,u-6-1
sw3081B-ms98-a-0006,31.760125,32.251375,wealthy,I,sd,u-6-1
sw3081B-ms98-a-0006,32.251375,32.391375,at,I,sd,u-6-1
sw3081B-ms98-a-0006,32.391375,32.461375,the,I,sd,u-6-1
sw3081B-ms98-a-0006,32.461375,32.871375,moment,I,sd,u-6-1
sw3081B-ms98-a-0006,32.871375,33.181375,last,B,sd,u-6-2
sw3081B-ms98-a-0006,33.181375,33.381375,time,I,sd,u-6-2
sw3081B-ms98-a-0006,33.381375,33.481375,i,I,sd,u-6-2
sw3081B-ms98-a-0006,33.481375,33.771375,had,I,sd,u-6-2
sw3081B-ms98-a-0006,33.771375,34.081375,people,I,sd,u-6-2
sw3081B-ms98-a-0006,34.081375,34.321375,over,I,sd,u-6-2
sw3081B-ms98-a-0006,34.321375,34.511375,for,I,sd,u-6-2
sw3081B-ms98-a-0006,34.511375,34.861375,dinner,I,sd,u-6-2
sw3081B-ms98-a-0006,34.861375,35.001375,we,I,sd,u-6-2
sw3081B-ms98-a-0006,35.001375,35.301375,had,I,sd,u-6-2
sw3081B-ms98-a-0006,35.301375,36.059750,lasagna,I,sd,u-6-2
sw3081B-ms98-a-0007,37.268000,37.725750,and,B,sd,u-6-3
sw3081B-ms98-a-0007,37.725750,37.858500,i,I,sd,u-6-3
sw3081B-ms98-a-0007,37.858500,38.105750,used,I,sd,u-6-3
sw3081B-ms98-a-0007,38.105750,38.245750,my,I,sd,u-6-3
sw3081B-ms98-a-0007,38.245750,38.685750,mother's,I,sd,u-6-3
sw3081B-ms98-a-0007,38.685750,39.275750,recipe,I,sd,u-6-3
sw3081B-ms98-a-0007,39.275750,39.385750,i,B,sd,u-6-4
sw3081B-ms98-a-0007,39.385750,39.695750,really,I,sd,u-6-4
sw3081B-ms98-a-0007,39.695750,40.005750,like,I,sd,u-6-4
sw3081B-ms98-a-0007,40.005750,40.175750,it,I,sd,u-6-4
sw3081B-ms98-a-0007,40.645750,40.895750,it's,B,%,u-6-5
sw3081B-ms98-a-0007,40.895750,41.395750,got,I,%,u-6-5
sw3081B-ms98-a-0007,41.395750,41.731000,um,I,%,u-6-5
sw3081B-ms98-a-0007,42.507000,42.635750,you,B,sd,u-6-6
sw3081B-ms98-a-0007,42.635750,42.925750,cook,I,sd,u-6-6
sw3081B-ms98-a-0007,42.925750,43.005750,the,I,sd,u-6-6
sw3081B-ms98-a-0007,43.005750,43.565750,noodles,I,sd,u-6-6
sw3081B-ms98-a-0007,43.728875,44.154500,and,I,sd,u-6-6
sw3081B-ms98-a-0008,45.729500,46.279500,make,I,sd,u-6-6
sw3081B-ms98-a-0008,46.279500,46.539500,and,I,sd,u-6-6
sw3081B-ms98-a-0008,46.539500,46.969500,brown,I,sd,u-6-6
sw3081B-ms98-a-0008,46.969500,47.996125,hamburger,I,sd,u-6-6
sw3081B-ms98-a-0008,48.640000,49.249500,and,I,sd,u-6-6
sw3081B-ms98-a-0008,49.249500,49.479500,put,I,sd,u-6-6
sw3081B-ms98-a-0008,49.479500,49.849500,tomato,I,sd,u-6-6
sw3081B-ms98-a-0008,49.849500,50.309500,sauce,I,sd,u-6-6
sw3081B-ms98-a-0008,50.309500,50.519500,in,I,sd,u-6-6
sw3081B-ms98-a-0008,50.519500,50.718875,with,I,sd,u-6-6
sw3081B-ms98-a-0008,50.718875,51.039500,it,I,sd,u-6-6
sw3081B-ms98-a-0008,51.039500,51.684625,and,B,sd,u-6-7
sw3081B-ms98-a-0009,52.803000,52.983000,i'm,I,sd,u-6-7
sw3081B-ms98-a-0009,52.983000,53.213000,not,I,sd,u-6-7
sw3081B-ms98-a-0009,53.213000,53.463000,sure,I,sd,u-6-7
sw3081B-ms98-a-0009,53.463000,53.623000,she,I,sd,u-6-7
sw3081B-ms98-a-0009,53.623000,53.833000,even,I,sd,u-6-7
sw3081B-ms98-a-0009,53.833000,54.460250,puts,I,sd,u-6-7
sw3081B-ms98-a-0010,55.268000,55.818000,must,B,sd,u-6-8
sw3081B-ms98-a-0010,55.818000,55.958000,be,I,sd,u-6-8
sw3081B-ms98-a-0010,55.958000,56.178000,some,I,sd,u-6-8
sw3081B-ms98-a-0010,56.178000,56.918000,Italian,I,sd,u-6-8
sw3081B-ms98-a-0010,56.918000,57.538000,spices,I,sd,u-6-8
sw3081B-ms98-a-0010,57.538000,57.738000,in,I,sd,u-6-8
sw3081B-ms98-a-0010,57.738000,58.071250,there,I,sd,u-6-8
sw3081B-ms98-a-0010,59.110875,59.314500,i,B,sd,u-6-9
sw3081B-ms98-a-0010,59.314500,59.568000,can't,I,sd,u-6-9
sw3081B-ms98-a-0010,59.568000,60.142500,remember,I,sd,u-6-9
sw3081B-ms98-a-0010,60.681125,61.088000,but,B,sd,u-6-10
sw3081B-ms98-a-0010,61.088000,61.638625,um,I,sd,u-6-10
sw3081B-ms98-a-0010,61.638625,61.938500,for,I,sd,u-6-10
sw3081B-ms98-a-0010,61.938500,62.055250,the,I,sd,u-6-10
sw3081B-ms98-a-0010,62.055250,62.524875,cheese,I,sd,u-6-10
sw3081B-ms98-a-0010,62.524875,63.057000,part,I,sd,u-6-10
sw3081B-ms98-a-0010,63.426125,63.598000,you,I,sd,u-6-10
sw3081B-ms98-a-0010,63.598000,64.138000,mix,I,sd,u-6-10
sw3081B-ms98-a-0010,64.356500,64.598000,uh,I,sd,u-6-10
sw3081B-ms98-a-0010,64.598000,65.206750,sour,I,sd,u-6-10
sw3081B-ms98-a-0010,65.206750,65.761625,cream,I,sd,u-6-10
sw3081B-ms98-a-0010,66.118000,66.434375,and,I,sd,u-6-10
sw3081B-ms98-a-0010,66.434375,66.818000,cream,I,sd,u-6-10
sw3081B-ms98-a-0010,66.818000,67.448000,cheese,I,sd,u-6-10
sw3081B-ms98-a-0010,67.688000,68.058000,and,I,sd,u-6-10
sw3081B-ms98-a-0010,68.058000,68.548000,cottage,I,sd,u-6-10
sw3081B-ms98-a-0010,68.548000,69.198125,cheese,I,sd,u-6-10
sw3081B-ms98-a-0011,70.473500,70.893500,and,B,+,u-8-1
sw3081B-ms98-a-0011,70.893500,71.133500,uh,I,+,u-8-1
sw3081B-ms98-a-0011,71.133500,71.543500,layer,I,+,u-8-1
sw3081B-ms98-a-0011,71.543500,71.733500,all,I,+,u-8-1
sw3081B-ms98-a-0011,71.733500,72.088000,that,I,+,u-8-1
sw3081B-ms98-a-0011,72.088000,72.428500,and,O,,
sw3081B-ms98-a-0011,73.314875,73.683500,it's,B,sd,u-8-2
sw3081B-ms98-a-0011,73.683500,74.203125,good,I,sd,u-8-2
sw3081B-ms98-a-0011,74.743500,75.413500,and,B,sd,u-10-1
sw3081B-ms98-a-0011,75.413500,75.793500,then,I,sd,u-10-1
sw3081B-ms98-a-0011,76.063500,76.403500,then,I,sd,u-10-1
sw3081B-ms98-a-0011,76.403500,76.723500,uh,I,sd,u-10-1
sw3081B-ms98-a-0011,76.723500,77.074000,uh,I,sd,u-10-1
sw3081B-ms98-a-0011,77.706750,78.093500,tossed,I,sd,u-10-1
sw3081B-ms98-a-0011,78.093500,78.573500,salad,I,sd,u-10-1
sw3081B-ms98-a-0011,78.573500,78.983500,and,I,sd,u-10-1
sw3081B-ms98-a-0012,79.757250,80.307250,and,I,sd,u-10-1
sw3081B-ms98-a-0012,80.307250,80.721625,um,I,sd,u-10-1
sw3081B-ms98-a-0012,81.297875,81.297875,<b_aside>,I,sd,u-10-1
sw3081B-ms98-a-0012,81.297875,81.577250,oh,I,sd,u-10-1
sw3081B-ms98-a-0012,81.577250,81.777250,my,B,t3,u-10-2
sw3081B-ms98-a-0012,81.777250,82.147250,goodness,I,t3,u-10-2
sw3081B-ms98-a-0012,82.147250,82.687250,Diane,I,t3,u-10-2
sw3081B-ms98-a-0012,82.687250,82.857250,get,I,t3,u-10-2
sw3081B-ms98-a-0012,82.857250,83.107250,down,I,t3,u-10-2
sw3081B-ms98-a-0012,83.107250,83.347250,from,I,t3,u-10-2
sw3081B-ms98-a-0012,83.347250,83.517250,there,I,t3,u-10-2
sw3081B-ms98-a-0012,83.517250,83.517250,<e_aside>,O,,
sw3081B-ms98-a-0012,84.401000,84.957250,and,B,^h,u-10-3
sw3081B-ms98-a-0012,84.957250,85.317250,uh,I,^h,u-10-3
sw3081B-ms98-a-0013,86.090000,86.380000,let's,I,^h,u-10-3
sw3081B-ms98-a-0013,86.380000,86.560000,see,I,^h,u-10-3
sw3081B-ms98-a-0013,86.560000,86.700000,what,B,t1,u-10-4
sw3081B-ms98-a-0013,86.700000,87.070000,else,I,t1,u-10-4
sw3081B-ms98-a-0013,87.070000,87.210000,did,I,t1,u-10-4
sw3081B-ms98-a-0013,87.210000,87.380000,i,I,t1,u-10-4
sw3081B-ms98-a-0013,87.400000,87.730000,serve,I,t1,u-10-4
sw3081B-ms98-a-0013,87.730000,87.960000,with,I,t1,u-10-4
sw3081B-ms98-a-0013,87.960000,88.440000,that,I,t1,u-10-4
