sw3142B-ms98-a-0002,0.970125,1.430125,okay,B,o,u-1-1
sw3142B-ms98-a-0002,1.430125,1.620125,well,B,sd,u-1-2
sw3142B-ms98-a-0002,1.620125,1.730125,i,I,sd,u-1-2
sw3142B-ms98-a-0002,1.730125,1.991625,guess,I,sd,u-1-2
sw3142B-ms98-a-0002,2.334375,2.490125,i,I,sd,u-1-2
sw3142B-ms98-a-0002,2.490125,2.750125,enjoy,I,sd,u-1-2
sw3142B-ms98-a-0002,2.750125,3.050125,eating,I,sd,u-1-2
sw3142B-ms98-a-0002,3.050125,3.280125,out,I,sd,u-1-2
sw3142B-ms98-a-0002,3.460125,4.290250,um,I,sd,u-1-2
sw3142B-ms98-a-0002,4.410500,4.660500,uh,I,sd,u-1-2
sw3142B-ms98-a-0002,5.180250,5.380125,here,I,sd,u-1-2
sw3142B-ms98-a-0002,5.380125,5.510125,and,I,sd,u-1-2
sw3142B-ms98-a-0002,5.510125,5.872875,there,I,sd,u-1-2
sw3142B-ms98-a-0002,6.135500,6.459750,or,B,sd,u-1-3
sw3142B-ms98-a-0003,7.121250,7.371250,it's,I,sd,u-1-3
sw3142B-ms98-a-0003,7.371250,7.621250,it's,I,sd,u-1-3
sw3142B-ms98-a-0003,7.621250,7.691250,a,I,sd,u-1-3
sw3142B-ms98-a-0003,7.691250,7.931250,good,I,sd,u-1-3
sw3142B-ms98-a-0003,7.931250,8.481250,change,I,sd,u-1-3
sw3142B-ms98-a-0003,8.481250,9.006000,and,I,sd,u-1-3
sw3142B-ms98-a-0003,9.451250,9.611250,good,I,sd,u-1-3
sw3142B-ms98-a-0003,9.611250,9.921250,change,I,sd,u-1-3
sw3142B-ms98-a-0003,9.921250,10.281250,from,I,sd,u-1-3
sw3142B-ms98-a-0003,10.281250,10.671250,cooking,I,sd,u-1-3
sw3142B-ms98-a-0003,10.671250,10.831250,and,I,sd,u-1-3
sw3142B-ms98-a-0003,10.831250,11.061250,eating,I,sd,u-1-3
sw3142B-ms98-a-0003,11.061250,11.169500,at,I,sd,u-1-3
sw3142B-ms98-a-0003,11.169500,11.565000,home,I,sd,u-1-3
sw3142B-ms98-a-0003,11.565000,11.908000,and,B,sd,u-1-4
sw3142B-ms98-a-0003,12.352500,12.481250,i,I,sd,u-1-4
sw3142B-ms98-a-0003,12.481250,12.711250,guess,I,sd,u-1-4
sw3142B-ms98-a-0003,12.711250,12.801250,i,I,sd,u-1-4
sw3142B-ms98-a-0003,12.801250,13.041250,like,I,sd,u-1-4
sw3142B-ms98-a-0003,13.041250,13.111250,a,I,sd,u-1-4
sw3142B-ms98-a-0003,13.111250,13.601250,variety,I,sd,u-1-4
sw3142B-ms98-a-0003,13.601250,13.776625,of,I,sd,u-1-4
sw3142B-ms98-a-0003,13.919750,14.050250,a,I,sd,u-1-4
