sw3194A-ms98-a-0001,1.256000,1.679875,um-hum,B,b,u-2-1
sw3194A-ms98-a-0003,3.585375,4.335625,[laughter],O,,
sw3194A-ms98-a-0003,4.335625,4.655625,that's,B,bd,u-4-1
sw3194A-ms98-a-0003,4.655625,5.165625,okay,I,bd,u-4-1
sw3194A-ms98-a-0005,7.884750,8.194750,that's,B,bd,u-6-1
sw3194A-ms98-a-0005,8.194750,8.544750,okay,I,bd,u-6-1
sw3194A-ms98-a-0005,8.544750,8.954750,it,O,,
sw3194A-ms98-a-0005,8.954750,9.054750,it's,B,sd,u-6-2
sw3194A-ms98-a-0005,9.054750,9.521000,more,I,sd,u-6-2
sw3194A-ms98-a-0005,9.521000,9.878625,uh,I,sd,u-6-2
sw3194A-ms98-a-0005,9.878625,10.574750,concentrated,I,sd,u-6-2
sw3194A-ms98-a-0005,10.574750,10.724750,so,I,sd,u-6-2
sw3194A-ms98-a-0005,10.724750,10.844750,they,I,sd,u-6-2
sw3194A-ms98-a-0005,10.844750,11.014750,know,I,sd,u-6-2
sw3194A-ms98-a-0005,11.014750,11.134750,where,I,sd,u-6-2
sw3194A-ms98-a-0005,11.134750,11.314750,you,I,sd,u-6-2
sw3194A-ms98-a-0005,11.314750,11.651000,are,I,sd,u-6-2
sw3194A-ms98-a-0006,12.479500,12.835250,um,B,sd,u-8-1
sw3194A-ms98-a-0006,12.835250,13.685250,anyway,I,sd,u-8-1
sw3194A-ms98-a-0006,13.685250,13.975250,uh,I,sd,u-8-1
sw3194A-ms98-a-0006,13.975250,14.135250,i,I,sd,u-8-1
sw3194A-ms98-a-0006,14.135250,14.515250,know,I,sd,u-8-1
sw3194A-ms98-a-0006,14.515250,14.875250,here,I,sd,u-8-1
sw3194A-ms98-a-0006,14.875250,15.020125,in,I,sd,u-8-1
sw3194A-ms98-a-0006,15.295000,15.585250,here,I,sd,u-8-1
sw3194A-ms98-a-0006,15.585250,15.675250,in,I,sd,u-8-1
sw3194A-ms98-a-0006,15.675250,16.065250,Plano,I,sd,u-8-1
sw3194A-ms98-a-0006,16.065250,16.255250,some,I,sd,u-8-1
sw3194A-ms98-a-0006,16.255250,16.365250,of,I,sd,u-8-1
sw3194A-ms98-a-0006,16.365250,16.435250,the,I,sd,u-8-1
sw3194A-ms98-a-0006,16.435250,16.935250,things,I,sd,u-8-1
sw3194A-ms98-a-0006,16.935250,17.165250,that,I,sd,u-8-1
sw3194A-ms98-a-0006,17.165250,17.375250,we,I,sd,u-8-1
sw3194A-ms98-a-0006,17.375250,17.863125,do,I,sd,u-8-1
sw3194A-ms98-a-0006,18.010000,18.616000,are,I,sd,u-8-1
sw3194A-ms98-a-0006,18.616000,19.105250,um,I,sd,u-8-1
sw3194A-ms98-a-0006,19.215250,19.735250,Kroger,I,sd,u-8-1
sw3194A-ms98-a-0006,19.735250,19.915250,and,B,sd,u-8-2
sw3194A-ms98-a-0006,19.915250,20.085250,some,I,sd,u-8-2
sw3194A-ms98-a-0006,20.085250,20.194500,of,I,sd,u-8-2
sw3194A-ms98-a-0006,20.194500,20.317000,the,I,sd,u-8-2
sw3194A-ms98-a-0006,20.317000,20.456375,other,I,sd,u-8-2
sw3194A-ms98-a-0006,20.456375,20.855250,stores,I,sd,u-8-2
sw3194A-ms98-a-0006,20.855250,21.225250,too,I,sd,u-8-2
sw3194A-ms98-a-0006,21.225250,21.475250,have,I,sd,u-8-2
sw3194A-ms98-a-0006,21.575250,21.995250,said,I,sd,u-8-2
sw3194A-ms98-a-0007,22.327125,22.457125,if,I,sd,u-8-2
sw3194A-ms98-a-0007,22.457125,22.567125,you,I,sd,u-8-2
sw3194A-ms98-a-0007,22.567125,22.777125,bring,I,sd,u-8-2
sw3194A-ms98-a-0007,22.777125,22.897125,your,I,sd,u-8-2
sw3194A-ms98-a-0007,22.897125,23.317125,bags,I,sd,u-8-2
sw3194A-ms98-a-0007,23.317125,23.656125,back,I,sd,u-8-2
sw3194A-ms98-a-0007,23.656125,23.767750,to,I,sd,u-8-2
sw3194A-ms98-a-0007,23.767750,24.134375,uh,I,sd,u-8-2
sw3194A-ms98-a-0007,24.529875,24.767125,to,I,sd,u-8-2
sw3194A-ms98-a-0007,24.767125,24.897125,the,I,sd,u-8-2
sw3194A-ms98-a-0007,24.897125,25.327125,store,I,sd,u-8-2
sw3194A-ms98-a-0007,25.327125,25.497125,to,I,sd,u-8-2
sw3194A-ms98-a-0007,25.497125,26.217125,recycle,I,sd,u-8-2
sw3194A-ms98-a-0008,26.771625,27.091625,then,I,sd,u-8-2
sw3194A-ms98-a-0008,27.091625,27.241625,they'll,I,sd,u-8-2
sw3194A-ms98-a-0008,27.241625,27.451625,pay,I,sd,u-8-2
sw3194A-ms98-a-0008,27.451625,27.591625,you,I,sd,u-8-2
sw3194A-ms98-a-0008,27.591625,27.671625,a,I,sd,u-8-2
sw3194A-ms98-a-0008,27.671625,27.961625,certain,I,sd,u-8-2
sw3194A-ms98-a-0008,27.961625,28.231625,amount,I,sd,u-8-2
sw3194A-ms98-a-0008,28.231625,28.311625,of,I,sd,u-8-2
sw3194A-ms98-a-0008,28.311625,28.834875,money,I,sd,u-8-2
sw3194A-ms98-a-0008,29.332125,29.611625,and,B,sd,u-8-3
sw3194A-ms98-a-0008,29.611625,30.021625,that's,I,sd,u-8-3
sw3194A-ms98-a-0008,30.021625,30.251625,one,I,sd,u-8-3
sw3194A-ms98-a-0008,30.251625,30.441625,thing,I,sd,u-8-3
sw3194A-ms98-a-0008,30.441625,30.591625,that,I,sd,u-8-3
sw3194A-ms98-a-0008,30.591625,31.001625,started,I,sd,u-8-3
sw3194A-ms98-a-0008,31.001625,31.151625,in,I,sd,u-8-3
sw3194A-ms98-a-0008,31.151625,31.211625,the,I,sd,u-8-3
sw3194A-ms98-a-0008,31.211625,31.881625,community,I,sd,u-8-3
sw3194A-ms98-a-0010,34.228375,34.902000,um-hum,B,ny,u-10-1
sw3194A-ms98-a-0012,47.378250,47.886000,um-hum,B,b,u-12-1
sw3194A-ms98-a-0012,48.262625,48.528625,yeah,B,b,u-12-2
sw3194A-ms98-a-0012,48.528625,48.722875,i,B,sd,u-12-3
sw3194A-ms98-a-0012,48.722875,48.869750,know,I,sd,u-12-3
sw3194A-ms98-a-0012,48.869750,49.238625,Kroger,I,sd,u-12-3
sw3194A-ms98-a-0012,49.238625,49.378625,will,I,sd,u-12-3
sw3194A-ms98-a-0012,49.378625,49.568625,do,I,sd,u-12-3
sw3194A-ms98-a-0012,49.568625,49.738625,it,I,sd,u-12-3
sw3194A-ms98-a-0012,49.738625,49.828625,and,B,sd,u-12-4
sw3194A-ms98-a-0012,49.828625,49.928625,i,I,sd,u-12-4
sw3194A-ms98-a-0012,49.928625,50.188625,think,I,sd,u-12-4
sw3194A-ms98-a-0012,50.188625,51.083625,Albertson's,I,sd,u-12-4
sw3194A-ms98-a-0012,51.410500,51.668625,does,I,sd,u-12-4
sw3194A-ms98-a-0012,51.668625,51.818625,it,I,sd,u-12-4
sw3194A-ms98-a-0012,51.818625,52.588625,sometimes,I,sd,u-12-4
sw3194A-ms98-a-0012,52.588625,52.798625,i'm,B,sd,u-12-5
sw3194A-ms98-a-0012,52.798625,53.028625,not,I,sd,u-12-5
sw3194A-ms98-a-0012,53.028625,53.328625,sure,I,sd,u-12-5
sw3194A-ms98-a-0013,53.995875,54.622750,um,B,sd,u-12-6
sw3194A-ms98-a-0013,55.262750,55.462750,and,I,sd,u-12-6
sw3194A-ms98-a-0013,55.782750,55.978750,and,I,sd,u-12-6
sw3194A-ms98-a-0013,55.978750,56.362750,yet,I,sd,u-12-6
sw3194A-ms98-a-0013,56.362750,56.422750,i,I,sd,u-12-6
sw3194A-ms98-a-0013,56.422750,56.712750,know,I,sd,u-12-6
sw3194A-ms98-a-0013,56.712750,57.205500,that,I,sd,u-12-6
sw3194A-ms98-a-0013,57.205500,57.642750,uh,I,sd,u-12-6
sw3194A-ms98-a-0014,58.195500,58.515500,some,I,sd,u-12-6
sw3194A-ms98-a-0014,58.515500,58.625500,of,I,sd,u-12-6
sw3194A-ms98-a-0014,58.625500,58.725500,the,I,sd,u-12-6
sw3194A-ms98-a-0014,58.725500,59.305500,stores,I,sd,u-12-6
