sw3035B-ms98-a-0002,9.400000,9.740000,um-hum,B,b,u-2-1
sw3035B-ms98-a-0003,11.326250,11.626250,um-hum,B,b^r,u-4-1
sw3035B-ms98-a-0005,28.533625,28.813625,um-hum,B,b^r,u-6-1
sw3035B-ms98-a-0007,36.548375,36.908375,um-hum,B,b^r,u-8-1
sw3035B-ms98-a-0008,38.503875,38.603875,well,B,sd,u-10-1
sw3035B-ms98-a-0008,38.603875,38.753875,we,I,sd,u-10-1
sw3035B-ms98-a-0008,38.753875,39.023875,have,I,sd,u-10-1
sw3035B-ms98-a-0008,39.023875,39.273875,a,I,sd,u-10-1
sw3035B-ms98-a-0008,39.273875,39.433875,uh,I,sd,u-10-1
sw3035B-ms98-a-0008,39.433875,39.683875,three,I,sd,u-10-1
sw3035B-ms98-a-0008,39.683875,39.863875,year,I,sd,u-10-1
sw3035B-ms98-a-0008,39.863875,40.053875,old,I,sd,u-10-1
sw3035B-ms98-a-0008,40.053875,40.143875,and,I,sd,u-10-1
sw3035B-ms98-a-0008,40.143875,40.193875,a,I,sd,u-10-1
sw3035B-ms98-a-0008,40.193875,40.363875,one,I,sd,u-10-1
sw3035B-ms98-a-0008,40.363875,40.523875,year,I,sd,u-10-1
sw3035B-ms98-a-0008,40.523875,40.793875,old,I,sd,u-10-1
sw3035B-ms98-a-0009,41.378500,41.778500,and,B,sd,u-10-2
sw3035B-ms98-a-0009,41.778500,42.038500,uh,I,sd,u-10-2
sw3035B-ms98-a-0009,42.038500,42.618500,so,I,sd,u-10-2
sw3035B-ms98-a-0009,42.775250,42.877000,w[e]-,I,sd,u-10-2
sw3035B-ms98-a-0009,42.877000,42.968500,you,I,sd,u-10-2
sw3035B-ms98-a-0009,42.968500,43.108500,know,I,sd,u-10-2
sw3035B-ms98-a-0009,43.108500,43.208500,it,I,sd,u-10-2
sw3035B-ms98-a-0009,43.208500,43.478500,keeps,I,sd,u-10-2
sw3035B-ms98-a-0009,43.478500,43.628500,us,I,sd,u-10-2
sw3035B-ms98-a-0009,43.628500,43.868500,pretty,I,sd,u-10-2
sw3035B-ms98-a-0009,43.868500,44.158500,busy,I,sd,u-10-2
sw3035B-ms98-a-0009,44.158500,44.308500,as,I,sd,u-10-2
sw3035B-ms98-a-0009,44.308500,44.448500,you,I,sd,u-10-2
sw3035B-ms98-a-0009,44.448500,44.738500,know,I,sd,u-10-2
sw3035B-ms98-a-0010,45.163750,45.553750,and,B,sd,u-12-1
sw3035B-ms98-a-0010,45.553750,45.843750,uh,I,sd,u-12-1
sw3035B-ms98-a-0010,46.393750,46.607625,most,I,sd,u-12-1
sw3035B-ms98-a-0010,46.607625,46.667750,of,I,sd,u-12-1
sw3035B-ms98-a-0010,46.667750,46.803375,the,I,sd,u-12-1
sw3035B-ms98-a-0010,46.803375,47.093750,time,I,sd,u-12-1
