sw2568B-ms98-a-0002,1.516875,1.911125,okay,B,o,u-1-1
sw2568B-ms98-a-0003,2.681625,3.044750,what's,B,qw,u-3-1
sw2568B-ms98-a-0003,3.044750,3.274750,what's,I,qw,u-3-1
sw2568B-ms98-a-0003,3.274750,3.364750,your,I,qw,u-3-1
sw2568B-ms98-a-0003,3.364750,3.634750,most,I,qw,u-3-1
sw2568B-ms98-a-0003,3.634750,3.974750,recent,I,qw,u-3-1
sw2568B-ms98-a-0003,3.974750,4.124750,one,I,qw,u-3-1
sw2568B-ms98-a-0003,4.124750,4.254750,that,I,qw,u-3-1
sw2568B-ms98-a-0003,4.254750,4.364750,you've,I,qw,u-3-1
sw2568B-ms98-a-0003,4.364750,5.009375,seen,I,qw,u-3-1
sw2568B-ms98-a-0005,12.185500,12.642750,uh-huh,B,b,u-5-1
sw2568B-ms98-a-0007,20.743875,21.170000,really,B,b,u-7-1
sw2568B-ms98-a-0007,21.170000,21.260000,i,B,sd,u-7-2
sw2568B-ms98-a-0007,21.260000,21.490000,used,I,sd,u-7-2
sw2568B-ms98-a-0007,21.490000,21.590000,to,I,sd,u-7-2
sw2568B-ms98-a-0007,21.590000,21.720000,do,I,sd,u-7-2
sw2568B-ms98-a-0007,21.720000,21.970000,that,I,sd,u-7-2
sw2568B-ms98-a-0007,21.970000,22.270000,too,I,sd,u-7-2
sw2568B-ms98-a-0007,22.270000,22.420000,but,B,sd,u-7-3
sw2568B-ms98-a-0007,22.420000,22.460000,i,I,sd,u-7-3
sw2568B-ms98-a-0007,22.460000,22.720000,haven't,I,sd,u-7-3
sw2568B-ms98-a-0007,22.720000,22.860000,been,I,sd,u-7-3
sw2568B-ms98-a-0007,22.860000,23.050000,doing,I,sd,u-7-3
sw2568B-ms98-a-0007,23.050000,23.150000,it,I,sd,u-7-3
sw2568B-ms98-a-0007,23.150000,23.580000,lately,I,sd,u-7-3
sw2568B-ms98-a-0007,23.580000,23.602250,but,B,%,u-7-4
sw2568B-ms98-a-0009,36.853000,36.995125,no,B,nn,u-9-1
sw2568B-ms98-a-0009,36.995125,37.195125,see,B,sd^e,u-9-2
sw2568B-ms98-a-0009,37.195125,37.235125,i,I,sd^e,u-9-2
sw2568B-ms98-a-0009,37.235125,37.515125,haven't,I,sd^e,u-9-2
sw2568B-ms98-a-0009,37.515125,37.775125,seen,I,sd^e,u-9-2
sw2568B-ms98-a-0009,37.775125,37.985125,that,I,sd^e,u-9-2
sw2568B-ms98-a-0009,37.985125,38.485125,one,I,sd^e,u-9-2
sw2568B-ms98-a-0009,38.485125,38.751125,uh,I,sd^e,u-9-2
sw2568B-ms98-a-0010,40.047250,40.827500,no,B,nn,u-11-1
sw2568B-ms98-a-0010,40.827500,41.000500,is,B,qy,u-11-2
sw2568B-ms98-a-0010,41.000500,41.150500,it,I,qy,u-11-2
sw2568B-ms98-a-0010,41.150500,41.556500,good,I,qy,u-11-2
sw2568B-ms98-a-0012,46.192000,46.730875,uh,B,nn,u-13-1
sw2568B-ms98-a-0012,46.730875,47.320625,no,I,nn,u-13-1
sw2568B-ms98-a-0012,47.320625,47.490875,not,B,%,u-13-2
sw2568B-ms98-a-0012,47.490875,48.518000,[laughter-yet],O,,
sw2568B-ms98-a-0012,48.518000,48.610875,i,B,sv^e,u-13-3
sw2568B-ms98-a-0012,48.610875,48.740875,know,I,sv^e,u-13-3
sw2568B-ms98-a-0012,48.740875,48.890875,that,I,sv^e,u-13-3
sw2568B-ms98-a-0012,48.890875,49.160875,sounds,I,sv^e,u-13-3
sw2568B-ms98-a-0012,49.160875,49.635625,funny,I,sv^e,u-13-3
sw2568B-ms98-a-0012,49.635625,49.910875,coming,I,sv^e,u-13-3
sw2568B-ms98-a-0012,49.910875,50.090875,from,I,sv^e,u-13-3
sw2568B-ms98-a-0012,50.090875,50.210875,a,I,sv^e,u-13-3
sw2568B-ms98-a-0012,50.210875,50.510875,woman,I,sv^e,u-13-3
sw2568B-ms98-a-0012,50.510875,50.680875,but,B,sd,u-13-4
sw2568B-ms98-a-0012,50.680875,51.090875,usually,I,sd,u-13-4
sw2568B-ms98-a-0012,51.090875,51.190750,i,I,sd,u-13-4
sw2568B-ms98-a-0012,51.190750,51.569125,don't,I,sd,u-13-4
sw2568B-ms98-a-0012,51.569125,52.460625,[laughter],O,,
sw2568B-ms98-a-0013,53.584000,54.100250,um,B,sd,u-15-1
sw2568B-ms98-a-0015,56.145625,56.229875,um,I,sd,u-15-1
sw2568B-ms98-a-0015,56.229875,56.610500,action,I,sd,u-15-1
sw2568B-ms98-a-0015,56.610500,57.893750,[laughter],O,,
sw2568B-ms98-a-0015,57.893750,58.379250,i,B,sd,u-17-1
sw2568B-ms98-a-0015,58.379250,58.629875,i,I,sd,u-17-1
sw2568B-ms98-a-0015,58.629875,58.919875,guess,I,sd,u-17-1
sw2568B-ms98-a-0015,58.919875,59.079875,one,I,sd,u-17-1
sw2568B-ms98-a-0015,59.079875,59.139875,of,I,sd,u-17-1
sw2568B-ms98-a-0015,59.139875,59.309875,my,I,sd,u-17-1
sw2568B-ms98-a-0015,59.309875,59.779875,favorite,I,sd,u-17-1
sw2568B-ms98-a-0015,59.779875,60.009875,well,I,sd,u-17-1
sw2568B-ms98-a-0015,60.009875,60.209875,two,I,sd,u-17-1
sw2568B-ms98-a-0015,60.209875,60.299875,of,I,sd,u-17-1
sw2568B-ms98-a-0015,60.299875,60.429875,my,I,sd,u-17-1
sw2568B-ms98-a-0015,60.429875,60.749875,favorite,I,sd,u-17-1
sw2568B-ms98-a-0015,60.749875,61.079875,movies,I,sd,u-17-1
sw2568B-ms98-a-0015,61.079875,61.169875,is,I,sd,u-17-1
sw2568B-ms98-a-0015,61.169875,61.609875,probably,I,sd,u-17-1
sw2568B-ms98-a-0015,61.609875,61.809875,like,I,sd,u-17-1
sw2568B-ms98-a-0015,61.809875,62.089875,Lethal,I,sd,u-17-1
sw2568B-ms98-a-0015,62.089875,62.369875,Weapon,I,sd,u-17-1
sw2568B-ms98-a-0015,62.369875,62.469875,and,I,sd,u-17-1
sw2568B-ms98-a-0015,62.469875,62.679875,Lethal,I,sd,u-17-1
sw2568B-ms98-a-0015,62.679875,62.959875,Weapon,I,sd,u-17-1
sw2568B-ms98-a-0015,62.959875,63.197375,Two,I,sd,u-17-1
sw2568B-ms98-a-0015,64.542125,64.739875,and,B,sd,u-19-1
sw2568B-ms98-a-0015,64.739875,64.929875,those,I,sd,u-19-1
sw2568B-ms98-a-0015,64.929875,65.259875,are,I,sd,u-19-1
sw2568B-ms98-a-0015,65.259875,65.499875,those,I,sd,u-19-1
sw2568B-ms98-a-0015,65.499875,65.559875,are,I,sd,u-19-1
sw2568B-ms98-a-0015,65.559875,65.739875,like,I,sd,u-19-1
sw2568B-ms98-a-0015,65.739875,65.909875,two,I,sd,u-19-1
sw2568B-ms98-a-0015,65.909875,65.999875,of,I,sd,u-19-1
sw2568B-ms98-a-0015,65.999875,66.189875,my,I,sd,u-19-1
sw2568B-ms98-a-0015,66.189875,66.579875,most,I,sd,u-19-1
sw2568B-ms98-a-0015,66.579875,67.040250,favorite,I,sd,u-19-1
sw2568B-ms98-a-0015,67.040250,67.229875,i,B,sv,u-19-2
sw2568B-ms98-a-0015,67.229875,67.359875,mean,I,sv,u-19-2
sw2568B-ms98-a-0015,67.359875,67.509875,they're,I,sv,u-19-2
sw2568B-ms98-a-0015,67.509875,67.729875,just,I,sv,u-19-2
sw2568B-ms98-a-0015,67.729875,68.009875,really,I,sv,u-19-2
sw2568B-ms98-a-0015,68.009875,68.229875,good,I,sv,u-19-2
sw2568B-ms98-a-0015,68.229875,68.569875,movies,I,sv,u-19-2
sw2568B-ms98-a-0015,68.569875,68.709875,and,B,sd,u-19-3
sw2568B-ms98-a-0015,68.709875,68.789875,i,I,sd,u-19-3
sw2568B-ms98-a-0015,68.789875,69.109875,liked,I,sd,u-19-3
sw2568B-ms98-a-0015,69.109875,69.329875,Bird,I,sd,u-19-3
sw2568B-ms98-a-0015,69.329875,69.439875,on,I,sd,u-19-3
sw2568B-ms98-a-0015,69.439875,69.499875,a,I,sd,u-19-3
sw2568B-ms98-a-0015,69.499875,69.995250,Wire,I,sd,u-19-3
sw2568B-ms98-a-0016,71.002750,71.266125,and,B,+,u-21-1
sw2568B-ms98-a-0016,71.266125,71.586125,movies,I,+,u-21-1
sw2568B-ms98-a-0016,71.586125,71.806125,like,I,+,u-21-1
sw2568B-ms98-a-0016,71.806125,72.147125,that,I,+,u-21-1
sw2568B-ms98-a-0018,76.763625,77.553250,um,B,ny,u-23-1
sw2568B-ms98-a-0018,77.813125,78.425000,yeah,I,ny,u-23-1
sw2568B-ms98-a-0019,79.014750,79.917875,some,B,%,u-23-2
sw2568B-ms98-a-0019,79.917875,80.053500,i,I,%,u-23-2
sw2568B-ms98-a-0019,80.053500,80.323500,guess,I,%,u-23-2
sw2568B-ms98-a-0019,80.323500,80.509250,like,I,%,u-23-2
sw2568B-ms98-a-0019,80.957500,81.103500,what,B,qw,u-23-3
sw2568B-ms98-a-0019,81.103500,81.163500,do,I,qw,u-23-3
sw2568B-ms98-a-0019,81.163500,81.223500,you,I,qw,u-23-3
sw2568B-ms98-a-0019,81.223500,81.463500,mean,I,qw,u-23-3
sw2568B-ms98-a-0019,81.463500,81.610125,like,B,qy,u-23-4
sw2568B-ms98-a-0019,82.018750,82.325375,like,I,qy,u-23-4
sw2568B-ms98-a-0019,82.325375,82.453500,are,I,qy,u-23-4
sw2568B-ms98-a-0019,82.453500,82.513500,you,I,qy,u-23-4
sw2568B-ms98-a-0019,82.513500,82.763500,talking,I,qy,u-23-4
sw2568B-ms98-a-0019,82.763500,82.933500,about,I,qy,u-23-4
sw2568B-ms98-a-0019,82.933500,83.173500,movies,I,qy,u-23-4
sw2568B-ms98-a-0019,83.173500,83.343500,like,I,qy,u-23-4
sw2568B-ms98-a-0019,83.343500,83.513500,Die,I,qy,u-23-4
