sw2631A-ms98-a-0003,13.447125,14.117125,uh-huh,B,b,u-2-1
sw2631A-ms98-a-0005,28.522625,28.642625,well,B,ba,u-4-1
sw2631A-ms98-a-0005,28.642625,28.892625,that's,I,ba,u-4-1
sw2631A-ms98-a-0005,28.892625,29.400000,good,I,ba,u-4-1
sw2631A-ms98-a-0007,39.901000,40.479000,um-hum,B,b,u-6-1
sw2631A-ms98-a-0009,46.597500,47.078000,yeah,O,,
sw2631A-ms98-a-0009,47.078000,47.568875,yeah,B,aa,u-8-2
sw2631A-ms98-a-0011,51.168625,51.712125,uh-huh,B,b,u-10-1
sw2631A-ms98-a-0013,64.499375,65.028375,yeah,B,b,u-12-1
sw2631A-ms98-a-0013,65.028375,65.268375,i,B,%,u-12-2
sw2631A-ms98-a-0013,65.268375,65.723875,um,I,%,u-12-2
sw2631A-ms98-a-0013,65.897125,66.198375,that,B,%,u-12-3
sw2631A-ms98-a-0013,66.198375,66.728375,that's,I,%,u-12-3
sw2631A-ms98-a-0013,66.728375,66.758375,oh,B,bf,u-12-4
sw2631A-ms98-a-0013,66.758375,66.808375,oh,I,bf,u-12-4
sw2631A-ms98-a-0013,66.808375,66.948375,you,I,bf,u-12-4
sw2631A-ms98-a-0013,66.948375,67.098375,mean,I,bf,u-12-4
sw2631A-ms98-a-0013,67.098375,67.178375,you,I,bf,u-12-4
sw2631A-ms98-a-0013,67.178375,67.468375,switched,I,bf,u-12-4
sw2631A-ms98-a-0013,67.468375,67.768375,schools,I,bf,u-12-4
sw2631A-ms98-a-0013,67.768375,67.868375,for,I,bf,u-12-4
sw2631A-ms98-a-0013,67.868375,67.928375,the,I,bf,u-12-4
sw2631A-ms98-a-0013,67.928375,68.530500,kids,I,bf,u-12-4
sw2631A-ms98-a-0013,68.963750,69.714875,uh-huh,B,b,u-14-1
sw2631A-ms98-a-0014,70.644250,71.250875,we[ll]-,O,,
sw2631A-ms98-a-0014,71.250875,71.370875,well,B,sd,u-16-2
sw2631A-ms98-a-0014,71.370875,71.680875,i'm,I,sd,u-16-2
sw2631A-ms98-a-0014,71.680875,71.910875,just,I,sd,u-16-2
sw2631A-ms98-a-0014,71.910875,72.270875,recently,I,sd,u-16-2
sw2631A-ms98-a-0014,72.270875,72.901500,married,I,sd,u-16-2
sw2631A-ms98-a-0014,72.901500,73.340875,so,B,sd,u-18-1
sw2631A-ms98-a-0014,73.340875,73.410875,i,I,sd,u-18-1
sw2631A-ms98-a-0014,73.410875,73.630875,don't,I,sd,u-18-1
sw2631A-ms98-a-0014,73.630875,73.830875,have,I,sd,u-18-1
sw2631A-ms98-a-0014,73.830875,73.970875,any,I,sd,u-18-1
sw2631A-ms98-a-0014,73.970875,74.662250,children,I,sd,u-18-1
sw2631A-ms98-a-0014,75.023875,75.396500,though,B,+,u-20-1
sw2631A-ms98-a-0014,75.396500,75.680875,we,I,+,u-20-1
sw2631A-ms98-a-0014,75.680875,75.970875,plan,I,+,u-20-1
sw2631A-ms98-a-0014,75.970875,76.080875,on,I,+,u-20-1
sw2631A-ms98-a-0014,76.080875,76.380875,having,I,+,u-20-1
sw2631A-ms98-a-0014,76.380875,76.520875,them,I,+,u-20-1
sw2631A-ms98-a-0014,76.520875,76.890875,soon,I,+,u-20-1
sw2631A-ms98-a-0014,76.890875,77.310375,but,B,sv,u-20-2
sw2631A-ms98-a-0014,77.310375,77.370875,i,I,sv,u-20-2
sw2631A-ms98-a-0014,77.370875,77.610875,think,I,sv,u-20-2
sw2631A-ms98-a-0014,77.610875,77.961875,um,I,sv,u-20-2
sw2631A-ms98-a-0015,78.526375,78.711375,i,I,sv,u-20-2
sw2631A-ms98-a-0015,78.711375,78.761750,think,I,sv,u-20-2
sw2631A-ms98-a-0015,78.761750,78.761750,um,I,sv,u-20-2
sw2631A-ms98-a-0015,78.761750,78.828875,that,I,sv,u-20-2
sw2631A-ms98-a-0015,78.828875,78.928875,i,I,sv,u-20-2
sw2631A-ms98-a-0015,78.928875,79.118875,that,I,sv,u-20-2
sw2631A-ms98-a-0015,79.118875,79.288875,that's,I,sv,u-20-2
sw2631A-ms98-a-0015,79.288875,79.548875,probably,I,sv,u-20-2
sw2631A-ms98-a-0015,79.548875,79.638875,one,I,sv,u-20-2
sw2631A-ms98-a-0015,79.638875,79.698875,of,I,sv,u-20-2
sw2631A-ms98-a-0015,79.698875,79.758875,the,I,sv,u-20-2
sw2631A-ms98-a-0015,79.758875,80.058875,biggest,I,sv,u-20-2
sw2631A-ms98-a-0015,80.058875,80.944625,difficulties,I,sv,u-20-2
sw2631A-ms98-a-0015,80.944625,81.350250,uh,I,sv,u-20-2
sw2631A-ms98-a-0015,81.644000,81.728875,i,B,sd,u-20-3
sw2631A-ms98-a-0015,81.728875,81.928875,think,I,sd,u-20-3
sw2631A-ms98-a-0015,81.928875,81.988875,um,I,sd,u-20-3
sw2631A-ms98-a-0015,81.988875,82.118875,i'm,I,sd,u-20-3
sw2631A-ms98-a-0015,82.118875,82.548875,lucky,I,sd,u-20-3
sw2631A-ms98-a-0015,82.548875,83.148875,though,I,sd,u-20-3
sw2631A-ms98-a-0015,83.148875,83.530500,that,I,sd,u-20-3
sw2631A-ms98-a-0015,83.681125,84.449875,um,I,sd,u-20-3
sw2631A-ms98-a-0016,85.386875,85.628500,my,I,sd,u-20-3
sw2631A-ms98-a-0016,85.628500,86.088500,wife,I,sd,u-20-3
sw2631A-ms98-a-0016,86.088500,86.238500,will,I,sd,u-20-3
sw2631A-ms98-a-0016,86.238500,86.688500,probably,I,sd,u-20-3
sw2631A-ms98-a-0016,86.688500,86.958500,not,I,sd,u-20-3
sw2631A-ms98-a-0016,86.958500,87.148500,have,I,sd,u-20-3
sw2631A-ms98-a-0016,87.148500,87.308500,to,I,sd,u-20-3
sw2631A-ms98-a-0016,87.308500,87.658500,work,I,sd,u-20-3
