sw4137B-ms98-a-0002,8.013250,8.253250,uh-huh,B,b,u-2-1
sw4137B-ms98-a-0004,13.135500,13.275500,oh,B,bh,u-4-1
sw4137B-ms98-a-0004,13.275500,13.495500,really,I,bh,u-4-1
sw4137B-ms98-a-0004,13.495500,13.595500,you,B,%,u-4-2
sw4137B-ms98-a-0004,13.595500,13.865500,like,I,%,u-4-2
sw4137B-ms98-a-0004,13.865500,14.085500,uh,I,%,u-4-2
sw4137B-ms98-a-0004,14.085500,14.235500,so,B,bf,u-4-3
sw4137B-ms98-a-0004,14.235500,14.365500,you're,I,bf,u-4-3
sw4137B-ms98-a-0004,14.365500,14.435500,an,I,bf,u-4-3
sw4137B-ms98-a-0004,14.435500,15.055500,American,I,bf,u-4-3
sw4137B-ms98-a-0005,15.790250,15.890250,you,B,bf,u-6-1
sw4137B-ms98-a-0005,15.890250,16.010250,want,I,bf,u-6-1
sw4137B-ms98-a-0005,16.010250,16.070250,to,I,bf,u-6-1
sw4137B-ms98-a-0005,16.070250,16.240250,buy,I,bf,u-6-1
sw4137B-ms98-a-0005,16.240250,16.710250,American,I,bf,u-6-1
sw4137B-ms98-a-0007,29.878250,30.058250,um,B,%,u-8-1
sw4137B-ms98-a-0009,34.140875,34.260875,in,O,,
sw4137B-ms98-a-0009,34.260875,34.550875,terms,B,qy^d,u-10-1
sw4137B-ms98-a-0009,34.550875,34.650875,of,I,qy^d,u-10-1
sw4137B-ms98-a-0009,34.650875,35.260875,handling,I,qy^d,u-10-1
sw4137B-ms98-a-0009,35.720875,36.049875,uh,I,qy^d,u-10-1
sw4137B-ms98-a-0009,36.392625,36.910875,acceleration,I,qy^d,u-10-1
sw4137B-ms98-a-0011,66.435750,66.565750,what,B,qo,u-12-1
sw4137B-ms98-a-0011,66.565750,66.885750,about,I,qo,u-12-1
sw4137B-ms98-a-0011,67.015750,67.725750,Mustang,I,qo,u-12-1
sw4137B-ms98-a-0011,67.975750,68.525750,GTs,O,,
sw4137B-ms98-a-0013,72.252500,72.402500,those,B,%,u-14-1
sw4137B-ms98-a-0013,72.402500,72.532500,so,B,bf,u-14-2
sw4137B-ms98-a-0013,72.532500,72.652500,you're,I,bf,u-14-2
sw4137B-ms98-a-0013,72.652500,72.902500,talking,I,bf,u-14-2
sw4137B-ms98-a-0013,72.902500,73.112500,about,I,bf,u-14-2
sw4137B-ms98-a-0013,73.112500,73.342500,ones,I,bf,u-14-2
sw4137B-ms98-a-0013,73.342500,73.422500,in,I,bf,u-14-2
sw4137B-ms98-a-0013,73.422500,73.512500,a,I,bf,u-14-2
sw4137B-ms98-a-0013,73.512500,73.822500,lower,I,bf,u-14-2
sw4137B-ms98-a-0013,73.822500,74.461000,lower,I,bf,u-14-2
sw4137B-ms98-a-0013,74.461000,74.702500,end,I,bf,u-14-2
sw4137B-ms98-a-0013,74.702500,74.902500,p[rice]-,I,bf,u-14-2
sw4137B-ms98-a-0013,74.902500,75.477000,price,I,bf,u-14-2
sw4137B-ms98-a-0013,75.477000,75.702500,range,I,bf,u-14-2
sw4137B-ms98-a-0015,80.648500,81.028500,right,B,b,u-16-1
sw4137B-ms98-a-0016,81.988000,82.158000,well,B,ad,u-18-1
sw4137B-ms98-a-0016,82.158000,82.248000,you,I,ad,u-18-1
sw4137B-ms98-a-0016,82.248000,82.338000,can,I,ad,u-18-1
sw4137B-ms98-a-0016,82.338000,82.488000,wait,I,ad,u-18-1
sw4137B-ms98-a-0016,82.488000,82.578000,till,I,ad,u-18-1
sw4137B-ms98-a-0016,82.578000,82.658000,you,I,ad,u-18-1
sw4137B-ms98-a-0016,82.658000,83.068000,graduate,I,ad,u-18-1
sw4137B-ms98-a-0016,83.068000,83.158000,and,B,sv,u-18-2
sw4137B-ms98-a-0016,83.158000,83.248000,you'll,I,sv,u-18-2
sw4137B-ms98-a-0016,83.248000,83.378000,have,I,sv,u-18-2
sw4137B-ms98-a-0016,83.378000,83.628000,plenty,I,sv,u-18-2
sw4137B-ms98-a-0016,83.628000,83.688000,of,I,sv,u-18-2
sw4137B-ms98-a-0016,83.688000,83.908000,money,I,sv,u-18-2
sw4137B-ms98-a-0016,83.908000,83.978000,you,B,ad,u-18-3
sw4137B-ms98-a-0016,83.978000,84.068000,can,I,ad,u-18-3
sw4137B-ms98-a-0016,84.068000,84.188000,buy,I,ad,u-18-3
sw4137B-ms98-a-0016,84.188000,84.428000,whatever,I,ad,u-18-3
sw4137B-ms98-a-0016,84.428000,84.518000,you,I,ad,u-18-3
sw4137B-ms98-a-0016,84.518000,84.748750,want,I,ad,u-18-3
