sw2543B-ms98-a-0002,0.878625,1.168625,okay,B,o,u-1-1
sw2543B-ms98-a-0002,1.168625,1.268625,what,B,qw,u-1-2
sw2543B-ms98-a-0002,1.268625,1.438625,kind,I,qw,u-1-2
sw2543B-ms98-a-0002,1.438625,1.498625,of,I,qw,u-1-2
sw2543B-ms98-a-0002,1.498625,1.788625,music,I,qw,u-1-2
sw2543B-ms98-a-0002,1.788625,1.858625,do,I,qw,u-1-2
sw2543B-ms98-a-0002,1.858625,2.008625,you,I,qw,u-1-2
sw2543B-ms98-a-0002,2.008625,2.408625,like,I,qw,u-1-2
sw2543B-ms98-a-0004,9.207125,9.621500,um-hum,B,b,u-3-1
sw2543B-ms98-a-0006,19.057875,19.756750,um-hum,B,b,u-5-1
sw2543B-ms98-a-0008,30.556250,31.317000,um-hum,B,b,u-7-1
sw2543B-ms98-a-0010,38.688250,39.292000,um-hum,B,b,u-9-1
sw2543B-ms98-a-0012,42.162250,42.782125,um-hum,B,b,u-11-1
sw2543B-ms98-a-0014,51.142000,51.623375,um,B,sd,u-13-1
sw2543B-ms98-a-0014,51.623375,51.934500,i,I,sd,u-13-1
sw2543B-ms98-a-0014,51.934500,52.353000,listen,I,sd,u-13-1
sw2543B-ms98-a-0014,52.353000,52.579500,i,I,sd,u-13-1
sw2543B-ms98-a-0014,52.579500,52.852625,listen,I,sd,u-13-1
sw2543B-ms98-a-0014,52.852625,53.116375,to,I,sd,u-13-1
sw2543B-ms98-a-0014,53.116375,53.250000,a,I,sd,u-13-1
sw2543B-ms98-a-0014,53.250000,53.440000,wide,I,sd,u-13-1
sw2543B-ms98-a-0014,53.440000,53.930000,variety,I,sd,u-13-1
sw2543B-ms98-a-0014,53.930000,54.020000,of,I,sd,u-13-1
sw2543B-ms98-a-0014,54.020000,54.390000,music,I,sd,u-13-1
sw2543B-ms98-a-0014,54.390000,55.048500,sometimes,B,sd,u-13-2
sw2543B-ms98-a-0014,55.353625,55.578875,i'll,I,sd,u-13-2
sw2543B-ms98-a-0014,55.578875,55.804750,turn,I,sd,u-13-2
sw2543B-ms98-a-0014,55.804750,55.980000,on,I,sd,u-13-2
sw2543B-ms98-a-0014,55.980000,56.040000,the,I,sd,u-13-2
sw2543B-ms98-a-0014,56.040000,56.590000,classical,I,sd,u-13-2
sw2543B-ms98-a-0014,56.590000,57.030000,music,I,sd,u-13-2
sw2543B-ms98-a-0014,57.030000,57.410000,sometimes,B,sd,u-13-3
sw2543B-ms98-a-0014,57.410000,57.540000,i'll,I,sd,u-13-3
sw2543B-ms98-a-0014,57.540000,57.800000,listen,I,sd,u-13-3
sw2543B-ms98-a-0014,57.800000,57.930000,to,I,sd,u-13-3
sw2543B-ms98-a-0014,57.930000,58.522750,jazz,I,sd,u-13-3
sw2543B-ms98-a-0014,58.617000,59.122000,uh,B,sd,u-15-1
sw2543B-ms98-a-0014,59.754750,60.010000,every,I,sd,u-15-1
sw2543B-ms98-a-0014,60.010000,60.190000,now,I,sd,u-15-1
sw2543B-ms98-a-0014,60.190000,60.320000,and,I,sd,u-15-1
sw2543B-ms98-a-0014,60.320000,60.550000,then,I,sd,u-15-1
sw2543B-ms98-a-0014,60.550000,60.870000,country,I,sd,u-15-1
sw2543B-ms98-a-0014,60.870000,61.000000,and,I,sd,u-15-1
