sw3288A-ms98-a-0001,0.020000,0.119125,hi,B,fp,u-1-1
sw3288A-ms98-a-0001,0.223625,0.300000,so,B,qw,u-1-2
sw3288A-ms98-a-0001,0.300000,0.500000,uh,I,qw,u-1-2
sw3288A-ms98-a-0001,0.500000,0.620000,what,I,qw,u-1-2
sw3288A-ms98-a-0001,0.620000,0.720000,was,I,qw,u-1-2
sw3288A-ms98-a-0001,0.720000,0.800000,the,I,qw,u-1-2
sw3288A-ms98-a-0001,0.800000,1.040000,last,I,qw,u-1-2
sw3288A-ms98-a-0001,1.040000,1.200000,car,I,qw,u-1-2
sw3288A-ms98-a-0001,1.200000,1.490000,repair,I,qw,u-1-2
sw3288A-ms98-a-0001,1.490000,1.590000,you,I,qw,u-1-2
sw3288A-ms98-a-0001,1.590000,1.878750,had,I,qw,u-1-2
sw3288A-ms98-a-0003,7.209875,7.512625,[laughter],O,,
sw3288A-ms98-a-0005,10.268875,10.737000,oh,B,bk,u-3-1
sw3288A-ms98-a-0007,22.945000,23.371250,oh,B,ba,u-5-1
sw3288A-ms98-a-0007,23.371250,23.646250,no,I,ba,u-5-1
sw3288A-ms98-a-0007,23.646250,23.777750,did,B,qy,u-5-2
sw3288A-ms98-a-0007,23.777750,23.905000,you,I,qy,u-5-2
sw3288A-ms98-a-0007,23.905000,24.215000,crack,I,qy,u-5-2
sw3288A-ms98-a-0007,24.215000,24.305000,the,I,qy,u-5-2
sw3288A-ms98-a-0007,24.305000,24.705000,block,I,qy,u-5-2
sw3288A-ms98-a-0007,24.705000,24.835000,or,I,qy,u-5-2
sw3288A-ms98-a-0007,24.835000,25.198250,what,I,qy,u-5-2
sw3288A-ms98-a-0009,40.941375,41.231375,yeah,B,bk,u-7-1
sw3288A-ms98-a-0009,41.231375,41.331375,i'll,O,,
sw3288A-ms98-a-0009,41.331375,41.641375,see,B,bk,u-7-2
sw3288A-ms98-a-0009,42.331375,42.391375,you,B,sv,u-9-1
sw3288A-ms98-a-0009,42.391375,42.581375,got,I,sv,u-9-1
sw3288A-ms98-a-0009,42.581375,42.891375,lucky,I,sv,u-9-1
sw3288A-ms98-a-0009,42.891375,43.151375,didn't,I,sv,u-9-1
sw3288A-ms98-a-0009,43.151375,43.351375,ruin,I,sv,u-9-1
sw3288A-ms98-a-0009,43.351375,43.411375,the,I,sv,u-9-1
sw3288A-ms98-a-0009,43.411375,43.581375,whole,I,sv,u-9-1
sw3288A-ms98-a-0009,43.581375,43.911375,engine,I,sv,u-9-1
sw3288A-ms98-a-0009,43.911375,44.139250,though,I,sv,u-9-1
sw3288A-ms98-a-0009,44.866250,45.021375,that,B,sv,u-11-1
sw3288A-ms98-a-0009,45.021375,45.111375,can,I,sv,u-11-1
sw3288A-ms98-a-0009,45.111375,45.221375,be,I,sv,u-11-1
sw3288A-ms98-a-0009,45.221375,45.471375,pretty,I,sv,u-11-1
sw3288A-ms98-a-0009,45.471375,46.037250,serious,I,sv,u-11-1
sw3288A-ms98-a-0011,48.592250,48.892250,oh,B,sd,u-13-1
sw3288A-ms98-a-0011,48.892250,49.022250,i,I,sd,u-13-1
sw3288A-ms98-a-0011,49.022250,49.212250,guess,I,sd,u-13-1
sw3288A-ms98-a-0011,49.212250,49.382250,it's,I,sd,u-13-1
sw3288A-ms98-a-0011,49.382250,49.632250,been,I,sd,u-13-1
sw3288A-ms98-a-0011,49.632250,49.882250,awhile,I,sd,u-13-1
sw3288A-ms98-a-0011,49.882250,50.072250,for,I,sd,u-13-1
sw3288A-ms98-a-0011,50.072250,50.252250,me,I,sd,u-13-1
sw3288A-ms98-a-0011,50.252250,50.402250,i'd,B,%,u-13-2
sw3288A-ms98-a-0011,50.402250,50.588875,s[ay]-,O,,
sw3288A-ms98-a-0011,50.814875,51.042250,it's,B,sd,u-13-3
sw3288A-ms98-a-0011,51.042250,51.182250,been,I,sd,u-13-3
sw3288A-ms98-a-0011,51.182250,51.378000,about,I,sd,u-13-3
sw3288A-ms98-a-0011,51.378000,51.497125,a,I,sd,u-13-3
sw3288A-ms98-a-0011,51.497125,51.852250,year,I,sd,u-13-3
sw3288A-ms98-a-0012,52.604750,52.815000,yeah,B,b,u-15-1
sw3288A-ms98-a-0012,52.815000,52.896500,i,B,sd,u-15-2
sw3288A-ms98-a-0012,52.896500,53.094750,had,I,sd,u-15-2
sw3288A-ms98-a-0012,53.094750,53.324750,the,I,sd,u-15-2
sw3288A-ms98-a-0012,53.324750,53.454750,uh,I,sd,u-15-2
sw3288A-ms98-a-0012,53.454750,53.534750,the,I,sd,u-15-2
sw3288A-ms98-a-0012,53.534750,53.804750,water,I,sd,u-15-2
sw3288A-ms98-a-0012,53.804750,54.114750,pump,I,sd,u-15-2
sw3288A-ms98-a-0012,54.114750,54.334750,break,I,sd,u-15-2
sw3288A-ms98-a-0012,54.334750,54.434750,on,I,sd,u-15-2
sw3288A-ms98-a-0012,54.434750,54.606125,my,I,sd,u-15-2
sw3288A-ms98-a-0012,54.606125,54.979125,car,I,sd,u-15-2
sw3288A-ms98-a-0013,55.797250,56.044750,yeah,B,b,u-17-1
sw3288A-ms98-a-0013,56.044750,56.102500,i,B,sd,u-17-2
sw3288A-ms98-a-0013,56.102500,56.213875,was,I,sd,u-17-2
sw3288A-ms98-a-0013,56.332250,56.817250,traveling,I,sd,u-17-2
sw3288A-ms98-a-0013,56.817250,57.123750,uh,I,sd,u-17-2
sw3288A-ms98-a-0013,57.749000,57.811875,i,B,sd,u-17-3
sw3288A-ms98-a-0013,57.811875,57.849500,was,I,sd,u-17-3
sw3288A-ms98-a-0013,57.849500,58.047250,going,I,sd,u-17-3
sw3288A-ms98-a-0013,58.047250,58.197250,on,I,sd,u-17-3
sw3288A-ms98-a-0013,58.197250,58.307250,my,I,sd,u-17-3
sw3288A-ms98-a-0013,58.307250,58.427250,way,I,sd,u-17-3
sw3288A-ms98-a-0013,58.427250,58.627250,home,I,sd,u-17-3
sw3288A-ms98-a-0013,58.627250,58.767250,from,I,sd,u-17-3
sw3288A-ms98-a-0013,58.767250,59.467250,Thanksgiving,I,sd,u-17-3
sw3288A-ms98-a-0013,59.939500,60.003500,and,B,sd,u-19-1
sw3288A-ms98-a-0013,60.003500,60.117250,it,I,sd,u-19-1
sw3288A-ms98-a-0013,60.117250,60.387250,broke,I,sd,u-19-1
sw3288A-ms98-a-0013,60.387250,60.567250,like,I,sd,u-19-1
sw3288A-ms98-a-0013,60.567250,60.627250,in,I,sd,u-19-1
sw3288A-ms98-a-0013,60.627250,60.687250,the,I,sd,u-19-1
sw3288A-ms98-a-0013,60.687250,60.937250,middle,I,sd,u-19-1
sw3288A-ms98-a-0013,60.937250,61.027250,of,I,sd,u-19-1
sw3288A-ms98-a-0013,61.027250,61.660375,nowhere,I,sd,u-19-1
sw3288A-ms98-a-0014,62.285500,62.395500,so,B,sd,u-21-1
sw3288A-ms98-a-0014,62.395500,62.425500,i,I,sd,u-21-1
sw3288A-ms98-a-0014,62.425500,62.515500,had,I,sd,u-21-1
sw3288A-ms98-a-0014,62.515500,62.605500,to,I,sd,u-21-1
sw3288A-ms98-a-0014,62.605500,62.715500,get,I,sd,u-21-1
sw3288A-ms98-a-0014,62.715500,62.795500,it,I,sd,u-21-1
sw3288A-ms98-a-0014,62.795500,63.195500,towed,I,sd,u-21-1
sw3288A-ms98-a-0014,63.195500,63.345500,and,I,sd,u-21-1
sw3288A-ms98-a-0014,63.345500,63.575500,then,I,sd,u-21-1
sw3288A-ms98-a-0014,63.575500,64.245500,fixed,I,sd,u-21-1
sw3288A-ms98-a-0014,64.245500,64.425500,and,B,%,u-21-2
sw3288A-ms98-a-0014,64.975500,65.185500,big,B,sv,u-23-1
sw3288A-ms98-a-0014,65.185500,65.507750,pain,I,sv,u-23-1
sw3288A-ms98-a-0016,69.968500,70.258500,yeah,B,aa,u-25-1
sw3288A-ms98-a-0016,70.258500,70.438500,that's,B,sd,u-25-2
sw3288A-ms98-a-0016,70.438500,70.528500,where,I,sd,u-25-2
sw3288A-ms98-a-0016,70.528500,70.588500,i,I,sd,u-25-2
sw3288A-ms98-a-0016,70.588500,70.938500,was,I,sd,u-25-2
sw3288A-ms98-a-0016,70.938500,71.288500,luckily,B,sd,u-25-3
sw3288A-ms98-a-0016,71.288500,71.548500,someone,I,sd,u-25-3
sw3288A-ms98-a-0016,71.548500,71.798500,came,I,sd,u-25-3
sw3288A-ms98-a-0016,71.798500,71.978500,by,I,sd,u-25-3
sw3288A-ms98-a-0016,71.978500,72.088500,and,I,sd,u-25-3
sw3288A-ms98-a-0016,72.088500,72.238500,gave,I,sd,u-25-3
sw3288A-ms98-a-0016,72.238500,72.318500,me,I,sd,u-25-3
sw3288A-ms98-a-0016,72.318500,72.378500,a,I,sd,u-25-3
sw3288A-ms98-a-0016,72.378500,72.791250,ride,I,sd,u-25-3
sw3288A-ms98-a-0018,81.129000,81.527750,[laughter-yeah],O,,
sw3288A-ms98-a-0020,84.879750,86.428000,[laughter],O,,
sw3288A-ms98-a-0022,91.763750,92.052750,yeah,B,b,u-31-1
sw3288A-ms98-a-0022,92.052750,92.180250,so,B,sd,u-31-2
sw3288A-ms98-a-0022,92.180250,92.233750,is,I,sd,u-31-2
sw3288A-ms98-a-0022,92.233750,92.503750,mine,I,sd,u-31-2
sw3288A-ms98-a-0022,92.503750,92.863750,[laughter],O,,
sw3288A-ms98-a-0024,99.607875,99.797875,yeah,B,b,u-33-1
sw3288A-ms98-a-0024,99.797875,99.877875,i'm,B,sd,u-33-2
sw3288A-ms98-a-0024,99.877875,100.127875,hoping,I,sd,u-33-2
