sw3129A-ms98-a-0002,17.324125,17.564125,yeah,B,b,u-2-1
sw3129A-ms98-a-0004,25.990250,26.670250,exactly,B,aa,u-4-1
sw3129A-ms98-a-0006,47.913625,48.163625,oh,B,b,u-6-1
sw3129A-ms98-a-0008,58.653750,58.812875,d[id]-,O,,
sw3129A-ms98-a-0008,58.812875,59.048125,d[id]-,O,,
sw3129A-ms98-a-0008,59.048125,59.299375,did,B,qr,u-8-1
sw3129A-ms98-a-0008,59.299375,59.489375,you,I,qr,u-8-1
sw3129A-ms98-a-0008,59.489375,59.669375,do,I,qr,u-8-1
sw3129A-ms98-a-0008,59.669375,59.959375,the,I,qr,u-8-1
sw3129A-ms98-a-0008,59.959375,60.759375,diagnosis,I,qr,u-8-1
sw3129A-ms98-a-0008,61.109375,61.219375,o[r]-,I,qr,u-8-1
sw3129A-ms98-a-0008,61.219375,61.519375,or,I,qr,u-8-1
sw3129A-ms98-a-0008,61.519375,61.729375,was,I,qr,u-8-1
sw3129A-ms98-a-0008,61.729375,61.819375,it,I,qr,u-8-1
sw3129A-ms98-a-0008,61.819375,62.009375,just,I,qr,u-8-1
sw3129A-ms98-a-0008,62.009375,62.129375,an,I,qr,u-8-1
sw3129A-ms98-a-0008,62.129375,62.639375,assumption,I,qr,u-8-1
sw3129A-ms98-a-0008,62.639375,62.841875,that,I,qr,u-8-1
sw3129A-ms98-a-0008,63.026500,63.379375,that's,I,qr,u-8-1
sw3129A-ms98-a-0008,63.379375,63.919375,probably,I,qr,u-8-1
sw3129A-ms98-a-0008,63.919375,63.979375,the,I,qr,u-8-1
sw3129A-ms98-a-0008,63.979375,64.249375,part,I,qr,u-8-1
sw3129A-ms98-a-0008,64.249375,64.399375,that,I,qr,u-8-1
sw3129A-ms98-a-0008,64.399375,64.889375,failed,I,qr,u-8-1
sw3129A-ms98-a-0010,73.712500,74.002500,uh-huh,B,b,u-10-1
sw3129A-ms98-a-0012,96.222750,96.682750,uh-huh,B,b,u-12-1
sw3129A-ms98-a-0014,100.080000,100.412125,yeah,B,b,u-14-1
sw3129A-ms98-a-0014,100.412125,100.597500,i,I,b,u-14-1
sw3129A-ms98-a-0014,100.597500,100.947500,know,I,b,u-14-1
sw3129A-ms98-a-0014,100.947500,101.289125,uh,B,sv,u-14-2
sw3129A-ms98-a-0014,101.997250,102.277500,when,I,sv,u-14-2
sw3129A-ms98-a-0014,102.277500,102.678625,working,I,sv,u-14-2
sw3129A-ms98-a-0014,102.678625,102.933375,with,I,sv,u-14-2
sw3129A-ms98-a-0014,102.933375,103.144250,the,I,sv,u-14-2
sw3129A-ms98-a-0014,103.144250,103.447500,uh,I,sv,u-14-2
sw3129A-ms98-a-0014,103.897500,104.747500,flashers,I,sv,u-14-2
sw3129A-ms98-a-0015,105.614500,105.924500,there,I,sv,u-14-2
sw3129A-ms98-a-0015,105.924500,106.244500,is,I,sv,u-14-2
sw3129A-ms98-a-0015,106.244500,106.634875,uh,I,sv,u-14-2
sw3129A-ms98-a-0015,106.884500,107.334500,usually,I,sv,u-14-2
sw3129A-ms98-a-0015,107.334500,107.476250,a,I,sv,u-14-2
sw3129A-ms98-a-0015,107.476250,107.623125,a,I,sv,u-14-2
sw3129A-ms98-a-0015,107.623125,108.094500,special,I,sv,u-14-2
sw3129A-ms98-a-0015,108.094500,108.814500,fuse,I,sv,u-14-2
sw3129A-ms98-a-0015,109.577000,109.825500,that,I,sv,u-14-2
sw3129A-ms98-a-0015,109.825500,110.494500,operates,I,sv,u-14-2
sw3129A-ms98-a-0015,110.494500,110.574500,the,I,sv,u-14-2
sw3129A-ms98-a-0015,110.574500,111.374500,flashers,I,sv,u-14-2
sw3129A-ms98-a-0015,111.374500,111.524500,do,B,qy,u-14-3
