sw3221A-ms98-a-0003,5.279250,5.699250,yes,B,aa,u-2-1
sw3221A-ms98-a-0003,5.699250,5.849250,we,B,sd^t,u-2-2
sw3221A-ms98-a-0003,5.849250,6.009250,are,I,sd^t,u-2-2
sw3221A-ms98-a-0003,6.009250,6.099250,we,I,sd^t,u-2-2
sw3221A-ms98-a-0003,6.099250,6.169250,are,I,sd^t,u-2-2
sw3221A-ms98-a-0003,6.169250,6.589250,talking,I,sd^t,u-2-2
sw3221A-ms98-a-0003,6.589250,6.799250,about,I,sd^t,u-2-2
sw3221A-ms98-a-0003,6.799250,7.329250,computers,I,sd^t,u-2-2
sw3221A-ms98-a-0003,7.329250,7.499250,this,I,sd^t,u-2-2
sw3221A-ms98-a-0003,7.499250,7.849250,morning,I,sd^t,u-2-2
sw3221A-ms98-a-0005,14.636125,15.263375,[laughter-you],O,,
sw3221A-ms98-a-0005,15.263375,15.510250,[laughter-have],O,,
sw3221A-ms98-a-0005,15.815375,16.000250,you,B,bf,u-4-1
sw3221A-ms98-a-0005,16.000250,16.170250,have,I,bf,u-4-1
sw3221A-ms98-a-0005,16.170250,16.430250,four,I,bf,u-4-1
sw3221A-ms98-a-0005,16.430250,16.940250,machines,I,bf,u-4-1
sw3221A-ms98-a-0005,16.940250,17.260250,around,I,bf,u-4-1
sw3221A-ms98-a-0005,17.260250,17.489500,you,I,bf,u-4-1
sw3221A-ms98-a-0005,17.489500,17.972500,boy,B,sd,u-4-2
sw3221A-ms98-a-0005,18.401875,18.700250,well,I,sd,u-4-2
sw3221A-ms98-a-0005,18.700250,18.970250,you've,I,sd,u-4-2
sw3221A-ms98-a-0005,18.970250,19.150250,uh,I,sd,u-4-2
sw3221A-ms98-a-0005,19.150250,19.360250,you've,I,sd,u-4-2
sw3221A-ms98-a-0005,19.360250,19.540250,got,I,sd,u-4-2
sw3221A-ms98-a-0005,19.540250,19.730250,me,I,sd,u-4-2
sw3221A-ms98-a-0005,19.730250,20.010250,beat,I,sd,u-4-2
sw3221A-ms98-a-0005,20.010250,20.110250,i,B,sd,u-4-3
sw3221A-ms98-a-0005,20.110250,20.300250,have,I,sd,u-4-3
sw3221A-ms98-a-0005,20.300250,20.547250,a,I,sd,u-4-3
sw3221A-ms98-a-0005,20.547250,20.690250,a,I,sd,u-4-3
sw3221A-ms98-a-0005,20.690250,21.110250,Zenith,I,sd,u-4-3
sw3221A-ms98-a-0005,21.110250,21.491875,here,I,sd,u-4-3
sw3221A-ms98-a-0006,22.470250,22.820250,and,B,sd,u-6-1
sw3221A-ms98-a-0006,22.820250,22.930250,at,I,sd,u-6-1
sw3221A-ms98-a-0006,22.930250,23.290250,home,I,sd,u-6-1
sw3221A-ms98-a-0006,23.290250,23.380250,i,I,sd,u-6-1
sw3221A-ms98-a-0006,23.380250,23.520250,have,I,sd,u-6-1
sw3221A-ms98-a-0006,23.520250,23.580250,a,I,sd,u-6-1
sw3221A-ms98-a-0006,23.580250,24.290875,Commodore,I,sd,u-6-1
sw3221A-ms98-a-0007,24.762125,24.982125,and,B,+,u-8-1
sw3221A-ms98-a-0007,24.982125,25.052125,a,I,+,u-8-1
sw3221A-ms98-a-0007,25.052125,25.692125,Zenith,I,+,u-8-1
sw3221A-ms98-a-0007,25.692125,25.872125,and,B,sd,u-8-2
sw3221A-ms98-a-0007,25.872125,25.962125,my,I,sd,u-8-2
sw3221A-ms98-a-0007,25.962125,26.252125,wife,I,sd,u-8-2
sw3221A-ms98-a-0007,26.252125,26.462125,has,I,sd,u-8-2
sw3221A-ms98-a-0007,26.462125,26.622125,an,I,sd,u-8-2
sw3221A-ms98-a-0007,26.622125,27.392125,AT&T,I,sd,u-8-2
