sw3061A-ms98-a-0003,0.801500,1.490250,yes,B,o,u-2-1
sw3061A-ms98-a-0005,4.682875,5.194125,uh-huh,B,b,u-4-1
sw3061A-ms98-a-0007,7.438000,7.895250,yes,B,b,u-6-1
sw3061A-ms98-a-0009,9.746250,9.951375,oh,B,ba,u-8-1
sw3061A-ms98-a-0009,9.951375,10.511375,gosh,I,ba,u-8-1
sw3061A-ms98-a-0009,10.641375,10.751375,and,B,qw,u-10-1
sw3061A-ms98-a-0009,10.751375,10.851375,how,I,qw,u-10-1
sw3061A-ms98-a-0009,10.851375,11.071375,long,I,qw,u-10-1
sw3061A-ms98-a-0009,11.071375,11.191375,have,I,qw,u-10-1
sw3061A-ms98-a-0009,11.191375,11.321375,you,I,qw,u-10-1
sw3061A-ms98-a-0009,11.321375,11.571375,had,I,qw,u-10-1
sw3061A-ms98-a-0009,11.571375,11.731375,them,I,qw,u-10-1
sw3061A-ms98-a-0011,16.429125,16.866125,yes,B,b@,u-12-1
sw3061A-ms98-a-0013,20.529500,21.270875,[laughter],O,,
sw3061A-ms98-a-0013,21.270875,21.406750,kind,B,+@,u-14-1
sw3061A-ms98-a-0013,21.406750,21.470875,of,I,+@,u-14-1
sw3061A-ms98-a-0013,21.470875,21.727375,lose,I,+@,u-14-1
sw3061A-ms98-a-0013,21.727375,22.077375,track,I,+@,u-14-1
sw3061A-ms98-a-0013,22.077375,23.497375,[laughter],O,,
sw3061A-ms98-a-0013,23.497375,23.637375,well,B,sv,u-16-1
sw3061A-ms98-a-0013,23.637375,23.827375,that's,I,sv,u-16-1
sw3061A-ms98-a-0013,23.827375,24.257375,interesting,I,sv,u-16-1
sw3061A-ms98-a-0013,24.257375,24.617375,because,I,sv,u-16-1
sw3061A-ms98-a-0013,24.617375,24.767375,we,I,sv,u-16-1
sw3061A-ms98-a-0013,24.767375,24.947375,have,I,sv,u-16-1
sw3061A-ms98-a-0013,24.947375,25.117375,a,I,sv,u-16-1
sw3061A-ms98-a-0013,25.117375,25.407375,similar,O,,
sw3061A-ms98-a-0013,25.407375,25.527375,we,B,sd,u-16-2
sw3061A-ms98-a-0013,25.527375,25.707375,don't,I,sd,u-16-2
sw3061A-ms98-a-0013,25.707375,25.867375,have,I,sd,u-16-2
sw3061A-ms98-a-0013,25.867375,26.147375,cats,I,sd,u-16-2
sw3061A-ms98-a-0013,26.147375,26.287375,but,B,sd,u-16-3
sw3061A-ms98-a-0013,26.287375,26.397375,we,I,sd,u-16-3
sw3061A-ms98-a-0013,26.397375,26.567375,do,I,sd,u-16-3
sw3061A-ms98-a-0013,26.567375,26.747375,have,I,sd,u-16-3
sw3061A-ms98-a-0013,26.747375,26.807375,a,I,sd,u-16-3
sw3061A-ms98-a-0013,26.807375,27.147375,dog,I,sd,u-16-3
sw3061A-ms98-a-0013,27.147375,27.207375,who,B,+,u-18-1
sw3061A-ms98-a-0013,27.207375,27.297375,is,I,+,u-18-1
sw3061A-ms98-a-0013,27.297375,27.397375,an,I,+,u-18-1
sw3061A-ms98-a-0013,27.397375,27.727375,indoor,I,+,u-18-1
sw3061A-ms98-a-0013,27.727375,28.067375,dog,I,+,u-18-1
sw3061A-ms98-a-0013,28.067375,28.267375,and,B,sd,u-20-1
sw3061A-ms98-a-0013,28.267375,28.497375,she,I,sd,u-20-1
sw3061A-ms98-a-0013,28.497375,28.617375,is,I,sd,u-20-1
sw3061A-ms98-a-0013,28.617375,28.777375,going,I,sd,u-20-1
sw3061A-ms98-a-0013,28.777375,28.837375,to,I,sd,u-20-1
sw3061A-ms98-a-0013,28.837375,28.917375,be,I,sd,u-20-1
sw3061A-ms98-a-0013,28.917375,29.527375,thirteen,I,sd,u-20-1
sw3061A-ms98-a-0013,29.527375,29.717375,this,I,sd,u-20-1
sw3061A-ms98-a-0013,29.717375,29.987375,summer,I,sd,u-20-1
sw3061A-ms98-a-0013,29.987375,30.422125,so,B,%,u-20-2
sw3061A-ms98-a-0013,30.825125,31.297375,yes,B,ny@,u-22-1
sw3061A-ms98-a-0013,31.297375,31.707375,uh-huh,I,ny@,u-22-1
sw3061A-ms98-a-0014,32.618250,33.077000,um,B,sd,u-24-1
sw3061A-ms98-a-0014,33.077000,33.351875,she's,I,sd,u-24-1
sw3061A-ms98-a-0014,33.351875,33.728250,um,I,sd,u-24-1
sw3061A-ms98-a-0014,33.728250,33.878250,a,I,sd,u-24-1
sw3061A-ms98-a-0014,33.878250,34.288250,mix,I,sd,u-24-1
sw3061A-ms98-a-0014,34.288250,34.528250,of,I,sd,u-24-1
sw3061A-ms98-a-0014,34.528250,35.248250,Cockapoo,I,sd,u-24-1
sw3061A-ms98-a-0014,35.248250,35.459875,Cock[er]-,I,sd,u-24-1
sw3061A-ms98-a-0014,35.621875,35.848250,Cocker,I,sd,u-24-1
sw3061A-ms98-a-0014,35.848250,36.318250,Spaniel,I,sd,u-24-1
sw3061A-ms98-a-0014,36.318250,36.538250,and,I,sd,u-24-1
sw3061A-ms98-a-0014,36.538250,36.888250,Poodle,I,sd,u-24-1
sw3061A-ms98-a-0015,38.074875,38.234875,is,B,qy,u-26-1
sw3061A-ms98-a-0015,38.234875,38.544875,that,I,qy,u-26-1
sw3061A-ms98-a-0015,38.544875,38.934875,right,I,qy,u-26-1
sw3061A-ms98-a-0015,38.934875,39.244875,isn't,B,bh,u-28-1
sw3061A-ms98-a-0015,39.244875,39.444875,that,I,bh,u-28-1
sw3061A-ms98-a-0015,39.444875,40.041375,interesting,I,bh,u-28-1
sw3061A-ms98-a-0015,40.041375,40.986750,[laughter],O,,
sw3061A-ms98-a-0015,40.986750,41.134875,what,B,qw,u-30-1
sw3061A-ms98-a-0015,41.134875,41.434875,color,I,qw,u-30-1
sw3061A-ms98-a-0015,41.434875,41.604875,is,I,qw,u-30-1
sw3061A-ms98-a-0015,41.604875,41.724875,your,I,qw,u-30-1
sw3061A-ms98-a-0015,41.724875,42.093500,dog,I,qw,u-30-1
sw3061A-ms98-a-0016,42.585875,42.935875,oh,B,sd,u-32-1
sw3061A-ms98-a-0016,42.935875,43.065875,well,I,sd,u-32-1
sw3061A-ms98-a-0016,43.065875,43.315875,ours,I,sd,u-32-1
sw3061A-ms98-a-0016,43.315875,43.485875,is,I,sd,u-32-1
sw3061A-ms98-a-0016,43.485875,43.977125,black,I,sd,u-32-1
sw3061A-ms98-a-0016,43.977125,44.210625,so,B,%,u-32-2
sw3061A-ms98-a-0016,44.210625,44.785875,[laughter],O,,
sw3061A-ms98-a-0016,44.785875,45.309500,definitely,B,sd,u-34-1
sw3061A-ms98-a-0016,45.309500,45.744375,different,I,sd,u-34-1
sw3061A-ms98-a-0016,45.744375,47.225875,[laughter],O,,
sw3061A-ms98-a-0016,47.225875,47.495875,yes,B,b,u-36-1
sw3061A-ms98-a-0016,47.495875,47.685875,she's,B,sd,u-36-2
sw3061A-ms98-a-0016,47.685875,47.755875,a,I,sd,u-36-2
sw3061A-ms98-a-0016,47.755875,48.255875,female,I,sd,u-36-2
sw3061A-ms98-a-0016,48.255875,48.455875,and,B,sd,u-36-3
sw3061A-ms98-a-0016,48.455875,48.755875,she's,I,sd,u-36-3
sw3061A-ms98-a-0016,48.755875,49.435875,um,I,sd,u-36-3
sw3061A-ms98-a-0016,49.435875,49.975875,been,I,sd,u-36-3
sw3061A-ms98-a-0016,49.975875,50.215875,she's,I,sd,u-36-3
sw3061A-ms98-a-0016,50.215875,50.395875,been,I,sd,u-36-3
sw3061A-ms98-a-0016,50.395875,50.487875,a,I,sd,u-36-3
sw3061A-ms98-a-0016,50.487875,50.928625,really,I,sd,u-36-3
sw3061A-ms98-a-0016,50.928625,51.105875,a,I,sd,u-36-3
sw3061A-ms98-a-0016,51.105875,51.395875,really,I,sd,u-36-3
sw3061A-ms98-a-0016,51.395875,51.615875,good,I,sd,u-36-3
sw3061A-ms98-a-0016,51.615875,52.165875,companion,I,sd,u-36-3
sw3061A-ms98-a-0016,52.165875,52.315875,for,I,sd,u-36-3
sw3061A-ms98-a-0016,52.315875,52.715875,me,I,sd,u-36-3
sw3061A-ms98-a-0016,52.715875,53.125875,um,B,sd,u-36-4
sw3061A-ms98-a-0016,53.125875,53.295875,she's,B,+,u-38-1
sw3061A-ms98-a-0016,53.295875,53.475875,like,I,+,u-38-1
sw3061A-ms98-a-0016,53.475875,53.525875,a,I,+,u-38-1
sw3061A-ms98-a-0016,53.525875,53.705875,little,I,+,u-38-1
sw3061A-ms98-a-0016,53.705875,54.105875,shadow,I,+,u-38-1
sw3061A-ms98-a-0016,54.105875,54.235875,you,I,+,u-38-1
sw3061A-ms98-a-0016,54.235875,54.325875,know,I,+,u-38-1
sw3061A-ms98-a-0016,54.325875,54.525875,kind,I,+,u-38-1
