sw3014B-ms98-a-0002,1.903125,2.475750,yes,B,ny,u-2-1
sw3014B-ms98-a-0003,4.197625,4.311375,[vocalized-noise],O,,
sw3014B-ms98-a-0003,4.311375,4.428500,have,B,qy,u-4-1
sw3014B-ms98-a-0003,4.428500,4.568500,you,I,qy,u-4-1
sw3014B-ms98-a-0003,4.568500,4.968500,recently,I,qy,u-4-1
sw3014B-ms98-a-0003,4.968500,5.208500,bought,I,qy,u-4-1
sw3014B-ms98-a-0003,5.208500,5.248500,a,I,qy,u-4-1
sw3014B-ms98-a-0003,5.248500,5.378500,new,I,qy,u-4-1
sw3014B-ms98-a-0003,5.378500,5.578500,car,I,qy,u-4-1
sw3014B-ms98-a-0003,5.578500,6.118500,Catherine,I,qy,u-4-1
sw3014B-ms98-a-0005,12.230000,12.839750,oh,B,bk,u-6-1
sw3014B-ms98-a-0006,13.872000,14.232000,oh,B,ba,u-8-1
sw3014B-ms98-a-0006,14.232000,15.080000,wow,I,ba,u-8-1
sw3014B-ms98-a-0008,21.252750,21.622750,well,B,sd,u-10-1
sw3014B-ms98-a-0008,21.622750,21.932750,i,I,sd,u-10-1
sw3014B-ms98-a-0008,21.932750,22.477000,really,I,sd,u-10-1
sw3014B-ms98-a-0008,23.117375,23.442750,i-,I,sd,u-10-1
sw3014B-ms98-a-0008,23.442750,23.572750,the,I,sd,u-10-1
sw3014B-ms98-a-0008,23.572750,23.932750,last,I,sd,u-10-1
sw3014B-ms98-a-0008,23.932750,24.212750,car,I,sd,u-10-1
sw3014B-ms98-a-0008,24.212750,24.362750,we,I,sd,u-10-1
sw3014B-ms98-a-0008,24.362750,24.782750,got,I,sd,u-10-1
sw3014B-ms98-a-0008,24.782750,25.067000,was,I,sd,u-10-1
sw3014B-ms98-a-0008,25.067000,25.357000,a,I,sd,u-10-1
sw3014B-ms98-a-0008,25.357000,25.602750,was,I,sd,u-10-1
sw3014B-ms98-a-0008,25.602750,25.721500,a,I,sd,u-10-1
sw3014B-ms98-a-0008,25.721500,26.083125,used,I,sd,u-10-1
sw3014B-ms98-a-0008,26.083125,26.442750,car,I,sd,u-10-1
sw3014B-ms98-a-0008,26.442750,26.652500,i,B,sd,u-10-2
sw3014B-ms98-a-0008,26.652500,27.102750,really,I,sd,u-10-2
sw3014B-ms98-a-0008,27.332750,27.582750,don't,I,sd,u-10-2
sw3014B-ms98-a-0008,27.582750,28.012750,prefer,I,sd,u-10-2
sw3014B-ms98-a-0008,28.012750,28.472750,buying,I,sd,u-10-2
sw3014B-ms98-a-0008,28.472750,28.532750,a,I,sd,u-10-2
sw3014B-ms98-a-0008,28.532750,28.752750,new,I,sd,u-10-2
sw3014B-ms98-a-0008,28.752750,29.072750,car,I,sd,u-10-2
sw3014B-ms98-a-0008,29.072750,29.162750,i,B,sd,u-10-3
sw3014B-ms98-a-0008,29.162750,29.382750,like,I,sd,u-10-3
sw3014B-ms98-a-0008,29.382750,29.492750,to,I,sd,u-10-3
sw3014B-ms98-a-0008,29.492750,29.632750,let,I,sd,u-10-3
