sw3508B-ms98-a-0003,2.853125,3.628500,yes,B,aa,u-2-1
sw3508B-ms98-a-0004,4.940625,5.648625,right,B,na,u-4-1
sw3508B-ms98-a-0004,5.648625,6.799250,[laughter],O,,
sw3508B-ms98-a-0005,7.843250,8.203250,really,B,aa,u-6-1
sw3508B-ms98-a-0005,8.203250,8.463250,wha[t]-,O,,
sw3508B-ms98-a-0005,8.463250,8.613250,what,B,qw,u-6-2
sw3508B-ms98-a-0005,8.613250,8.693250,do,I,qw,u-6-2
sw3508B-ms98-a-0005,8.693250,8.803250,you,I,qw,u-6-2
sw3508B-ms98-a-0005,8.803250,9.053250,do,I,qw,u-6-2
sw3508B-ms98-a-0005,9.053250,9.386750,now,I,qw,u-6-2
sw3508B-ms98-a-0007,13.444250,13.714250,um-hum,B,b,u-8-1
sw3508B-ms98-a-0008,15.278375,15.695500,um-hum,B,b,u-10-1
sw3508B-ms98-a-0010,22.047500,22.525125,um-hum,B,b,u-12-1
sw3508B-ms98-a-0012,33.090750,33.330750,oh,B,bh,u-14-1
sw3508B-ms98-a-0012,33.330750,34.037750,really,I,bh,u-14-1
sw3508B-ms98-a-0014,37.975875,38.668500,oh,O,,
sw3508B-ms98-a-0014,38.668500,39.131000,okay,B,b,u-16-1
sw3508B-ms98-a-0016,42.511125,42.751125,yes,B,ny,u-18-1
sw3508B-ms98-a-0016,42.751125,42.862125,i,B,sd^e,u-18-2
sw3508B-ms98-a-0016,42.862125,43.295250,do,I,sd^e,u-18-2
sw3508B-ms98-a-0016,43.806875,44.170000,yeah,B,b,u-20-1
sw3508B-ms98-a-0016,44.444875,44.698500,and,B,sd,u-20-2
sw3508B-ms98-a-0016,44.698500,44.950875,i'm,I,sd,u-20-2
sw3508B-ms98-a-0016,44.950875,45.171125,so,I,sd,u-20-2
sw3508B-ms98-a-0016,45.171125,45.571125,glad,I,sd,u-20-2
sw3508B-ms98-a-0016,45.571125,45.731125,when,I,sd,u-20-2
sw3508B-ms98-a-0016,45.731125,45.871125,they,I,sd,u-20-2
sw3508B-ms98-a-0016,45.871125,46.161125,brought,I,sd,u-20-2
sw3508B-ms98-a-0016,46.161125,46.391125,out,I,sd,u-20-2
sw3508B-ms98-a-0016,46.391125,46.791125,those,I,sd,u-20-2
sw3508B-ms98-a-0016,46.791125,47.421125,recycling,I,sd,u-20-2
sw3508B-ms98-a-0016,47.421125,47.811125,bins,I,sd,u-20-2
sw3508B-ms98-a-0016,47.811125,48.051125,have,B,qy,u-22-1
sw3508B-ms98-a-0016,48.051125,48.171125,you,I,qy,u-22-1
sw3508B-ms98-a-0016,48.171125,48.451125,had,I,qy,u-22-1
sw3508B-ms98-a-0016,48.451125,48.681125,yours,I,qy,u-22-1
sw3508B-ms98-a-0016,48.681125,49.035250,now,I,qy,u-22-1
sw3508B-ms98-a-0016,49.611500,50.064375,yeah,B,b,u-24-1
sw3508B-ms98-a-0018,58.276125,58.610750,oh,B,sd,u-26-1
sw3508B-ms98-a-0018,58.610750,58.860750,that's,I,sd,u-26-1
sw3508B-ms98-a-0018,58.860750,58.980750,why,I,sd,u-26-1
sw3508B-ms98-a-0018,58.980750,59.030750,i,I,sd,u-26-1
sw3508B-ms98-a-0018,59.030750,59.460750,asked,I,sd,u-26-1
sw3508B-ms98-a-0018,59.460750,59.580750,you,I,sd,u-26-1
sw3508B-ms98-a-0018,59.580750,59.700750,i,B,sd@,u-26-2
sw3508B-ms98-a-0018,59.700750,59.960750,guess,I,sd@,u-26-2
sw3508B-ms98-a-0018,59.960750,60.410750,it,I,sd@,u-26-2
sw3508B-ms98-a-0018,60.410750,60.610750,you,B,sd@,u-28-1
sw3508B-ms98-a-0018,60.610750,60.710750,know,I,sd@,u-28-1
sw3508B-ms98-a-0018,60.710750,60.870750,it,I,sd@,u-28-1
sw3508B-ms98-a-0018,60.870750,61.160750,does,I,sd@,u-28-1
sw3508B-ms98-a-0018,61.160750,61.340750,go,I,sd@,u-28-1
sw3508B-ms98-a-0018,61.340750,61.470750,in,I,sd@,u-28-1
sw3508B-ms98-a-0018,61.470750,61.970750,cycles,I,sd@,u-28-1
sw3508B-ms98-a-0018,61.970750,62.060750,and,B,sd,u-28-2
sw3508B-ms98-a-0018,62.060750,62.220750,not,I,sd,u-28-2
sw3508B-ms98-a-0018,62.220750,62.590750,everyone,I,sd,u-28-2
sw3508B-ms98-a-0018,62.590750,62.870750,got,I,sd,u-28-2
sw3508B-ms98-a-0018,62.870750,63.110750,theirs,I,sd,u-28-2
sw3508B-ms98-a-0018,63.110750,63.330750,right,I,sd,u-28-2
sw3508B-ms98-a-0018,63.330750,63.706250,away,I,sd,u-28-2
sw3508B-ms98-a-0019,64.410875,64.770875,and,B,sd,u-30-1
sw3508B-ms98-a-0019,64.770875,65.012750,i,I,sd,u-30-1
sw3508B-ms98-a-0019,65.012750,65.295000,i,I,sd,u-30-1
sw3508B-ms98-a-0019,65.295000,65.410875,was,I,sd,u-30-1
sw3508B-ms98-a-0019,65.410875,65.600875,so,I,sd,u-30-1
sw3508B-ms98-a-0019,65.600875,65.980875,relieved,I,sd,u-30-1
sw3508B-ms98-a-0019,65.980875,66.390875,because,I,sd,u-30-1
sw3508B-ms98-a-0019,66.390875,66.630875,i've,I,sd,u-30-1
sw3508B-ms98-a-0019,66.630875,66.810875,been,I,sd,u-30-1
sw3508B-ms98-a-0019,66.810875,67.160875,making,I,sd,u-30-1
sw3508B-ms98-a-0019,67.160875,67.200875,a,I,sd,u-30-1
sw3508B-ms98-a-0019,67.200875,67.350875,real,I,sd,u-30-1
sw3508B-ms98-a-0019,67.350875,67.830875,concerted,I,sd,u-30-1
sw3508B-ms98-a-0019,67.830875,68.230875,effort,I,sd,u-30-1
sw3508B-ms98-a-0019,68.230875,68.540875,make,I,sd,u-30-1
sw3508B-ms98-a-0019,68.540875,68.640875,you,I,sd,u-30-1
sw3508B-ms98-a-0019,68.640875,68.781125,know,I,sd,u-30-1
sw3508B-ms98-a-0019,68.781125,69.351625,recycling,I,sd,u-30-1
sw3508B-ms98-a-0019,69.351625,69.472125,the,I,sd,u-30-1
sw3508B-ms98-a-0019,69.472125,70.030875,aluminum,I,sd,u-30-1
sw3508B-ms98-a-0019,70.030875,70.150875,and,I,sd,u-30-1
sw3508B-ms98-a-0019,70.150875,70.220875,the,B,+,u-32-1
sw3508B-ms98-a-0019,70.220875,70.960875,newspapers,I,+,u-32-1
sw3508B-ms98-a-0019,70.960875,71.110875,and,I,+,u-32-1
sw3508B-ms98-a-0019,71.110875,71.354750,even,I,+,u-32-1
sw3508B-ms98-a-0019,71.354750,71.558125,got,I,+,u-32-1
sw3508B-ms98-a-0019,71.558125,71.800875,into,I,+,u-32-1
sw3508B-ms98-a-0019,71.800875,72.406875,plastic,I,+,u-32-1
sw3508B-ms98-a-0019,72.406875,72.843875,because,I,+,u-32-1
sw3508B-ms98-a-0019,72.843875,73.360875,Wal-Mart,I,+,u-32-1
