sw4103B-ms98-a-0003,13.922750,14.114250,yeah,B,ny,u-2-1
sw4103B-ms98-a-0003,14.114250,14.336500,i've,O,,
sw4103B-ms98-a-0003,14.494750,14.804250,uh,O,,
sw4103B-ms98-a-0003,14.804250,15.044250,have,B,sd^e,u-2-2
sw4103B-ms98-a-0003,15.044250,15.194250,some,I,sd^e,u-2-2
sw4103B-ms98-a-0003,15.194250,15.394250,friends,I,sd^e,u-2-2
sw4103B-ms98-a-0003,15.394250,15.464250,of,I,sd^e,u-2-2
sw4103B-ms98-a-0003,15.464250,15.634250,mine,I,sd^e,u-2-2
sw4103B-ms98-a-0003,15.634250,15.754250,who,I,sd^e,u-2-2
sw4103B-ms98-a-0003,15.754250,15.954250,use,I,sd^e,u-2-2
sw4103B-ms98-a-0003,15.954250,16.512625,Quicken,I,sd^e,u-2-2
sw4103B-ms98-a-0003,16.908125,17.474250,and,B,sd,u-2-3
sw4103B-ms98-a-0003,17.474250,17.684250,uh,I,sd,u-2-3
sw4103B-ms98-a-0004,18.753375,18.892500,i,I,sd,u-2-3
sw4103B-ms98-a-0004,18.892500,19.293375,considered,I,sd,u-2-3
sw4103B-ms98-a-0004,19.293375,19.553375,using,I,sd,u-2-3
sw4103B-ms98-a-0004,19.553375,19.673375,it,I,sd,u-2-3
sw4103B-ms98-a-0004,19.673375,19.993375,once,I,sd,u-2-3
sw4103B-ms98-a-0004,19.993375,20.639625,myself,I,sd,u-2-3
sw4103B-ms98-a-0004,20.639625,20.755750,but,B,sd,u-2-4
sw4103B-ms98-a-0004,20.755750,21.069000,i,I,sd,u-2-4
sw4103B-ms98-a-0004,21.566250,22.083375,decided,I,sd,u-2-4
sw4103B-ms98-a-0004,22.083375,22.244875,that,I,sd,u-2-4
sw4103B-ms98-a-0004,22.798625,22.993375,the,I,sd,u-2-4
sw4103B-ms98-a-0004,22.993375,23.293375,amount,I,sd,u-2-4
sw4103B-ms98-a-0004,23.293375,23.373375,of,I,sd,u-2-4
sw4103B-ms98-a-0004,23.373375,24.033375,information,I,sd,u-2-4
sw4103B-ms98-a-0004,24.033375,24.143375,that,I,sd,u-2-4
sw4103B-ms98-a-0004,24.143375,24.243375,would,I,sd,u-2-4
sw4103B-ms98-a-0004,24.243375,24.483375,have,I,sd,u-2-4
sw4103B-ms98-a-0004,24.483375,24.603375,to,I,sd,u-2-4
sw4103B-ms98-a-0004,24.603375,24.783375,go,I,sd,u-2-4
sw4103B-ms98-a-0004,24.783375,25.003375,in,I,sd,u-2-4
sw4103B-ms98-a-0004,25.003375,25.173375,would,I,sd,u-2-4
sw4103B-ms98-a-0004,25.173375,25.442625,be,I,sd,u-2-4
sw4103B-ms98-a-0004,26.165750,26.243375,a,I,sd,u-2-4
sw4103B-ms98-a-0004,26.243375,26.433375,lot,I,sd,u-2-4
sw4103B-ms98-a-0004,26.433375,26.523375,of,I,sd,u-2-4
sw4103B-ms98-a-0004,26.523375,26.863375,time,I,sd,u-2-4
sw4103B-ms98-a-0004,26.863375,27.243375,keeping,I,sd,u-2-4
sw4103B-ms98-a-0004,27.243375,27.443375,that,I,sd,u-2-4
sw4103B-ms98-a-0004,27.443375,27.623375,up,I,sd,u-2-4
sw4103B-ms98-a-0004,27.623375,27.733375,to,I,sd,u-2-4
sw4103B-ms98-a-0004,27.733375,28.114500,date,I,sd,u-2-4
sw4103B-ms98-a-0004,28.562625,28.853375,so,B,sd,u-4-1
sw4103B-ms98-a-0004,28.853375,29.042375,i,I,sd,u-4-1
sw4103B-ms98-a-0004,29.253250,29.373750,i,I,sd,u-4-1
sw4103B-ms98-a-0004,29.373750,29.543375,kind,I,sd,u-4-1
sw4103B-ms98-a-0004,29.543375,29.623375,of,I,sd,u-4-1
sw4103B-ms98-a-0004,29.623375,29.783375,gave,I,sd,u-4-1
sw4103B-ms98-a-0004,29.783375,29.983375,up,I,sd,u-4-1
sw4103B-ms98-a-0004,29.983375,30.093375,on,I,sd,u-4-1
sw4103B-ms98-a-0004,30.093375,30.183375,the,I,sd,u-4-1
sw4103B-ms98-a-0004,30.183375,30.373375,idea,I,sd,u-4-1
sw4103B-ms98-a-0004,30.373375,30.443375,of,I,sd,u-4-1
sw4103B-ms98-a-0004,30.443375,30.743375,using,I,sd,u-4-1
sw4103B-ms98-a-0004,30.743375,31.093375,Quicken,I,sd,u-4-1
sw4103B-ms98-a-0004,31.093375,31.173375,at,I,sd,u-4-1
sw4103B-ms98-a-0004,31.173375,31.403375,least,I,sd,u-4-1
sw4103B-ms98-a-0004,31.403375,31.513375,for,I,sd,u-4-1
sw4103B-ms98-a-0004,31.513375,31.833375,now,I,sd,u-4-1
sw4103B-ms98-a-0006,45.638875,45.938875,um-hum,B,b,u-6-1
sw4103B-ms98-a-0008,50.302250,50.579625,yeah,B,b,u-8-1
sw4103B-ms98-a-0008,51.517250,51.645125,well,B,sd,u-8-2
sw4103B-ms98-a-0008,51.645125,51.798625,i,I,sd,u-8-2
sw4103B-ms98-a-0009,52.611000,52.829750,have,I,sd,u-8-2
sw4103B-ms98-a-0009,52.829750,53.289750,similar,I,sd,u-8-2
sw4103B-ms98-a-0009,53.289750,53.879750,problems,I,sd,u-8-2
sw4103B-ms98-a-0009,53.879750,54.269750,but,B,sd,u-8-3
sw4103B-ms98-a-0009,54.269750,54.620000,uh,I,sd,u-8-3
sw4103B-ms98-a-0009,54.868625,55.039750,we,I,sd,u-8-3
sw4103B-ms98-a-0009,55.039750,55.239750,just,I,sd,u-8-3
sw4103B-ms98-a-0009,55.239750,55.399750,have,I,sd,u-8-3
sw4103B-ms98-a-0009,55.399750,55.479750,the,I,sd,u-8-3
sw4103B-ms98-a-0009,55.479750,55.759750,one,I,sd,u-8-3
sw4103B-ms98-a-0009,55.759750,56.049750,check,I,sd,u-8-3
sw4103B-ms98-a-0009,56.049750,56.309750,book,I,sd,u-8-3
sw4103B-ms98-a-0009,56.309750,56.519750,and,B,sd,u-8-4
sw4103B-ms98-a-0009,56.519750,56.729750,we,I,sd,u-8-4
sw4103B-ms98-a-0010,57.840000,58.011750,try,I,sd,u-8-4
sw4103B-ms98-a-0010,58.011750,58.081750,to,I,sd,u-8-4
sw4103B-ms98-a-0010,58.081750,58.321750,keep,I,sd,u-8-4
sw4103B-ms98-a-0010,58.321750,58.391750,it,I,sd,u-8-4
sw4103B-ms98-a-0010,58.391750,58.531750,up,I,sd,u-8-4
sw4103B-ms98-a-0010,58.531750,58.671750,to,I,sd,u-8-4
sw4103B-ms98-a-0010,58.671750,58.881750,date,I,sd,u-8-4
sw4103B-ms98-a-0010,58.881750,59.011750,as,I,sd,u-8-4
sw4103B-ms98-a-0010,59.011750,59.241750,much,I,sd,u-8-4
sw4103B-ms98-a-0010,59.241750,59.341750,as,I,sd,u-8-4
sw4103B-ms98-a-0010,59.341750,59.958500,possible,I,sd,u-8-4
sw4103B-ms98-a-0010,60.482000,60.961750,and,B,sd,u-8-5
sw4103B-ms98-a-0010,60.961750,61.411750,occasionally,I,sd,u-8-5
