sw3903B-ms98-a-0002,0.704500,0.989875,yeah,B,ny,u-2-1
sw3903B-ms98-a-0002,0.989875,1.453625,sure,B,sd^e,u-2-2
sw3903B-ms98-a-0004,10.080000,10.500750,well,B,sd,u-4-1
sw3903B-ms98-a-0004,10.625625,10.782750,a[nd]-,I,sd,u-4-1
sw3903B-ms98-a-0004,10.782750,10.940625,when,I,sd,u-4-1
sw3903B-ms98-a-0004,10.940625,11.050625,i,I,sd,u-4-1
sw3903B-ms98-a-0004,11.050625,11.360625,have,I,sd,u-4-1
sw3903B-ms98-a-0004,11.360625,11.510625,my,I,sd,u-4-1
sw3903B-ms98-a-0004,11.510625,11.915750,spare,I,sd,u-4-1
sw3903B-ms98-a-0004,11.915750,12.321000,time,I,sd,u-4-1
sw3903B-ms98-a-0004,12.321000,13.290625,[laughter],O,,
sw3903B-ms98-a-0004,13.290625,13.430625,i,B,+,u-6-1
sw3903B-ms98-a-0004,13.430625,13.650625,do,I,+,u-6-1
sw3903B-ms98-a-0004,13.650625,14.100750,enjoy,I,+,u-6-1
sw3903B-ms98-a-0005,15.113125,15.379750,that's,B,aa,u-8-1
sw3903B-ms98-a-0005,15.379750,15.989750,right,I,aa,u-8-1
sw3903B-ms98-a-0005,15.989750,16.319500,um,B,sd,u-8-2
sw3903B-ms98-a-0005,16.575625,16.719750,i,I,sd,u-8-2
sw3903B-ms98-a-0005,16.719750,16.879750,do,I,sd,u-8-2
sw3903B-ms98-a-0005,16.879750,17.468750,enjoy,I,sd,u-8-2
sw3903B-ms98-a-0005,17.675875,17.829750,uh,I,sd,u-8-2
sw3903B-ms98-a-0005,17.829750,18.418500,sewing,I,sd,u-8-2
sw3903B-ms98-a-0005,18.693500,18.944000,uh,O,,
sw3903B-ms98-a-0005,19.045625,19.399750,hand,B,%,u-8-3
sw3903B-ms98-a-0005,19.399750,19.527500,you,O,,
sw3903B-ms98-a-0005,19.527500,19.682000,know,O,,
sw3903B-ms98-a-0005,19.682000,19.779750,i,B,sd,u-8-4
sw3903B-ms98-a-0005,19.779750,19.909750,do,I,sd,u-8-4
sw3903B-ms98-a-0005,19.909750,20.099750,some,I,sd,u-8-4
sw3903B-ms98-a-0005,20.099750,20.926500,needlepoint,I,sd,u-8-4
sw3903B-ms98-a-0006,21.615750,22.059125,and,B,sd,u-10-1
sw3903B-ms98-a-0006,22.059125,22.289375,i,I,sd,u-10-1
sw3903B-ms98-a-0006,22.466375,22.609125,i've,I,sd,u-10-1
sw3903B-ms98-a-0006,22.609125,22.769125,been,I,sd,u-10-1
sw3903B-ms98-a-0006,22.769125,23.099125,doing,I,sd,u-10-1
sw3903B-ms98-a-0006,23.099125,23.175750,a,I,sd,u-10-1
sw3903B-ms98-a-0006,23.716500,23.840750,a,I,sd,u-10-1
sw3903B-ms98-a-0006,23.840750,24.179125,picture,I,sd,u-10-1
sw3903B-ms98-a-0006,24.179125,24.329125,for,I,sd,u-10-1
sw3903B-ms98-a-0006,24.329125,24.509125,my,I,sd,u-10-1
sw3903B-ms98-a-0006,24.509125,25.314000,father-in-law,O,,
sw3903B-ms98-a-0006,25.314000,25.600250,that,O,,
sw3903B-ms98-a-0006,25.600250,25.799125,if,B,sd,u-10-2
sw3903B-ms98-a-0006,25.799125,26.017375,i,I,sd,u-10-2
sw3903B-ms98-a-0006,26.171375,26.465250,[laughter-i],I,sd,u-10-2
sw3903B-ms98-a-0006,26.465250,26.769125,ever,I,sd,u-10-2
sw3903B-ms98-a-0006,26.769125,26.919125,get,I,sd,u-10-2
sw3903B-ms98-a-0006,26.919125,27.199125,enough,I,sd,u-10-2
sw3903B-ms98-a-0006,27.199125,27.459125,spare,I,sd,u-10-2
sw3903B-ms98-a-0006,27.459125,27.699125,time,I,sd,u-10-2
sw3903B-ms98-a-0006,27.699125,27.809125,he,B,+,u-12-1
sw3903B-ms98-a-0006,27.809125,28.090250,might,I,+,u-12-1
sw3903B-ms98-a-0006,28.090250,28.386500,see,I,+,u-12-1
sw3903B-ms98-a-0006,28.386500,28.725500,[laughter-it],I,+,u-12-1
sw3903B-ms98-a-0006,28.725500,28.937000,one,I,+,u-12-1
sw3903B-ms98-a-0006,28.937000,29.175750,day,I,+,u-12-1
sw3903B-ms98-a-0006,29.795375,30.137875,a[nd]-,O,,
sw3903B-ms98-a-0006,30.284750,30.421375,and,B,sd,u-14-1
sw3903B-ms98-a-0006,30.500375,30.669125,some,I,sd,u-14-1
sw3903B-ms98-a-0006,30.669125,30.919125,other,I,sd,u-14-1
sw3903B-ms98-a-0006,30.919125,31.149125,things,I,sd,u-14-1
sw3903B-ms98-a-0006,31.149125,31.269125,i,I,sd,u-14-1
sw3903B-ms98-a-0006,31.269125,31.459125,like,I,sd,u-14-1
sw3903B-ms98-a-0006,31.459125,31.579125,to,I,sd,u-14-1
sw3903B-ms98-a-0006,31.579125,31.859125,do,I,sd,u-14-1
sw3903B-ms98-a-0006,31.859125,31.959125,are,I,sd,u-14-1
sw3903B-ms98-a-0006,31.959125,32.239125,is,I,sd,u-14-1
sw3903B-ms98-a-0006,32.239125,32.965875,music,I,sd,u-14-1
sw3903B-ms98-a-0006,33.045000,33.449125,and,I,sd,u-14-1
sw3903B-ms98-a-0006,33.449125,33.719125,um,I,sd,u-14-1
sw3903B-ms98-a-0006,34.019125,34.364625,also,I,sd,u-14-1
sw3903B-ms98-a-0006,34.415625,34.779000,reading,I,sd,u-14-1
sw3903B-ms98-a-0007,35.631250,35.863375,so,O,,
sw3903B-ms98-a-0007,36.579000,36.831500,well,B,sd,u-16-1
sw3903B-ms98-a-0007,36.831500,36.901500,i,I,sd,u-16-1
sw3903B-ms98-a-0007,36.901500,37.141500,enjoy,I,sd,u-16-1
sw3903B-ms98-a-0007,37.141500,37.759625,singing,I,sd,u-16-1
sw3903B-ms98-a-0007,38.581125,38.915000,yeah,B,b,u-18-1
sw3903B-ms98-a-0009,53.255875,53.546625,um,B,b,u-20-1
sw3903B-ms98-a-0011,57.431125,57.698125,um-hum,B,b,u-22-1
sw3903B-ms98-a-0013,67.414500,67.826375,yes,B,b,u-24-1
sw3903B-ms98-a-0013,68.016375,68.076375,hm,B,b,u-26-1
sw3903B-ms98-a-0013,68.076375,68.195250,yeah,O,,
sw3903B-ms98-a-0015,88.517000,88.970750,um-hum,O,,
sw3903B-ms98-a-0017,100.853500,101.140625,um-hum,B,b,u-28-1
sw3903B-ms98-a-0019,111.217750,112.094375,[laughter],O,,
sw3903B-ms98-a-0019,112.094375,112.355875,that's,B,aa,u-30-1
sw3903B-ms98-a-0019,112.355875,112.565875,right,I,aa,u-30-1
sw3903B-ms98-a-0021,117.722125,117.904625,[vocalized-noise],O,,
sw3903B-ms98-a-0021,117.904625,118.213375,yeah,B,b,u-32-1
sw3903B-ms98-a-0021,118.213375,118.466500,i,B,sd,u-32-2
sw3903B-ms98-a-0021,118.507875,118.633375,i've,I,sd,u-32-2
sw3903B-ms98-a-0021,118.633375,118.843375,not,I,sd,u-32-2
sw3903B-ms98-a-0021,118.843375,119.004250,had,I,sd,u-32-2
sw3903B-ms98-a-0021,119.062625,119.233375,the,I,sd,u-32-2
sw3903B-ms98-a-0021,119.233375,119.963375,opportunity,I,sd,u-32-2
sw3903B-ms98-a-0021,119.963375,120.253375,to,I,sd,u-32-2
sw3903B-ms98-a-0021,120.403375,120.483375,to,I,sd,u-32-2
sw3903B-ms98-a-0021,120.483375,120.623375,go,I,sd,u-32-2
sw3903B-ms98-a-0021,120.623375,121.243375,skiing,I,sd,u-32-2
sw3903B-ms98-a-0021,121.243375,121.572000,but,B,sd,u-32-3
sw3903B-ms98-a-0022,122.194625,122.460750,i,I,sd,u-32-3
sw3903B-ms98-a-0022,122.539375,122.672875,grew,I,sd,u-32-3
sw3903B-ms98-a-0022,122.672875,122.832875,up,I,sd,u-32-3
sw3903B-ms98-a-0022,122.832875,122.922875,in,I,sd,u-32-3
sw3903B-ms98-a-0022,122.922875,123.618000,Arizona,I,sd,u-32-3
sw3903B-ms98-a-0022,123.618000,123.930625,which,I,sd,u-32-3
sw3903B-ms98-a-0022,123.930625,124.242875,had,I,sd,u-32-3
sw3903B-ms98-a-0022,124.242875,124.422875,some,I,sd,u-32-3
sw3903B-ms98-a-0022,124.422875,124.852875,mountains,I,sd,u-32-3
sw3903B-ms98-a-0022,124.852875,125.212875,around,I,sd,u-32-3
sw3903B-ms98-a-0022,125.212875,125.362875,it,I,sd,u-32-3
sw3903B-ms98-a-0022,125.362875,125.662875,but,B,sd,u-32-4
sw3903B-ms98-a-0022,125.662875,125.885250,uh,B,+,u-34-1
sw3903B-ms98-a-0023,126.285750,126.502750,never,I,+,u-34-1
sw3903B-ms98-a-0023,126.502750,126.732750,did,I,+,u-34-1
sw3903B-ms98-a-0023,126.732750,126.872750,get,I,+,u-34-1
sw3903B-ms98-a-0023,126.872750,127.042750,out,I,+,u-34-1
sw3903B-ms98-a-0023,127.042750,127.142750,and,I,+,u-34-1
sw3903B-ms98-a-0023,127.142750,127.542750,ski,I,+,u-34-1
sw3903B-ms98-a-0023,127.542750,127.854500,[laughter],O,,
sw3903B-ms98-a-0024,128.593250,128.909125,no,B,nn,u-36-1
sw3903B-ms98-a-0024,128.909125,128.959125,i,B,sd^e,u-36-2
sw3903B-ms98-a-0024,128.959125,129.249125,never,I,sd^e,u-36-2
sw3903B-ms98-a-0024,129.249125,129.568375,did,I,sd^e,u-36-2
sw3903B-ms98-a-0024,129.662500,129.899125,didn't,B,sd(^q),u-38-1
sw3903B-ms98-a-0024,129.899125,130.109125,have,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,130.109125,130.290250,the,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,130.666875,130.759125,i,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,130.759125,130.949125,guess,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,130.949125,130.979125,i,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,130.979125,131.199125,didn't,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,131.199125,131.319125,have,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,131.319125,131.399125,the,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,131.399125,131.869125,person,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,131.869125,132.039125,out,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,132.039125,132.229125,there,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,132.489125,132.749125,saying,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,132.749125,132.949125,hey,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,132.949125,133.089125,let,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,133.089125,133.179125,me,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,133.179125,133.449125,take,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,133.449125,133.539125,you,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,133.539125,134.069125,skiing,I,sd(^q),u-38-1
sw3903B-ms98-a-0024,134.069125,134.169125,and,B,sd,u-38-2
sw3903B-ms98-a-0024,134.169125,134.238250,of,I,sd,u-38-2
sw3903B-ms98-a-0024,134.291000,134.659125,course,I,sd,u-38-2
sw3903B-ms98-a-0024,134.659125,134.789125,i,I,sd,u-38-2
sw3903B-ms98-a-0024,134.789125,135.019125,was,I,sd,u-38-2
sw3903B-ms98-a-0024,135.019125,135.139125,at,I,sd,u-38-2
sw3903B-ms98-a-0024,135.139125,135.479125,that,I,sd,u-38-2
sw3903B-ms98-a-0024,135.479125,135.559125,you,I,sd,u-38-2
sw3903B-ms98-a-0024,135.559125,135.659125,know,I,sd,u-38-2
sw3903B-ms98-a-0024,135.659125,136.049125,stage,I,sd,u-38-2
sw3903B-ms98-a-0024,136.049125,136.109125,of,I,sd,u-38-2
sw3903B-ms98-a-0024,136.109125,136.239125,my,I,sd,u-38-2
sw3903B-ms98-a-0024,136.239125,136.479125,life,I,sd,u-38-2
sw3903B-ms98-a-0024,136.479125,136.579125,where,I,sd,u-38-2
sw3903B-ms98-a-0024,136.579125,136.669125,i,I,sd,u-38-2
sw3903B-ms98-a-0024,136.669125,136.829125,had,I,sd,u-38-2
sw3903B-ms98-a-0024,136.829125,136.919125,to,I,sd,u-38-2
