sw4802A-ms98-a-0001,0.080250,0.610000,okay,B,o,u-1-1
sw4802A-ms98-a-0001,0.610000,0.841875,um,B,qy,u-1-2
sw4802A-ms98-a-0002,1.202750,1.361250,read,I,qy,u-1-2
sw4802A-ms98-a-0002,1.361250,1.511250,any,I,qy,u-1-2
sw4802A-ms98-a-0002,1.511250,1.661250,good,I,qy,u-1-2
sw4802A-ms98-a-0002,1.661250,1.881250,books,I,qy,u-1-2
sw4802A-ms98-a-0002,1.881250,2.227375,lately,I,qy,u-1-2
sw4802A-ms98-a-0003,2.318125,4.752625,[laughter],O,,
sw4802A-ms98-a-0005,13.697500,13.796625,oh,B,bk,u-3-1
sw4802A-ms98-a-0005,13.796625,14.187625,okay,I,bk,u-3-1
sw4802A-ms98-a-0005,14.506250,14.713750,um-hum,B,b,u-3-2
sw4802A-ms98-a-0007,16.823000,17.102625,uh,B,^h,u-5-1
sw4802A-ms98-a-0007,17.102625,17.362625,well,I,^h,u-5-1
sw4802A-ms98-a-0007,17.362625,17.442625,i'm,I,^h,u-5-1
sw4802A-ms98-a-0007,17.442625,17.552625,in,I,^h,u-5-1
sw4802A-ms98-a-0007,17.552625,17.902625,graduate,I,^h,u-5-1
sw4802A-ms98-a-0007,17.902625,18.314250,school,I,^h,u-5-1
sw4802A-ms98-a-0007,18.314250,18.510125,and,B,na,u-5-2
sw4802A-ms98-a-0007,18.510125,18.766500,so,I,na,u-5-2
sw4802A-ms98-a-0007,18.924625,19.002625,i,I,na,u-5-2
sw4802A-ms98-a-0007,19.002625,19.152625,read,I,na,u-5-2
sw4802A-ms98-a-0007,19.152625,19.222625,a,I,na,u-5-2
sw4802A-ms98-a-0007,19.222625,19.392625,lot,I,na,u-5-2
sw4802A-ms98-a-0007,19.392625,19.482625,of,I,na,u-5-2
sw4802A-ms98-a-0007,19.482625,19.762625,books,I,na,u-5-2
sw4802A-ms98-a-0007,19.762625,19.962625,but,B,sd,u-5-3
sw4802A-ms98-a-0007,19.962625,20.042625,i,I,sd,u-5-3
sw4802A-ms98-a-0007,20.042625,20.232625,don't,I,sd,u-5-3
sw4802A-ms98-a-0007,20.232625,20.322625,know,I,sd,u-5-3
sw4802A-ms98-a-0007,20.322625,20.442625,if,I,sd,u-5-3
sw4802A-ms98-a-0007,20.442625,20.512625,i,I,sd,u-5-3
sw4802A-ms98-a-0007,20.512625,20.972625,consider,I,sd,u-5-3
sw4802A-ms98-a-0007,20.972625,21.172625,very,I,sd,u-5-3
sw4802A-ms98-a-0007,21.172625,21.422625,many,I,sd,u-5-3
sw4802A-ms98-a-0007,21.422625,21.502625,of,I,sd,u-5-3
sw4802A-ms98-a-0007,21.502625,21.652625,them_1,I,sd,u-5-3
sw4802A-ms98-a-0007,21.652625,22.022625,good,I,sd,u-5-3
sw4802A-ms98-a-0007,22.022625,22.487500,[laughter],O,,
sw4802A-ms98-a-0008,23.285375,23.564250,[laughter],O,,
sw4802A-ms98-a-0008,23.564250,23.876500,um,B,sd,u-7-1
sw4802A-ms98-a-0009,24.716250,24.942500,i,I,sd,u-7-1
sw4802A-ms98-a-0009,24.942500,25.282500,haven't,I,sd,u-7-1
sw4802A-ms98-a-0009,25.282500,25.452500,read,I,sd,u-7-1
